OO*OO*XO
X**O*XOX
**XXOX*O
X*OXOXOX
*****O*X
OO**XXOO
OO*OO*OO
*OOOO**X
Node,Depth,Value,Alpha,Beta
root,0,-Infinity,-Infinity,Infinity
f1,1,Infinity,-Infinity,Infinity
e2,2,-Infinity,-Infinity,Infinity
c2,3,61,-Infinity,Infinity
e2,2,61,61,Infinity
a3,3,35,61,Infinity
e2,2,61,61,Infinity
b3,3,61,61,Infinity
e2,2,61,61,Infinity
g3,3,-3,61,Infinity
e2,2,61,61,Infinity
b4,3,54,61,Infinity
e2,2,61,61,Infinity
c5,3,47,61,Infinity
e2,2,61,61,Infinity
d5,3,51,61,Infinity
e2,2,61,61,Infinity
e5,3,65,61,Infinity
e2,2,65,65,Infinity
g5,3,54,65,Infinity
e2,2,65,65,Infinity
d6,3,69,65,Infinity
e2,2,69,69,Infinity
f7,3,53,69,Infinity
e2,2,69,69,Infinity
e8,3,77,69,Infinity
e2,2,77,77,Infinity
f1,1,77,-Infinity,77
g3,2,-Infinity,-Infinity,77
c2,3,-8,-Infinity,77
g3,2,-8,-8,77
e2,3,1,-8,77
g3,2,1,1,77
a3,3,-34,1,77
g3,2,1,1,77
b3,3,6,1,77
g3,2,6,6,77
b4,3,-15,6,77
g3,2,6,6,77
c5,3,-14,6,77
g3,2,6,6,77
d5,3,-18,6,77
g3,2,6,6,77
e5,3,-4,6,77
g3,2,6,6,77
g5,3,-15,6,77
g3,2,6,6,77
d6,3,0,6,77
g3,2,6,6,77
f7,3,-16,6,77
g3,2,6,6,77
e8,3,8,6,77
g3,2,8,8,77
f1,1,8,-Infinity,8
b4,2,-Infinity,-Infinity,8
c2,3,-9,-Infinity,8
b4,2,-9,-9,8
a3,3,-21,-9,8
b4,2,-9,-9,8
b3,3,5,-9,8
b4,2,5,5,8
a5,3,1,5,8
b4,2,5,5,8
c5,3,-9,5,8
b4,2,5,5,8
d5,3,-5,5,8
b4,2,5,5,8
e5,3,9,5,8
b4,2,9,5,8
f1,1,8,-Infinity,8
b5,2,-Infinity,-Infinity,8
c2,3,-9,-Infinity,8
b5,2,-9,-9,8
e2,3,-6,-9,8
b5,2,-6,-6,8
a3,3,-21,-6,8
b5,2,-6,-6,8
b3,3,5,-6,8
b5,2,5,5,8
b4,3,0,5,8
b5,2,5,5,8
c5,3,-9,5,8
b5,2,5,5,8
d5,3,-5,5,8
b5,2,5,5,8
e5,3,9,5,8
b5,2,9,5,8
f1,1,8,-Infinity,8
c5,2,-Infinity,-Infinity,8
c2,3,-16,-Infinity,8
c5,2,-16,-16,8
a3,3,-28,-16,8
c5,2,-16,-16,8
b3,3,-2,-16,8
c5,2,-2,-2,8
b4,3,-1,-2,8
c5,2,-1,-1,8
d5,3,-12,-1,8
c5,2,-1,-1,8
e5,3,2,-1,8
c5,2,2,2,8
g5,3,-9,2,8
c5,2,2,2,8
d6,3,6,2,8
c5,2,6,6,8
f7,3,-10,6,8
c5,2,6,6,8
e8,3,14,6,8
c5,2,14,6,8
f1,1,8,-Infinity,8
d6,2,-Infinity,-Infinity,8
c2,3,12,-Infinity,8
d6,2,12,-Infinity,8
f1,1,8,-Infinity,8
f7,2,-Infinity,-Infinity,8
c2,3,22,-Infinity,8
f7,2,22,-Infinity,8
f1,1,8,-Infinity,8
a8,2,-Infinity,-Infinity,8
c2,3,-73,-Infinity,8
a8,2,-73,-73,8
e2,3,-86,-73,8
a8,2,-73,-73,8
a3,3,-99,-73,8
a8,2,-73,-73,8
b3,3,-73,-73,8
a8,2,-73,-73,8
b4,3,-80,-73,8
a8,2,-73,-73,8
c5,3,-87,-73,8
a8,2,-73,-73,8
d5,3,-83,-73,8
a8,2,-73,-73,8
e5,3,-69,-73,8
a8,2,-69,-69,8
g5,3,-80,-69,8
a8,2,-69,-69,8
d6,3,-65,-69,8
