**OOOXXX
OOX***XO
OX**XO**
**X**OXX
XO*XO*O*
OOX**XXO
O*XO**XX
XXOXX*OO
Node,Depth,Value,Alpha,Beta
root,0,-Infinity,-Infinity,Infinity
e1,1,Infinity,-Infinity,Infinity
b1,2,-Infinity,-Infinity,Infinity
d2,3,-103,-Infinity,Infinity
b1,2,-103,-103,Infinity
f2,3,-104,-103,Infinity
b1,2,-103,-103,Infinity
c3,3,-53,-103,Infinity
b1,2,-53,-53,Infinity
d3,3,-32,-53,Infinity
b1,2,-32,-32,Infinity
g3,3,-62,-32,Infinity
b1,2,-32,-32,Infinity
a4,3,-34,-32,Infinity
b1,2,-32,-32,Infinity
c5,3,-42,-32,Infinity
b1,2,-32,-32,Infinity
h5,3,-52,-32,Infinity
b1,2,-32,-32,Infinity
d6,3,-34,-32,Infinity
b1,2,-32,-32,Infinity
e6,3,-42,-32,Infinity
b1,2,-32,-32,Infinity
b7,3,-84,-32,Infinity
b1,2,-32,-32,Infinity
e7,3,-41,-32,Infinity
b1,2,-32,-32,Infinity
f8,3,-68,-32,Infinity
b1,2,-32,-32,Infinity
e1,1,-32,-Infinity,-32
e2,2,-Infinity,-Infinity,-32
d2,3,-82,-Infinity,-32
e2,2,-82,-82,-32
f2,3,-117,-82,-32
e2,2,-82,-82,-32
c3,3,-88,-82,-32
e2,2,-82,-82,-32
d3,3,-67,-82,-32
e2,2,-67,-67,-32
g3,3,-89,-67,-32
e2,2,-67,-67,-32
a4,3,-77,-67,-32
e2,2,-67,-67,-32
b4,3,-90,-67,-32
e2,2,-67,-67,-32
e4,3,-77,-67,-32
e2,2,-67,-67,-32
c5,3,-69,-67,-32
e2,2,-67,-67,-32
h5,3,-71,-67,-32
e2,2,-67,-67,-32
d6,3,-61,-67,-32
e2,2,-61,-61,-32
e6,3,-69,-61,-32
e2,2,-61,-61,-32
b7,3,-111,-61,-32
e2,2,-61,-61,-32
e7,3,-68,-61,-32
e2,2,-61,-61,-32
f8,3,-95,-61,-32
e2,2,-61,-61,-32
e1,1,-61,-Infinity,-61
g3,2,-Infinity,-Infinity,-61
d2,3,-81,-Infinity,-61
g3,2,-81,-81,-61
f2,3,-116,-81,-61
g3,2,-81,-81,-61
c3,3,-87,-81,-61
g3,2,-81,-81,-61
d3,3,-66,-81,-61
g3,2,-66,-66,-61
a4,3,-76,-66,-61
g3,2,-66,-66,-61
b4,3,-89,-66,-61
g3,2,-66,-66,-61
c5,3,-68,-66,-61
g3,2,-66,-66,-61
d6,3,-60,-66,-61
g3,2,-60,-66,-61
e1,1,-61,-Infinity,-61
h3,2,-Infinity,-Infinity,-61
d2,3,-63,-Infinity,-61
h3,2,-63,-63,-61
c3,3,-69,-63,-61
h3,2,-63,-63,-61
d3,3,-40,-63,-61
h3,2,-40,-63,-61
e1,1,-61,-Infinity,-61
a4,2,-Infinity,-Infinity,-61
d2,3,-71,-Infinity,-61
a4,2,-71,-71,-61
f2,3,-120,-71,-61
a4,2,-71,-71,-61
c3,3,-77,-71,-61
a4,2,-71,-71,-61
