OX*OOOXO
XX*O*OXX
OX***O**
OOXO****
OOOO**XO
OOO*OOXO
X*OOOXXO
*XXX*XOO
Node,Depth,Value,Alpha,Beta
root,0,-Infinity,-Infinity,Infinity
c1,1,Infinity,-Infinity,Infinity
c2,2,-Infinity,-Infinity,Infinity
c3,3,383,-Infinity,Infinity
c2,2,383,383,Infinity
d3,3,436,383,Infinity
c2,2,436,436,Infinity
h3,3,376,436,Infinity
c2,2,436,436,Infinity
a4,3,434,436,Infinity
c2,2,436,436,Infinity
f4,3,430,436,Infinity
c2,2,436,436,Infinity
g4,3,367,436,Infinity
c2,2,436,436,Infinity
h4,3,432,436,Infinity
c2,2,436,436,Infinity
f5,3,422,436,Infinity
c2,2,436,436,Infinity
a8,3,515,436,Infinity
c2,2,515,515,Infinity
e8,3,438,515,Infinity
c2,2,515,515,Infinity
c1,1,515,-Infinity,515
e2,2,-Infinity,-Infinity,515
c3,3,398,-Infinity,515
e2,2,398,398,515
d3,3,397,398,515
e2,2,398,398,515
e3,3,389,398,515
e2,2,398,398,515
g3,3,379,398,515
e2,2,398,398,515
h3,3,335,398,515
e2,2,398,398,515
a4,3,409,398,515
e2,2,409,409,515
f4,3,389,409,515
e2,2,409,409,515
g4,3,326,409,515
e2,2,409,409,515
h4,3,391,409,515
e2,2,409,409,515
f5,3,381,409,515
e2,2,409,409,515
a8,3,474,409,515
e2,2,474,474,515
e8,3,397,474,515
e2,2,474,474,515
c1,1,474,-Infinity,474
c3,2,-Infinity,-Infinity,474
c2,3,397,-Infinity,474
c3,2,397,397,474
d3,3,397,397,474
c3,2,397,397,474
h3,3,323,397,474
c3,2,397,397,474
a4,3,399,397,474
c3,2,399,399,474
f4,3,377,399,474
c3,2,399,399,474
g4,3,314,399,474
c3,2,399,399,474
h4,3,379,399,474
c3,2,399,399,474
f5,3,369,399,474
c3,2,399,399,474
a8,3,462,399,474
c3,2,462,462,474
e8,3,385,462,474
c3,2,462,462,474
c1,1,462,-Infinity,462
e3,2,-Infinity,-Infinity,462
c3,3,399,-Infinity,462
e3,2,399,399,462
d3,3,404,399,462
e3,2,404,404,462
g3,3,372,404,462
e3,2,404,404,462
h3,3,328,404,462
e3,2,404,404,462
a4,3,402,404,462
e3,2,404,404,462
e4,3,392,404,462
e3,2,404,404,462
f4,3,390,404,462
e3,2,404,404,462
g4,3,319,404,462
e3,2,404,404,462
h4,3,384,404,462
e3,2,404,404,462
f5,3,374,404,462
e3,2,404,404,462
d6,3,396,404,462
e3,2,404,404,462
b7,3,352,404,462
e3,2,404,404,462
a8,3,467,404,462
e3,2,467,404,462
c1,1,462,-Infinity,462
a4,2,-Infinity,-Infinity,462
c3,3,379,-Infinity,462
a4,2,379,379,462
d3,3,376,379,462
a4,2,379,379,462
h3,3,308,379,462
a4,2,379,379,462
f4,3,362,379,462
a4,2,379,379,462
g4,3,299,379,462
a4,2,379,379,462
h4,3,364,379,462
a4,2,379,379,462
f5,3,354,379,462
a4,2,379,379,462
a8,3,447,379,462
a4,2,447,447,462
e8,3,370,447,462
a4,2,447,447,462
c1,1,447,-Infinity,447
e4,2,-Infinity,-Infinity,447
c3,3,373,-Infinity,447
e4,2,373,373,447
d3,3,378,373,447
e4,2,378,378,447
e3,3,370,378,447
e4,2,378,378,447
h3,3,310,378,447
e4,2,378,378,447
a4,3,384,378,447
e4,2,384,384,447
f4,3,386,384,447
e4,2,386,386,447
g4,3,301,386,447
e4,2,386,386,447
h4,3,366,386,447
e4,2,386,386,447
f5,3,356,386,447
e4,2,386,386,447
a8,3,449,386,447
e4,2,449,386,447
c1,1,447,-Infinity,447
e5,2,-Infinity,-Infinity,447
c3,3,379,-Infinity,447
e5,2,379,379,447
d3,3,370,379,447
e5,2,379,379,447
h3,3,308,379,447
e5,2,379,379,447
a4,3,376,379,447
e5,2,379,379,447
e4,3,364,379,447
e5,2,379,379,447
f4,3,362,379,447
e5,2,379,379,447
g4,3,299,379,447
e5,2,379,379,447
h4,3,378,379,447
e5,2,379,379,447
f5,3,354,379,447
e5,2,379,379,447
d6,3,376,379,447
e5,2,379,379,447
a8,3,447,379,447
e5,2,447,379,447
c1,1,447,-Infinity,447
f5,2,-Infinity,-Infinity,447
c3,3,367,-Infinity,447
f5,2,367,367,447
d3,3,372,367,447
f5,2,372,372,447
h3,3,304,372,447
f5,2,372,372,447
a4,3,378,372,447
f5,2,378,378,447
e4,3,360,378,447
f5,2,378,378,447
f4,3,358,378,447
f5,2,378,378,447
g4,3,295,378,447
f5,2,378,378,447
h4,3,374,378,447
f5,2,378,378,447
e5,3,336,378,447
f5,2,378,378,447
d6,3,378,378,447
f5,2,378,378,447
a8,3,443,378,447
f5,2,443,443,447
e8,3,360,443,447
f5,2,443,443,447
c1,1,443,-Infinity,443
d6,2,-Infinity,-Infinity,443
c3,3,381,-Infinity,443
d6,2,381,381,443
d3,3,386,381,443
d6,2,386,386,443
h3,3,318,386,443
d6,2,386,386,443
a4,3,392,386,443
d6,2,392,392,443
f4,3,372,392,443
d6,2,392,392,443
g4,3,309,392,443
d6,2,392,392,443
e5,3,340,392,443
d6,2,392,392,443
f5,3,364,392,443
d6,2,392,392,443
b7,3,274,392,443
d6,2,392,392,443
a8,3,457,392,443
d6,2,457,392,443
c1,1,443,-Infinity,443
b7,2,-Infinity,-Infinity,443
c3,3,451,-Infinity,443
b7,2,451,-Infinity,443
c1,1,443,-Infinity,443
root,0,443,443,Infinity
c3,1,Infinity,443,Infinity
c1,2,-Infinity,443,Infinity
h3,3,339,443,Infinity
c1,2,339,443,Infinity
a4,3,365,443,Infinity
c1,2,365,443,Infinity
f4,3,345,443,Infinity
c1,2,365,443,Infinity
g4,3,282,443,Infinity
c1,2,365,443,Infinity
h4,3,347,443,Infinity
c1,2,365,443,Infinity
f5,3,337,443,Infinity
c1,2,365,443,Infinity
a8,3,430,443,Infinity
