OO*XXX*O
*****O*O
***OXO*O
OO**XO*O
OX**XXOO
**OO*X*O
*O**XX**
XXX**XXX
Node,Depth,Value,Alpha,Beta
root,0,-Infinity,-Infinity,Infinity
d2,1,Infinity,-Infinity,Infinity
c2,2,-Infinity,-Infinity,Infinity
b2,3,-60,-Infinity,Infinity
c2,2,-60,-60,Infinity
h2,3,-8,-60,Infinity
c2,2,-8,-8,Infinity
c3,3,-13,-8,Infinity
c2,2,-8,-8,Infinity
d4,3,-20,-8,Infinity
c2,2,-8,-8,Infinity
c5,3,-30,-8,Infinity
c2,2,-8,-8,Infinity
d5,3,-20,-8,Infinity
c2,2,-8,-8,Infinity
b6,3,-38,-8,Infinity
c2,2,-8,-8,Infinity
e6,3,-24,-8,Infinity
c2,2,-8,-8,Infinity
g6,3,-24,-8,Infinity
c2,2,-8,-8,Infinity
d8,3,-14,-8,Infinity
c2,2,-8,-8,Infinity
d2,1,-8,-Infinity,-8
e2,2,-Infinity,-Infinity,-8
h2,3,-9,-Infinity,-8
e2,2,-9,-9,-8
d4,3,-21,-9,-8
e2,2,-9,-9,-8
c5,3,-31,-9,-8
e2,2,-9,-9,-8
d5,3,-21,-9,-8
e2,2,-9,-9,-8
b6,3,-39,-9,-8
e2,2,-9,-9,-8
g6,3,-25,-9,-8
e2,2,-9,-9,-8
d8,3,-15,-9,-8
e2,2,-9,-9,-8
d2,1,-9,-Infinity,-9
g2,2,-Infinity,-Infinity,-9
h2,3,-42,-Infinity,-9
g2,2,-42,-42,-9
g3,3,-4,-42,-9
g2,2,-4,-42,-9
d2,1,-9,-Infinity,-9
b3,2,-Infinity,-Infinity,-9
c2,3,-26,-Infinity,-9
b3,2,-26,-26,-9
h2,3,6,-26,-9
b3,2,6,-26,-9
d2,1,-9,-Infinity,-9
c3,2,-Infinity,-Infinity,-9
c1,3,-23,-Infinity,-9
c3,2,-23,-23,-9
h2,3,-5,-23,-9
c3,2,-5,-23,-9
d2,1,-9,-Infinity,-9
g3,2,-Infinity,-Infinity,-9
g1,3,-36,-Infinity,-9
g3,2,-36,-36,-9
h2,3,0,-36,-9
g3,2,0,-36,-9
d2,1,-9,-Infinity,-9
d4,2,-Infinity,-Infinity,-9
c1,3,-24,-Infinity,-9
d4,2,-24,-24,-9
h2,3,-6,-24,-9
d4,2,-6,-24,-9
d2,1,-9,-Infinity,-9
g4,2,-Infinity,-Infinity,-9
h2,3,-9,-Infinity,-9
g4,2,-9,-Infinity,-9
d2,1,-9,-Infinity,-9
c5,2,-Infinity,-Infinity,-9
h2,3,-16,-Infinity,-9
c5,2,-16,-16,-9
c4,3,-24,-16,-9
c5,2,-16,-16,-9
d4,3,-36,-16,-9
c5,2,-16,-16,-9
d5,3,-26,-16,-9
c5,2,-16,-16,-9
b6,3,-46,-16,-9
c5,2,-16,-16,-9
e6,3,-24,-16,-9
c5,2,-16,-16,-9
g6,3,-32,-16,-9
c5,2,-16,-16,-9
c7,3,-32,-16,-9
c5,2,-16,-16,-9
d8,3,-22,-16,-9
c5,2,-16,-16,-9
d2,1,-16,-Infinity,-16
d5,2,-Infinity,-Infinity,-16
h2,3,30,-Infinity,-16
d5,2,30,-Infinity,-16
d2,1,-16,-Infinity,-16
a6,2,-Infinity,-Infinity,-16
h2,3,36,-Infinity,-16
a6,2,36,-Infinity,-16
d2,1,-16,-Infinity,-16
b6,2,-Infinity,-Infinity,-16
h2,3,48,-Infinity,-16
b6,2,48,-Infinity,-16
d2,1,-16,-Infinity,-16
c7,2,-Infinity,-Infinity,-16
h2,3,-8,-Infinity,-16
c7,2,-8,-Infinity,-16
d2,1,-16,-Infinity,-16
d7,2,-Infinity,-Infinity,-16
h2,3,-15,-Infinity,-16
d7,2,-15,-Infinity,-16
d2,1,-16,-Infinity,-16
h7,2,-Infinity,-Infinity,-16
d4,3,-44,-Infinity,-16
h7,2,-44,-44,-16
c5,3,-46,-44,-16
h7,2,-44,-44,-16
d5,3,-36,-44,-16
h7,2,-36,-36,-16
b6,3,-54,-36,-16
h7,2,-36,-36,-16
e6,3,-40,-36,-16
h7,2,-36,-36,-16
g6,3,-40,-36,-16
h7,2,-36,-36,-16
d8,3,-30,-36,-16
h7,2,-30,-30,-16
d2,1,-30,-Infinity,-30
root,0,-30,-30,Infinity
h2,1,Infinity,-30,Infinity
g1,2,-Infinity,-30,Infinity
c1,3,39,-30,Infinity
g1,2,39,39,Infinity
d2,3,12,39,Infinity
g1,2,39,39,Infinity
d4,3,7,39,Infinity
g1,2,39,39,Infinity
c5,3,5,39,Infinity
g1,2,39,39,Infinity
d5,3,15,39,Infinity
g1,2,39,39,Infinity
b6,3,-3,39,Infinity
g1,2,39,39,Infinity
g6,3,11,39,Infinity
g1,2,39,39,Infinity
d8,3,21,39,Infinity
g1,2,39,39,Infinity
h2,1,39,-30,39
c2,2,-Infinity,-30,39
d2,3,-8,-30,39
c2,2,-8,-8,39
c3,3,10,-8,39
c2,2,10,10,39
d4,3,-5,10,39
c2,2,10,10,39
c5,3,-15,10,39
c2,2,10,10,39
d5,3,-5,10,39
c2,2,10,10,39
b6,3,-23,10,39
c2,2,10,10,39
g6,3,-9,10,39
c2,2,10,10,39
d8,3,1,10,39
c2,2,10,10,39
h2,1,10,-30,10
g2,2,-Infinity,-30,10
d2,3,6,-30,10
g2,2,6,6,10
g3,3,19,6,10
g2,2,19,6,10
h2,1,10,-30,10
b3,2,-Infinity,-30,10
c2,3,-11,-30,10
b3,2,-11,-11,10
d2,3,6,-11,10
b3,2,6,6,10
c3,3,2,6,10
b3,2,6,6,10
c4,3,-1,6,10
b3,2,6,6,10
d4,3,9,6,10
b3,2,9,9,10
c5,3,-1,9,10
b3,2,9,9,10
d5,3,9,9,10
b3,2,9,9,10
g6,3,5,9,10
b3,2,9,9,10
d8,3,15,9,10
b3,2,15,9,10
h2,1,10,-30,10
c3,2,-Infinity,-30,10
d2,3,-5,-30,10
c3,2,-5,-5,10
b3,3,2,-5,10
c3,2,2,2,10
d4,3,-16,2,10
c3,2,2,2,10
c5,3,-26,2,10
c3,2,2,2,10
d5,3,-16,2,10
c3,2,2,2,10
b6,3,-34,2,10
c3,2,2,2,10
d8,3,-10,2,10
c3,2,2,2,10
h2,1,2,-30,2
g3,2,-Infinity,-30,2
d2,3,-6,-30,2
g3,2,-6,-6,2
c5,3,-21,-6,2
g3,2,-6,-6,2
d5,3,-11,-6,2
g3,2,-6,-6,2
b6,3,-29,-6,2
g3,2,-6,-6,2
g6,3,-15,-6,2
g3,2,-6,-6,2
d8,3,-5,-6,2
g3,2,-5,-5,2
h2,1,-5,-30,-5
g4,2,-Infinity,-30,-5
d2,3,-1,-30,-5
g4,2,-1,-30,-5
h2,1,-5,-30,-5
c5,2,-Infinity,-30,-5
d2,3,-16,-30,-5
c5,2,-16,-16,-5
c4,3,-9,-16,-5
c5,2,-9,-9,-5
d4,3,-13,-9,-5
c5,2,-9,-9,-5
d5,3,-11,-9,-5
c5,2,-9,-9,-5
b6,3,-31,-9,-5
c5,2,-9,-9,-5
e6,3,-9,-9,-5
c5,2,-9,-9,-5
g6,3,-17,-9,-5
c5,2,-9,-9,-5
c7,3,-17,-9,-5
c5,2,-9,-9,-5
d8,3,-7,-9,-5
c5,2,-7,-7,-5
h2,1,-7,-30,-7
d5,2,-Infinity,-30,-7
d2,3,30,-30,-7
d5,2,30,-30,-7
h2,1,-7,-30,-7
a6,2,-Infinity,-30,-7
d2,3,36,-30,-7
a6,2,36,-30,-7
h2,1,-7,-30,-7
b6,2,-Infinity,-30,-7
d2,3,48,-30,-7
b6,2,48,-30,-7
h2,1,-7,-30,-7
c7,2,-Infinity,-30,-7
d2,3,-8,-30,-7
c7,2,-8,-8,-7
d4,3,-5,-8,-7
c7,2,-5,-8,-7
h2,1,-7,-30,-7
d7,2,-Infinity,-30,-7
d2,3,-15,-30,-7
d7,2,-15,-15,-7
d4,3,-12,-15,-7
d7,2,-12,-12,-7
c5,3,-22,-12,-7
d7,2,-12,-12,-7
d5,3,2,-12,-7
d7,2,2,-12,-7
h2,1,-7,-30,-7
root,0,-7,-7,Infinity
d4,1,Infinity,-7,Infinity
c2,2,-Infinity,-7,Infinity
d2,3,-20,-7,Infinity
c2,2,-20,-7,Infinity
h2,3,-5,-7,Infinity
c2,2,-5,-5,Infinity
c3,3,-10,-5,Infinity
c2,2,-5,-5,Infinity
c5,3,-27,-5,Infinity
c2,2,-5,-5,Infinity
d5,3,-17,-5,Infinity
c2,2,-5,-5,Infinity
b6,3,-35,-5,Infinity
