O*XXO*OO
O**X*X**
O*O**XXO
**XOXOXO
*X**O*X*
XOXO*OXX
**OXX*XX
****O*XX
Node,Depth,Value,Alpha,Beta
root,0,-Infinity,-Infinity,Infinity
a1,1,Infinity,-Infinity,Infinity
f1,2,-Infinity,-Infinity,Infinity
b1,3,181,-Infinity,Infinity
f1,2,181,181,Infinity
h2,3,117,181,Infinity
f1,2,181,181,Infinity
e3,3,135,181,Infinity
f1,2,181,181,Infinity
a4,3,141,181,Infinity
f1,2,181,181,Infinity
b4,3,132,181,Infinity
f1,2,181,181,Infinity
c5,3,159,181,Infinity
f1,2,181,181,Infinity
f5,3,131,181,Infinity
f1,2,181,181,Infinity
e6,3,131,181,Infinity
f1,2,181,181,Infinity
f7,3,117,181,Infinity
f1,2,181,181,Infinity
d8,3,127,181,Infinity
f1,2,181,181,Infinity
f8,3,135,181,Infinity
f1,2,181,181,Infinity
a1,1,181,-Infinity,181
b2,2,-Infinity,-Infinity,181
b1,3,169,-Infinity,181
b2,2,169,169,181
f1,3,163,169,181
b2,2,169,169,181
c2,3,97,169,181
b2,2,169,169,181
h2,3,133,169,181
b2,2,169,169,181
e3,3,151,169,181
b2,2,169,169,181
a4,3,157,169,181
b2,2,169,169,181
b4,3,156,169,181
b2,2,169,169,181
c5,3,167,169,181
b2,2,169,169,181
f5,3,147,169,181
b2,2,169,169,181
e6,3,147,169,181
b2,2,169,169,181
f7,3,133,169,181
b2,2,169,169,181
d8,3,151,169,181
b2,2,169,169,181
f8,3,151,169,181
b2,2,169,169,181
a1,1,169,-Infinity,169
c2,2,-Infinity,-Infinity,169
b1,3,163,-Infinity,169
c2,2,163,163,169
f1,3,157,163,169
c2,2,163,163,169
b2,3,133,163,169
c2,2,163,163,169
h2,3,127,163,169
c2,2,163,163,169
e3,3,145,163,169
c2,2,163,163,169
a4,3,151,163,169
c2,2,163,163,169
b4,3,150,163,169
c2,2,163,163,169
c5,3,161,163,169
c2,2,163,163,169
f5,3,141,163,169
c2,2,163,163,169
e6,3,141,163,169
c2,2,163,163,169
f7,3,127,163,169
c2,2,163,163,169
d8,3,137,163,169
c2,2,163,163,169
f8,3,145,163,169
c2,2,163,163,169
a1,1,163,-Infinity,163
e3,2,-Infinity,-Infinity,163
b1,3,161,-Infinity,163
e3,2,161,161,163
e2,3,146,161,163
e3,2,161,161,163
h2,3,133,161,163
e3,2,161,161,163
d3,3,159,161,163
e3,2,161,161,163
a4,3,149,161,163
e3,2,161,161,163
b4,3,140,161,163
e3,2,161,161,163
c5,3,167,161,163
e3,2,167,161,163
a1,1,163,-Infinity,163
b4,2,-Infinity,-Infinity,163
b1,3,162,-Infinity,163
b4,2,162,162,163
f1,3,156,162,163
b4,2,162,162,163
b2,3,132,162,163
b4,2,162,162,163
h2,3,126,162,163
b4,2,162,162,163
b3,3,126,162,163
b4,2,162,162,163
e3,3,144,162,163
b4,2,162,162,163
a4,3,152,162,163
b4,2,162,162,163
a5,3,150,162,163
b4,2,162,162,163
c5,3,154,162,163
b4,2,162,162,163
f5,3,140,162,163
b4,2,162,162,163
e6,3,140,162,163
b4,2,162,162,163
f7,3,126,162,163
b4,2,162,162,163
d8,3,136,162,163
b4,2,162,162,163
f8,3,144,162,163
b4,2,162,162,163
a1,1,162,-Infinity,162
c5,2,-Infinity,-Infinity,162
b1,3,161,-Infinity,162
c5,2,161,161,162
f1,3,155,161,162
c5,2,161,161,162
h2,3,125,161,162
c5,2,161,161,162
e3,3,143,161,162
c5,2,161,161,162
a4,3,149,161,162
c5,2,161,161,162
b4,3,140,161,162
c5,2,161,161,162
f5,3,139,161,162
c5,2,161,161,162
e6,3,161,161,162
c5,2,161,161,162
f7,3,125,161,162
c5,2,161,161,162
d8,3,141,161,162
c5,2,161,161,162
a1,1,161,-Infinity,161
d5,2,-Infinity,-Infinity,161
b1,3,165,-Infinity,161
d5,2,165,-Infinity,161
a1,1,161,-Infinity,161
f5,2,-Infinity,-Infinity,161
b1,3,161,-Infinity,161
f5,2,161,-Infinity,161
a1,1,161,-Infinity,161
e6,2,-Infinity,-Infinity,161
b1,3,147,-Infinity,161
e6,2,147,147,161
f1,3,141,147,161
e6,2,147,147,161
h2,3,111,147,161
e6,2,147,147,161
e3,3,131,147,161
e6,2,147,147,161
a4,3,135,147,161
e6,2,147,147,161
b4,3,126,147,161
e6,2,147,147,161
c5,3,153,147,161
e6,2,153,153,161
f5,3,125,153,161
e6,2,153,153,161
f7,3,111,153,161
e6,2,153,153,161
d8,3,135,153,161
e6,2,153,153,161
a1,1,153,-Infinity,153
b7,2,-Infinity,-Infinity,153
b1,3,213,-Infinity,153
b7,2,213,-Infinity,153
a1,1,153,-Infinity,153
b8,2,-Infinity,-Infinity,153
b1,3,173,-Infinity,153
b8,2,173,-Infinity,153
a1,1,153,-Infinity,153
c8,2,-Infinity,-Infinity,153
b1,3,173,-Infinity,153
c8,2,173,-Infinity,153
a1,1,153,-Infinity,153
root,0,153,153,Infinity
b1,1,Infinity,153,Infinity
b2,2,-Infinity,153,Infinity
a1,3,169,153,Infinity
b2,2,169,169,Infinity
f1,3,100,169,Infinity
b2,2,169,169,Infinity
h2,3,70,169,Infinity
b2,2,169,169,Infinity
b3,3,34,169,Infinity
b2,2,169,169,Infinity
d3,3,84,169,Infinity
b2,2,169,169,Infinity
e3,3,82,169,Infinity
b2,2,169,169,Infinity
a4,3,94,169,Infinity
b2,2,169,169,Infinity
b4,3,93,169,Infinity
b2,2,169,169,Infinity
c5,3,104,169,Infinity
b2,2,169,169,Infinity
f5,3,84,169,Infinity
b2,2,169,169,Infinity
e6,3,84,169,Infinity
b2,2,169,169,Infinity
f7,3,70,169,Infinity
b2,2,169,169,Infinity
d8,3,88,169,Infinity
b2,2,169,169,Infinity
f8,3,88,169,Infinity
b2,2,169,169,Infinity
b1,1,169,153,169
c2,2,-Infinity,153,169
a1,3,163,153,169
c2,2,163,163,169
f1,3,94,163,169
c2,2,163,163,169
b2,3,70,163,169
c2,2,163,163,169
h2,3,64,163,169
c2,2,163,163,169
b3,3,68,163,169
c2,2,163,163,169
d3,3,70,163,169
c2,2,163,163,169
e3,3,76,163,169
c2,2,163,163,169
a4,3,88,163,169
c2,2,163,163,169
b4,3,87,163,169
c2,2,163,163,169
c5,3,112,163,169
c2,2,163,163,169
f5,3,78,163,169
c2,2,163,163,169
e6,3,78,163,169
c2,2,163,163,169
f7,3,64,163,169
c2,2,163,163,169
d8,3,74,163,169
c2,2,163,163,169
f8,3,82,163,169
c2,2,163,163,169
b1,1,163,153,163
e3,2,-Infinity,153,163
a1,3,161,153,163
e3,2,161,161,163
e2,3,83,161,163
