XOXOOXO*
O*O*X**X
OOXOO*X*
OXXOO*XX
*XX*XX**
XXOOX*OO
XOOOO*OO
*OO*OXX*
Node,Depth,Value,Alpha,Beta
root,0,-Infinity,-Infinity,Infinity
b2,1,Infinity,-Infinity,Infinity
h1,2,-Infinity,-Infinity,Infinity
f3,3,-251,-Infinity,Infinity
h1,2,-251,-251,Infinity
h3,3,-240,-251,Infinity
h1,2,-240,-240,Infinity
f4,3,-248,-240,Infinity
h1,2,-240,-240,Infinity
a5,3,-260,-240,Infinity
h1,2,-240,-240,Infinity
d5,3,-244,-240,Infinity
h1,2,-240,-240,Infinity
f6,3,-237,-240,Infinity
h1,2,-237,-237,Infinity
d8,3,-252,-237,Infinity
h1,2,-237,-237,Infinity
e8,3,-252,-237,Infinity
h1,2,-237,-237,Infinity
b2,1,-237,-Infinity,-237
d2,2,-Infinity,-Infinity,-237
f2,3,-196,-Infinity,-237
d2,2,-196,-Infinity,-237
b2,1,-237,-Infinity,-237
f2,2,-Infinity,-Infinity,-237
f3,3,-164,-Infinity,-237
f2,2,-164,-Infinity,-237
b2,1,-237,-Infinity,-237
f4,2,-Infinity,-Infinity,-237
f3,3,-172,-Infinity,-237
f4,2,-172,-Infinity,-237
b2,1,-237,-Infinity,-237
a5,2,-Infinity,-Infinity,-237
f3,3,-186,-Infinity,-237
a5,2,-186,-Infinity,-237
b2,1,-237,-Infinity,-237
d5,2,-Infinity,-Infinity,-237
f3,3,-176,-Infinity,-237
d5,2,-176,-Infinity,-237
b2,1,-237,-Infinity,-237
g5,2,-Infinity,-Infinity,-237
f3,3,-109,-Infinity,-237
g5,2,-109,-Infinity,-237
b2,1,-237,-Infinity,-237
f7,2,-Infinity,-Infinity,-237
f3,3,-158,-Infinity,-237
f7,2,-158,-Infinity,-237
b2,1,-237,-Infinity,-237
d8,2,-Infinity,-Infinity,-237
f3,3,-166,-Infinity,-237
d8,2,-166,-Infinity,-237
b2,1,-237,-Infinity,-237
e8,2,-Infinity,-Infinity,-237
f3,3,-168,-Infinity,-237
e8,2,-168,-Infinity,-237
b2,1,-237,-Infinity,-237
root,0,-237,-237,Infinity
f3,1,Infinity,-237,Infinity
h1,2,-Infinity,-237,Infinity
b2,3,-251,-237,Infinity
h1,2,-251,-237,Infinity
h3,3,-237,-237,Infinity
h1,2,-237,-237,Infinity
f4,3,-237,-237,Infinity
h1,2,-237,-237,Infinity
a5,3,-243,-237,Infinity
h1,2,-237,-237,Infinity
d5,3,-233,-237,Infinity
h1,2,-233,-233,Infinity
h5,3,-241,-233,Infinity
h1,2,-233,-233,Infinity
f6,3,-226,-233,Infinity
h1,2,-226,-226,Infinity
d8,3,-241,-226,Infinity
h1,2,-226,-226,Infinity
e8,3,-241,-226,Infinity
h1,2,-226,-226,Infinity
f3,1,-226,-237,-226
b2,2,-Infinity,-237,-226
h3,3,-122,-237,-226
b2,2,-122,-237,-226
f3,1,-226,-237,-226
f2,2,-Infinity,-237,-226
g2,3,-194,-237,-226
f2,2,-194,-237,-226
f3,1,-226,-237,-226
f4,2,-Infinity,-237,-226
h3,3,-158,-237,-226
f4,2,-158,-237,-226
f3,1,-226,-237,-226
a5,2,-Infinity,-237,-226
b2,3,-186,-237,-226
a5,2,-186,-237,-226
f3,1,-226,-237,-226
d5,2,-Infinity,-237,-226
b2,3,-176,-237,-226
d5,2,-176,-237,-226
f3,1,-226,-237,-226
g5,2,-Infinity,-237,-226
b2,3,-109,-237,-226
g5,2,-109,-237,-226
f3,1,-226,-237,-226
f7,2,-Infinity,-237,-226
b2,3,-158,-237,-226
f7,2,-158,-237,-226
f3,1,-226,-237,-226
d8,2,-Infinity,-237,-226
b2,3,-166,-237,-226
d8,2,-166,-237,-226
f3,1,-226,-237,-226
e8,2,-Infinity,-237,-226
b2,3,-168,-237,-226
e8,2,-168,-237,-226
f3,1,-226,-237,-226
root,0,-226,-226,Infinity
h3,1,Infinity,-226,Infinity
h1,2,-Infinity,-226,Infinity
b2,3,-240,-226,Infinity
h1,2,-240,-226,Infinity
g2,3,-262,-226,Infinity
h1,2,-240,-226,Infinity
f3,3,-237,-226,Infinity
h1,2,-237,-226,Infinity
f4,3,-226,-226,Infinity
h1,2,-226,-226,Infinity
a5,3,-232,-226,Infinity
h1,2,-226,-226,Infinity
d5,3,-222,-226,Infinity
h1,2,-222,-222,Infinity
h5,3,-212,-222,Infinity
h1,2,-212,-212,Infinity
f6,3,-223,-212,Infinity
h1,2,-212,-212,Infinity
h3,1,-212,-226,-212
b2,2,-Infinity,-226,-212
h1,3,-32,-226,-212
b2,2,-32,-226,-212
h3,1,-212,-226,-212
f2,2,-Infinity,-226,-212
h1,3,-68,-226,-212
f2,2,-68,-226,-212
h3,1,-212,-226,-212
f3,2,-Infinity,-226,-212
h1,3,-87,-226,-212
f3,2,-87,-226,-212
h3,1,-212,-226,-212
f4,2,-Infinity,-226,-212
h1,3,-62,-226,-212
f4,2,-62,-226,-212
h3,1,-212,-226,-212
a5,2,-Infinity,-226,-212
h1,3,-82,-226,-212
a5,2,-82,-226,-212
h3,1,-212,-226,-212
g5,2,-Infinity,-226,-212
h1,3,-7,-226,-212
g5,2,-7,-226,-212
h3,1,-212,-226,-212
f6,2,-Infinity,-226,-212
h1,3,-101,-226,-212
f6,2,-101,-226,-212
h3,1,-212,-226,-212
f7,2,-Infinity,-226,-212
h1,3,8,-226,-212
f7,2,8,-226,-212
h3,1,-212,-226,-212
d8,2,-Infinity,-226,-212
h1,3,-62,-226,-212
d8,2,-62,-226,-212
h3,1,-212,-226,-212
e8,2,-Infinity,-226,-212
h1,3,-80,-226,-212
e8,2,-80,-226,-212
h3,1,-212,-226,-212
root,0,-212,-212,Infinity
f4,1,Infinity,-212,Infinity
h1,2,-Infinity,-212,Infinity
b2,3,-248,-212,Infinity
h1,2,-248,-212,Infinity
f3,3,-237,-212,Infinity
h1,2,-237,-212,Infinity
h3,3,-226,-212,Infinity
h1,2,-226,-212,Infinity
a5,3,-240,-212,Infinity
h1,2,-226,-212,Infinity
d5,3,-230,-212,Infinity
h1,2,-226,-212,Infinity
g5,3,-233,-212,Infinity
h1,2,-226,-212,Infinity
f6,3,-215,-212,Infinity
h1,2,-215,-212,Infinity
d8,3,-238,-212,Infinity
h1,2,-215,-212,Infinity
e8,3,-238,-212,Infinity
h1,2,-215,-212,Infinity
f4,1,-215,-212,Infinity
root,0,-212,-212,Infinity
a5,1,Infinity,-212,Infinity
h1,2,-Infinity,-212,Infinity
b2,3,-254,-212,Infinity
h1,2,-254,-212,Infinity
d2,3,-239,-212,Infinity
h1,2,-239,-212,Infinity
f3,3,-243,-212,Infinity
h1,2,-239,-212,Infinity
h3,3,-232,-212,Infinity
h1,2,-232,-212,Infinity
f4,3,-240,-212,Infinity
h1,2,-232,-212,Infinity
d5,3,-234,-212,Infinity
h1,2,-232,-212,Infinity
f6,3,-229,-212,Infinity
h1,2,-229,-212,Infinity
a8,3,-145,-212,Infinity
h1,2,-145,-145,Infinity
d8,3,-244,-145,Infinity
h1,2,-145,-145,Infinity
e8,3,-244,-145,Infinity
h1,2,-145,-145,Infinity
a5,1,-145,-212,-145
b2,2,-Infinity,-212,-145
d2,3,-124,-212,-145
b2,2,-124,-212,-145
a5,1,-145,-212,-145
f2,2,-Infinity,-212,-145
d2,3,-160,-212,-145
f2,2,-160,-160,-145
f3,3,-156,-160,-145
f2,2,-156,-156,-145
h3,3,-153,-156,-145
f2,2,-153,-153,-145
f4,3,-161,-153,-145
f2,2,-153,-153,-145
d5,3,-155,-153,-145
f2,2,-153,-153,-145
f6,3,-150,-153,-145
f2,2,-150,-150,-145
