XO*OOOXX
OOXX***X
XOXOXXXX
**O**XO*
X*OOX**O
XXXXX*O*
*OX*X*OX
O*O*X**X
Node,Depth,Value,Alpha,Beta
root,0,-Infinity,-Infinity,Infinity
c1,1,Infinity,-Infinity,Infinity
e2,2,-Infinity,-Infinity,Infinity
g3,3,327,-Infinity,Infinity
e2,2,327,327,Infinity
a4,3,291,327,Infinity
e2,2,327,327,Infinity
b4,3,258,327,Infinity
e2,2,327,327,Infinity
d4,3,311,327,Infinity
e2,2,327,327,Infinity
e4,3,301,327,Infinity
e2,2,327,327,Infinity
b5,3,308,327,Infinity
e2,2,327,327,Infinity
f5,3,291,327,Infinity
e2,2,327,327,Infinity
g5,3,306,327,Infinity
e2,2,327,327,Infinity
f6,3,260,327,Infinity
e2,2,327,327,Infinity
a7,3,245,327,Infinity
e2,2,327,327,Infinity
f7,3,249,327,Infinity
e2,2,327,327,Infinity
b8,3,245,327,Infinity
e2,2,327,327,Infinity
c1,1,327,-Infinity,327
f2,2,-Infinity,-Infinity,327
g3,3,258,-Infinity,327
f2,2,258,258,327
a4,3,238,258,327
f2,2,258,258,327
b4,3,245,258,327
f2,2,258,258,327
d4,3,256,258,327
f2,2,258,258,327
e4,3,248,258,327
f2,2,258,258,327
f5,3,244,258,327
f2,2,258,258,327
g5,3,245,258,327
f2,2,258,258,327
f6,3,199,258,327
f2,2,258,258,327
a7,3,184,258,327
f2,2,258,258,327
f7,3,188,258,327
f2,2,258,258,327
b8,3,184,258,327
f2,2,258,258,327
c1,1,258,-Infinity,258
g3,2,-Infinity,-Infinity,258
a4,3,230,-Infinity,258
g3,2,230,230,258
b4,3,237,230,258
g3,2,237,237,258
d4,3,248,237,258
g3,2,248,248,258
e4,3,240,248,258
g3,2,248,248,258
f5,3,222,248,258
g3,2,248,248,258
g5,3,245,248,258
g3,2,248,248,258
f6,3,191,248,258
g3,2,248,248,258
a7,3,176,248,258
g3,2,248,248,258
f7,3,180,248,258
g3,2,248,248,258
b8,3,176,248,258
g3,2,248,248,258
c1,1,248,-Infinity,248
a4,2,-Infinity,-Infinity,248
g3,3,240,-Infinity,248
a4,2,240,240,248
b4,3,233,240,248
a4,2,240,240,248
d4,3,244,240,248
a4,2,244,244,248
e4,3,236,244,248
a4,2,244,244,248
f5,3,226,244,248
a4,2,244,244,248
g5,3,233,244,248
a4,2,244,244,248
f6,3,187,244,248
a4,2,244,244,248
a7,3,172,244,248
a4,2,244,244,248
f7,3,176,244,248
a4,2,244,244,248
b8,3,172,244,248
a4,2,244,244,248
c1,1,244,-Infinity,244
b5,2,-Infinity,-Infinity,244
e2,3,268,-Infinity,244
b5,2,268,-Infinity,244
c1,1,244,-Infinity,244
f6,2,-Infinity,-Infinity,244
g3,3,247,-Infinity,244
f6,2,247,-Infinity,244
c1,1,244,-Infinity,244
a7,2,-Infinity,-Infinity,244
g3,3,278,-Infinity,244
a7,2,278,-Infinity,244
c1,1,244,-Infinity,244
d7,2,-Infinity,-Infinity,244
a4,3,259,-Infinity,244
d7,2,259,-Infinity,244
c1,1,244,-Infinity,244
f7,2,-Infinity,-Infinity,244
g3,3,258,-Infinity,244
f7,2,258,-Infinity,244
c1,1,244,-Infinity,244
b8,2,-Infinity,-Infinity,244
a4,3,264,-Infinity,244
b8,2,264,-Infinity,244
c1,1,244,-Infinity,244
f8,2,-Infinity,-Infinity,244
g3,3,260,-Infinity,244
f8,2,260,-Infinity,244
c1,1,244,-Infinity,244
root,0,244,244,Infinity
g3,1,Infinity,244,Infinity
c1,2,-Infinity,244,Infinity
b4,3,283,244,Infinity
c1,2,283,283,Infinity
d4,3,246,283,Infinity
c1,2,283,283,Infinity
e4,3,264,283,Infinity
c1,2,283,283,Infinity
h4,3,264,283,Infinity
c1,2,283,283,Infinity
b5,3,269,283,Infinity
c1,2,283,283,Infinity
f5,3,254,283,Infinity
c1,2,283,283,Infinity
g5,3,255,283,Infinity
c1,2,283,283,Infinity
f6,3,223,283,Infinity
c1,2,283,283,Infinity
a7,3,208,283,Infinity
c1,2,283,283,Infinity
f7,3,212,283,Infinity
c1,2,283,283,Infinity
b8,3,208,283,Infinity
c1,2,283,283,Infinity
g3,1,283,244,283
e2,2,-Infinity,244,283
c1,3,251,244,283
e2,2,251,251,283
f2,3,291,251,283
e2,2,291,251,283
g3,1,283,244,283
g2,2,-Infinity,244,283
c1,3,294,244,283
g2,2,294,244,283
g3,1,283,244,283
a4,2,-Infinity,244,283
c1,3,288,244,283
a4,2,288,244,283
g3,1,283,244,283
b4,2,-Infinity,244,283
c1,3,251,244,283
b4,2,251,251,283
e2,3,264,251,283
b4,2,264,264,283
a4,3,271,264,283
b4,2,271,271,283
d4,3,247,271,283
b4,2,271,271,283
e4,3,281,271,283
b4,2,281,281,283
h4,3,273,281,283
b4,2,281,281,283
b5,3,278,281,283
b4,2,281,281,283
f5,3,263,281,283
b4,2,281,281,283
g5,3,264,281,283
b4,2,281,281,283
f6,3,232,281,283
b4,2,281,281,283
a7,3,217,281,283
b4,2,281,281,283
f7,3,221,281,283
b4,2,281,281,283
b8,3,217,281,283
b4,2,281,281,283
g3,1,281,244,281
d4,2,-Infinity,244,281
c1,3,248,244,281
d4,2,248,248,281
a4,3,262,248,281
d4,2,262,262,281
b4,3,283,262,281
d4,2,283,262,281
g3,1,281,244,281
e4,2,-Infinity,244,281
c1,3,254,244,281
e4,2,254,254,281
a4,3,268,254,281
e4,2,268,268,281
b4,3,275,268,281
e4,2,275,275,281
d4,3,286,275,281
e4,2,286,275,281
g3,1,281,244,281
b5,2,-Infinity,244,281
c1,3,273,244,281
b5,2,273,273,281
e2,3,296,273,281
b5,2,296,273,281
g3,1,281,244,281
f5,2,-Infinity,244,281
c1,3,258,244,281
f5,2,258,258,281
a4,3,272,258,281
f5,2,272,272,281
b4,3,279,272,281
f5,2,279,279,281
d4,3,290,279,281
