O*XX*O*X
X*OO***X
*OOO**XO
*****XX*
XOX*XO*X
OOX*OOXO
XXX*XO*O
OXXOXOOO
Node,Depth,Value,Alpha,Beta
root,0,-Infinity,-Infinity,Infinity
a3,1,Infinity,-Infinity,Infinity
e3,2,-Infinity,-Infinity,Infinity
e1,3,162,-Infinity,Infinity
e3,2,162,162,Infinity
e2,3,153,162,Infinity
e3,2,162,162,Infinity
f3,3,177,162,Infinity
e3,2,177,177,Infinity
a4,3,180,177,Infinity
e3,2,180,180,Infinity
d4,3,170,180,Infinity
e3,2,180,180,Infinity
e4,3,162,180,Infinity
e3,2,180,180,Infinity
h4,3,180,180,Infinity
e3,2,180,180,Infinity
d5,3,136,180,Infinity
e3,2,180,180,Infinity
d6,3,174,180,Infinity
e3,2,180,180,Infinity
d7,3,167,180,Infinity
e3,2,180,180,Infinity
h8,3,245,180,Infinity
e3,2,245,245,Infinity
a3,1,245,-Infinity,245
a4,2,-Infinity,-Infinity,245
b1,3,160,-Infinity,245
a4,2,160,160,245
b2,3,144,160,245
a4,2,160,160,245
f3,3,183,160,245
a4,2,183,183,245
b4,3,167,183,245
a4,2,183,183,245
c4,3,166,183,245
a4,2,183,183,245
d4,3,184,183,245
a4,2,184,184,245
e4,3,176,184,245
a4,2,184,184,245
h4,3,194,184,245
a4,2,194,194,245
d5,3,142,194,245
a4,2,194,194,245
d6,3,188,194,245
a4,2,194,194,245
d7,3,167,194,245
a4,2,194,194,245
h8,3,259,194,245
a4,2,259,194,245
a3,1,245,-Infinity,245
b4,2,-Infinity,-Infinity,245
f3,3,184,-Infinity,245
b4,2,184,184,245
a4,3,195,184,245
b4,2,195,195,245
c4,3,175,195,245
b4,2,195,195,245
d4,3,177,195,245
b4,2,195,195,245
e4,3,177,195,245
b4,2,195,195,245
h4,3,195,195,245
b4,2,195,195,245
d5,3,143,195,245
b4,2,195,195,245
d6,3,183,195,245
b4,2,195,195,245
d7,3,168,195,245
b4,2,195,195,245
h8,3,260,195,245
b4,2,260,195,245
a3,1,245,-Infinity,245
c4,2,-Infinity,-Infinity,245
b1,3,134,-Infinity,245
c4,2,134,134,245
b2,3,118,134,245
c4,2,134,134,245
f3,3,157,134,245
c4,2,157,157,245
a4,3,168,157,245
c4,2,168,168,245
b4,3,161,168,245
c4,2,168,168,245
d4,3,158,168,245
c4,2,168,168,245
e4,3,150,168,245
c4,2,168,168,245
h4,3,168,168,245
c4,2,168,168,245
d5,3,132,168,245
c4,2,168,168,245
d6,3,162,168,245
c4,2,168,168,245
d7,3,155,168,245
c4,2,168,168,245
h8,3,233,168,245
c4,2,233,233,245
a3,1,233,-Infinity,233
d4,2,-Infinity,-Infinity,233
e1,3,158,-Infinity,233
d4,2,158,158,233
e2,3,149,158,233
d4,2,158,158,233
e3,3,178,158,233
d4,2,178,178,233
f3,3,165,178,233
d4,2,178,178,233
a4,3,176,178,233
d4,2,178,178,233
e4,3,166,178,233
d4,2,178,178,233
h4,3,176,178,233
d4,2,178,178,233
d5,3,132,178,233
d4,2,178,178,233
d6,3,170,178,233
d4,2,178,178,233
d7,3,163,178,233
d4,2,178,178,233
h8,3,241,178,233
d4,2,241,178,233
a3,1,233,-Infinity,233
e4,2,-Infinity,-Infinity,233
e3,3,156,-Infinity,233
e4,2,156,156,233
f3,3,167,156,233
e4,2,167,167,233
a4,3,170,167,233
e4,2,170,170,233
d4,3,160,170,233
e4,2,170,170,233
h4,3,170,170,233
e4,2,170,170,233
d5,3,126,170,233
e4,2,170,170,233
d6,3,164,170,233
e4,2,170,170,233
d7,3,157,170,233
e4,2,170,170,233
h8,3,235,170,233
e4,2,235,170,233
a3,1,233,-Infinity,233
h4,2,-Infinity,-Infinity,233
f3,3,153,-Infinity,233
h4,2,153,153,233
a4,3,156,153,233
h4,2,156,156,233
d4,3,146,156,233
h4,2,156,156,233
e4,3,138,156,233
h4,2,156,156,233
d5,3,112,156,233
h4,2,156,156,233
d6,3,150,156,233
h4,2,156,156,233
d7,3,143,156,233
h4,2,156,156,233
h8,3,221,156,233
h4,2,221,221,233
a3,1,221,-Infinity,221
d5,2,-Infinity,-Infinity,221
f3,3,167,-Infinity,221
d5,2,167,167,221
a4,3,178,167,221
d5,2,178,178,221
d4,3,168,178,221
d5,2,178,178,221
e4,3,126,178,221
d5,2,178,178,221
h4,3,178,178,221
d5,2,178,178,221
d6,3,180,178,221
d5,2,180,180,221
d7,3,179,180,221
d5,2,180,180,221
h8,3,243,180,221
d5,2,243,180,221
a3,1,221,-Infinity,221
g5,2,-Infinity,-Infinity,221
e3,3,147,-Infinity,221
g5,2,147,147,221
f3,3,170,147,221
g5,2,170,170,221
a4,3,159,170,221
g5,2,170,170,221
d4,3,149,170,221
g5,2,170,170,221
e4,3,141,170,221
g5,2,170,170,221
h4,3,161,170,221
g5,2,170,170,221
d5,3,115,170,221
g5,2,170,170,221
d6,3,153,170,221
g5,2,170,170,221
d7,3,146,170,221
g5,2,170,170,221
h8,3,224,170,221
g5,2,224,170,221
a3,1,221,-Infinity,221
d6,2,-Infinity,-Infinity,221
f3,3,141,-Infinity,221
d6,2,141,141,221
a4,3,152,141,221
d6,2,152,152,221
b4,3,141,152,221
d6,2,152,152,221
d4,3,142,152,221
d6,2,152,152,221
h4,3,152,152,221
d6,2,152,152,221
d5,3,116,152,221
d6,2,152,152,221
g5,3,139,152,221
d6,2,152,152,221
d7,3,147,152,221
d6,2,152,152,221
h8,3,217,152,221
d6,2,217,217,221
a3,1,217,-Infinity,217
d7,2,-Infinity,-Infinity,217
f3,3,162,-Infinity,217
d7,2,162,162,217
a4,3,165,162,217
d7,2,165,165,217
d4,3,155,165,217
d7,2,165,165,217
e4,3,147,165,217
d7,2,165,165,217
h4,3,165,165,217
d7,2,165,165,217
d5,3,129,165,217
d7,2,165,165,217
d6,3,161,165,217
d7,2,165,165,217
h8,3,230,165,217
d7,2,230,165,217
a3,1,217,-Infinity,217
g7,2,-Infinity,-Infinity,217
f3,3,185,-Infinity,217
g7,2,185,185,217
a4,3,196,185,217
g7,2,196,196,217
d4,3,186,196,217
g7,2,196,196,217
e4,3,178,196,217
g7,2,196,196,217
h4,3,196,196,217
g7,2,196,196,217
d5,3,152,196,217
g7,2,196,196,217
g5,3,183,196,217
g7,2,196,196,217
d6,3,190,196,217
g7,2,196,196,217
d7,3,127,196,217
g7,2,196,196,217
h8,3,261,196,217
g7,2,261,196,217
a3,1,217,-Infinity,217
h8,2,-Infinity,-Infinity,217
f3,3,68,-Infinity,217
h8,2,68,68,217
a4,3,79,68,217
h8,2,79,79,217
d4,3,69,79,217
h8,2,79,79,217
e4,3,61,79,217
h8,2,79,79,217
d5,3,35,79,217
h8,2,79,79,217
d6,3,73,79,217
h8,2,79,79,217
d7,3,66,79,217
h8,2,79,79,217
a3,1,79,-Infinity,79
root,0,79,79,Infinity
f3,1,Infinity,79,Infinity
e2,2,-Infinity,79,Infinity
f2,3,168,79,Infinity
e2,2,168,168,Infinity
a3,3,156,168,Infinity
e2,2,168,168,Infinity
e3,3,182,168,Infinity
e2,2,182,182,Infinity
a4,3,182,182,Infinity
e2,2,182,182,Infinity
d4,3,172,182,Infinity
e2,2,182,182,Infinity
e4,3,164,182,Infinity
e2,2,182,182,Infinity
h4,3,176,182,Infinity
e2,2,182,182,Infinity
d5,3,138,182,Infinity
e2,2,182,182,Infinity
g5,3,155,182,Infinity
e2,2,182,182,Infinity
d6,3,176,182,Infinity
e2,2,182,182,Infinity
d7,3,169,182,Infinity
