O*OO**XX
*OXX*OXO
*OXX**O*
O*XOOOX*
O***OOXX
*OX*OXXX
X*OOX*XX
*O*OX*OX
Node,Depth,Value,Alpha,Beta
root,0,-Infinity,-Infinity,Infinity
a2,1,Infinity,-Infinity,Infinity
b1,2,-Infinity,-Infinity,Infinity
e2,3,-27,-Infinity,Infinity
b1,2,-27,-27,Infinity
e3,3,-4,-27,Infinity
b1,2,-4,-4,Infinity
f3,3,-1,-4,Infinity
b1,2,-1,-1,Infinity
h3,3,-32,-1,Infinity
b1,2,-1,-1,Infinity
c5,3,-28,-1,Infinity
b1,2,-1,-1,Infinity
d5,3,-8,-1,Infinity
b1,2,-1,-1,Infinity
a6,3,-24,-1,Infinity
b1,2,-1,-1,Infinity
d6,3,-12,-1,Infinity
b1,2,-1,-1,Infinity
b7,3,-62,-1,Infinity
b1,2,-1,-1,Infinity
f7,3,-76,-1,Infinity
b1,2,-1,-1,Infinity
c8,3,-2,-1,Infinity
b1,2,-1,-1,Infinity
f8,3,-64,-1,Infinity
b1,2,-1,-1,Infinity
h8,3,27,-1,Infinity
b1,2,27,27,Infinity
a2,1,27,-Infinity,27
a3,2,-Infinity,-Infinity,27
b1,3,-32,-Infinity,27
a3,2,-32,-32,27
e2,3,13,-32,27
a3,2,13,13,27
e3,3,36,13,27
a3,2,36,13,27
a2,1,27,-Infinity,27
e3,2,-Infinity,-Infinity,27
e1,3,-30,-Infinity,27
e3,2,-30,-30,27
e2,3,-31,-30,27
e3,2,-30,-30,27
f3,3,1,-30,27
e3,2,1,1,27
h3,3,-38,1,27
e3,2,1,1,27
c5,3,-34,1,27
e3,2,1,1,27
d5,3,-22,1,27
e3,2,1,1,27
a6,3,-30,1,27
e3,2,1,1,27
d6,3,-18,1,27
e3,2,1,1,27
b7,3,-68,1,27
e3,2,1,1,27
f7,3,-82,1,27
e3,2,1,1,27
c8,3,-8,1,27
e3,2,1,1,27
f8,3,-70,1,27
e3,2,1,1,27
h8,3,21,1,27
e3,2,21,21,27
a2,1,21,-Infinity,21
h3,2,-Infinity,-Infinity,21
e2,3,-45,-Infinity,21
h3,2,-45,-45,21
e3,3,-22,-45,21
h3,2,-22,-22,21
f3,3,-17,-22,21
h3,2,-17,-17,21
h4,3,-26,-17,21
h3,2,-17,-17,21
c5,3,-38,-17,21
h3,2,-17,-17,21
d5,3,-26,-17,21
h3,2,-17,-17,21
a6,3,-34,-17,21
h3,2,-17,-17,21
d6,3,-22,-17,21
h3,2,-17,-17,21
b7,3,-72,-17,21
h3,2,-17,-17,21
f7,3,-86,-17,21
h3,2,-17,-17,21
c8,3,-22,-17,21
h3,2,-17,-17,21
f8,3,-74,-17,21
h3,2,-17,-17,21
h8,3,17,-17,21
h3,2,17,17,21
a2,1,17,-Infinity,17
b4,2,-Infinity,-Infinity,17
e2,3,-48,-Infinity,17
b4,2,-48,-48,17
e3,3,-25,-48,17
b4,2,-25,-25,17
f3,3,-14,-25,17
b4,2,-14,-14,17
h3,3,-45,-14,17
b4,2,-14,-14,17
b5,3,-38,-14,17
b4,2,-14,-14,17
c5,3,-33,-14,17
b4,2,-14,-14,17
d5,3,-21,-14,17
b4,2,-14,-14,17
a6,3,-37,-14,17
b4,2,-14,-14,17
d6,3,-25,-14,17
b4,2,-14,-14,17
b7,3,-75,-14,17
b4,2,-14,-14,17
f7,3,-89,-14,17
b4,2,-14,-14,17
c8,3,-15,-14,17
b4,2,-14,-14,17
f8,3,-77,-14,17
b4,2,-14,-14,17
h8,3,14,-14,17
b4,2,14,14,17
a2,1,14,-Infinity,14
h4,2,-Infinity,-Infinity,14
e2,3,-45,-Infinity,14
h4,2,-45,-45,14
e3,3,-34,-45,14
h4,2,-34,-34,14
f3,3,-33,-34,14
h4,2,-33,-33,14
h3,3,-30,-33,14
h4,2,-30,-30,14
c5,3,-38,-30,14
h4,2,-30,-30,14
d5,3,-32,-30,14
h4,2,-30,-30,14
a6,3,-34,-30,14
h4,2,-30,-30,14
d6,3,-8,-30,14
h4,2,-8,-8,14
f7,3,-86,-8,14
h4,2,-8,-8,14
c8,3,-22,-8,14
h4,2,-8,-8,14
f8,3,-74,-8,14
h4,2,-8,-8,14
h8,3,31,-8,14
h4,2,31,-8,14
a2,1,14,-Infinity,14
b5,2,-Infinity,-Infinity,14
e2,3,-54,-Infinity,14
b5,2,-54,-54,14
e3,3,-31,-54,14
b5,2,-31,-31,14
f3,3,-20,-31,14
b5,2,-20,-20,14
h3,3,-51,-20,14
b5,2,-20,-20,14
c5,3,-47,-20,14
b5,2,-20,-20,14
d5,3,-35,-20,14
b5,2,-20,-20,14
a6,3,-41,-20,14
b5,2,-20,-20,14
d6,3,-31,-20,14
b5,2,-20,-20,14
b7,3,-81,-20,14
b5,2,-20,-20,14
f7,3,-95,-20,14
b5,2,-20,-20,14
c8,3,-13,-20,14
b5,2,-13,-13,14
f8,3,-83,-13,14
b5,2,-13,-13,14
h8,3,8,-13,14
b5,2,8,8,14
a2,1,8,-Infinity,8
c5,2,-Infinity,-Infinity,8
b1,3,-80,-Infinity,8
c5,2,-80,-80,8
e2,3,-75,-80,8
c5,2,-75,-75,8
e3,3,-52,-75,8
c5,2,-52,-52,8
f3,3,-41,-52,8
c5,2,-41,-41,8
h3,3,-72,-41,8
c5,2,-41,-41,8
b4,3,-37,-41,8
c5,2,-37,-37,8
b5,3,-51,-37,8
c5,2,-37,-37,8
d5,3,-48,-37,8
c5,2,-37,-37,8
d6,3,-52,-37,8
c5,2,-37,-37,8
b7,3,-102,-37,8
c5,2,-37,-37,8
f7,3,-116,-37,8
c5,2,-37,-37,8
c8,3,-34,-37,8
c5,2,-34,-34,8
f8,3,-104,-34,8
c5,2,-34,-34,8
h8,3,-13,-34,8
c5,2,-13,-13,8
a2,1,-13,-Infinity,-13
d6,2,-Infinity,-Infinity,-13
e2,3,-61,-Infinity,-13
d6,2,-61,-61,-13
e3,3,-38,-61,-13
d6,2,-38,-38,-13
f3,3,-27,-38,-13
d6,2,-27,-27,-13
h3,3,-58,-27,-13
d6,2,-27,-27,-13
b5,3,-45,-27,-13
d6,2,-27,-27,-13
c5,3,-46,-27,-13
d6,2,-27,-27,-13
d5,3,-42,-27,-13
d6,2,-27,-27,-13
a6,3,-20,-27,-13
d6,2,-20,-20,-13
b7,3,-88,-20,-13
d6,2,-20,-20,-13
f7,3,-102,-20,-13
d6,2,-20,-20,-13
c8,3,-20,-20,-13
d6,2,-20,-20,-13
f8,3,-90,-20,-13
d6,2,-20,-20,-13
h8,3,1,-20,-13
d6,2,1,-20,-13
a2,1,-13,-Infinity,-13
f7,2,-Infinity,-Infinity,-13
e2,3,-47,-Infinity,-13
f7,2,-47,-47,-13
e3,3,-30,-47,-13
f7,2,-30,-30,-13
h3,3,-44,-30,-13
f7,2,-30,-30,-13
c5,3,-40,-30,-13
f7,2,-30,-30,-13
d5,3,-28,-30,-13
f7,2,-28,-28,-13
a6,3,-36,-28,-13
f7,2,-28,-28,-13
d6,3,-10,-28,-13
f7,2,-10,-28,-13
a2,1,-13,-Infinity,-13
f8,2,-Infinity,-Infinity,-13
e2,3,-63,-Infinity,-13
f8,2,-63,-63,-13
e3,3,-40,-63,-13
f8,2,-40,-40,-13
f3,3,-29,-40,-13
f8,2,-29,-29,-13
h3,3,-60,-29,-13
f8,2,-29,-29,-13
c5,3,-56,-29,-13
f8,2,-29,-29,-13
d5,3,-44,-29,-13
f8,2,-29,-29,-13
a6,3,-52,-29,-13
f8,2,-29,-29,-13
d6,3,-40,-29,-13
f8,2,-29,-29,-13
b7,3,-90,-29,-13
f8,2,-29,-29,-13
f7,3,-104,-29,-13
f8,2,-29,-29,-13
c8,3,-42,-29,-13
f8,2,-29,-29,-13
h8,3,-1,-29,-13
f8,2,-1,-29,-13
a2,1,-13,-Infinity,-13
root,0,-13,-13,Infinity
e2,1,Infinity,-13,Infinity
b1,2,-Infinity,-13,Infinity
a2,3,-43,-13,Infinity
b1,2,-43,-13,Infinity
a3,3,29,-13,Infinity
b1,2,29,29,Infinity
e3,3,57,29,Infinity
b1,2,57,57,Infinity
f3,3,52,57,Infinity
b1,2,57,57,Infinity
h3,3,21,57,Infinity
b1,2,57,57,Infinity
h4,3,27,57,Infinity
b1,2,57,57,Infinity
c5,3,25,57,Infinity
b1,2,57,57,Infinity
d5,3,45,57,Infinity
b1,2,57,57,Infinity
a6,3,29,57,Infinity
b1,2,57,57,Infinity
d6,3,41,57,Infinity
b1,2,57,57,Infinity
b7,3,-9,57,Infinity
b1,2,57,57,Infinity
f7,3,-23,57,Infinity
b1,2,57,57,Infinity
c8,3,51,57,Infinity
b1,2,57,57,Infinity
f8,3,-11,57,Infinity
b1,2,57,57,Infinity
h8,3,80,57,Infinity
b1,2,80,80,Infinity
