XOXO*XOO
*XX*O**X
**XXX*XO
*XO*XOOX
*X*O*O*O
*X*XOO*O
OXO*OOOO
OOX***X*
Node,Depth,Value,Alpha,Beta
root,0,-Infinity,-Infinity,Infinity
e1,1,Infinity,-Infinity,Infinity
d2,2,-Infinity,-Infinity,Infinity
b3,3,-106,-Infinity,Infinity
d2,2,-106,-106,Infinity
c3,3,-109,-106,Infinity
d2,2,-106,-106,Infinity
d4,3,-100,-106,Infinity
d2,2,-100,-100,Infinity
e5,3,-102,-100,Infinity
d2,2,-100,-100,Infinity
g5,3,-109,-100,Infinity
d2,2,-100,-100,Infinity
c6,3,-111,-100,Infinity
d2,2,-100,-100,Infinity
g6,3,-132,-100,Infinity
d2,2,-100,-100,Infinity
d7,3,-121,-100,Infinity
d2,2,-100,-100,Infinity
d8,3,-112,-100,Infinity
d2,2,-100,-100,Infinity
f8,3,-108,-100,Infinity
d2,2,-100,-100,Infinity
h8,3,1,-100,Infinity
d2,2,1,1,Infinity
e1,1,1,-Infinity,1
g2,2,-Infinity,-Infinity,1
f2,3,-133,-Infinity,1
g2,2,-133,-133,1
b3,3,-69,-133,1
g2,2,-69,-69,1
c3,3,-58,-69,1
g2,2,-58,-58,1
d4,3,-65,-58,1
g2,2,-58,-58,1
e5,3,-73,-58,1
g2,2,-58,-58,1
g5,3,-68,-58,1
g2,2,-58,-58,1
c6,3,-74,-58,1
g2,2,-58,-58,1
g6,3,-95,-58,1
g2,2,-58,-58,1
d7,3,-84,-58,1
g2,2,-58,-58,1
d8,3,-75,-58,1
g2,2,-58,-58,1
f8,3,-71,-58,1
g2,2,-58,-58,1
h8,3,38,-58,1
g2,2,38,-58,1
e1,1,1,-Infinity,1
b3,2,-Infinity,-Infinity,1
a2,3,-41,-Infinity,1
b3,2,-41,-41,1
a3,3,-25,-41,1
b3,2,-25,-25,1
c3,3,-18,-25,1
b3,2,-18,-18,1
a4,3,13,-18,1
b3,2,13,-18,1
e1,1,1,-Infinity,1
f3,2,-Infinity,-Infinity,1
f2,3,-124,-Infinity,1
f3,2,-124,-124,1
b3,3,-108,-124,1
f3,2,-108,-108,1
d4,3,-102,-108,1
f3,2,-102,-102,1
e5,3,-104,-102,1
f3,2,-102,-102,1
c6,3,-113,-102,1
f3,2,-102,-102,1
g6,3,-126,-102,1
f3,2,-102,-102,1
d7,3,-123,-102,1
f3,2,-102,-102,1
d8,3,-114,-102,1
f3,2,-102,-102,1
f8,3,-110,-102,1
f3,2,-102,-102,1
h8,3,-1,-102,1
f3,2,-1,-1,1
e1,1,-1,-Infinity,-1
a4,2,-Infinity,-Infinity,-1
b3,3,-107,-Infinity,-1
a4,2,-107,-107,-1
c3,3,-90,-107,-1
a4,2,-90,-90,-1
d4,3,-105,-90,-1
a4,2,-90,-90,-1
e5,3,-97,-90,-1
a4,2,-90,-90,-1
g5,3,-106,-90,-1
a4,2,-90,-90,-1
c6,3,-106,-90,-1
a4,2,-90,-90,-1
g6,3,-127,-90,-1
a4,2,-90,-90,-1
d7,3,-116,-90,-1
