XO*XXXXX
*X****OO
X*OXO***
XXOXX**O
*XXOXO**
O*O*OOOX
XOX***OX
XOOXX*X*
Node,Depth,Value,Alpha,Beta
root,0,-Infinity,-Infinity,Infinity
c1,1,Infinity,-Infinity,Infinity
c2,2,-Infinity,-Infinity,Infinity
d1,3,322,-Infinity,Infinity
c2,2,322,322,Infinity
d2,3,299,322,Infinity
c2,2,322,322,Infinity
e2,3,309,322,Infinity
c2,2,322,322,Infinity
f2,3,292,322,Infinity
c2,2,322,322,Infinity
f3,3,213,322,Infinity
c2,2,322,322,Infinity
g3,3,236,322,Infinity
c2,2,322,322,Infinity
h3,3,280,322,Infinity
c2,2,322,322,Infinity
f4,3,292,322,Infinity
c2,2,322,322,Infinity
a5,3,310,322,Infinity
c2,2,322,322,Infinity
g5,3,237,322,Infinity
c2,2,322,322,Infinity
d6,3,306,322,Infinity
c2,2,322,322,Infinity
d7,3,299,322,Infinity
c2,2,322,322,Infinity
e7,3,293,322,Infinity
c2,2,322,322,Infinity
f7,3,236,322,Infinity
c2,2,322,322,Infinity
f8,3,248,322,Infinity
c2,2,322,322,Infinity
h8,3,353,322,Infinity
c2,2,353,353,Infinity
c1,1,353,-Infinity,353
d2,2,-Infinity,-Infinity,353
d1,3,321,-Infinity,353
d2,2,321,321,353
c2,3,313,321,353
d2,2,321,321,353
e2,3,308,321,353
d2,2,321,321,353
f2,3,291,321,353
d2,2,321,321,353
f3,3,246,321,353
d2,2,321,321,353
g3,3,235,321,353
d2,2,321,321,353
h3,3,279,321,353
d2,2,321,321,353
f4,3,293,321,353
d2,2,321,321,353
a5,3,309,321,353
d2,2,321,321,353
g5,3,236,321,353
d2,2,321,321,353
d6,3,305,321,353
d2,2,321,321,353
d7,3,298,321,353
d2,2,321,321,353
e7,3,292,321,353
d2,2,321,321,353
f7,3,235,321,353
d2,2,321,321,353
f8,3,247,321,353
d2,2,321,321,353
h8,3,352,321,353
d2,2,352,352,353
c1,1,352,-Infinity,352
e2,2,-Infinity,-Infinity,352
d1,3,321,-Infinity,352
e2,2,321,321,352
c2,3,313,321,352
e2,2,321,321,352
d2,3,306,321,352
e2,2,321,321,352
f2,3,291,321,352
e2,2,321,321,352
f3,3,246,321,352
e2,2,321,321,352
g3,3,235,321,352
e2,2,321,321,352
h3,3,279,321,352
e2,2,321,321,352
a5,3,309,321,352
e2,2,321,321,352
g5,3,236,321,352
e2,2,321,321,352
d6,3,305,321,352
e2,2,321,321,352
d7,3,298,321,352
e2,2,321,321,352
e7,3,292,321,352
e2,2,321,321,352
f7,3,235,321,352
e2,2,321,321,352
f8,3,247,321,352
e2,2,321,321,352
h8,3,352,321,352
e2,2,352,321,352
c1,1,352,-Infinity,352
f3,2,-Infinity,-Infinity,352
d1,3,319,-Infinity,352
f3,2,319,319,352
c2,3,303,319,352
f3,2,319,319,352
d2,3,296,319,352
f3,2,319,319,352
e2,3,290,319,352
f3,2,319,319,352
f2,3,289,319,352
f3,2,319,319,352
b3,3,295,319,352
f3,2,319,319,352
g3,3,255,319,352
f3,2,319,319,352
h3,3,277,319,352
f3,2,319,319,352
f4,3,289,319,352
f3,2,319,319,352
a5,3,307,319,352
f3,2,319,319,352
g5,3,234,319,352
f3,2,319,319,352
d6,3,303,319,352
f3,2,319,319,352
d7,3,296,319,352
f3,2,319,319,352
e7,3,290,319,352
f3,2,319,319,352
f7,3,233,319,352
f3,2,319,319,352
f8,3,245,319,352
f3,2,319,319,352
h8,3,350,319,352
f3,2,350,350,352
c1,1,350,-Infinity,350
f4,2,-Infinity,-Infinity,350
d1,3,322,-Infinity,350
f4,2,322,322,350
c2,3,306,322,350
f4,2,322,322,350
d2,3,299,322,350
f4,2,322,322,350
e2,3,293,322,350
f4,2,322,322,350
f2,3,292,322,350
f4,2,322,322,350
b3,3,298,322,350
f4,2,322,322,350
f3,3,221,322,350
f4,2,322,322,350
g3,3,244,322,350
f4,2,322,322,350
h3,3,280,322,350
f4,2,322,322,350
g4,3,301,322,350
f4,2,322,322,350
a5,3,310,322,350
f4,2,322,322,350
g5,3,237,322,350
f4,2,322,322,350
d6,3,306,322,350
f4,2,322,322,350
d7,3,299,322,350
f4,2,322,322,350
e7,3,293,322,350
f4,2,322,322,350
f7,3,236,322,350
f4,2,322,322,350
f8,3,248,322,350
f4,2,322,322,350
h8,3,353,322,350
f4,2,353,322,350
c1,1,350,-Infinity,350
a5,2,-Infinity,-Infinity,350
d1,3,324,-Infinity,350
a5,2,324,324,350
c2,3,330,324,350
a5,2,330,330,350
e2,3,295,330,350
a5,2,330,330,350
f2,3,294,330,350
a5,2,330,330,350
b3,3,300,330,350
a5,2,330,330,350
f3,3,257,330,350
a5,2,330,330,350
g3,3,238,330,350
a5,2,330,330,350
h3,3,282,330,350
a5,2,330,330,350
g5,3,239,330,350
a5,2,330,330,350
b6,3,294,330,350
a5,2,330,330,350
d6,3,310,330,350
a5,2,330,330,350
d7,3,295,330,350
a5,2,330,330,350
e7,3,295,330,350
a5,2,330,330,350
f7,3,238,330,350
a5,2,330,330,350
f8,3,250,330,350
a5,2,330,330,350
h8,3,355,330,350
a5,2,355,330,350
c1,1,350,-Infinity,350
b6,2,-Infinity,-Infinity,350
d1,3,322,-Infinity,350
b6,2,322,322,350
c2,3,328,322,350
b6,2,328,328,350
d2,3,299,328,350
b6,2,328,328,350
e2,3,293,328,350
b6,2,328,328,350
f2,3,292,328,350
b6,2,328,328,350
b3,3,298,328,350
b6,2,328,328,350
f3,3,255,328,350
b6,2,328,328,350
g3,3,236,328,350
b6,2,328,328,350
h3,3,280,328,350
b6,2,328,328,350
a5,3,302,328,350
b6,2,328,328,350
g5,3,237,328,350
b6,2,328,328,350
d6,3,314,328,350
b6,2,328,328,350
d7,3,299,328,350
b6,2,328,328,350
e7,3,293,328,350
b6,2,328,328,350
f7,3,236,328,350
b6,2,328,328,350
