OX*XXX*O
OXOOOO**
O*XXOXXO
OO*XXOO*
OXXO*OOX
*XO*****
O**XXO*X
*OO**O**
Node,Depth,Value,Alpha,Beta
root,0,-Infinity,-Infinity,Infinity
a1,1,Infinity,-Infinity,Infinity
c1,2,-Infinity,-Infinity,Infinity
g1,3,251,-Infinity,Infinity
c1,2,251,251,Infinity
g2,3,201,251,Infinity
c1,2,251,251,Infinity
h2,3,203,251,Infinity
c1,2,251,251,Infinity
b3,3,237,251,Infinity
c1,2,251,251,Infinity
c4,3,239,251,Infinity
c1,2,251,251,Infinity
h4,3,217,251,Infinity
c1,2,251,251,Infinity
e5,3,185,251,Infinity
c1,2,251,251,Infinity
a6,3,219,251,Infinity
c1,2,251,251,Infinity
d6,3,225,251,Infinity
c1,2,251,251,Infinity
e6,3,217,251,Infinity
c1,2,251,251,Infinity
b7,3,181,251,Infinity
c1,2,251,251,Infinity
c7,3,195,251,Infinity
c1,2,251,251,Infinity
e8,3,219,251,Infinity
c1,2,251,251,Infinity
a1,1,251,-Infinity,251
g1,2,-Infinity,-Infinity,251
c1,3,195,-Infinity,251
g1,2,195,195,251
g2,3,201,195,251
g1,2,201,201,251
h2,3,211,201,251
g1,2,211,211,251
b3,3,259,211,251
g1,2,259,211,251
a1,1,251,-Infinity,251
g2,2,-Infinity,-Infinity,251
c1,3,209,-Infinity,251
g2,2,209,209,251
g1,3,199,209,251
g2,2,209,209,251
h2,3,131,209,251
g2,2,209,209,251
b3,3,289,209,251
g2,2,289,209,251
a1,1,251,-Infinity,251
b3,2,-Infinity,-Infinity,251
c1,3,181,-Infinity,251
b3,2,181,181,251
g2,3,219,181,251
b3,2,219,219,251
h2,3,221,219,251
b3,2,221,221,251
c4,3,243,221,251
b3,2,243,243,251
h4,3,235,243,251
b3,2,243,243,251
e5,3,203,243,251
b3,2,243,243,251
a6,3,237,243,251
b3,2,243,243,251
d6,3,237,243,251
b3,2,243,243,251
e6,3,235,243,251
b3,2,243,243,251
c7,3,213,243,251
b3,2,243,243,251
e8,3,237,243,251
b3,2,243,243,251
a1,1,243,-Infinity,243
h4,2,-Infinity,-Infinity,243
c1,3,155,-Infinity,243
h4,2,155,155,243
g2,3,187,155,243
h4,2,187,187,243
b3,3,229,187,243
h4,2,229,229,243
c4,3,245,229,243
h4,2,245,229,243
a1,1,243,-Infinity,243
e5,2,-Infinity,-Infinity,243
c1,3,153,-Infinity,243
e5,2,153,153,243
g2,3,191,153,243
e5,2,191,191,243
b3,3,227,191,243
e5,2,227,227,243
c4,3,251,227,243
e5,2,251,227,243
a1,1,243,-Infinity,243
d6,2,-Infinity,-Infinity,243
c1,3,145,-Infinity,243
d6,2,145,145,243
g2,3,169,145,243
d6,2,169,169,243
h2,3,185,169,243
d6,2,185,185,243
b3,3,219,185,243
d6,2,219,219,243
c4,3,227,219,243
d6,2,227,227,243
h4,3,199,227,243
d6,2,227,227,243
e5,3,169,227,243
d6,2,227,227,243
e6,3,199,227,243
d6,2,227,227,243
b7,3,163,227,243
d6,2,227,227,243
c7,3,177,227,243
d6,2,227,227,243
d8,3,217,227,243
d6,2,227,227,243
e8,3,209,227,243
d6,2,227,227,243
a1,1,227,-Infinity,227
f6,2,-Infinity,-Infinity,227
c1,3,140,-Infinity,227
f6,2,140,140,227
g2,3,178,140,227
f6,2,178,178,227
b3,3,214,178,227
f6,2,214,214,227
c4,3,238,214,227
f6,2,238,214,227
a1,1,227,-Infinity,227
g6,2,-Infinity,-Infinity,227
c1,3,171,-Infinity,227
g6,2,171,171,227
g2,3,217,171,227
g6,2,217,217,227
h2,3,211,217,227
g6,2,217,217,227
b3,3,245,217,227
g6,2,245,217,227
a1,1,227,-Infinity,227
b7,2,-Infinity,-Infinity,227
c1,3,173,-Infinity,227
b7,2,173,173,227
g2,3,197,173,227
b7,2,197,197,227
h2,3,213,197,227
b7,2,213,213,227
b3,3,247,213,227
b7,2,247,213,227
a1,1,227,-Infinity,227
c7,2,-Infinity,-Infinity,227
c1,3,153,-Infinity,227
c7,2,153,153,227
g2,3,191,153,227
c7,2,191,191,227
h2,3,193,191,227
c7,2,193,193,227
b3,3,227,193,227
c7,2,227,193,227
a1,1,227,-Infinity,227
g7,2,-Infinity,-Infinity,227
c1,3,195,-Infinity,227
g7,2,195,195,227
g2,3,233,195,227
g7,2,233,195,227
a1,1,227,-Infinity,227
root,0,227,227,Infinity
g2,1,Infinity,227,Infinity
c1,2,-Infinity,227,Infinity
a1,3,201,227,Infinity
c1,2,201,227,Infinity
b3,3,120,227,Infinity
c1,2,201,227,Infinity
c4,3,122,227,Infinity
c1,2,201,227,Infinity
a6,3,102,227,Infinity
c1,2,201,227,Infinity
d6,3,108,227,Infinity
c1,2,201,227,Infinity
e6,3,100,227,Infinity
c1,2,201,227,Infinity
b7,3,64,227,Infinity
c1,2,201,227,Infinity
c7,3,78,227,Infinity
c1,2,201,227,Infinity
e8,3,102,227,Infinity
c1,2,201,227,Infinity
g2,1,201,227,Infinity
root,0,227,227,Infinity
h2,1,Infinity,227,Infinity
c1,2,-Infinity,227,Infinity
a1,3,203,227,Infinity
c1,2,203,227,Infinity
g2,3,94,227,Infinity
c1,2,203,227,Infinity
b3,3,122,227,Infinity
c1,2,203,227,Infinity
c4,3,124,227,Infinity
c1,2,203,227,Infinity
e5,3,104,227,Infinity
c1,2,203,227,Infinity
a6,3,104,227,Infinity
c1,2,203,227,Infinity
d6,3,110,227,Infinity
c1,2,203,227,Infinity
e6,3,102,227,Infinity
c1,2,203,227,Infinity
b7,3,66,227,Infinity
c1,2,203,227,Infinity
c7,3,80,227,Infinity
c1,2,203,227,Infinity
e8,3,104,227,Infinity
c1,2,203,227,Infinity
h2,1,203,227,Infinity
root,0,227,227,Infinity
b3,1,Infinity,227,Infinity
g1,2,-Infinity,227,Infinity
a1,3,197,227,Infinity
g1,2,197,227,Infinity
c1,3,178,227,Infinity
g1,2,197,227,Infinity
g2,3,120,227,Infinity
g1,2,197,227,Infinity
h2,3,130,227,Infinity
g1,2,197,227,Infinity
c4,3,158,227,Infinity
g1,2,197,227,Infinity
e5,3,154,227,Infinity
g1,2,197,227,Infinity
a6,3,146,227,Infinity
g1,2,197,227,Infinity
d6,3,152,227,Infinity
g1,2,197,227,Infinity
e6,3,144,227,Infinity
g1,2,197,227,Infinity
b7,3,108,227,Infinity
g1,2,197,227,Infinity
c7,3,122,227,Infinity
g1,2,197,227,Infinity
e8,3,146,227,Infinity
g1,2,197,227,Infinity
b3,1,197,227,Infinity
root,0,227,227,Infinity
c4,1,Infinity,227,Infinity
g1,2,-Infinity,227,Infinity
a1,3,205,227,Infinity
