O*X*XX*O
OX*OOX*X
OO*X*XXX
XXXO*XXX
XO*OXXOO
*XXOX*OO
*X*XOXXO
O*XX*XXO
Node,Depth,Value,Alpha,Beta
root,0,-Infinity,-Infinity,Infinity
d1,1,Infinity,-Infinity,Infinity
b1,2,-Infinity,-Infinity,Infinity
c2,3,-350,-Infinity,Infinity
b1,2,-350,-350,Infinity
g2,3,-370,-350,Infinity
b1,2,-350,-350,Infinity
c3,3,-331,-350,Infinity
b1,2,-331,-331,Infinity
e4,3,-338,-331,Infinity
b1,2,-331,-331,Infinity
c5,3,-338,-331,Infinity
b1,2,-331,-331,Infinity
a6,3,-336,-331,Infinity
b1,2,-331,-331,Infinity
f6,3,-343,-331,Infinity
b1,2,-331,-331,Infinity
c7,3,-334,-331,Infinity
b1,2,-331,-331,Infinity
e8,3,-338,-331,Infinity
b1,2,-331,-331,Infinity
d1,1,-331,-Infinity,-331
c2,2,-Infinity,-Infinity,-331
b1,3,-402,-Infinity,-331
c2,2,-402,-402,-331
c3,3,-337,-402,-331
c2,2,-337,-337,-331
e3,3,-338,-337,-331
c2,2,-337,-337,-331
e4,3,-330,-337,-331
c2,2,-330,-337,-331
d1,1,-331,-Infinity,-331
g2,2,-Infinity,-Infinity,-331
g1,3,-440,-Infinity,-331
g2,2,-440,-440,-331
c2,3,-368,-440,-331
g2,2,-368,-368,-331
c3,3,-349,-368,-331
g2,2,-349,-349,-331
e4,3,-356,-349,-331
g2,2,-349,-349,-331
f4,3,-366,-349,-331
g2,2,-349,-349,-331
c5,3,-356,-349,-331
g2,2,-349,-349,-331
a6,3,-354,-349,-331
g2,2,-349,-349,-331
f6,3,-361,-349,-331
g2,2,-349,-349,-331
c7,3,-352,-349,-331
g2,2,-349,-349,-331
e8,3,-356,-349,-331
g2,2,-349,-349,-331
d1,1,-349,-Infinity,-349
c3,2,-Infinity,-Infinity,-349
b1,3,-417,-Infinity,-349
c3,2,-417,-417,-349
c2,3,-351,-417,-349
c3,2,-351,-351,-349
g2,3,-385,-351,-349
c3,2,-351,-351,-349
e4,3,-353,-351,-349
c3,2,-351,-351,-349
c5,3,-353,-351,-349
c3,2,-351,-351,-349
a6,3,-351,-351,-349
