**XOOX**
OOXX**XX
XXOXOXO*
OXOOOOO*
OOOOOOOX
**OOXOOX
*OXX**OX
XOOOOOXX
Node,Depth,Value,Alpha,Beta
root,0,-Infinity,-Infinity,Infinity
b1,1,Infinity,-Infinity,Infinity
a1,2,-Infinity,-Infinity,Infinity
g1,3,-335,-Infinity,Infinity
a1,2,-335,-335,Infinity
h1,3,-214,-335,Infinity
a1,2,-214,-214,Infinity
e2,3,-274,-214,Infinity
a1,2,-214,-214,Infinity
f2,3,-261,-214,Infinity
a1,2,-214,-214,Infinity
e5,3,-255,-214,Infinity
a1,2,-214,-214,Infinity
a6,3,-277,-214,Infinity
a1,2,-214,-214,Infinity
b6,3,-283,-214,Infinity
a1,2,-214,-214,Infinity
e7,3,-282,-214,Infinity
a1,2,-214,-214,Infinity
f7,3,-261,-214,Infinity
a1,2,-214,-214,Infinity
b1,1,-214,-Infinity,-214
e2,2,-Infinity,-Infinity,-214
g1,3,-259,-Infinity,-214
e2,2,-259,-259,-214
h1,3,-154,-259,-214
e2,2,-154,-259,-214
b1,1,-214,-Infinity,-214
f2,2,-Infinity,-Infinity,-214
g1,3,-250,-Infinity,-214
f2,2,-250,-250,-214
h1,3,-145,-250,-214
f2,2,-145,-250,-214
b1,1,-214,-Infinity,-214
h3,2,-Infinity,-Infinity,-214
g1,3,-262,-Infinity,-214
h3,2,-262,-262,-214
h1,3,-143,-262,-214
h3,2,-143,-262,-214
b1,1,-214,-Infinity,-214
h4,2,-Infinity,-Infinity,-214
g1,3,-240,-Infinity,-214
h4,2,-240,-240,-214
h1,3,-135,-240,-214
h4,2,-135,-240,-214
b1,1,-214,-Infinity,-214
e5,2,-Infinity,-Infinity,-214
g1,3,-256,-Infinity,-214
e5,2,-256,-256,-214
h1,3,-151,-256,-214
e5,2,-151,-256,-214
b1,1,-214,-Infinity,-214
a6,2,-Infinity,-Infinity,-214
g1,3,-278,-Infinity,-214
a6,2,-278,-278,-214
h1,3,-173,-278,-214
a6,2,-173,-278,-214
b1,1,-214,-Infinity,-214
b6,2,-Infinity,-Infinity,-214
g1,3,-264,-Infinity,-214
b6,2,-264,-264,-214
h1,3,-159,-264,-214
b6,2,-159,-264,-214
b1,1,-214,-Infinity,-214
a7,2,-Infinity,-Infinity,-214
g1,3,-190,-Infinity,-214
a7,2,-190,-Infinity,-214
b1,1,-214,-Infinity,-214
