XOXO*X*X
*XO*X**O
OO**OXOO
**X*O**O
XXX**XOX
X*X*O*OX
XX**XX*O
XXOXX**O
Node,Depth,Value,Alpha,Beta
root,0,-Infinity,-Infinity,Infinity
e1,1,Infinity,-Infinity,Infinity
g1,2,-Infinity,-Infinity,Infinity
a2,3,57,-Infinity,Infinity
g1,2,57,57,Infinity
d2,3,62,57,Infinity
g1,2,62,62,Infinity
d3,3,85,62,Infinity
g1,2,85,85,Infinity
b4,3,62,85,Infinity
g1,2,85,85,Infinity
f4,3,71,85,Infinity
g1,2,85,85,Infinity
d5,3,81,85,Infinity
g1,2,85,85,Infinity
e5,3,89,85,Infinity
g1,2,89,89,Infinity
f6,3,72,89,Infinity
g1,2,89,89,Infinity
d7,3,78,89,Infinity
g1,2,89,89,Infinity
a8,3,172,89,Infinity
g1,2,172,172,Infinity
e1,1,172,-Infinity,172
a2,2,-Infinity,-Infinity,172
c3,3,128,-Infinity,172
a2,2,128,128,172
d3,3,189,128,172
a2,2,189,128,172
e1,1,172,-Infinity,172
g2,2,-Infinity,-Infinity,172
a2,3,115,-Infinity,172
g2,2,115,115,172
d2,3,120,115,172
g2,2,120,120,172
c3,3,130,120,172
g2,2,130,130,172
d3,3,135,130,172
g2,2,135,135,172
a4,3,121,135,172
g2,2,135,135,172
b4,3,120,135,172
g2,2,135,135,172
f4,3,129,135,172
g2,2,135,135,172
g4,3,142,135,172
g2,2,142,142,172
d5,3,105,142,172
g2,2,142,142,172
e5,3,147,142,172
g2,2,147,147,172
f6,3,130,147,172
g2,2,147,147,172
d7,3,136,147,172
g2,2,147,147,172
a8,3,230,147,172
g2,2,230,147,172
e1,1,172,-Infinity,172
d3,2,-Infinity,-Infinity,172
d2,3,104,-Infinity,172
d3,2,104,104,172
c3,3,138,104,172
d3,2,138,138,172
a4,3,99,138,172
d3,2,138,138,172
b4,3,104,138,172
d3,2,138,138,172
f4,3,113,138,172
d3,2,138,138,172
d5,3,123,138,172
d3,2,138,138,172
e5,3,131,138,172
d3,2,138,138,172
f6,3,114,138,172
d3,2,138,138,172
d7,3,120,138,172
d3,2,138,138,172
a8,3,214,138,172
d3,2,214,138,172
e1,1,172,-Infinity,172
a4,2,-Infinity,-Infinity,172
a2,3,87,-Infinity,172
a4,2,87,87,172
d2,3,92,87,172
a4,2,92,92,172
c3,3,102,92,172
a4,2,102,102,172
d3,3,115,102,172
a4,2,115,115,172
b4,3,92,115,172
a4,2,115,115,172
f4,3,101,115,172
a4,2,115,115,172
d5,3,111,115,172
a4,2,115,115,172
e5,3,119,115,172
a4,2,119,119,172
f6,3,102,119,172
a4,2,119,119,172
d7,3,108,119,172
a4,2,119,119,172
e1,1,119,-Infinity,119
g4,2,-Infinity,-Infinity,119
a2,3,100,-Infinity,119
g4,2,100,100,119
d2,3,105,100,119
g4,2,105,105,119
c3,3,115,105,119
g4,2,115,115,119
d3,3,128,115,119
g4,2,128,115,119
e1,1,119,-Infinity,119
d5,2,-Infinity,-Infinity,119
a2,3,113,-Infinity,119
d5,2,113,113,119
