X*X*XOX*
*OX**OO*
XX*OX*O*
OOOX*OX*
O*XOXXO*
OOXXXO**
OO*X**X*
O*XXXX*O
Node,Depth,Value,Alpha,Beta
root,0,-Infinity,-Infinity,Infinity
b1,1,Infinity,-Infinity,Infinity
d1,2,-Infinity,-Infinity,Infinity
h1,3,-25,-Infinity,Infinity
d1,2,-25,-25,Infinity
a2,3,-108,-25,Infinity
d1,2,-25,-25,Infinity
d2,3,-111,-25,Infinity
d1,2,-25,-25,Infinity
c3,3,-101,-25,Infinity
d1,2,-25,-25,Infinity
f3,3,-93,-25,Infinity
d1,2,-25,-25,Infinity
e4,3,-108,-25,Infinity
d1,2,-25,-25,Infinity
h4,3,-108,-25,Infinity
d1,2,-25,-25,Infinity
b5,3,-103,-25,Infinity
d1,2,-25,-25,Infinity
c7,3,-82,-25,Infinity
d1,2,-25,-25,Infinity
e7,3,-95,-25,Infinity
d1,2,-25,-25,Infinity
f7,3,-104,-25,Infinity
d1,2,-25,-25,Infinity
a8,3,3,-25,Infinity
d1,2,3,3,Infinity
b1,1,3,-Infinity,3
d2,2,-Infinity,-Infinity,3
d1,3,-79,-Infinity,3
d2,2,-79,-79,3
h1,3,-32,-79,3
d2,2,-32,-32,3
a2,3,-115,-32,3
d2,2,-32,-32,3
e2,3,-116,-32,3
d2,2,-32,-32,3
c3,3,-108,-32,3
d2,2,-32,-32,3
e4,3,-107,-32,3
d2,2,-32,-32,3
h4,3,-115,-32,3
d2,2,-32,-32,3
b5,3,-110,-32,3
d2,2,-32,-32,3
c7,3,-89,-32,3
d2,2,-32,-32,3
e7,3,-102,-32,3
d2,2,-32,-32,3
f7,3,-111,-32,3
d2,2,-32,-32,3
a8,3,-4,-32,3
d2,2,-4,-4,3
b1,1,-4,-Infinity,-4
h2,2,-Infinity,-Infinity,-4
d1,3,-68,-Infinity,-4
h2,2,-68,-68,-4
h1,3,-19,-68,-4
h2,2,-19,-19,-4
a2,3,-102,-19,-4
h2,2,-19,-19,-4
d2,3,-89,-19,-4
h2,2,-19,-19,-4
c3,3,-95,-19,-4
h2,2,-19,-19,-4
f3,3,-71,-19,-4
h2,2,-19,-19,-4
e4,3,-102,-19,-4
h2,2,-19,-19,-4
h4,3,-104,-19,-4
h2,2,-19,-19,-4
b5,3,-97,-19,-4
h2,2,-19,-19,-4
c7,3,-84,-19,-4
