OXXXX*X*
**X*XOXX
XXXXXX*X
***X*XOO
*X*XXX*X
XOOXOOOX
OXX**OXX
XO*XO*OX
Node,Depth,Value,Alpha,Beta
root,0,-Infinity,-Infinity,Infinity
e1,1,Infinity,-Infinity,Infinity
f1,2,-Infinity,-Infinity,Infinity
a5,3,54,-Infinity,Infinity
f1,2,54,54,Infinity
c5,3,74,54,Infinity
f1,2,74,74,Infinity
g5,3,45,74,Infinity
f1,2,74,74,Infinity
d7,3,75,74,Infinity
f1,2,75,75,Infinity
e7,3,53,75,Infinity
f1,2,75,75,Infinity
c8,3,48,75,Infinity
f1,2,75,75,Infinity
f8,3,66,75,Infinity
f1,2,75,75,Infinity
e1,1,75,-Infinity,75
h1,2,-Infinity,-Infinity,75
f1,3,-11,-Infinity,75
h1,2,-11,-11,75
g3,3,-23,-11,75
h1,2,-11,-11,75
a5,3,-13,-11,75
h1,2,-11,-11,75
c5,3,7,-11,75
h1,2,7,7,75
g5,3,-22,7,75
h1,2,7,7,75
d7,3,8,7,75
h1,2,8,8,75
e7,3,-14,8,75
h1,2,8,8,75
c8,3,-19,8,75
h1,2,8,8,75
f8,3,-1,8,75
h1,2,8,8,75
e1,1,8,-Infinity,8
b2,2,-Infinity,-Infinity,8
f1,3,98,-Infinity,8
b2,2,98,-Infinity,8
e1,1,8,-Infinity,8
d2,2,-Infinity,-Infinity,8
f1,3,91,-Infinity,8
d2,2,91,-Infinity,8
e1,1,8,-Infinity,8
g3,2,-Infinity,-Infinity,8
f1,3,84,-Infinity,8
g3,2,84,-Infinity,8
e1,1,8,-Infinity,8
a4,2,-Infinity,-Infinity,8
f1,3,88,-Infinity,8
a4,2,88,-Infinity,8
e1,1,8,-Infinity,8
b4,2,-Infinity,-Infinity,8
f1,3,97,-Infinity,8
b4,2,97,-Infinity,8
e1,1,8,-Infinity,8
c4,2,-Infinity,-Infinity,8
f1,3,84,-Infinity,8
c4,2,84,-Infinity,8
e1,1,8,-Infinity,8
e4,2,-Infinity,-Infinity,8
f1,3,72,-Infinity,8
e4,2,72,-Infinity,8
e1,1,8,-Infinity,8
a5,2,-Infinity,-Infinity,8
f1,3,66,-Infinity,8
a5,2,66,-Infinity,8
e1,1,8,-Infinity,8
c5,2,-Infinity,-Infinity,8
f1,3,76,-Infinity,8
c5,2,76,-Infinity,8
e1,1,8,-Infinity,8
d7,2,-Infinity,-Infinity,8
f1,3,147,-Infinity,8
d7,2,147,-Infinity,8
e1,1,8,-Infinity,8
c8,2,-Infinity,-Infinity,8
f1,3,76,-Infinity,8
c8,2,76,-Infinity,8
e1,1,8,-Infinity,8
root,0,8,8,Infinity
f1,1,Infinity,8,Infinity
h1,2,-Infinity,8,Infinity
e1,3,-11,8,Infinity
h1,2,-11,8,Infinity
a5,3,-31,8,Infinity
h1,2,-11,8,Infinity
c5,3,-11,8,Infinity
h1,2,-11,8,Infinity
g5,3,-40,8,Infinity
h1,2,-11,8,Infinity
d7,3,-10,8,Infinity
h1,2,-10,8,Infinity
e7,3,-32,8,Infinity
