OO**XOXO
X**O**XX
XO*OXOX*
O*O*X*X*
O*O*O**O
*OXOXXXO
X*OXX*X*
*XXXXXX*
Node,Depth,Value,Alpha,Beta
root,0,-Infinity,-Infinity,Infinity
c1,1,Infinity,-Infinity,Infinity
d1,2,-Infinity,-Infinity,Infinity
c2,3,-341,-Infinity,Infinity
d1,2,-341,-341,Infinity
e2,3,-334,-341,Infinity
d1,2,-334,-334,Infinity
c3,3,-322,-334,Infinity
d1,2,-322,-322,Infinity
d4,3,-345,-322,Infinity
d1,2,-322,-322,Infinity
f4,3,-341,-322,Infinity
d1,2,-322,-322,Infinity
d5,3,-345,-322,Infinity
d1,2,-322,-322,Infinity
a6,3,-321,-322,Infinity
d1,2,-321,-321,Infinity
e8,3,-307,-321,Infinity
d1,2,-307,-307,Infinity
c1,1,-307,-Infinity,-307
e2,2,-Infinity,-Infinity,-307
d1,3,-308,-Infinity,-307
e2,2,-308,-308,-307
f2,3,-332,-308,-307
e2,2,-308,-308,-307
c3,3,-277,-308,-307
e2,2,-277,-308,-307
c1,1,-307,-Infinity,-307
h3,2,-Infinity,-Infinity,-307
c2,3,-249,-Infinity,-307
h3,2,-249,-Infinity,-307
c1,1,-307,-Infinity,-307
b5,2,-Infinity,-Infinity,-307
c2,3,-324,-Infinity,-307
b5,2,-324,-324,-307
e2,3,-317,-324,-307
b5,2,-317,-317,-307
c3,3,-321,-317,-307
b5,2,-317,-317,-307
d4,3,-320,-317,-307
b5,2,-317,-317,-307
f4,3,-324,-317,-307
b5,2,-317,-317,-307
d5,3,-328,-317,-307
b5,2,-317,-317,-307
a6,3,-282,-317,-307
b5,2,-282,-317,-307
c1,1,-307,-Infinity,-307
d5,2,-Infinity,-Infinity,-307
e2,3,-306,-Infinity,-307
d5,2,-306,-Infinity,-307
c1,1,-307,-Infinity,-307
f5,2,-Infinity,-Infinity,-307
c2,3,-317,-Infinity,-307
f5,2,-317,-317,-307
e2,3,-318,-317,-307
f5,2,-317,-317,-307
c3,3,-306,-317,-307
f5,2,-306,-317,-307
c1,1,-307,-Infinity,-307
g5,2,-Infinity,-Infinity,-307
c2,3,-324,-Infinity,-307
g5,2,-324,-324,-307
e2,3,-317,-324,-307
g5,2,-317,-317,-307
c3,3,-305,-317,-307
g5,2,-305,-317,-307
c1,1,-307,-Infinity,-307
f7,2,-Infinity,-Infinity,-307
c2,3,-301,-Infinity,-307
f7,2,-301,-Infinity,-307
c1,1,-307,-Infinity,-307
a8,2,-Infinity,-Infinity,-307
c2,3,-396,-Infinity,-307
a8,2,-396,-396,-307
e2,3,-389,-396,-307
a8,2,-389,-389,-307
c3,3,-377,-389,-307
a8,2,-377,-377,-307
d4,3,-392,-377,-307
a8,2,-377,-377,-307
d5,3,-400,-377,-307
a8,2,-377,-377,-307
a6,3,-376,-377,-307
a8,2,-376,-376,-307
e8,3,-390,-376,-307
a8,2,-376,-376,-307
c1,1,-376,-Infinity,-376
h8,2,-Infinity,-Infinity,-376
c2,3,-362,-Infinity,-376
h8,2,-362,-Infinity,-376
c1,1,-376,-Infinity,-376
root,0,-376,-376,Infinity
c2,1,Infinity,-376,Infinity
d1,2,-Infinity,-376,Infinity
c1,3,-283,-376,Infinity
d1,2,-283,-283,Infinity
e2,3,-314,-283,Infinity
d1,2,-283,-283,Infinity
c3,3,-310,-283,Infinity
d1,2,-283,-283,Infinity
d4,3,-325,-283,Infinity
d1,2,-283,-283,Infinity
f4,3,-321,-283,Infinity
d1,2,-283,-283,Infinity
b5,3,-320,-283,Infinity
d1,2,-283,-283,Infinity
d5,3,-325,-283,Infinity
d1,2,-283,-283,Infinity
a6,3,-301,-283,Infinity
d1,2,-283,-283,Infinity
e8,3,-287,-283,Infinity
d1,2,-283,-283,Infinity
c2,1,-283,-376,-283
b2,2,-Infinity,-376,-283
c1,3,-329,-376,-283
b2,2,-329,-329,-283
d1,3,-283,-329,-283
b2,2,-283,-329,-283
c2,1,-283,-376,-283
e2,2,-Infinity,-376,-283
d1,3,-314,-376,-283
e2,2,-314,-314,-283
f2,3,-344,-314,-283
e2,2,-314,-314,-283
c3,3,-289,-314,-283
e2,2,-289,-289,-283
d4,3,-328,-289,-283
e2,2,-289,-289,-283
f4,3,-324,-289,-283
e2,2,-289,-289,-283
d5,3,-314,-289,-283
e2,2,-289,-289,-283
f5,3,-316,-289,-283
e2,2,-289,-289,-283
a6,3,-304,-289,-283
e2,2,-289,-289,-283
e8,3,-290,-289,-283
e2,2,-289,-289,-283
c2,1,-289,-376,-289
c3,2,-Infinity,-376,-289
e2,3,-325,-376,-289
c3,2,-325,-325,-289
b4,3,-333,-325,-289
c3,2,-325,-325,-289
d4,3,-338,-325,-289
c3,2,-325,-325,-289
f4,3,-334,-325,-289
c3,2,-325,-325,-289
d5,3,-338,-325,-289
c3,2,-325,-325,-289
a6,3,-314,-325,-289
c3,2,-314,-314,-289
e8,3,-300,-314,-289
c3,2,-300,-300,-289
c2,1,-300,-376,-300
h3,2,-Infinity,-376,-300
c1,3,-249,-376,-300
h3,2,-249,-376,-300
c2,1,-300,-376,-300
d4,2,-Infinity,-376,-300
c1,3,-321,-376,-300
d4,2,-321,-321,-300
e2,3,-318,-321,-300
d4,2,-318,-318,-300
c3,3,-306,-318,-300
d4,2,-306,-306,-300
b4,3,-318,-306,-300
d4,2,-306,-306,-300
f4,3,-319,-306,-300
d4,2,-306,-306,-300
d5,3,-323,-306,-300
d4,2,-306,-306,-300
a6,3,-299,-306,-300
d4,2,-299,-306,-300
c2,1,-300,-376,-300
f4,2,-Infinity,-376,-300
d1,3,-327,-376,-300
f4,2,-327,-327,-300
e2,3,-314,-327,-300
f4,2,-314,-314,-300
c3,3,-318,-314,-300
f4,2,-314,-314,-300
d4,3,-327,-314,-300
f4,2,-314,-314,-300
b5,3,-322,-314,-300
f4,2,-314,-314,-300
d5,3,-327,-314,-300
