XX**OOOX
XOOX**OX
O*OOOXX*
**X*XOOX
**O*X*OO
*XOX**XO
X**XX**X
O**O*XOO
Node,Depth,Value,Alpha,Beta
root,0,-Infinity,-Infinity,Infinity
d1,1,Infinity,-Infinity,Infinity
c1,2,-Infinity,-Infinity,Infinity
e2,3,-9,-Infinity,Infinity
c1,2,-9,-9,Infinity
b3,3,-10,-9,Infinity
c1,2,-9,-9,Infinity
e3,3,-8,-9,Infinity
c1,2,-8,-8,Infinity
h3,3,0,-8,Infinity
c1,2,0,0,Infinity
b4,3,-9,0,Infinity
c1,2,0,0,Infinity
d4,3,2,0,Infinity
c1,2,2,2,Infinity
b5,3,-15,2,Infinity
c1,2,2,2,Infinity
d5,3,-4,2,Infinity
c1,2,2,2,Infinity
f5,3,-16,2,Infinity
c1,2,2,2,Infinity
a6,3,-36,2,Infinity
c1,2,2,2,Infinity
e6,3,-8,2,Infinity
c1,2,2,2,Infinity
f6,3,-27,2,Infinity
c1,2,2,2,Infinity
f7,3,-32,2,Infinity
c1,2,2,2,Infinity
g7,3,-52,2,Infinity
c1,2,2,2,Infinity
e8,3,-4,2,Infinity
c1,2,2,2,Infinity
d1,1,2,-Infinity,2
e2,2,-Infinity,-Infinity,2
c1,3,27,-Infinity,2
e2,2,27,-Infinity,2
d1,1,2,-Infinity,2
f2,2,-Infinity,-Infinity,2
e2,3,81,-Infinity,2
f2,2,81,-Infinity,2
d1,1,2,-Infinity,2
b3,2,-Infinity,-Infinity,2
c1,3,30,-Infinity,2
b3,2,30,-Infinity,2
d1,1,2,-Infinity,2
a4,2,-Infinity,-Infinity,2
e2,3,7,-Infinity,2
a4,2,7,-Infinity,2
d1,1,2,-Infinity,2
b4,2,-Infinity,-Infinity,2
e2,3,24,-Infinity,2
b4,2,24,-Infinity,2
d1,1,2,-Infinity,2
d4,2,-Infinity,-Infinity,2
c1,3,4,-Infinity,2
d4,2,4,-Infinity,2
d1,1,2,-Infinity,2
b5,2,-Infinity,-Infinity,2
e2,3,18,-Infinity,2
b5,2,18,-Infinity,2
d1,1,2,-Infinity,2
f6,2,-Infinity,-Infinity,2
e2,3,28,-Infinity,2
f6,2,28,-Infinity,2
