*O*XO**X
X***OX*X
*XX*****
OXOXXX*X
XXOX*XOO
OO*XXXX*
OOX*OXXX
O**X*XX*
Node,Depth,Value,Alpha,Beta
root,0,-Infinity,-Infinity,Infinity
f1,1,Infinity,-Infinity,Infinity
b2,2,-Infinity,-Infinity,Infinity
a1,3,96,-Infinity,Infinity
b2,2,96,96,Infinity
c2,3,-7,96,Infinity
b2,2,96,96,Infinity
d2,3,36,96,Infinity
b2,2,96,96,Infinity
a3,3,59,96,Infinity
b2,2,96,96,Infinity
d3,3,43,96,Infinity
b2,2,96,96,Infinity
e3,3,43,96,Infinity
b2,2,96,96,Infinity
f3,3,46,96,Infinity
b2,2,96,96,Infinity
g4,3,44,96,Infinity
b2,2,96,96,Infinity
e5,3,59,96,Infinity
b2,2,96,96,Infinity
c6,3,68,96,Infinity
b2,2,96,96,Infinity
h6,3,59,96,Infinity
b2,2,96,96,Infinity
f7,3,63,96,Infinity
b2,2,96,96,Infinity
e8,3,45,96,Infinity
b2,2,96,96,Infinity
f1,1,96,-Infinity,96
c2,2,-Infinity,-Infinity,96
b2,3,-19,-Infinity,96
c2,2,-19,-19,96
d2,3,4,-19,96
c2,2,4,4,96
a3,3,19,4,96
c2,2,19,19,96
d3,3,5,19,96
c2,2,19,19,96
e3,3,-3,19,96
c2,2,19,19,96
f3,3,0,19,96
c2,2,19,19,96
g4,3,-2,19,96
c2,2,19,19,96
e5,3,13,19,96
c2,2,19,19,96
h6,3,13,19,96
c2,2,19,19,96
f7,3,17,19,96
c2,2,19,19,96
b8,3,-65,19,96
c2,2,19,19,96
e8,3,-1,19,96
c2,2,19,19,96
f1,1,19,-Infinity,19
g2,2,-Infinity,-Infinity,19
d2,3,-32,-Infinity,19
g2,2,-32,-32,19
a3,3,53,-32,19
g2,2,53,-32,19
f1,1,19,-Infinity,19
a3,2,-Infinity,-Infinity,19
d2,3,-10,-Infinity,19
a3,2,-10,-10,19
d3,3,5,-10,19
a3,2,5,5,19
e3,3,-3,5,19
a3,2,5,5,19
f3,3,0,5,19
a3,2,5,5,19
g4,3,-2,5,19
a3,2,5,5,19
e5,3,13,5,19
a3,2,13,13,19
c6,3,22,13,19
a3,2,22,13,19
f1,1,19,-Infinity,19
d3,2,-Infinity,-Infinity,19
c2,3,9,-Infinity,19
d3,2,9,9,19
d2,3,-4,9,19
d3,2,9,9,19
a3,3,17,9,19
d3,2,17,17,19
e3,3,3,17,19
d3,2,17,17,19
f3,3,-2,17,19
d3,2,17,17,19
g4,3,-4,17,19
d3,2,17,17,19
e5,3,11,17,19
d3,2,17,17,19
c6,3,20,17,19
d3,2,20,17,19
f1,1,19,-Infinity,19
e3,2,-Infinity,-Infinity,19
d2,3,-20,-Infinity,19
e3,2,-20,-20,19
a3,3,9,-20,19
e3,2,9,9,19
d3,3,-5,9,19
e3,2,9,9,19
f3,3,-10,9,19
e3,2,9,9,19
g4,3,-4,9,19
e3,2,9,9,19
e5,3,3,9,19
e3,2,9,9,19
c6,3,12,9,19
e3,2,12,12,19
h6,3,9,12,19
e3,2,12,12,19
b8,3,-75,12,19
e3,2,12,12,19
e8,3,-11,12,19
e3,2,12,12,19
f1,1,12,-Infinity,12
f3,2,-Infinity,-Infinity,12
d2,3,-23,-Infinity,12
f3,2,-23,-23,12
g2,3,-24,-23,12
f3,2,-23,-23,12
a3,3,6,-23,12
f3,2,6,6,12
d3,3,-8,6,12
f3,2,6,6,12
e3,3,-16,6,12
f3,2,6,6,12
g4,3,1,6,12
f3,2,6,6,12
e5,3,0,6,12
f3,2,6,6,12
c6,3,9,6,12
f3,2,9,9,12
h6,3,6,9,12
f3,2,9,9,12
f7,3,26,9,12
f3,2,26,9,12
f1,1,12,-Infinity,12
h3,2,-Infinity,-Infinity,12
d2,3,-28,-Infinity,12
h3,2,-28,-28,12
