**OOOXXX
OO***XX*
OO*OXXOO
*****XXO
O*OXXOOX
OOOO*XOO
OOX*X*OO
X*XXX*X*
Node,Depth,Value,Alpha,Beta
root,0,-Infinity,-Infinity,Infinity
b1,1,Infinity,-Infinity,Infinity
a1,2,-Infinity,-Infinity,Infinity
h2,3,50,-Infinity,Infinity
a1,2,50,50,Infinity
c3,3,53,50,Infinity
a1,2,53,53,Infinity
a4,3,56,53,Infinity
a1,2,56,56,Infinity
b4,3,51,56,Infinity
a1,2,56,56,Infinity
c4,3,64,56,Infinity
a1,2,64,64,Infinity
b5,3,43,64,Infinity
a1,2,64,64,Infinity
e6,3,50,64,Infinity
a1,2,64,64,Infinity
d7,3,43,64,Infinity
a1,2,64,64,Infinity
f7,3,26,64,Infinity
a1,2,64,64,Infinity
h8,3,89,64,Infinity
a1,2,89,89,Infinity
b1,1,89,-Infinity,89
d2,2,-Infinity,-Infinity,89
h1,3,247,-Infinity,89
d2,2,247,-Infinity,89
b1,1,89,-Infinity,89
d4,2,-Infinity,-Infinity,89
h1,3,246,-Infinity,89
d4,2,246,-Infinity,89
b1,1,89,-Infinity,89
e4,2,-Infinity,-Infinity,89
h1,3,258,-Infinity,89
e4,2,258,-Infinity,89
b1,1,89,-Infinity,89
e6,2,-Infinity,-Infinity,89
h1,3,242,-Infinity,89
e6,2,242,-Infinity,89
b1,1,89,-Infinity,89
d7,2,-Infinity,-Infinity,89
h1,3,271,-Infinity,89
d7,2,271,-Infinity,89
b1,1,89,-Infinity,89
f7,2,-Infinity,-Infinity,89
h1,3,250,-Infinity,89
f7,2,250,-Infinity,89
b1,1,89,-Infinity,89
b8,2,-Infinity,-Infinity,89
h1,3,276,-Infinity,89
b8,2,276,-Infinity,89
b1,1,89,-Infinity,89
f8,2,-Infinity,-Infinity,89
h1,3,258,-Infinity,89
f8,2,258,-Infinity,89
b1,1,89,-Infinity,89
root,0,89,89,Infinity
h1,1,Infinity,89,Infinity
d2,2,-Infinity,89,Infinity
b1,3,247,89,Infinity
d2,2,247,247,Infinity
h2,3,235,247,Infinity
d2,2,247,247,Infinity
c3,3,238,247,Infinity
d2,2,247,247,Infinity
a4,3,233,247,Infinity
d2,2,247,247,Infinity
b4,3,228,247,Infinity
d2,2,247,247,Infinity
c4,3,241,247,Infinity
d2,2,247,247,Infinity
d4,3,223,247,Infinity
