XOOOOOXX
OO*OXOOO
XO*X**OO
XX*OOOXO
OXOXXOXX
XO**OXXX
X*O*OOOO
**X*OX**
Node,Depth,Value,Alpha,Beta
root,0,-Infinity,-Infinity,Infinity
d1,1,Infinity,-Infinity,Infinity
c2,2,-Infinity,-Infinity,Infinity
c3,3,-285,-Infinity,Infinity
c2,2,-285,-285,Infinity
e3,3,-280,-285,Infinity
c2,2,-280,-280,Infinity
f3,3,-271,-280,Infinity
c2,2,-271,-271,Infinity
c4,3,-274,-271,Infinity
c2,2,-271,-271,Infinity
c6,3,-265,-271,Infinity
c2,2,-265,-265,Infinity
d6,3,-268,-265,Infinity
c2,2,-265,-265,Infinity
a8,3,-173,-265,Infinity
c2,2,-173,-173,Infinity
g8,3,-264,-173,Infinity
c2,2,-173,-173,Infinity
d1,1,-173,-Infinity,-173
c3,2,-Infinity,-Infinity,-173
c2,3,-285,-Infinity,-173
c3,2,-285,-285,-173
e3,3,-243,-285,-173
c3,2,-243,-243,-173
f3,3,-240,-243,-173
c3,2,-240,-240,-173
c4,3,-243,-240,-173
c3,2,-240,-240,-173
c6,3,-234,-240,-173
c3,2,-234,-234,-173
d6,3,-229,-234,-173
c3,2,-229,-229,-173
a8,3,-142,-229,-173
c3,2,-142,-229,-173
d1,1,-173,-Infinity,-173
e3,2,-Infinity,-Infinity,-173
c2,3,-290,-Infinity,-173
e3,2,-290,-290,-173
c3,3,-279,-290,-173
e3,2,-279,-279,-173
f3,3,-293,-279,-173
e3,2,-279,-279,-173
c4,3,-286,-279,-173
e3,2,-279,-279,-173
d6,3,-274,-279,-173
e3,2,-274,-274,-173
b7,3,-338,-274,-173
e3,2,-274,-274,-173
a8,3,-195,-274,-173
e3,2,-195,-195,-173
g8,3,-286,-195,-173
e3,2,-195,-195,-173
d1,1,-195,-Infinity,-195
f3,2,-Infinity,-Infinity,-195
c2,3,-261,-Infinity,-195
f3,2,-261,-261,-195
c3,3,-264,-261,-195
f3,2,-261,-261,-195
e3,3,-253,-261,-195
f3,2,-253,-253,-195
c4,3,-259,-253,-195
f3,2,-253,-253,-195
d6,3,-253,-253,-195
f3,2,-253,-253,-195
a8,3,-166,-253,-195
f3,2,-166,-253,-195
