XOXO*OXX
****X***
*OOXOO*X
XOXXOXXX
*X**X**X
XXXXXXX*
XXXXXO*X
OXOOX*OX
Node,Depth,Value,Alpha,Beta
root,0,-Infinity,-Infinity,Infinity
e1,1,Infinity,-Infinity,Infinity
a5,2,-Infinity,-Infinity,Infinity
b2,3,185,-Infinity,Infinity
a5,2,185,185,Infinity
c2,3,183,185,Infinity
a5,2,185,185,Infinity
d2,3,208,185,Infinity
a5,2,208,208,Infinity
f2,3,213,208,Infinity
a5,2,213,213,Infinity
b5,3,214,213,Infinity
a5,2,214,214,Infinity
d5,3,209,214,Infinity
a5,2,214,214,Infinity
g7,3,163,214,Infinity
a5,2,214,214,Infinity
f8,3,179,214,Infinity
a5,2,214,214,Infinity
e1,1,214,-Infinity,214
c5,2,-Infinity,-Infinity,214
b2,3,171,-Infinity,214
c5,2,171,171,214
c2,3,213,171,214
c5,2,213,213,214
d2,3,186,213,214
c5,2,213,213,214
f2,3,207,213,214
c5,2,213,213,214
a3,3,191,213,214
c5,2,213,213,214
b5,3,208,213,214
c5,2,213,213,214
d5,3,195,213,214
c5,2,213,213,214
g7,3,149,213,214
c5,2,213,213,214
f8,3,165,213,214
c5,2,213,213,214
e1,1,213,-Infinity,213
d5,2,-Infinity,-Infinity,213
b2,3,165,-Infinity,213
d5,2,165,165,213
c2,3,163,165,213
d5,2,165,165,213
d2,3,180,165,213
d5,2,180,180,213
f2,3,185,180,213
d5,2,185,185,213
g2,3,179,185,213
d5,2,185,185,213
b5,3,196,185,213
d5,2,196,196,213
c5,3,201,196,213
d5,2,201,201,213
g7,3,143,201,213
d5,2,201,201,213
f8,3,159,201,213
d5,2,201,201,213
e1,1,201,-Infinity,201
f5,2,-Infinity,-Infinity,201
b2,3,147,-Infinity,201
f5,2,147,147,201
c2,3,161,147,201
f5,2,161,161,201
d2,3,162,161,201
f5,2,162,162,201
f2,3,161,162,201
f5,2,162,162,201
g3,3,161,162,201
f5,2,162,162,201
b5,3,178,162,201
f5,2,178,178,201
c5,3,175,178,201
f5,2,178,178,201
d5,3,171,178,201
f5,2,178,178,201
g5,3,176,178,201
f5,2,178,178,201
g7,3,139,178,201
f5,2,178,178,201
f8,3,149,178,201
f5,2,178,178,201
e1,1,178,-Infinity,178
g5,2,-Infinity,-Infinity,178
b2,3,162,-Infinity,178
g5,2,162,162,178
c2,3,160,162,178
g5,2,162,162,178
d2,3,177,162,178
g5,2,177,177,178
f2,3,176,177,178
g5,2,177,177,178
g3,3,176,177,178
g5,2,177,177,178
b5,3,199,177,178
g5,2,199,177,178
e1,1,178,-Infinity,178
h6,2,-Infinity,-Infinity,178
b2,3,145,-Infinity,178
h6,2,145,145,178
c2,3,143,145,178
h6,2,145,145,178
d2,3,168,145,178
h6,2,168,168,178
f2,3,173,168,178
h6,2,173,173,178
b5,3,182,173,178
h6,2,182,173,178
e1,1,178,-Infinity,178
g7,2,-Infinity,-Infinity,178
b2,3,151,-Infinity,178
g7,2,151,151,178
c2,3,183,151,178
g7,2,183,151,178
e1,1,178,-Infinity,178
