OX**OOOO
*XO*XX*O
O*XOX*XO
OXOX**O*
O**XO**X
OOOXOXXX
*X*OOOOX
OOOOXOOO
Node,Depth,Value,Alpha,Beta
root,0,-Infinity,-Infinity,Infinity
c1,1,Infinity,-Infinity,Infinity
d1,2,-Infinity,-Infinity,Infinity
h1,3,400,-Infinity,Infinity
d1,2,400,400,Infinity
d2,3,298,400,Infinity
d1,2,400,400,Infinity
g2,3,261,400,Infinity
d1,2,400,400,Infinity
b3,3,303,400,Infinity
d1,2,400,400,Infinity
f3,3,300,400,Infinity
d1,2,400,400,Infinity
e4,3,293,400,Infinity
d1,2,400,400,Infinity
h4,3,311,400,Infinity
d1,2,400,400,Infinity
c5,3,299,400,Infinity
d1,2,400,400,Infinity
f5,3,311,400,Infinity
d1,2,400,400,Infinity
g5,3,296,400,Infinity
d1,2,400,400,Infinity
c7,3,297,400,Infinity
d1,2,400,400,Infinity
c1,1,400,-Infinity,400
d2,2,-Infinity,-Infinity,400
d1,3,322,-Infinity,400
d2,2,322,322,400
h1,3,389,322,400
d2,2,389,389,400
g2,3,254,389,400
d2,2,389,389,400
f3,3,305,389,400
d2,2,389,389,400
e4,3,316,389,400
d2,2,389,389,400
f4,3,312,389,400
d2,2,389,389,400
h4,3,308,389,400
d2,2,389,389,400
c5,3,312,389,400
d2,2,389,389,400
f5,3,324,389,400
d2,2,389,389,400
g5,3,309,389,400
d2,2,389,389,400
c7,3,310,389,400
d2,2,389,389,400
c1,1,389,-Infinity,389
b3,2,-Infinity,-Infinity,389
h1,3,390,-Infinity,389
b3,2,390,-Infinity,389
c1,1,389,-Infinity,389
f3,2,-Infinity,-Infinity,389
h1,3,393,-Infinity,389
f3,2,393,-Infinity,389
c1,1,389,-Infinity,389
e4,2,-Infinity,-Infinity,389
h1,3,392,-Infinity,389
e4,2,392,-Infinity,389
c1,1,389,-Infinity,389
f4,2,-Infinity,-Infinity,389
h1,3,390,-Infinity,389
f4,2,390,-Infinity,389
c1,1,389,-Infinity,389
h4,2,-Infinity,-Infinity,389
h1,3,412,-Infinity,389
h4,2,412,-Infinity,389
c1,1,389,-Infinity,389
b5,2,-Infinity,-Infinity,389
h1,3,381,-Infinity,389
b5,2,381,381,389
d2,3,313,381,389
b5,2,381,381,389
g2,3,266,381,389
b5,2,381,381,389
b3,3,234,381,389
b5,2,381,381,389
f3,3,297,381,389
b5,2,381,381,389
e4,3,276,381,389
b5,2,381,381,389
h4,3,300,381,389
b5,2,381,381,389
c5,3,320,381,389
b5,2,381,381,389
f5,3,316,381,389
b5,2,381,381,389
g5,3,301,381,389
b5,2,381,381,389
c7,3,288,381,389
b5,2,381,381,389
c1,1,381,-Infinity,381
c5,2,-Infinity,-Infinity,381
h1,3,382,-Infinity,381
c5,2,382,-Infinity,381
c1,1,381,-Infinity,381
f5,2,-Infinity,-Infinity,381
h1,3,390,-Infinity,381
f5,2,390,-Infinity,381
c1,1,381,-Infinity,381
g5,2,-Infinity,-Infinity,381
h1,3,403,-Infinity,381
g5,2,403,-Infinity,381
c1,1,381,-Infinity,381
c7,2,-Infinity,-Infinity,381
h1,3,466,-Infinity,381
c7,2,466,-Infinity,381
c1,1,381,-Infinity,381
root,0,381,381,Infinity
h1,1,Infinity,381,Infinity
c1,2,-Infinity,381,Infinity
d1,3,456,381,Infinity
c1,2,456,456,Infinity
d2,3,455,456,Infinity
c1,2,456,456,Infinity
g2,3,418,456,Infinity
c1,2,456,456,Infinity
b3,3,460,456,Infinity
c1,2,460,460,Infinity
f3,3,449,460,Infinity
c1,2,460,460,Infinity
e4,3,452,460,Infinity
c1,2,460,460,Infinity
f4,3,446,460,Infinity
c1,2,460,460,Infinity
h4,3,452,460,Infinity
c1,2,460,460,Infinity
c5,3,456,460,Infinity
c1,2,460,460,Infinity
f5,3,468,460,Infinity
c1,2,468,468,Infinity
g5,3,453,468,Infinity
c1,2,468,468,Infinity
c7,3,454,468,Infinity
c1,2,468,468,Infinity
h1,1,468,381,468
d2,2,-Infinity,381,468
c1,3,403,381,468
d2,2,403,403,468
d1,3,469,403,468
d2,2,469,403,468
h1,1,468,381,468
b3,2,-Infinity,381,468
c1,3,390,381,468
b3,2,390,390,468
a2,3,390,390,468
b3,2,390,390,468
d2,3,451,390,468
b3,2,451,451,468
g2,3,414,451,468
b3,2,451,451,468
f3,3,445,451,468
b3,2,451,451,468
e4,3,450,451,468
b3,2,451,451,468
f4,3,442,451,468
b3,2,451,451,468
h4,3,448,451,468
b3,2,451,451,468
b5,3,451,451,468
b3,2,451,451,468
c5,3,474,451,468
b3,2,474,451,468
h1,1,468,381,468
f3,2,-Infinity,381,468
c1,3,393,381,468
f3,2,393,393,468
a2,3,393,393,468
f3,2,393,393,468
d2,3,454,393,468
f3,2,454,454,468
b3,3,459,454,468
f3,2,459,459,468
e4,3,451,459,468
f3,2,459,459,468
f4,3,451,459,468
f3,2,459,459,468
h4,3,451,459,468
f3,2,459,459,468
c5,3,455,459,468
f3,2,459,459,468
f5,3,461,459,468
f3,2,461,461,468
g5,3,452,461,468
f3,2,461,461,468
c7,3,453,461,468
f3,2,461,461,468
h1,1,461,381,461
e4,2,-Infinity,381,461
c1,3,398,381,461
e4,2,398,398,461
d2,3,469,398,461
e4,2,469,398,461
h1,1,461,381,461
f4,2,-Infinity,381,461
c1,3,390,381,461
f4,2,390,390,461
a2,3,390,390,461
f4,2,390,390,461
d2,3,451,390,461
f4,2,451,451,461
g2,3,414,451,461
f4,2,451,451,461
b3,3,456,451,461
f4,2,456,456,461
f3,3,445,456,461
f4,2,456,456,461
e4,3,456,456,461
f4,2,456,456,461
h4,3,448,456,461
f4,2,456,456,461
c5,3,452,456,461
f4,2,456,456,461
f5,3,464,456,461
f4,2,464,456,461
h1,1,461,381,461
b5,2,-Infinity,381,461
c1,3,381,381,461
b5,2,381,381,461
a2,3,381,381,461
