X**XXOXO
OO**O*XO
O**XO**X
O**X*X*X
O**OO*OX
OOXOXOOO
X*XOXOO*
**OOO**X
Node,Depth,Value,Alpha,Beta
root,0,-Infinity,-Infinity,Infinity
c1,1,Infinity,-Infinity,Infinity
b1,2,-Infinity,-Infinity,Infinity
d2,3,-168,-Infinity,Infinity
b1,2,-168,-168,Infinity
f2,3,-225,-168,Infinity
b1,2,-168,-168,Infinity
c3,3,-158,-168,Infinity
b1,2,-158,-158,Infinity
f3,3,-214,-158,Infinity
b1,2,-158,-158,Infinity
g3,3,-169,-158,Infinity
b1,2,-158,-158,Infinity
c4,3,-161,-158,Infinity
b1,2,-158,-158,Infinity
b5,3,-162,-158,Infinity
b1,2,-158,-158,Infinity
c5,3,-163,-158,Infinity
b1,2,-158,-158,Infinity
f5,3,-161,-158,Infinity
b1,2,-158,-158,Infinity
a6,3,-125,-158,Infinity
b1,2,-125,-125,Infinity
b7,3,-191,-125,Infinity
b1,2,-125,-125,Infinity
b8,3,-189,-125,Infinity
b1,2,-125,-125,Infinity
f8,3,-171,-125,Infinity
b1,2,-125,-125,Infinity
c1,1,-125,-Infinity,-125
d2,2,-Infinity,-Infinity,-125
c2,3,-140,-Infinity,-125
d2,2,-140,-140,-125
f2,3,-182,-140,-125
d2,2,-140,-140,-125
c3,3,-129,-140,-125
d2,2,-129,-129,-125
f3,3,-171,-129,-125
d2,2,-129,-129,-125
g3,3,-126,-129,-125
d2,2,-126,-126,-125
c4,3,-118,-126,-125
d2,2,-118,-126,-125
c1,1,-125,-Infinity,-125
f2,2,-Infinity,-Infinity,-125
d2,3,-108,-Infinity,-125
f2,2,-108,-Infinity,-125
c1,1,-125,-Infinity,-125
c3,2,-Infinity,-Infinity,-125
c2,3,-136,-Infinity,-125
c3,2,-136,-136,-125
d2,3,-79,-136,-125
c3,2,-79,-136,-125
c1,1,-125,-Infinity,-125
f3,2,-Infinity,-Infinity,-125
d2,3,-119,-Infinity,-125
f3,2,-119,-Infinity,-125
c1,1,-125,-Infinity,-125
c4,2,-Infinity,-Infinity,-125
d2,3,-124,-Infinity,-125
c4,2,-124,-Infinity,-125
c1,1,-125,-Infinity,-125
e4,2,-Infinity,-Infinity,-125
d2,3,-120,-Infinity,-125
e4,2,-120,-Infinity,-125
c1,1,-125,-Infinity,-125
c5,2,-Infinity,-Infinity,-125
d2,3,-124,-Infinity,-125
c5,2,-124,-Infinity,-125
c1,1,-125,-Infinity,-125
f5,2,-Infinity,-Infinity,-125
d2,3,-118,-Infinity,-125
f5,2,-118,-Infinity,-125
c1,1,-125,-Infinity,-125
a6,2,-Infinity,-Infinity,-125
d2,3,-120,-Infinity,-125
a6,2,-120,-Infinity,-125
c1,1,-125,-Infinity,-125
h7,2,-Infinity,-Infinity,-125
d2,3,-72,-Infinity,-125
h7,2,-72,-Infinity,-125
c1,1,-125,-Infinity,-125
g8,2,-Infinity,-Infinity,-125
d2,3,-104,-Infinity,-125
g8,2,-104,-Infinity,-125
c1,1,-125,-Infinity,-125
root,0,-125,-125,Infinity
d2,1,Infinity,-125,Infinity
c1,2,-Infinity,-125,Infinity
b1,3,-82,-125,Infinity
c1,2,-82,-82,Infinity
c2,3,-172,-82,Infinity
c1,2,-82,-82,Infinity
f2,3,-158,-82,Infinity
c1,2,-82,-82,Infinity
f3,3,-147,-82,Infinity
c1,2,-82,-82,Infinity
g3,3,-110,-82,Infinity
c1,2,-82,-82,Infinity
e4,3,-106,-82,Infinity
c1,2,-82,-82,Infinity
b5,3,-103,-82,Infinity
c1,2,-82,-82,Infinity
c5,3,-104,-82,Infinity
c1,2,-82,-82,Infinity
f5,3,-102,-82,Infinity
c1,2,-82,-82,Infinity
a6,3,-66,-82,Infinity
c1,2,-66,-66,Infinity
b7,3,-132,-66,Infinity
c1,2,-66,-66,Infinity
b8,3,-130,-66,Infinity
c1,2,-66,-66,Infinity
f8,3,-112,-66,Infinity
c1,2,-66,-66,Infinity
d2,1,-66,-125,-66
c3,2,-Infinity,-125,-66
c1,3,-45,-125,-66
c3,2,-45,-125,-66
d2,1,-66,-125,-66
f3,2,-Infinity,-125,-66
c1,3,-121,-125,-66
f3,2,-121,-121,-66
f2,3,-211,-121,-66
f3,2,-121,-121,-66
g3,3,-135,-121,-66
f3,2,-121,-121,-66
e4,3,-187,-121,-66
f3,2,-121,-121,-66
b5,3,-142,-121,-66
f3,2,-121,-121,-66
c5,3,-143,-121,-66
f3,2,-121,-121,-66
f5,3,-141,-121,-66
f3,2,-121,-121,-66
a6,3,-105,-121,-66
f3,2,-105,-105,-66
b7,3,-171,-105,-66
f3,2,-105,-105,-66
b8,3,-169,-105,-66
f3,2,-105,-105,-66
f8,3,-151,-105,-66
f3,2,-105,-105,-66
d2,1,-105,-125,-105
c4,2,-Infinity,-125,-105
c1,3,-124,-125,-105
c4,2,-124,-124,-105
f2,3,-208,-124,-105
c4,2,-124,-124,-105
b3,3,-144,-124,-105
c4,2,-124,-124,-105
f3,3,-197,-124,-105
c4,2,-124,-124,-105
g3,3,-152,-124,-105
c4,2,-124,-124,-105
b4,3,-151,-124,-105
c4,2,-124,-124,-105
b5,3,-137,-124,-105
c4,2,-124,-124,-105
c5,3,-146,-124,-105
c4,2,-124,-124,-105
f5,3,-144,-124,-105
c4,2,-124,-124,-105
a6,3,-108,-124,-105
c4,2,-108,-108,-105
b7,3,-188,-108,-105
c4,2,-108,-108,-105
b8,3,-172,-108,-105
c4,2,-108,-108,-105
f8,3,-154,-108,-105
c4,2,-108,-108,-105
d2,1,-108,-125,-108
e4,2,-Infinity,-125,-108
c1,3,-122,-125,-108
e4,2,-122,-122,-108
f2,3,-204,-122,-108
e4,2,-122,-122,-108
f3,3,-187,-122,-108
e4,2,-122,-122,-108
g3,3,-150,-122,-108
e4,2,-122,-122,-108
c4,3,-142,-122,-108
e4,2,-122,-122,-108
