X*OX*X*O
OXOX*OX*
XX***OXX
O*O*O*X*
X*OOOOXO
O*OO*OOX
O**XXOO*
OOXXOX*X
Node,Depth,Value,Alpha,Beta
root,0,-Infinity,-Infinity,Infinity
e1,1,Infinity,-Infinity,Infinity
b1,2,-Infinity,-Infinity,Infinity
g1,3,-88,-Infinity,Infinity
b1,2,-88,-88,Infinity
e2,3,-21,-88,Infinity
b1,2,-21,-21,Infinity
h2,3,-68,-21,Infinity
b1,2,-21,-21,Infinity
h4,3,-14,-21,Infinity
b1,2,-14,-14,Infinity
e6,3,0,-14,Infinity
b1,2,0,0,Infinity
f7,3,-2,0,Infinity
b1,2,0,0,Infinity
h7,3,-4,0,Infinity
b1,2,0,0,Infinity
g8,3,-4,0,Infinity
b1,2,0,0,Infinity
e1,1,0,-Infinity,0
e2,2,-Infinity,-Infinity,0
g1,3,-43,-Infinity,0
e2,2,-43,-43,0
h2,3,-59,-43,0
e2,2,-43,-43,0
c3,3,18,-43,0
e2,2,18,-43,0
e1,1,0,-Infinity,0
e3,2,-Infinity,-Infinity,0
g1,3,-58,-Infinity,0
e3,2,-58,-58,0
e2,3,9,-58,0
e3,2,9,-58,0
e1,1,0,-Infinity,0
b4,2,-Infinity,-Infinity,0
g1,3,-53,-Infinity,0
b4,2,-53,-53,0
e2,3,-2,-53,0
b4,2,-2,-2,0
h2,3,-49,-2,0
b4,2,-2,-2,0
c3,3,8,-2,0
b4,2,8,-2,0
e1,1,0,-Infinity,0
d4,2,-Infinity,-Infinity,0
g1,3,-48,-Infinity,0
d4,2,-48,-48,0
e2,3,3,-48,0
d4,2,3,-48,0
e1,1,0,-Infinity,0
f4,2,-Infinity,-Infinity,0
g1,3,-58,-Infinity,0
f4,2,-58,-58,0
e2,3,1,-58,0
f4,2,1,-58,0
e1,1,0,-Infinity,0
h4,2,-Infinity,-Infinity,0
g1,3,-58,-Infinity,0
h4,2,-58,-58,0
e2,3,-7,-58,0
h4,2,-7,-7,0
h2,3,-54,-7,0
h4,2,-7,-7,0
c3,3,3,-7,0
h4,2,3,-7,0
e1,1,0,-Infinity,0
b5,2,-Infinity,-Infinity,0
g1,3,-67,-Infinity,0
b5,2,-67,-67,0
e2,3,-16,-67,0
b5,2,-16,-16,0
h2,3,-63,-16,0
b5,2,-16,-16,0
c3,3,-6,-16,0
b5,2,-6,-6,0
d3,3,-9,-6,0
b5,2,-6,-6,0
e3,3,-9,-6,0
b5,2,-6,-6,0
b4,3,-2,-6,0
b5,2,-2,-2,0
d4,3,7,-2,0
b5,2,7,-2,0
e1,1,0,-Infinity,0
e6,2,-Infinity,-Infinity,0
g1,3,-60,-Infinity,0
e6,2,-60,-60,0
e2,3,-9,-60,0
e6,2,-9,-9,0
h2,3,-56,-9,0
e6,2,-9,-9,0
c3,3,9,-9,0
e6,2,9,-9,0
e1,1,0,-Infinity,0
b7,2,-Infinity,-Infinity,0
g1,3,-44,-Infinity,0
b7,2,-44,-44,0
e2,3,15,-44,0
b7,2,15,-44,0
e1,1,0,-Infinity,0
