**OOOOOX
*XOOXOO*
X**OX*XX
*X**OXOO
*OOX*OXO
*XOOXOXO
OOXO*OOX
OOOOOX*X
Node,Depth,Value,Alpha,Beta
root,0,-Infinity,-Infinity,Infinity
a2,1,Infinity,-Infinity,Infinity
a1,2,-Infinity,-Infinity,Infinity
h2,3,-342,-Infinity,Infinity
a1,2,-342,-342,Infinity
b3,3,-360,-342,Infinity
a1,2,-342,-342,Infinity
f3,3,-333,-342,Infinity
a1,2,-333,-333,Infinity
c4,3,-338,-333,Infinity
a1,2,-333,-333,Infinity
d4,3,-342,-333,Infinity
a1,2,-333,-333,Infinity
e5,3,-350,-333,Infinity
a1,2,-333,-333,Infinity
a6,3,-350,-333,Infinity
a1,2,-333,-333,Infinity
a8,3,-239,-333,Infinity
a1,2,-239,-239,Infinity
g8,3,-342,-239,Infinity
a1,2,-239,-239,Infinity
a2,1,-239,-Infinity,-239
b1,2,-Infinity,-Infinity,-239
h2,3,-299,-Infinity,-239
b1,2,-299,-299,-239
b3,3,-317,-299,-239
b1,2,-299,-299,-239
f3,3,-284,-299,-239
b1,2,-284,-284,-239
a4,3,-285,-284,-239
b1,2,-284,-284,-239
c4,3,-295,-284,-239
b1,2,-284,-284,-239
d4,3,-283,-284,-239
b1,2,-283,-283,-239
e5,3,-305,-283,-239
b1,2,-283,-283,-239
a6,3,-307,-283,-239
b1,2,-283,-283,-239
a8,3,-196,-283,-239
b1,2,-196,-283,-239
a2,1,-239,-Infinity,-239
h2,2,-Infinity,-Infinity,-239
b3,3,-213,-Infinity,-239
h2,2,-213,-Infinity,-239
a2,1,-239,-Infinity,-239
c3,2,-Infinity,-Infinity,-239
h2,3,-274,-Infinity,-239
c3,2,-274,-274,-239
b3,3,-292,-274,-239
c3,2,-274,-274,-239
f3,3,-273,-274,-239
c3,2,-273,-273,-239
a4,3,-260,-273,-239
c3,2,-260,-260,-239
c4,3,-254,-260,-239
c3,2,-254,-254,-239
d4,3,-252,-254,-239
c3,2,-252,-252,-239
a5,3,-268,-252,-239
c3,2,-252,-252,-239
e5,3,-282,-252,-239
c3,2,-252,-252,-239
a6,3,-282,-252,-239
c3,2,-252,-252,-239
a8,3,-171,-252,-239
c3,2,-171,-252,-239
a2,1,-239,-Infinity,-239
f3,2,-Infinity,-Infinity,-239
h2,3,-266,-Infinity,-239
f3,2,-266,-266,-239
b3,3,-236,-266,-239
f3,2,-236,-266,-239
a2,1,-239,-Infinity,-239
c4,2,-Infinity,-Infinity,-239
h2,3,-293,-Infinity,-239
c4,2,-293,-293,-239
b3,3,-295,-293,-239
c4,2,-293,-293,-239
f3,3,-292,-293,-239
c4,2,-292,-292,-239
a4,3,-279,-292,-239
c4,2,-279,-279,-239
d4,3,-285,-279,-239
c4,2,-279,-279,-239
e5,3,-293,-279,-239
c4,2,-279,-279,-239
a6,3,-287,-279,-239
c4,2,-279,-279,-239
a8,3,-190,-279,-239
c4,2,-190,-279,-239
a2,1,-239,-Infinity,-239
d4,2,-Infinity,-Infinity,-239
h2,3,-267,-Infinity,-239
d4,2,-267,-267,-239
b3,3,-285,-267,-239
d4,2,-267,-267,-239
f3,3,-258,-267,-239
d4,2,-258,-258,-239
a4,3,-253,-258,-239
d4,2,-253,-253,-239
c4,3,-247,-253,-239
d4,2,-247,-247,-239
e5,3,-265,-247,-239
d4,2,-247,-247,-239
a6,3,-275,-247,-239
d4,2,-247,-247,-239
a8,3,-164,-247,-239
d4,2,-164,-247,-239
a2,1,-239,-Infinity,-239
a5,2,-Infinity,-Infinity,-239
h2,3,-267,-Infinity,-239
a5,2,-267,-267,-239
b3,3,-299,-267,-239
a5,2,-267,-267,-239
f3,3,-258,-267,-239
a5,2,-258,-258,-239
a4,3,-259,-258,-239
a5,2,-258,-258,-239
c4,3,-255,-258,-239
a5,2,-255,-255,-239
d4,3,-267,-255,-239
a5,2,-255,-255,-239
a6,3,-275,-255,-239
a5,2,-255,-255,-239
a8,3,-164,-255,-239
a5,2,-164,-255,-239
a2,1,-239,-Infinity,-239
e5,2,-Infinity,-Infinity,-239
h2,3,-241,-Infinity,-239
e5,2,-241,-241,-239
b3,3,-259,-241,-239
e5,2,-241,-241,-239
f3,3,-210,-241,-239
e5,2,-210,-241,-239
a2,1,-239,-Infinity,-239
a6,2,-Infinity,-Infinity,-239
h2,3,-219,-Infinity,-239
a6,2,-219,-Infinity,-239
a2,1,-239,-Infinity,-239
e7,2,-Infinity,-Infinity,-239
h2,3,-224,-Infinity,-239
e7,2,-224,-Infinity,-239
a2,1,-239,-Infinity,-239
a8,2,-Infinity,-Infinity,-239
h2,3,-324,-Infinity,-239
a8,2,-324,-324,-239
b3,3,-342,-324,-239
a8,2,-324,-324,-239
f3,3,-315,-324,-239
a8,2,-315,-315,-239
a4,3,-310,-315,-239
a8,2,-310,-310,-239
c4,3,-320,-310,-239
a8,2,-310,-310,-239
d4,3,-324,-310,-239
a8,2,-310,-310,-239
e5,3,-332,-310,-239
a8,2,-310,-310,-239
a6,3,-318,-310,-239
a8,2,-310,-310,-239
g8,3,-324,-310,-239
a8,2,-310,-310,-239
a2,1,-310,-Infinity,-310
g8,2,-Infinity,-Infinity,-310
h2,3,-195,-Infinity,-310
g8,2,-195,-Infinity,-310
a2,1,-310,-Infinity,-310
root,0,-310,-310,Infinity
h2,1,Infinity,-310,Infinity
b1,2,-Infinity,-310,Infinity
a2,3,-307,-310,Infinity
b1,2,-307,-307,Infinity
b3,3,-253,-307,Infinity
b1,2,-253,-253,Infinity
f3,3,-228,-253,Infinity
b1,2,-228,-228,Infinity
c4,3,-231,-228,Infinity
b1,2,-228,-228,Infinity
d4,3,-219,-228,Infinity
b1,2,-219,-219,Infinity
e5,3,-241,-219,Infinity
b1,2,-219,-219,Infinity
a6,3,-243,-219,Infinity
b1,2,-219,-219,Infinity
a8,3,-132,-219,Infinity
b1,2,-132,-132,Infinity
g8,3,-235,-132,Infinity
b1,2,-132,-132,Infinity
h2,1,-132,-310,-132
c3,2,-Infinity,-310,-132
a2,3,-274,-310,-132
c3,2,-274,-274,-132
b3,3,-228,-274,-132
c3,2,-228,-228,-132
f3,3,-217,-228,-132
c3,2,-217,-217,-132
c4,3,-190,-217,-132
c3,2,-190,-190,-132
d4,3,-202,-190,-132
c3,2,-190,-190,-132
a5,3,-204,-190,-132
c3,2,-190,-190,-132
e5,3,-218,-190,-132
c3,2,-190,-190,-132
a6,3,-218,-190,-132
c3,2,-190,-190,-132
a8,3,-107,-190,-132
c3,2,-107,-190,-132
h2,1,-132,-310,-132
f3,2,-Infinity,-310,-132
a2,3,-218,-310,-132
f3,2,-218,-218,-132
b3,3,-172,-218,-132
f3,2,-172,-172,-132
c4,3,-150,-172,-132
f3,2,-150,-150,-132
d4,3,-146,-150,-132
f3,2,-146,-146,-132
e5,3,-160,-146,-132
f3,2,-146,-146,-132
a6,3,-162,-146,-132
f3,2,-146,-146,-132
a8,3,-51,-146,-132
f3,2,-51,-146,-132
h2,1,-132,-310,-132
c4,2,-Infinity,-310,-132
a2,3,-293,-310,-132
c4,2,-293,-293,-132
b3,3,-231,-293,-132
c4,2,-231,-231,-132
f3,3,-236,-231,-132
c4,2,-231,-231,-132
d4,3,-221,-231,-132
c4,2,-221,-221,-132
e5,3,-229,-221,-132
c4,2,-221,-221,-132
a6,3,-223,-221,-132
c4,2,-221,-221,-132
a8,3,-126,-221,-132
c4,2,-126,-221,-132
h2,1,-132,-310,-132
d4,2,-Infinity,-310,-132
a2,3,-267,-310,-132
d4,2,-267,-267,-132
b3,3,-221,-267,-132
d4,2,-221,-221,-132
f3,3,-202,-221,-132
d4,2,-202,-202,-132
c4,3,-183,-202,-132
d4,2,-183,-183,-132
e5,3,-201,-183,-132
d4,2,-183,-183,-132
a6,3,-211,-183,-132
d4,2,-183,-183,-132
a8,3,-100,-183,-132
d4,2,-100,-183,-132
h2,1,-132,-310,-132
a5,2,-Infinity,-310,-132
a2,3,-267,-310,-132
a5,2,-267,-267,-132
b3,3,-235,-267,-132
a5,2,-235,-235,-132
f3,3,-202,-235,-132
a5,2,-202,-202,-132
a4,3,-211,-202,-132
a5,2,-202,-202,-132
c4,3,-191,-202,-132
a5,2,-191,-191,-132
d4,3,-203,-191,-132
a5,2,-191,-191,-132
e5,3,-211,-191,-132
a5,2,-191,-191,-132
a6,3,-211,-191,-132
a5,2,-191,-191,-132
a8,3,-100,-191,-132
a5,2,-100,-191,-132
h2,1,-132,-310,-132
e5,2,-Infinity,-310,-132
a2,3,-241,-310,-132
e5,2,-241,-241,-132
b3,3,-195,-241,-132
e5,2,-195,-195,-132
f3,3,-154,-195,-132
e5,2,-154,-154,-132
c4,3,-173,-154,-132
e5,2,-154,-154,-132
d4,3,-161,-154,-132
e5,2,-154,-154,-132
