X*XXOXXX
O*OXXO**
XOX*O***
O*XOXXOO
*OXXOX**
*XXO***O
XXXX*OX*
OXXXXXOX
Node,Depth,Value,Alpha,Beta
root,0,-Infinity,-Infinity,Infinity
b2,1,Infinity,-Infinity,Infinity
b1,2,-Infinity,-Infinity,Infinity
g2,3,142,-Infinity,Infinity
b1,2,142,142,Infinity
d3,3,178,142,Infinity
b1,2,178,178,Infinity
f3,3,173,178,Infinity
b1,2,178,178,Infinity
h3,3,176,178,Infinity
b1,2,178,178,Infinity
b4,3,173,178,Infinity
b1,2,178,178,Infinity
a5,3,194,178,Infinity
b1,2,194,194,Infinity
c6,3,197,194,Infinity
b1,2,197,197,Infinity
e6,3,178,197,Infinity
b1,2,197,197,Infinity
f6,3,173,197,Infinity
b1,2,197,197,Infinity
g6,3,162,197,Infinity
b1,2,197,197,Infinity
e7,3,163,197,Infinity
b1,2,197,197,Infinity
b2,1,197,-Infinity,197
d3,2,-Infinity,-Infinity,197
g2,3,96,-Infinity,197
d3,2,96,96,197
f3,3,149,96,197
d3,2,149,149,197
h3,3,130,149,197
d3,2,149,149,197
b4,3,133,149,197
d3,2,149,149,197
a5,3,148,149,197
d3,2,149,149,197
a6,3,146,149,197
d3,2,149,149,197
c6,3,165,149,197
d3,2,165,165,197
e6,3,132,165,197
d3,2,165,165,197
f6,3,141,165,197
d3,2,165,165,197
g6,3,116,165,197
d3,2,165,165,197
e7,3,117,165,197
d3,2,165,165,197
b2,1,165,-Infinity,165
g3,2,-Infinity,-Infinity,165
g2,3,110,-Infinity,165
g3,2,110,110,165
h2,3,142,110,165
g3,2,142,142,165
d3,3,146,142,165
g3,2,146,146,165
f3,3,149,146,165
g3,2,149,149,165
h3,3,144,149,165
g3,2,149,149,165
b4,3,133,149,165
g3,2,149,149,165
a5,3,162,149,165
g3,2,162,162,165
g5,3,155,162,165
g3,2,162,162,165
c6,3,165,162,165
g3,2,165,162,165
b2,1,165,-Infinity,165
b4,2,-Infinity,-Infinity,165
g2,3,109,-Infinity,165
b4,2,109,109,165
d3,3,145,109,165
b4,2,145,145,165
f3,3,140,145,165
b4,2,145,145,165
h3,3,143,145,165
b4,2,145,145,165
a5,3,161,145,165
b4,2,161,161,165
c6,3,178,161,165
b4,2,178,161,165
b2,1,165,-Infinity,165
g5,2,-Infinity,-Infinity,165
g2,3,101,-Infinity,165
g5,2,101,101,165
d3,3,137,101,165
g5,2,137,137,165
f3,3,132,137,165
g5,2,137,137,165
g3,3,145,137,165
g5,2,145,145,165
b4,3,124,145,165
g5,2,145,145,165
a5,3,153,145,165
g5,2,153,153,165
h5,3,141,153,165
g5,2,153,153,165
c6,3,156,153,165
g5,2,156,156,165
e6,3,137,156,165
g5,2,156,156,165
f6,3,132,156,165
g5,2,156,156,165
g6,3,129,156,165
g5,2,156,156,165
e7,3,122,156,165
g5,2,156,156,165
b2,1,156,-Infinity,156
a6,2,-Infinity,-Infinity,156
g2,3,122,-Infinity,156
a6,2,122,122,156
d3,3,158,122,156
a6,2,158,122,156
b2,1,156,-Infinity,156
c6,2,-Infinity,-Infinity,156
g2,3,155,-Infinity,156
c6,2,155,155,156
d3,3,191,155,156
c6,2,191,155,156
b2,1,156,-Infinity,156
e6,2,-Infinity,-Infinity,156
g2,3,102,-Infinity,156
e6,2,102,102,156
d3,3,146,102,156
e6,2,146,146,156
f3,3,133,146,156
e6,2,146,146,156
h3,3,152,146,156
e6,2,152,152,156
b4,3,125,152,156
e6,2,152,152,156
a5,3,152,152,156
e6,2,152,152,156
c6,3,157,152,156
e6,2,157,152,156
b2,1,156,-Infinity,156
g6,2,-Infinity,-Infinity,156
g2,3,166,-Infinity,156
g6,2,166,-Infinity,156
b2,1,156,-Infinity,156
h7,2,-Infinity,-Infinity,156
g2,3,170,-Infinity,156
h7,2,170,-Infinity,156
b2,1,156,-Infinity,156
root,0,156,156,Infinity
g2,1,Infinity,156,Infinity
b1,2,-Infinity,156,Infinity
b2,3,94,156,Infinity
b1,2,94,156,Infinity
d3,3,130,156,Infinity
b1,2,130,156,Infinity
h3,3,128,156,Infinity
b1,2,130,156,Infinity
b4,3,125,156,Infinity
b1,2,130,156,Infinity
a5,3,146,156,Infinity
b1,2,146,156,Infinity
c6,3,149,156,Infinity
b1,2,149,156,Infinity
e6,3,130,156,Infinity
b1,2,149,156,Infinity
f6,3,125,156,Infinity
b1,2,149,156,Infinity
g6,3,114,156,Infinity
b1,2,149,156,Infinity
e7,3,115,156,Infinity
b1,2,149,156,Infinity
g2,1,149,156,Infinity
root,0,156,156,Infinity
d3,1,Infinity,156,Infinity
b1,2,-Infinity,156,Infinity
b2,3,130,156,Infinity
b1,2,130,156,Infinity
g2,3,130,156,Infinity
b1,2,130,156,Infinity
f3,3,169,156,Infinity
b1,2,169,169,Infinity
h3,3,164,169,Infinity
b1,2,169,169,Infinity
b4,3,161,169,Infinity
b1,2,169,169,Infinity
a5,3,182,169,Infinity
b1,2,182,182,Infinity
a6,3,172,182,Infinity
b1,2,182,182,Infinity
c6,3,185,182,Infinity
b1,2,185,185,Infinity
e6,3,166,185,Infinity
b1,2,185,185,Infinity
f6,3,161,185,Infinity
b1,2,185,185,Infinity
g6,3,150,185,Infinity
b1,2,185,185,Infinity
e7,3,151,185,Infinity
b1,2,185,185,Infinity
d3,1,185,156,185
b2,2,-Infinity,156,185
b1,3,176,156,185
b2,2,176,176,185
g2,3,160,176,185
b2,2,176,176,185
f3,3,199,176,185
b2,2,199,176,185
d3,1,185,156,185
g3,2,-Infinity,156,185
b1,3,162,156,185
g3,2,162,162,185
b2,3,146,162,185
g3,2,162,162,185
g2,3,146,162,185
g3,2,162,162,185
h2,3,178,162,185
g3,2,178,178,185
f3,3,193,178,185
g3,2,193,178,185
d3,1,185,156,185
b4,2,-Infinity,156,185
b1,3,161,156,185
b4,2,161,161,185
b2,3,133,161,185
b4,2,161,161,185
g2,3,145,161,185
b4,2,161,161,185
f3,3,184,161,185
b4,2,184,184,185
h3,3,179,184,185
b4,2,184,184,185
a5,3,197,184,185
b4,2,197,184,185
d3,1,185,156,185
g5,2,-Infinity,156,185
b1,3,153,156,185
g5,2,153,156,185
b2,3,137,156,185
g5,2,153,156,185
g2,3,137,156,185
g5,2,153,156,185
f3,3,176,156,185
g5,2,176,176,185
g3,3,181,176,185
g5,2,181,181,185
b4,3,168,181,185
g5,2,181,181,185
a5,3,189,181,185
g5,2,189,181,185
d3,1,185,156,185
a6,2,-Infinity,156,185
b1,3,174,156,185
a6,2,174,174,185
b2,3,158,174,185
a6,2,174,174,185
g2,3,158,174,185
a6,2,174,174,185
f3,3,197,174,185
a6,2,197,174,185
d3,1,185,156,185
c6,2,-Infinity,156,185
b1,3,207,156,185
c6,2,207,156,185
d3,1,185,156,185
e6,2,-Infinity,156,185
b1,3,154,156,185
e6,2,154,156,185
b2,3,138,156,185
e6,2,154,156,185
g2,3,138,156,185
e6,2,154,156,185
f3,3,177,156,185
e6,2,177,177,185
h3,3,188,177,185
e6,2,188,177,185
d3,1,185,156,185
g6,2,-Infinity,156,185
b2,3,186,156,185
g6,2,186,156,185
d3,1,185,156,185
h7,2,-Infinity,156,185
b1,3,222,156,185
h7,2,222,156,185
d3,1,185,156,185
root,0,185,185,Infinity
f3,1,Infinity,185,Infinity
b1,2,-Infinity,185,Infinity
b2,3,125,185,Infinity
b1,2,125,185,Infinity
d3,3,169,185,Infinity
b1,2,169,185,Infinity
h3,3,159,185,Infinity
b1,2,169,185,Infinity
b4,3,156,185,Infinity
b1,2,169,185,Infinity
a5,3,177,185,Infinity
b1,2,177,185,Infinity
h5,3,157,185,Infinity
