O**XOOOO
O*XXOX**
*OOX*O*X
X**X*OO*
XXXO*OXX
*O*XOOOX
X*XXX***
O*XOX*O*
Node,Depth,Value,Alpha,Beta
root,0,-Infinity,-Infinity,Infinity
c1,1,Infinity,-Infinity,Infinity
b1,2,-Infinity,-Infinity,Infinity
h1,3,289,-Infinity,Infinity
b1,2,289,289,Infinity
b2,3,128,289,Infinity
b1,2,289,289,Infinity
g2,3,134,289,Infinity
b1,2,289,289,Infinity
e3,3,186,289,Infinity
b1,2,289,289,Infinity
b4,3,157,289,Infinity
b1,2,289,289,Infinity
c4,3,178,289,Infinity
b1,2,289,289,Infinity
h4,3,166,289,Infinity
b1,2,289,289,Infinity
e5,3,166,289,Infinity
b1,2,289,289,Infinity
a6,3,158,289,Infinity
b1,2,289,289,Infinity
c6,3,181,289,Infinity
b1,2,289,289,Infinity
b8,3,174,289,Infinity
b1,2,289,289,Infinity
f8,3,186,289,Infinity
b1,2,289,289,Infinity
c1,1,289,-Infinity,289
b2,2,-Infinity,-Infinity,289
b1,3,152,-Infinity,289
b2,2,152,152,289
h1,3,307,152,289
b2,2,307,152,289
c1,1,289,-Infinity,289
a3,2,-Infinity,-Infinity,289
h1,3,275,-Infinity,289
a3,2,275,275,289
g2,3,144,275,289
a3,2,275,275,289
e3,3,182,275,289
a3,2,275,275,289
g3,3,164,275,289
a3,2,275,275,289
b4,3,175,275,289
a3,2,275,275,289
c4,3,194,275,289
a3,2,275,275,289
e4,3,184,275,289
a3,2,275,275,289
h4,3,176,275,289
a3,2,275,275,289
a6,3,208,275,289
a3,2,275,275,289
c6,3,191,275,289
a3,2,275,275,289
b8,3,184,275,289
a3,2,275,275,289
f8,3,196,275,289
a3,2,275,275,289
c1,1,275,-Infinity,275
e3,2,-Infinity,-Infinity,275
h1,3,277,-Infinity,275
e3,2,277,-Infinity,275
c1,1,275,-Infinity,275
g3,2,-Infinity,-Infinity,275
h1,3,299,-Infinity,275
g3,2,299,-Infinity,275
c1,1,275,-Infinity,275
b4,2,-Infinity,-Infinity,275
h1,3,278,-Infinity,275
b4,2,278,-Infinity,275
c1,1,275,-Infinity,275
e5,2,-Infinity,-Infinity,275
h1,3,273,-Infinity,275
e5,2,273,273,275
g2,3,142,273,275
e5,2,273,273,275
e3,3,188,273,275
e5,2,273,273,275
g3,3,162,273,275
e5,2,273,273,275
b4,3,165,273,275
e5,2,273,273,275
c4,3,186,273,275
e5,2,273,273,275
e4,3,190,273,275
e5,2,273,273,275
h4,3,174,273,275
e5,2,273,273,275
a6,3,166,273,275
e5,2,273,273,275
c6,3,197,273,275
e5,2,273,273,275
b8,3,182,273,275
e5,2,273,273,275
f8,3,194,273,275
e5,2,273,273,275
c1,1,273,-Infinity,273
b7,2,-Infinity,-Infinity,273
h1,3,321,-Infinity,273
b7,2,321,-Infinity,273
c1,1,273,-Infinity,273
f7,2,-Infinity,-Infinity,273
h1,3,257,-Infinity,273
f7,2,257,257,273
g2,3,126,257,273
f7,2,257,257,273
e3,3,172,257,273
f7,2,257,257,273
g3,3,146,257,273
f7,2,257,257,273
b4,3,149,257,273
f7,2,257,257,273
c4,3,170,257,273
f7,2,257,257,273
e4,3,174,257,273
f7,2,257,257,273
h4,3,166,257,273
f7,2,257,257,273
e5,3,158,257,273
f7,2,257,257,273
a6,3,150,257,273
f7,2,257,257,273
c6,3,173,257,273
f7,2,257,257,273
g7,3,120,257,273
f7,2,257,257,273
b8,3,166,257,273
f7,2,257,257,273
f8,3,178,257,273
f7,2,257,257,273
c1,1,257,-Infinity,257
g7,2,-Infinity,-Infinity,257
h1,3,321,-Infinity,257
g7,2,321,-Infinity,257
c1,1,257,-Infinity,257
root,0,257,257,Infinity
h1,1,Infinity,257,Infinity
b2,2,-Infinity,257,Infinity
b1,3,231,257,Infinity
b2,2,231,257,Infinity
c1,3,307,257,Infinity
b2,2,307,307,Infinity
g2,3,255,307,Infinity
b2,2,307,307,Infinity
e3,3,313,307,Infinity
b2,2,313,313,Infinity
g3,3,275,313,Infinity
b2,2,313,313,Infinity
b4,3,286,313,Infinity
b2,2,313,313,Infinity
c4,3,299,313,Infinity
b2,2,313,313,Infinity
h4,3,287,313,Infinity
b2,2,313,313,Infinity
e5,3,253,313,Infinity
b2,2,313,313,Infinity
a6,3,279,313,Infinity
b2,2,313,313,Infinity
c6,3,302,313,Infinity
b2,2,313,313,Infinity
b8,3,295,313,Infinity
b2,2,313,313,Infinity
f8,3,307,313,Infinity
b2,2,313,313,Infinity
h1,1,313,257,313
a3,2,-Infinity,257,313
c1,3,283,257,313
a3,2,283,283,313
b2,3,225,283,313
a3,2,283,283,313
g2,3,231,283,313
a3,2,283,283,313
e3,3,267,283,313
a3,2,283,283,313
g3,3,251,283,313
a3,2,283,283,313
b4,3,262,283,313
a3,2,283,283,313
c4,3,267,283,313
a3,2,283,283,313
h4,3,263,283,313
a3,2,283,283,313
a6,3,295,283,313
a3,2,295,295,313
c6,3,278,295,313
a3,2,295,295,313
b8,3,271,295,313
a3,2,295,295,313
f8,3,283,295,313
a3,2,295,295,313
h1,1,295,257,295
e3,2,-Infinity,257,295
c1,3,277,257,295
e3,2,277,277,295
b2,3,227,277,295
e3,2,277,277,295
g2,3,233,277,295
e3,2,277,277,295
g3,3,253,277,295
e3,2,277,277,295
b4,3,256,277,295
e3,2,277,277,295
c4,3,277,277,295
e3,2,277,277,295
e4,3,281,277,295
e3,2,281,281,295
h4,3,265,281,295
e3,2,281,281,295
e5,3,265,281,295
e3,2,281,281,295
a6,3,257,281,295
e3,2,281,281,295
c6,3,280,281,295
e3,2,281,281,295
b8,3,273,281,295
e3,2,281,281,295
f8,3,285,281,295
e3,2,285,285,295
h1,1,285,257,285
g3,2,-Infinity,257,285
c1,3,299,257,285
g3,2,299,257,285
h1,1,285,257,285
b4,2,-Infinity,257,285
c1,3,286,257,285
