OXO*OX*X
*O*O*OX*
O*O*X***
O**OX*OX
O*OX**XX
OOOOOOO*
OXOXXX*O
OO*X*X*O
Node,Depth,Value,Alpha,Beta
root,0,-Infinity,-Infinity,Infinity
g1,1,Infinity,-Infinity,Infinity
d1,2,-Infinity,-Infinity,Infinity
h2,3,112,-Infinity,Infinity
d1,2,112,112,Infinity
f3,3,141,112,Infinity
d1,2,141,141,Infinity
f4,3,180,141,Infinity
d1,2,180,180,Infinity
b5,3,109,180,Infinity
d1,2,180,180,Infinity
e5,3,176,180,Infinity
d1,2,180,180,Infinity
a6,3,208,180,Infinity
d1,2,208,208,Infinity
g7,3,124,208,Infinity
d1,2,208,208,Infinity
e8,3,166,208,Infinity
d1,2,208,208,Infinity
g1,1,208,-Infinity,208
a2,2,-Infinity,-Infinity,208
h2,3,126,-Infinity,208
a2,2,126,126,208
f3,3,155,126,208
a2,2,155,155,208
g3,3,130,155,208
a2,2,155,155,208
h3,3,142,155,208
a2,2,155,155,208
f4,3,194,155,208
a2,2,194,194,208
b5,3,123,194,208
a2,2,194,194,208
e5,3,190,194,208
a2,2,194,194,208
a6,3,234,194,208
a2,2,234,194,208
g1,1,208,-Infinity,208
e2,2,-Infinity,-Infinity,208
h2,3,143,-Infinity,208
e2,2,143,143,208
d3,3,211,143,208
e2,2,211,143,208
g1,1,208,-Infinity,208
b3,2,-Infinity,-Infinity,208
c2,3,242,-Infinity,208
b3,2,242,-Infinity,208
g1,1,208,-Infinity,208
d3,2,-Infinity,-Infinity,208
h2,3,142,-Infinity,208
d3,2,142,142,208
f3,3,187,142,208
d3,2,187,187,208
g3,3,146,187,208
d3,2,187,187,208
h3,3,158,187,208
d3,2,187,187,208
f4,3,210,187,208
d3,2,210,187,208
g1,1,208,-Infinity,208
f3,2,-Infinity,-Infinity,208
h2,3,145,-Infinity,208
f3,2,145,145,208
g3,3,137,145,208
f3,2,145,145,208
h3,3,161,145,208
f3,2,161,161,208
f4,3,227,161,208
