X*OXO*OO
**X*O*OX
OXXOX*X*
O*OO*X*X
XXOO*O*O
OXO**XOX
*XXOXXOO
OOOOOO*X
Node,Depth,Value,Alpha,Beta
root,0,-Infinity,-Infinity,Infinity
b1,1,Infinity,-Infinity,Infinity
f1,2,-Infinity,-Infinity,Infinity
a2,3,-63,-Infinity,Infinity
f1,2,-63,-63,Infinity
b2,3,-65,-63,Infinity
f1,2,-63,-63,Infinity
d2,3,-50,-63,Infinity
f1,2,-50,-50,Infinity
f2,3,-51,-50,Infinity
f1,2,-50,-50,Infinity
f3,3,-18,-50,Infinity
f1,2,-18,-18,Infinity
h3,3,-51,-18,Infinity
f1,2,-18,-18,Infinity
b4,3,-112,-18,Infinity
f1,2,-18,-18,Infinity
e4,3,-47,-18,Infinity
f1,2,-18,-18,Infinity
g4,3,-66,-18,Infinity
f1,2,-18,-18,Infinity
e5,3,-41,-18,Infinity
f1,2,-18,-18,Infinity
d6,3,-65,-18,Infinity
f1,2,-18,-18,Infinity
e6,3,-37,-18,Infinity
f1,2,-18,-18,Infinity
a7,3,-127,-18,Infinity
f1,2,-18,-18,Infinity
d8,3,-21,-18,Infinity
f1,2,-18,-18,Infinity
b1,1,-18,-Infinity,-18
a2,2,-Infinity,-Infinity,-18
b2,3,-55,-Infinity,-18
a2,2,-55,-55,-18
f2,3,-41,-55,-18
a2,2,-41,-41,-18
f3,3,-22,-41,-18
a2,2,-22,-22,-18
h3,3,-41,-22,-18
a2,2,-22,-22,-18
b4,3,-110,-22,-18
a2,2,-22,-22,-18
e4,3,-37,-22,-18
a2,2,-22,-22,-18
g4,3,-56,-22,-18
a2,2,-22,-22,-18
e5,3,-31,-22,-18
a2,2,-22,-22,-18
d6,3,-55,-22,-18
a2,2,-22,-22,-18
e6,3,-27,-22,-18
a2,2,-22,-22,-18
a7,3,-117,-22,-18
a2,2,-22,-22,-18
d8,3,-11,-22,-18
a2,2,-11,-22,-18
b1,1,-18,-Infinity,-18
f2,2,-Infinity,-Infinity,-18
a2,3,11,-Infinity,-18
f2,2,11,-Infinity,-18
b1,1,-18,-Infinity,-18
f3,2,-Infinity,-Infinity,-18
f1,3,-24,-Infinity,-18
f3,2,-24,-24,-18
a2,3,-42,-24,-18
f3,2,-24,-24,-18
b2,3,-36,-24,-18
f3,2,-24,-24,-18
f2,3,0,-24,-18
f3,2,0,-24,-18
