*O*X*XX*
OOOOXXX*
OOOOOXOX
OOXOXX*X
X***OX*X
OXOXOXXX
OOX*XOOX
XXX*OOOX
Node,Depth,Value,Alpha,Beta
root,0,-Infinity,-Infinity,Infinity
a1,1,Infinity,-Infinity,Infinity
e1,2,-Infinity,-Infinity,Infinity
c1,3,325,-Infinity,Infinity
e1,2,325,325,Infinity
h2,3,323,325,Infinity
e1,2,325,325,Infinity
g4,3,328,325,Infinity
e1,2,328,328,Infinity
b5,3,322,328,Infinity
e1,2,328,328,Infinity
c5,3,351,328,Infinity
e1,2,351,351,Infinity
d5,3,305,351,Infinity
e1,2,351,351,Infinity
h6,3,363,351,Infinity
e1,2,363,363,Infinity
d7,3,344,363,Infinity
e1,2,363,363,Infinity
d8,3,357,363,Infinity
e1,2,363,363,Infinity
a1,1,363,-Infinity,363
h2,2,-Infinity,-Infinity,363
c1,3,371,-Infinity,363
h2,2,371,-Infinity,363
a1,1,363,-Infinity,363
g4,2,-Infinity,-Infinity,363
c1,3,294,-Infinity,363
g4,2,294,294,363
e1,3,310,294,363
g4,2,310,310,363
h2,3,302,310,363
g4,2,310,310,363
b5,3,309,310,363
g4,2,310,310,363
c5,3,338,310,363
g4,2,338,338,363
d5,3,278,338,363
g4,2,338,338,363
g5,3,301,338,363
g4,2,338,338,363
h6,3,334,338,363
g4,2,338,338,363
d7,3,317,338,363
g4,2,338,338,363
d8,3,328,338,363
g4,2,338,338,363
a1,1,338,-Infinity,338
b5,2,-Infinity,-Infinity,338
c1,3,320,-Infinity,338
b5,2,320,320,338
e1,3,334,320,338
b5,2,334,334,338
h2,3,318,334,338
b5,2,334,334,338
g4,3,323,334,338
b5,2,334,334,338
c5,3,348,334,338
b5,2,348,334,338
a1,1,338,-Infinity,338
c5,2,-Infinity,-Infinity,338
c1,3,341,-Infinity,338
c5,2,341,-Infinity,338
a1,1,338,-Infinity,338
d5,2,-Infinity,-Infinity,338
c1,3,309,-Infinity,338
d5,2,309,309,338
e1,3,323,309,338
d5,2,323,323,338
h2,3,307,323,338
d5,2,323,323,338
g4,3,312,323,338
d5,2,323,323,338
b5,3,322,323,338
d5,2,323,323,338
c5,3,351,323,338
d5,2,351,323,338
a1,1,338,-Infinity,338
g5,2,-Infinity,-Infinity,338
c1,3,310,-Infinity,338
g5,2,310,310,338
e1,3,326,310,338
g5,2,326,326,338
h2,3,318,326,338
g5,2,326,326,338
g4,3,323,326,338
g5,2,326,326,338
b5,3,309,326,338
g5,2,326,326,338
c5,3,338,326,338
g5,2,338,326,338
a1,1,338,-Infinity,338
d7,2,-Infinity,-Infinity,338
c1,3,334,-Infinity,338
d7,2,334,334,338
e1,3,348,334,338
d7,2,348,334,338
a1,1,338,-Infinity,338
root,0,338,338,Infinity
c1,1,Infinity,338,Infinity
e1,2,-Infinity,338,Infinity
a1,3,335,338,Infinity
e1,2,335,338,Infinity
h2,3,218,338,Infinity
e1,2,335,338,Infinity
g4,3,223,338,Infinity
e1,2,335,338,Infinity
c5,3,252,338,Infinity
e1,2,335,338,Infinity
d5,3,200,338,Infinity
e1,2,335,338,Infinity
h6,3,258,338,Infinity
e1,2,335,338,Infinity
d7,3,239,338,Infinity
e1,2,335,338,Infinity
d8,3,252,338,Infinity
e1,2,335,338,Infinity
c1,1,335,338,Infinity
root,0,338,338,Infinity
e1,1,Infinity,338,Infinity
c1,2,-Infinity,338,Infinity
a1,3,323,338,Infinity
c1,2,323,338,Infinity
h2,3,244,338,Infinity
c1,2,323,338,Infinity
g4,3,249,338,Infinity
c1,2,323,338,Infinity
c5,3,286,338,Infinity
c1,2,323,338,Infinity
d5,3,228,338,Infinity
c1,2,323,338,Infinity
h6,3,284,338,Infinity
c1,2,323,338,Infinity
d7,3,265,338,Infinity
c1,2,323,338,Infinity
d8,3,278,338,Infinity
c1,2,323,338,Infinity
e1,1,323,338,Infinity
root,0,338,338,Infinity
h2,1,Infinity,338,Infinity
e1,2,-Infinity,338,Infinity
a1,3,331,338,Infinity
e1,2,331,338,Infinity
c1,3,270,338,Infinity
e1,2,331,338,Infinity
g4,3,243,338,Infinity
e1,2,331,338,Infinity
c5,3,272,338,Infinity
e1,2,331,338,Infinity
d5,3,222,338,Infinity
e1,2,331,338,Infinity
h6,3,278,338,Infinity
e1,2,331,338,Infinity
d7,3,259,338,Infinity
e1,2,331,338,Infinity
d8,3,272,338,Infinity
e1,2,331,338,Infinity
h2,1,331,338,Infinity
root,0,338,338,Infinity
g4,1,Infinity,338,Infinity
e1,2,-Infinity,338,Infinity
a1,3,336,338,Infinity
e1,2,336,338,Infinity
c1,3,275,338,Infinity
e1,2,336,338,Infinity
h2,3,243,338,Infinity
e1,2,336,338,Infinity
c5,3,277,338,Infinity
e1,2,336,338,Infinity
d5,3,227,338,Infinity
e1,2,336,338,Infinity
h6,3,283,338,Infinity
e1,2,336,338,Infinity
d7,3,264,338,Infinity
e1,2,336,338,Infinity
d8,3,277,338,Infinity
e1,2,336,338,Infinity
g4,1,336,338,Infinity
root,0,338,338,Infinity
c5,1,Infinity,338,Infinity
e1,2,-Infinity,338,Infinity
a1,3,357,338,Infinity
e1,2,357,357,Infinity
c1,3,296,357,Infinity
e1,2,357,357,Infinity
h2,3,264,357,Infinity
e1,2,357,357,Infinity
g4,3,269,357,Infinity
e1,2,357,357,Infinity
d5,3,280,357,Infinity
e1,2,357,357,Infinity
h6,3,304,357,Infinity
e1,2,357,357,Infinity
d7,3,285,357,Infinity
e1,2,357,357,Infinity
d8,3,298,357,Infinity
e1,2,357,357,Infinity
c5,1,357,338,357
h2,2,-Infinity,338,357
a1,3,411,338,357
h2,2,411,338,357
c5,1,357,338,357
g4,2,-Infinity,338,357
a1,3,336,338,357
g4,2,336,338,357
c1,3,275,338,357
g4,2,336,338,357
e1,3,267,338,357
g4,2,336,338,357
h2,3,251,338,357
g4,2,336,338,357
b5,3,272,338,357
g4,2,336,338,357
d5,3,261,338,357
g4,2,336,338,357
g5,3,250,338,357
g4,2,336,338,357
h6,3,283,338,357
g4,2,336,338,357
d7,3,266,338,357
g4,2,336,338,357
d8,3,277,338,357
g4,2,336,338,357
c5,1,336,338,357
root,0,338,338,Infinity
d5,1,Infinity,338,Infinity
c1,2,-Infinity,338,Infinity
a1,3,297,338,Infinity
c1,2,297,338,Infinity
e1,3,228,338,Infinity
c1,2,297,338,Infinity
h2,3,204,338,Infinity
c1,2,297,338,Infinity
g4,3,209,338,Infinity
c1,2,297,338,Infinity
h6,3,244,338,Infinity
c1,2,297,338,Infinity
d7,3,225,338,Infinity
c1,2,297,338,Infinity
d8,3,238,338,Infinity
c1,2,297,338,Infinity
