OOOOO***
O*XXXO**
XXOO*XO*
**OX*XX*
*OXOO*XO
*O****XX
**OOOOOO
*X*OOOO*
Node,Depth,Value,Alpha,Beta
root,0,-Infinity,-Infinity,Infinity
a1,1,Infinity,-Infinity,Infinity
f1,2,-Infinity,-Infinity,Infinity
g1,3,84,-Infinity,Infinity
f1,2,84,84,Infinity
e3,3,90,84,Infinity
f1,2,90,90,Infinity
a4,3,82,90,Infinity
f1,2,90,90,Infinity
e4,3,76,90,Infinity
f1,2,90,90,Infinity
f5,3,66,90,Infinity
f1,2,90,90,Infinity
c6,3,91,90,Infinity
f1,2,91,91,Infinity
a1,1,91,-Infinity,91
b2,2,-Infinity,-Infinity,91
f1,3,88,-Infinity,91
b2,2,88,88,91
e3,3,100,88,91
b2,2,100,88,91
a1,1,91,-Infinity,91
g2,2,-Infinity,-Infinity,91
f1,3,118,-Infinity,91
g2,2,118,-Infinity,91
a1,1,91,-Infinity,91
h2,2,-Infinity,-Infinity,91
f1,3,94,-Infinity,91
h2,2,94,-Infinity,91
a1,1,91,-Infinity,91
e3,2,-Infinity,-Infinity,91
f1,3,60,-Infinity,91
e3,2,60,60,91
b2,3,20,60,91
e3,2,60,60,91
a4,3,56,60,91
e3,2,60,60,91
b4,3,55,60,91
e3,2,60,60,91
e4,3,52,60,91
e3,2,60,60,91
f5,3,62,60,91
e3,2,62,62,91
c6,3,65,62,91
e3,2,65,65,91
a1,1,65,-Infinity,65
h3,2,-Infinity,-Infinity,65
f1,3,78,-Infinity,65
h3,2,78,-Infinity,65
a1,1,65,-Infinity,65
b4,2,-Infinity,-Infinity,65
f1,3,59,-Infinity,65
b4,2,59,59,65
b2,3,13,59,65
b4,2,59,59,65
e3,3,71,59,65
b4,2,71,59,65
a1,1,65,-Infinity,65
e4,2,-Infinity,-Infinity,65
f1,3,78,-Infinity,65
e4,2,78,-Infinity,65
a1,1,65,-Infinity,65
h4,2,-Infinity,-Infinity,65
f1,3,60,-Infinity,65
h4,2,60,60,65
b2,3,14,60,65
h4,2,60,60,65
e3,3,72,60,65
h4,2,72,60,65
a1,1,65,-Infinity,65
a5,2,-Infinity,-Infinity,65
f1,3,78,-Infinity,65
a5,2,78,-Infinity,65
a1,1,65,-Infinity,65
f5,2,-Infinity,-Infinity,65
f1,3,74,-Infinity,65
f5,2,74,-Infinity,65
a1,1,65,-Infinity,65
a6,2,-Infinity,-Infinity,65
b2,3,14,-Infinity,65
a6,2,14,14,65
e3,3,80,14,65
a6,2,80,14,65
a1,1,65,-Infinity,65
d6,2,-Infinity,-Infinity,65
f1,3,82,-Infinity,65
d6,2,82,-Infinity,65
a1,1,65,-Infinity,65
e6,2,-Infinity,-Infinity,65
f1,3,66,-Infinity,65
e6,2,66,-Infinity,65
a1,1,65,-Infinity,65
f6,2,-Infinity,-Infinity,65
f1,3,71,-Infinity,65
f6,2,71,-Infinity,65
a1,1,65,-Infinity,65
a7,2,-Infinity,-Infinity,65
f1,3,94,-Infinity,65
a7,2,94,-Infinity,65
a1,1,65,-Infinity,65
h8,2,-Infinity,-Infinity,65
f1,3,-5,-Infinity,65
h8,2,-5,-5,65
b2,3,-51,-5,65
h8,2,-5,-5,65
e3,3,7,-5,65
h8,2,7,7,65
a4,3,-1,7,65
h8,2,7,7,65
e4,3,-7,7,65
h8,2,7,7,65
f5,3,13,7,65
h8,2,13,13,65
c6,3,8,13,65
h8,2,13,13,65
a1,1,13,-Infinity,13
root,0,13,13,Infinity
f1,1,Infinity,13,Infinity
a1,2,-Infinity,13,Infinity
b2,3,-126,13,Infinity
a1,2,-126,13,Infinity
e3,3,-68,13,Infinity
a1,2,-68,13,Infinity
a4,3,-98,13,Infinity
a1,2,-68,13,Infinity
e4,3,-88,13,Infinity
a1,2,-68,13,Infinity
f5,3,-76,13,Infinity
a1,2,-68,13,Infinity
c6,3,-73,13,Infinity
a1,2,-68,13,Infinity
f1,1,-68,13,Infinity
root,0,13,13,Infinity
b2,1,Infinity,13,Infinity
a1,2,-Infinity,13,Infinity
e3,3,-74,13,Infinity
a1,2,-74,13,Infinity
a4,3,-102,13,Infinity
a1,2,-74,13,Infinity
b4,3,-89,13,Infinity
a1,2,-74,13,Infinity
e4,3,-100,13,Infinity
a1,2,-74,13,Infinity
f5,3,-88,13,Infinity
a1,2,-74,13,Infinity
c6,3,-85,13,Infinity
a1,2,-74,13,Infinity
b2,1,-74,13,Infinity
root,0,13,13,Infinity
e3,1,Infinity,13,Infinity
a1,2,-Infinity,13,Infinity
b2,3,-108,13,Infinity
a1,2,-108,13,Infinity
a4,3,-86,13,Infinity
a1,2,-86,13,Infinity
f5,3,-78,13,Infinity
a1,2,-78,13,Infinity
e3,1,-78,13,Infinity
root,0,13,13,Infinity
a4,1,Infinity,13,Infinity
f1,2,-Infinity,13,Infinity
g2,3,-85,13,Infinity
f1,2,-85,13,Infinity
e3,3,-15,13,Infinity
f1,2,-15,13,Infinity
e4,3,-41,13,Infinity
f1,2,-15,13,Infinity
f5,3,-51,13,Infinity
f1,2,-15,13,Infinity
c6,3,-26,13,Infinity
f1,2,-15,13,Infinity
a4,1,-15,13,Infinity
root,0,13,13,Infinity
e4,1,Infinity,13,Infinity
a1,2,-Infinity,13,Infinity
f1,3,-88,13,Infinity
a1,2,-88,13,Infinity
b2,3,-134,13,Infinity
a1,2,-88,13,Infinity
g2,3,-100,13,Infinity
a1,2,-88,13,Infinity
e3,3,-84,13,Infinity
a1,2,-84,13,Infinity
a4,3,-100,13,Infinity
a1,2,-84,13,Infinity
h4,3,-82,13,Infinity
a1,2,-82,13,Infinity
f5,3,-78,13,Infinity
a1,2,-78,13,Infinity
c6,3,-75,13,Infinity
a1,2,-75,13,Infinity
e4,1,-75,13,Infinity
root,0,13,13,Infinity
f5,1,Infinity,13,Infinity
a1,2,-Infinity,13,Infinity
f1,3,-76,13,Infinity
a1,2,-76,13,Infinity
b2,3,-122,13,Infinity
a1,2,-76,13,Infinity
e3,3,-78,13,Infinity
a1,2,-76,13,Infinity
h3,3,-76,13,Infinity
a1,2,-76,13,Infinity
a4,3,-88,13,Infinity
a1,2,-76,13,Infinity
e4,3,-78,13,Infinity
a1,2,-76,13,Infinity
h4,3,-78,13,Infinity
a1,2,-76,13,Infinity
c6,3,-63,13,Infinity
a1,2,-63,13,Infinity
f5,1,-63,13,Infinity
root,0,13,13,Infinity
c6,1,Infinity,13,Infinity
a1,2,-Infinity,13,Infinity
f1,3,-73,13,Infinity
a1,2,-73,13,Infinity
b2,3,-119,13,Infinity
a1,2,-73,13,Infinity
e3,3,-69,13,Infinity
a1,2,-69,13,Infinity
a4,3,-85,13,Infinity
