OX**X*O*
*OO**OOO
XX**O*OX
OX*XXXXX
OO*OXXOX
*OO*X*O*
*OX*OOXX
OOO***X*
Node,Depth,Value,Alpha,Beta
root,0,-Infinity,-Infinity,Infinity
c1,1,Infinity,-Infinity,Infinity
d1,2,-Infinity,-Infinity,Infinity
d2,3,-179,-Infinity,Infinity
d1,2,-179,-179,Infinity
e2,3,-171,-179,Infinity
d1,2,-171,-171,Infinity
f3,3,-175,-171,Infinity
d1,2,-171,-171,Infinity
h3,3,-162,-171,Infinity
d1,2,-162,-162,Infinity
c4,3,-172,-162,Infinity
d1,2,-162,-162,Infinity
c5,3,-158,-162,Infinity
d1,2,-158,-158,Infinity
a6,3,-144,-158,Infinity
d1,2,-144,-144,Infinity
d6,3,-172,-144,Infinity
d1,2,-144,-144,Infinity
h6,3,-174,-144,Infinity
d1,2,-144,-144,Infinity
a7,3,-232,-144,Infinity
d1,2,-144,-144,Infinity
d7,3,-193,-144,Infinity
d1,2,-144,-144,Infinity
e8,3,-192,-144,Infinity
d1,2,-144,-144,Infinity
c1,1,-144,-Infinity,-144
a2,2,-Infinity,-Infinity,-144
d1,3,-132,-Infinity,-144
a2,2,-132,-Infinity,-144
c1,1,-144,-Infinity,-144
c3,2,-Infinity,-Infinity,-144
d1,3,-125,-Infinity,-144
c3,2,-125,-Infinity,-144
c1,1,-144,-Infinity,-144
d3,2,-Infinity,-Infinity,-144
d1,3,-184,-Infinity,-144
d3,2,-184,-184,-144
d2,3,-185,-184,-144
d3,2,-184,-184,-144
e2,3,-177,-184,-144
d3,2,-177,-177,-144
c3,3,-183,-177,-144
d3,2,-177,-177,-144
f3,3,-181,-177,-144
d3,2,-177,-177,-144
h3,3,-160,-177,-144
d3,2,-160,-160,-144
c4,3,-178,-160,-144
d3,2,-160,-160,-144
c5,3,-164,-160,-144
d3,2,-160,-160,-144
a6,3,-150,-160,-144
d3,2,-150,-150,-144
f6,3,-167,-150,-144
d3,2,-150,-150,-144
h6,3,-180,-150,-144
d3,2,-150,-150,-144
a7,3,-238,-150,-144
d3,2,-150,-150,-144
d7,3,-199,-150,-144
d3,2,-150,-150,-144
e8,3,-198,-150,-144
d3,2,-150,-150,-144
c1,1,-150,-Infinity,-150
f3,2,-Infinity,-Infinity,-150
d1,3,-179,-Infinity,-150
f3,2,-179,-179,-150
f1,3,-163,-179,-150
f3,2,-163,-163,-150
d2,3,-180,-163,-150
f3,2,-163,-163,-150
e2,3,-164,-163,-150
f3,2,-163,-163,-150
c3,3,-178,-163,-150
f3,2,-163,-163,-150
d3,3,-181,-163,-150
f3,2,-163,-163,-150
h3,3,-163,-163,-150
f3,2,-163,-163,-150
c4,3,-173,-163,-150
f3,2,-163,-163,-150
c5,3,-159,-163,-150
f3,2,-159,-159,-150
a6,3,-145,-159,-150
f3,2,-145,-159,-150
c1,1,-150,-Infinity,-150
c4,2,-Infinity,-Infinity,-150
d1,3,-178,-Infinity,-150
c4,2,-178,-178,-150
d2,3,-187,-178,-150
c4,2,-178,-178,-150
e2,3,-171,-178,-150
c4,2,-171,-171,-150
c3,3,-177,-171,-150
c4,2,-171,-171,-150
d3,3,-180,-171,-150
c4,2,-171,-171,-150
f3,3,-167,-171,-150
c4,2,-167,-167,-150
h3,3,-162,-167,-150
c4,2,-162,-162,-150
c5,3,-164,-162,-150
c4,2,-162,-162,-150
a6,3,-144,-162,-150
c4,2,-144,-162,-150
c1,1,-150,-Infinity,-150
c5,2,-Infinity,-Infinity,-150
d1,3,-176,-Infinity,-150
c5,2,-176,-176,-150
d2,3,-177,-176,-150
c5,2,-176,-176,-150
e2,3,-169,-176,-150
c5,2,-169,-169,-150
c3,3,-175,-169,-150
c5,2,-169,-169,-150
d3,3,-178,-169,-150
c5,2,-169,-169,-150
f3,3,-173,-169,-150
c5,2,-169,-169,-150
h3,3,-160,-169,-150
c5,2,-160,-160,-150
c4,3,-148,-160,-150
c5,2,-148,-160,-150
c1,1,-150,-Infinity,-150
d6,2,-Infinity,-Infinity,-150
d1,3,-176,-Infinity,-150
d6,2,-176,-176,-150
d2,3,-185,-176,-150
d6,2,-176,-176,-150
e2,3,-169,-176,-150
d6,2,-169,-169,-150
c3,3,-175,-169,-150
d6,2,-169,-169,-150
d3,3,-178,-169,-150
d6,2,-169,-169,-150
f3,3,-165,-169,-150
d6,2,-165,-165,-150
h3,3,-160,-165,-150
d6,2,-160,-160,-150
c4,3,-170,-160,-150
d6,2,-160,-160,-150
c5,3,-170,-160,-150
d6,2,-160,-160,-150
a6,3,-128,-160,-150
d6,2,-128,-160,-150
c1,1,-150,-Infinity,-150
h6,2,-Infinity,-Infinity,-150
d1,3,-192,-Infinity,-150
h6,2,-192,-192,-150
d2,3,-193,-192,-150
h6,2,-192,-192,-150
e2,3,-185,-192,-150
h6,2,-185,-185,-150
c3,3,-191,-185,-150
h6,2,-185,-185,-150
d3,3,-194,-185,-150
h6,2,-185,-185,-150
h3,3,-148,-185,-150
h6,2,-148,-185,-150
c1,1,-150,-Infinity,-150
d7,2,-Infinity,-Infinity,-150
d1,3,-177,-Infinity,-150
d7,2,-177,-177,-150
d2,3,-178,-177,-150
d7,2,-177,-177,-150
e2,3,-170,-177,-150
d7,2,-170,-170,-150
c3,3,-176,-170,-150
d7,2,-170,-170,-150
d3,3,-179,-170,-150
d7,2,-170,-170,-150
f3,3,-174,-170,-150
d7,2,-170,-170,-150
h3,3,-155,-170,-150
d7,2,-155,-155,-150
c4,3,-171,-155,-150
d7,2,-155,-155,-150
c5,3,-171,-155,-150
d7,2,-155,-155,-150
a6,3,-143,-155,-150
d7,2,-143,-155,-150
c1,1,-150,-Infinity,-150
d8,2,-Infinity,-Infinity,-150
d1,3,-170,-Infinity,-150
d8,2,-170,-170,-150
d2,3,-171,-170,-150
d8,2,-170,-170,-150
e2,3,-163,-170,-150
d8,2,-163,-163,-150
