XOO*O*OX
O*X***O*
****XO*X
*XXX*XOO
******OX
**O***XX
OOOX**XX
O*OXXXXO
Node,Depth,Value,Alpha,Beta
root,0,-Infinity,-Infinity,Infinity
d1,1,Infinity,-Infinity,Infinity
d2,2,-Infinity,-Infinity,Infinity
f1,3,-11,-Infinity,Infinity
d2,2,-11,-11,Infinity
e2,3,32,-11,Infinity
d2,2,32,32,Infinity
a3,3,25,32,Infinity
d2,2,32,32,Infinity
d3,3,31,32,Infinity
d2,2,32,32,Infinity
g3,3,17,32,Infinity
d2,2,32,32,Infinity
d4,3,41,32,Infinity
d2,2,41,41,Infinity
e4,3,-1,41,Infinity
d2,2,41,41,Infinity
b5,3,44,41,Infinity
d2,2,44,44,Infinity
f5,3,25,44,Infinity
d2,2,44,44,Infinity
b6,3,21,44,Infinity
d2,2,44,44,Infinity
b8,3,41,44,Infinity
d2,2,44,44,Infinity
d1,1,44,-Infinity,44
h2,2,-Infinity,-Infinity,44
f1,3,42,-Infinity,44
h2,2,42,42,44
e2,3,43,42,44
h2,2,43,43,44
f2,3,48,43,44
h2,2,48,43,44
d1,1,44,-Infinity,44
d3,2,-Infinity,-Infinity,44
f1,3,-10,-Infinity,44
d3,2,-10,-10,44
d2,3,39,-10,44
d3,2,39,39,44
e2,3,39,39,44
d3,2,39,39,44
f2,3,44,39,44
d3,2,44,39,44
d1,1,44,-Infinity,44
a4,2,-Infinity,-Infinity,44
f1,3,2,-Infinity,44
a4,2,2,2,44
e2,3,51,2,44
a4,2,51,2,44
d1,1,44,-Infinity,44
e4,2,-Infinity,-Infinity,44
f1,3,-6,-Infinity,44
e4,2,-6,-6,44
e2,3,43,-6,44
e4,2,43,43,44
a3,3,30,43,44
e4,2,43,43,44
g3,3,36,43,44
e4,2,43,43,44
d4,3,46,43,44
e4,2,46,43,44
d1,1,44,-Infinity,44
f5,2,-Infinity,-Infinity,44
f1,3,-10,-Infinity,44
f5,2,-10,-10,44
e2,3,39,-10,44
f5,2,39,39,44
a3,3,26,39,44
f5,2,39,39,44
g3,3,32,39,44
f5,2,39,39,44
d4,3,42,39,44
f5,2,42,42,44
e4,3,8,42,44
f5,2,42,42,44
b5,3,45,42,44
