O*XXXO*X
XOOXX*OX
*OOOXXOX
X*****XX
OOOXXX*X
O*OOOO**
OOO*O*XX
O*OOOXOX
Node,Depth,Value,Alpha,Beta
root,0,-Infinity,-Infinity,Infinity
b1,1,Infinity,-Infinity,Infinity
g1,2,-Infinity,-Infinity,Infinity
f2,3,-62,-Infinity,Infinity
g1,2,-62,-62,Infinity
a3,3,-42,-62,Infinity
g1,2,-42,-42,Infinity
c4,3,-42,-42,Infinity
g1,2,-42,-42,Infinity
d4,3,-46,-42,Infinity
g1,2,-42,-42,Infinity
e4,3,-44,-42,Infinity
g1,2,-42,-42,Infinity
f4,3,-32,-42,Infinity
g1,2,-32,-32,Infinity
g5,3,-41,-32,Infinity
g1,2,-32,-32,Infinity
g6,3,-98,-32,Infinity
g1,2,-32,-32,Infinity
a8,3,53,-32,Infinity
g1,2,53,53,Infinity
b1,1,53,-Infinity,53
f2,2,-Infinity,-Infinity,53
a3,3,-46,-Infinity,53
f2,2,-46,-46,53
c4,3,-46,-46,53
f2,2,-46,-46,53
d4,3,-50,-46,53
f2,2,-46,-46,53
e4,3,-48,-46,53
f2,2,-46,-46,53
f4,3,-30,-46,53
f2,2,-30,-30,53
g5,3,-45,-30,53
f2,2,-30,-30,53
g6,3,-102,-30,53
f2,2,-30,-30,53
a8,3,49,-30,53
f2,2,49,49,53
b1,1,49,-Infinity,49
a3,2,-Infinity,-Infinity,49
f2,3,-148,-Infinity,49
a3,2,-148,-148,49
b4,3,-135,-148,49
a3,2,-135,-135,49
c4,3,-112,-135,49
a3,2,-112,-112,49
d4,3,-116,-112,49
a3,2,-112,-112,49
e4,3,-108,-112,49
a3,2,-108,-108,49
f4,3,-118,-108,49
a3,2,-108,-108,49
g5,3,-133,-108,49
a3,2,-108,-108,49
g6,3,-184,-108,49
a3,2,-108,-108,49
a8,3,-33,-108,49
a3,2,-33,-33,49
b1,1,-33,-Infinity,-33
b4,2,-Infinity,-Infinity,-33
f2,3,-147,-Infinity,-33
b4,2,-147,-147,-33
a3,3,-127,-147,-33
b4,2,-127,-127,-33
c4,3,-105,-127,-33
b4,2,-105,-105,-33
d4,3,-117,-105,-33
b4,2,-105,-105,-33
e4,3,-115,-105,-33
b4,2,-105,-105,-33
f4,3,-109,-105,-33
b4,2,-105,-105,-33
g5,3,-124,-105,-33
b4,2,-105,-105,-33
g6,3,-183,-105,-33
