XOO**X**
OXO*OX**
XX*OOOXX
OO*OXOXX
*X*O*O*X
***OXXXO
XX**XO*O
XOX*O**X
Node,Depth,Value
root,0,-Infinity
d1,1,Infinity
e1,2,-Infinity
g2,3,232
e1,2,232
c3,3,287
e1,2,287
h3,3,276
e1,2,287
c4,3,270
e1,2,287
a5,3,282
e1,2,287
c5,3,270
e1,2,287
c6,3,279
e1,2,287
g7,3,232
e1,2,287
f8,3,264
e1,2,287
g8,3,248
e1,2,287
d1,1,287
g1,2,-Infinity
e1,3,262
g1,2,262
h1,3,347
g1,2,347
g2,3,232
g1,2,347
c3,3,287
g1,2,347
h3,3,284
g1,2,347
c4,3,276
g1,2,347
a5,3,282
g1,2,347
c5,3,270
g1,2,347
e5,3,272
g1,2,347
c6,3,279
g1,2,347
g7,3,232
g1,2,347
f8,3,264
g1,2,347
g8,3,248
g1,2,347
d1,1,287
d2,2,-Infinity
c3,3,274
d2,2,274
h3,3,327
d2,2,327
c4,3,319
d2,2,327
a5,3,325
d2,2,327
c5,3,321
d2,2,327
e5,3,315
d2,2,327
g5,3,314
d2,2,327
c6,3,322
d2,2,327
d7,3,314
d2,2,327
g7,3,275
d2,2,327
f8,3,307
d2,2,327
g8,3,291
d2,2,327
d1,1,287
g2,2,-Infinity
g1,3,202
g2,2,202
h2,3,202
g2,2,202
c3,3,295
g2,2,295
h3,3,230
g2,2,295
c4,3,278
g2,2,295
a5,3,276
g2,2,295
c5,3,272
g2,2,295
e5,3,274
g2,2,295
c6,3,273
g2,2,295
g7,3,226
g2,2,295
f8,3,258
g2,2,295
g8,3,242
g2,2,295
d1,1,287
h2,2,-Infinity
g2,3,232
h2,2,232
c3,3,287
h2,2,287
h3,3,276
h2,2,287
c4,3,276
h2,2,287
a5,3,282
h2,2,287
c5,3,278
h2,2,287
c6,3,279
h2,2,287
g7,3,232
h2,2,287
f8,3,264
h2,2,287
g8,3,248
h2,2,287
d1,1,287
h3,2,-Infinity
g2,3,230
h3,2,230
h2,3,260
h3,2,260
c4,3,252
h3,2,260
a5,3,258
h3,2,260
c5,3,254
h3,2,260
c6,3,255
h3,2,260
g7,3,208
h3,2,260
f8,3,240
h3,2,260
g8,3,224
h3,2,260
d1,1,260
c4,2,-Infinity
c3,3,267
c4,2,267
h3,3,272
c4,2,272
a5,3,270
c4,2,272
c5,3,266
c4,2,272
e5,3,260
c4,2,272
c6,3,267
c4,2,272
g7,3,220
c4,2,272
f8,3,252
c4,2,272
g8,3,236
c4,2,272
d1,1,260
e5,2,-Infinity
c3,3,269
e5,2,269
h3,3,266
e5,2,269
c4,3,266
e5,2,269
a5,3,264
e5,2,269
c5,3,252
e5,2,269
c6,3,269
e5,2,269
c7,3,258
e5,2,269
d7,3,259
e5,2,269
d8,3,246
e5,2,269
f8,3,246
e5,2,269
d1,1,260
b6,2,-Infinity
c3,3,329
b6,2,329
h3,3,326
b6,2,329
c4,3,318
b6,2,329
a5,3,324
b6,2,329
c5,3,312
b6,2,329
e5,3,314
b6,2,329
a6,3,266
b6,2,329
c6,3,273
b6,2,329
c7,3,254
b6,2,329
g7,3,274
b6,2,329
f8,3,306
b6,2,329
g8,3,290
b6,2,329
d1,1,260
c6,2,-Infinity
c3,3,270
c6,2,270
h3,3,267
c6,2,270
c4,3,259
c6,2,270
a5,3,265
c6,2,270
c5,3,261
c6,2,270
e5,3,255
c6,2,270
b6,3,253
c6,2,270
g7,3,215
c6,2,270
f8,3,247
c6,2,270
g8,3,231
c6,2,270
d1,1,260
d7,2,-Infinity
c3,3,272
d7,2,272
h3,3,269
d7,2,272
c4,3,261
d7,2,272
a5,3,267
d7,2,272
c5,3,255
d7,2,272
e5,3,257
d7,2,272
c6,3,272
d7,2,272
d8,3,249
d7,2,272
f8,3,249
d7,2,272
d1,1,260
d8,2,-Infinity
c3,3,249
d8,2,249
h3,3,246
d8,2,249
c4,3,238
d8,2,249
a5,3,244
d8,2,249
c5,3,240
d8,2,249
e5,3,234
d8,2,249
c6,3,241
d8,2,249
g7,3,194
d8,2,249
f8,3,250
d8,2,250
g8,3,210
d8,2,250
d1,1,250
f8,2,-Infinity
c3,3,269
f8,2,269
h3,3,266
f8,2,269
c4,3,258
f8,2,269
a5,3,264
f8,2,269
c5,3,252
f8,2,269
e5,3,254
f8,2,269
c6,3,261
f8,2,269
d8,3,246
f8,2,269
g8,3,230
f8,2,269
d1,1,250
root,0,250
e1,1,Infinity
d1,2,-Infinity
d2,3,233
d1,2,233
g2,3,240
d1,2,240
c3,3,265
d1,2,265
h3,3,270
d1,2,270
c4,3,256
d1,2,270
a5,3,268
d1,2,270
c5,3,256
d1,2,270
e5,3,258
d1,2,270
g5,3,255
d1,2,270
c6,3,265
d1,2,270
g7,3,218
d1,2,270
f8,3,250
d1,2,270
g8,3,234
d1,2,270
e1,1,270
g1,2,-Infinity
d1,3,256
g1,2,256
h1,3,341
g1,2,341
d2,3,247
g1,2,341
g2,3,240
g1,2,341
c3,3,295
g1,2,341
h3,3,278
g1,2,341
c4,3,270
g1,2,341
a5,3,276
g1,2,341
c5,3,264
g1,2,341
e5,3,266
g1,2,341
c6,3,273
g1,2,341
g7,3,226
g1,2,341
f8,3,258
g1,2,341
g8,3,242
g1,2,341
e1,1,270
d2,2,-Infinity
d1,3,243
d2,2,243
g2,3,235
d2,2,243
c3,3,276
d2,2,276
h3,3,265
d2,2,276
