O***XOOO
OOX*OX**
*O***OOX
*XOXOOOX
*OXOXOOX
*OOO*OOO
O****XO*
OOXXOOXO
Node,Depth,Value
root,0,-Infinity
d1,1,Infinity
b1,2,-Infinity
c1,3,317
b1,2,317
h1,3,408
b1,2,408
g2,3,293
b1,2,408
h2,3,357
b1,2,408
a3,3,335
b1,2,408
c3,3,284
b1,2,408
d3,3,329
b1,2,408
e3,3,337
b1,2,408
a4,3,317
b1,2,408
e6,3,329
b1,2,408
e7,3,314
b1,2,408
d1,1,408
c1,2,-Infinity
g2,3,181
c1,2,181
h2,3,245
c1,2,245
a3,3,223
c1,2,245
c3,3,220
c1,2,245
d3,3,217
c1,2,245
e3,3,225
c1,2,245
a4,3,213
c1,2,245
e6,3,217
c1,2,245
e7,3,202
c1,2,245
d1,1,245
d2,2,-Infinity
h1,3,353
d2,2,353
g2,3,226
d2,2,353
h2,3,302
d2,2,353
a3,3,280
d2,2,353
c3,3,271
d2,2,353
d3,3,262
d2,2,353
e3,3,276
d2,2,353
a4,3,270
d2,2,353
e6,3,274
d2,2,353
e7,3,259
d2,2,353
d1,1,245
g2,2,-Infinity
h1,3,396
g2,2,396
h2,3,329
g2,2,396
a3,3,371
g2,2,396
c3,3,368
g2,2,396
d3,3,365
g2,2,396
e3,3,373
g2,2,396
a4,3,361
g2,2,396
e6,3,365
g2,2,396
h7,3,345
g2,2,396
d1,1,245
h2,2,-Infinity
h1,3,376
h2,2,376
g2,3,229
h2,2,376
a3,3,279
h2,2,376
c3,3,276
h2,2,376
d3,3,273
h2,2,376
e3,3,289
h2,2,376
a4,3,269
h2,2,376
e6,3,273
h2,2,376
e7,3,258
h2,2,376
d1,1,245
c3,2,-Infinity
h1,3,329
c3,2,329
g2,3,214
c3,2,329
h2,3,278
c3,2,329
a3,3,256
c3,2,329
d3,3,272
c3,2,329
e3,3,258
c3,2,329
a4,3,254
c3,2,329
e6,3,250
c3,2,329
e7,3,235
c3,2,329
d1,1,245
e3,2,-Infinity
h1,3,334
e3,2,334
d2,3,256
e3,2,334
g2,3,225
e3,2,334
h2,3,275
e3,2,334
a3,3,261
e3,2,334
c3,3,258
e3,2,334
d3,3,255
e3,2,334
a4,3,251
e3,2,334
e6,3,263
e3,2,334
e7,3,240
e3,2,334
d1,1,245
a5,2,-Infinity
h1,3,344
a5,2,344
g2,3,229
a5,2,344
h2,3,293
a5,2,344
a3,3,271
a5,2,344
c3,3,268
a5,2,344
d3,3,265
a5,2,344
e3,3,273
a5,2,344
a4,3,255
a5,2,344
a6,3,263
a5,2,344
e6,3,265
a5,2,344
e7,3,250
a5,2,344
d1,1,245
e6,2,-Infinity
h1,3,338
e6,2,338
g2,3,223
e6,2,338
h2,3,287
e6,2,338
a3,3,265
e6,2,338
c3,3,262
e6,2,338
d3,3,259
e6,2,338
e3,3,267
e6,2,338
a4,3,255
e6,2,338
e7,3,252
e6,2,338
d1,1,245
b7,2,-Infinity
h1,3,382
b7,2,382
g2,3,267
b7,2,382
h2,3,331
b7,2,382
a3,3,309
b7,2,382
c3,3,306
b7,2,382
d3,3,303
b7,2,382
e3,3,303
b7,2,382
a4,3,293
b7,2,382
a5,3,307
b7,2,382
a6,3,293
b7,2,382
e6,3,303
b7,2,382
c7,3,247
b7,2,382
e7,3,288
b7,2,382
d1,1,245
c7,2,-Infinity
h1,3,326
c7,2,326
g2,3,211
c7,2,326
h2,3,275
c7,2,326
c3,3,250
c7,2,326
d3,3,247
c7,2,326
e3,3,255
c7,2,326
a4,3,243
c7,2,326
e6,3,269
c7,2,326
b7,3,233
c7,2,326
d7,3,262
c7,2,326
e7,3,232
c7,2,326
d1,1,245
d7,2,-Infinity
h1,3,339
d7,2,339
g2,3,224
d7,2,339
h2,3,288
d7,2,339
c3,3,263
d7,2,339
e3,3,268
d7,2,339
a4,3,256
d7,2,339
e6,3,268
d7,2,339
c7,3,260
d7,2,339
e7,3,245
d7,2,339
d1,1,245
e7,2,-Infinity
h1,3,331
e7,2,331
g2,3,216
e7,2,331
h2,3,280
e7,2,331
a3,3,260
e7,2,331
c3,3,269
e7,2,331
d3,3,252
e7,2,331
e3,3,260
e7,2,331
a4,3,248
e7,2,331
e6,3,268
e7,2,331
c7,3,252
e7,2,331
d7,3,239
e7,2,331
d1,1,245
h7,2,-Infinity
h1,3,384
h7,2,384
g2,3,269
h7,2,384
h2,3,333
h7,2,384
a3,3,311
h7,2,384
c3,3,308
h7,2,384
d3,3,305
h7,2,384
e3,3,313
h7,2,384
a4,3,301
h7,2,384
e6,3,305
h7,2,384
d1,1,245
root,0,245
h1,1,Infinity
b1,2,-Infinity
c1,3,390
b1,2,390
d1,3,416
b1,2,416
d2,3,339
b1,2,416
g2,3,366
b1,2,416
h2,3,430
b1,2,430
a3,3,408
b1,2,430
c3,3,357
b1,2,430
d3,3,402
b1,2,430
e3,3,402
b1,2,430
a4,3,398
b1,2,430
e6,3,402
b1,2,430
e7,3,387
b1,2,430
h1,1,430
d1,2,-Infinity
c1,3,358
d1,2,358
d2,3,315
d1,2,358
g2,3,316
d1,2,358
h2,3,358
d1,2,358
a3,3,336
d1,2,358
c3,3,333
d1,2,358
d3,3,324
d1,2,358
e3,3,344
d1,2,358
a4,3,326
d1,2,358
e6,3,330
d1,2,358
e7,3,315
d1,2,358
h1,1,358
d2,2,-Infinity
d1,3,347
d2,2,347
g2,3,291
d2,2,347
