OOOOOO*O
X*X*XX**
OXO*OOX*
*OXO****
O*O*OOOO
XX*XOOOO
X*XOX*OO
XX**XXOO
Node,Depth,Value
root,0,-Infinity
g1,1,Infinity
b2,2,-Infinity
d2,3,204
b2,2,204
d3,3,195
b2,2,204
h3,3,199
b2,2,204
a4,3,189
b2,2,204
e4,3,207
b2,2,207
h4,3,197
b2,2,207
d5,3,207
b2,2,207
c6,3,214
b2,2,214
b7,3,167
b2,2,214
f7,3,203
b2,2,214
d8,3,225
b2,2,225
h8,3,214
b2,2,225
g1,1,225
g2,2,-Infinity
b2,3,203
g2,2,203
d3,3,225
g2,2,225
h3,3,187
g2,2,225
a4,3,225
g2,2,225
g4,3,176
g2,2,225
h4,3,225
g2,2,225
d5,3,243
g2,2,243
c6,3,250
g2,2,250
b7,3,203
g2,2,250
f7,3,225
g2,2,250
d8,3,247
g2,2,250
h8,3,270
g2,2,270
g1,1,225
d3,2,-Infinity
b2,3,145
d3,2,145
d2,3,176
d3,2,176
h3,3,199
d3,2,199
a4,3,153
d3,2,199
e4,3,165
d3,2,199
f4,3,181
d3,2,199
g4,3,168
d3,2,199
h4,3,161
d3,2,199
b5,3,170
d3,2,199
d5,3,171
d3,2,199
c6,3,178
d3,2,199
b7,3,131
d3,2,199
f7,3,153
d3,2,199
d8,3,175
d3,2,199
h8,3,198
d3,2,199
g1,1,199
a4,2,-Infinity
d2,3,166
a4,2,166
d3,3,165
a4,2,166
h3,3,175
a4,2,175
h4,3,173
a4,2,175
d5,3,183
a4,2,183
c6,3,190
a4,2,190
b7,3,143
a4,2,190
f7,3,165
a4,2,190
d8,3,203
a4,2,203
h8,3,210
a4,2,210
g1,1,199
e4,2,-Infinity
b2,3,155
e4,2,155
d2,3,178
e4,2,178
d3,3,185
e4,2,185
h3,3,187
e4,2,187
a4,3,177
e4,2,187
f4,3,207
e4,2,207
g4,3,200
e4,2,207
h4,3,185
e4,2,207
d5,3,203
e4,2,207
c6,3,210
e4,2,210
b7,3,155
e4,2,210
f7,3,169
e4,2,210
d8,3,199
e4,2,210
h8,3,222
e4,2,222
g1,1,199
f4,2,-Infinity
b2,3,167
f4,2,167
d2,3,190
f4,2,190
d3,3,189
f4,2,190
h3,3,199
f4,2,199
a4,3,189
f4,2,199
e4,3,199
f4,2,199
h4,3,197
f4,2,199
d5,3,207
f4,2,207
c6,3,214
f4,2,214
b7,3,167
f4,2,214
f7,3,189
f4,2,214
d8,3,211
f4,2,214
h8,3,234
f4,2,234
g1,1,199
g4,2,-Infinity
b2,3,174
g4,2,174
d2,3,197
g4,2,197
g2,3,106
g4,2,197
d3,3,196
g4,2,197
h3,3,214
g4,2,214
a4,3,196
g4,2,214
f4,3,218
g4,2,218
h4,3,198
g4,2,218
d5,3,214
g4,2,218
c6,3,221
g4,2,221
b7,3,174
g4,2,221
f7,3,188
g4,2,221
d8,3,218
g4,2,221
h8,3,241
g4,2,241
g1,1,199
h4,2,-Infinity
b2,3,129
h4,2,129
d2,3,152
h4,2,152
d3,3,151
h4,2,152
h3,3,161
h4,2,161
a4,3,151
h4,2,161
g4,3,152
h4,2,161
d5,3,169
h4,2,169
c6,3,176
h4,2,176
b7,3,129
h4,2,176
f7,3,165
h4,2,176
d8,3,179
h4,2,179
h8,3,226
h4,2,226
g1,1,199
b5,2,-Infinity
d2,3,203
b5,2,203
d3,3,202
b5,2,203
h3,3,212
b5,2,212
a4,3,204
b5,2,212
h4,3,210
b5,2,212
d5,3,220
b5,2,220
c6,3,227
b5,2,227
b7,3,180
b5,2,227
f7,3,202
b5,2,227
d8,3,224
b5,2,227
h8,3,247
b5,2,247
g1,1,199
c6,2,-Infinity
b2,3,162
c6,2,162
d2,3,185
c6,2,185
d3,3,184
c6,2,185
h3,3,194
c6,2,194
a4,3,184
c6,2,194
h4,3,192
c6,2,194
c8,3,218
c6,2,218
d8,3,206
c6,2,218
h8,3,229
c6,2,229
g1,1,199
d8,2,-Infinity
b2,3,171
d8,2,171
d2,3,194
d8,2,194
d3,3,193
d8,2,194
h3,3,203
d8,2,203
a4,3,193
d8,2,203
h4,3,201
d8,2,203
c6,3,218
d8,2,218
c8,3,245
d8,2,245
h8,3,238
d8,2,245
g1,1,199
h8,2,-Infinity
b2,3,88
h8,2,88
d2,3,111
h8,2,111
d3,3,110
h8,2,111
h3,3,120
h8,2,120
a4,3,110
h8,2,120
h4,3,118
h8,2,120
d5,3,128
h8,2,128
c6,3,135
h8,2,135
b7,3,88
h8,2,135
f7,3,110
h8,2,135
d8,3,104
h8,2,135
g1,1,135
root,0,135
b2,1,Infinity
d3,2,-Infinity
g1,3,153
d3,2,153
d2,3,158
d3,2,158
h3,3,191
d3,2,191
e4,3,163
d3,2,191
f4,3,171
d3,2,191
g4,3,166
d3,2,191
h4,3,151
d3,2,191
b5,3,168
d3,2,191
d5,3,177
d3,2,191
c6,3,176
d3,2,191
b7,3,129
d3,2,191
f7,3,151
d3,2,191
d8,3,173
d3,2,191
h8,3,196
d3,2,196
b2,1,196
a4,2,-Infinity
g1,3,151
a4,2,151
d2,3,156
a4,2,156
d3,3,157
a4,2,157
h3,3,167
a4,2,167
h4,3,157
a4,2,167
b5,3,150
a4,2,167
d5,3,175
a4,2,175
c6,3,182
a4,2,182
b7,3,135
a4,2,182
f7,3,157
a4,2,182
d8,3,195
a4,2,195
h8,3,202
a4,2,202
b2,1,196
e4,2,-Infinity
g1,3,163
e4,2,163
d2,3,160
e4,2,163
d3,3,169
e4,2,169
h3,3,171
e4,2,171
f4,3,191
e4,2,191
g4,3,184
e4,2,191
h4,3,161
e4,2,191
d5,3,195
e4,2,195
c6,3,194
e4,2,195
b7,3,139
e4,2,195
f7,3,153
e4,2,195
d8,3,183
e4,2,195
h8,3,206
e4,2,206
b2,1,196
f4,2,-Infinity
g1,3,153
f4,2,153
d2,3,158
f4,2,158
d3,3,159
f4,2,159
h3,3,183
f4,2,183
e4,3,169
f4,2,183
g4,3,174
f4,2,183
h4,3,159
f4,2,183
d5,3,185
f4,2,185
c6,3,184
f4,2,185
b7,3,137
f4,2,185
f7,3,159
f4,2,185
d8,3,181
f4,2,185
h8,3,204
f4,2,204
b2,1,196
g4,2,-Infinity
g1,3,174
g4,2,174
d2,3,179
g4,2,179
g2,3,90
g4,2,179
d3,3,180
g4,2,180
h3,3,198
g4,2,198
f4,3,194
g4,2,198
h4,3,174
g4,2,198
d5,3,206
g4,2,206
c6,3,205
g4,2,206
b7,3,158
g4,2,206
f7,3,172
g4,2,206
d8,3,202
g4,2,206
h8,3,225
g4,2,225
b2,1,196
h4,2,-Infinity
g1,3,129
h4,2,129
d2,3,134
h4,2,134
d3,3,135
h4,2,135
h3,3,145
h4,2,145
g4,3,136
h4,2,145
d5,3,161
h4,2,161
c6,3,160
h4,2,161
b7,3,113
h4,2,161
f7,3,149
h4,2,161
d8,3,163
h4,2,163
h8,3,210
h4,2,210
b2,1,196
c6,2,-Infinity
g1,3,162
c6,2,162
d2,3,167
c6,2,167
d3,3,168
c6,2,168
h3,3,178
c6,2,178
h4,3,168
c6,2,178
d5,3,186
c6,2,186
c8,3,202
c6,2,202
d8,3,190
c6,2,202
h8,3,213
c6,2,213
b2,1,196
d8,2,-Infinity
g1,3,171
d8,2,171
d2,3,176
d8,2,176
d3,3,177
d8,2,177
h3,3,187
d8,2,187
h4,3,177
d8,2,187
d5,3,195
d8,2,195
c6,3,202
d8,2,202
c8,3,229
d8,2,229
h8,3,222
d8,2,229
b2,1,196
h8,2,-Infinity
g1,3,88
h8,2,88
d2,3,93
h8,2,93
d3,3,94
h8,2,94
h3,3,104
h8,2,104
h4,3,94
h8,2,104
d5,3,120
h8,2,120
c6,3,119
h8,2,120
b7,3,72
h8,2,120
f7,3,94
h8,2,120
d8,3,88
h8,2,120
b2,1,120
root,0,135
d3,1,Infinity
b2,2,-Infinity
g1,3,189
b2,2,189
d2,3,216
b2,2,216
g2,3,173
b2,2,216
h3,3,205
b2,2,216
a4,3,203
b2,2,216
e4,3,213
b2,2,216
h4,3,195
b2,2,216
b5,3,210
b2,2,216
d5,3,213
b2,2,216
c6,3,220
b2,2,220
b7,3,173
b2,2,220
f7,3,209
b2,2,220
d8,3,231
b2,2,231
h8,3,220
b2,2,231
d3,1,231
d2,2,-Infinity
g1,3,202
d2,2,202
b2,3,186
d2,2,202
g2,3,174
d2,2,202
h3,3,218
d2,2,218
a4,3,216
d2,2,218
h4,3,208
d2,2,218
b5,3,223
d2,2,223
d5,3,226
d2,2,226
c6,3,233
d2,2,233
b7,3,186
d2,2,233
f7,3,208
d2,2,233
d8,3,230
d2,2,233
h8,3,253
d2,2,253
d3,1,231
a4,2,-Infinity
g1,3,165
a4,2,165
g2,3,149
a4,2,165
h3,3,181
a4,2,181
h4,3,171
a4,2,181
b5,3,186
a4,2,186
d5,3,189
a4,2,189
c6,3,196
a4,2,196
b7,3,149
a4,2,196
f7,3,171
a4,2,196
d8,3,209
a4,2,209
h8,3,216
a4,2,216
d3,1,216
e4,2,-Infinity
g1,3,185
e4,2,185
b2,3,169
e4,2,185
g2,3,169
e4,2,185
h3,3,201
e4,2,201
a4,3,199
e4,2,201
f4,3,221
e4,2,221
g4,3,214
e4,2,221
h4,3,191
e4,2,221
b5,3,206
e4,2,221
d5,3,217
e4,2,221
c6,3,224
e4,2,224
b7,3,169
e4,2,224
f7,3,183
e4,2,224
d8,3,213
e4,2,224
h8,3,236
e4,2,236
d3,1,216
f4,2,-Infinity
g1,3,175
f4,2,175
b2,3,159
f4,2,175
g2,3,159
f4,2,175
h3,3,205
f4,2,205
a4,3,189
f4,2,205
e4,3,191
f4,2,205
g4,3,202
f4,2,205
h4,3,181
f4,2,205
b5,3,196
f4,2,205
d5,3,199
f4,2,205
c6,3,206
f4,2,206
b7,3,159
f4,2,206
f7,3,181
f4,2,206
d8,3,203
f4,2,206
h8,3,226
f4,2,226
d3,1,216
g4,2,-Infinity
g1,3,210
g4,2,210
b2,3,194
g4,2,210
g2,3,118
g4,2,210
h3,3,220
g4,2,220
a4,3,224
g4,2,224
f4,3,224
g4,2,224
h4,3,210
g4,2,224
b5,3,231
g4,2,231
d5,3,234
g4,2,234
c6,3,241
g4,2,241
b7,3,194
g4,2,241
f7,3,208
g4,2,241
d8,3,238
g4,2,241
h8,3,261
g4,2,261
d3,1,216
h4,2,-Infinity
g1,3,151
h4,2,151
b2,3,135
h4,2,151
g2,3,135
h4,2,151
h3,3,167
h4,2,167
a4,3,165
h4,2,167
g4,3,158
h4,2,167
b5,3,172
h4,2,172
d5,3,175
h4,2,175
c6,3,182
h4,2,182
b7,3,135
h4,2,182
f7,3,171
h4,2,182
d8,3,185
h4,2,185
h8,3,232
h4,2,232
d3,1,216
b5,2,-Infinity
g1,3,202
b5,2,202
g2,3,186
b5,2,202
h3,3,218
b5,2,218
a4,3,218
b5,2,218
h4,3,208
b5,2,218
d5,3,226
b5,2,226
c6,3,233
b5,2,233
b7,3,186
b5,2,233
f7,3,208
b5,2,233
d8,3,230
b5,2,233
h8,3,253
b5,2,253
d3,1,216
c6,2,-Infinity
g1,3,184
c6,2,184
b2,3,168
c6,2,184
g2,3,168
c6,2,184
h3,3,200
c6,2,200
a4,3,198
c6,2,200
h4,3,190
c6,2,200
b5,3,205
c6,2,205
c8,3,224
c6,2,224
d8,3,212
c6,2,224
h8,3,235
c6,2,235
d3,1,216
d8,2,-Infinity
g1,3,193
d8,2,193
b2,3,177
d8,2,193
g2,3,177
d8,2,193
h3,3,209
d8,2,209
a4,3,207
d8,2,209
h4,3,199
d8,2,209
b5,3,214
d8,2,214
c6,3,224
d8,2,224
c8,3,251
d8,2,251
h8,3,244
d8,2,251
d3,1,216
h8,2,-Infinity
g1,3,110
h8,2,110
b2,3,94
h8,2,110
g2,3,94
h8,2,110
h3,3,126
h8,2,126
a4,3,124
h8,2,126
h4,3,116
h8,2,126
b5,3,131
h8,2,131
d5,3,134
h8,2,134
c6,3,141
h8,2,141
b7,3,94
h8,2,141
f7,3,116
h8,2,141
d8,3,110
h8,2,141
d3,1,141
root,0,141
h3,1,Infinity
b2,2,-Infinity
g1,3,199
b2,2,199
d2,3,226
b2,2,226
d3,3,211
b2,2,226
a4,3,205
b2,2,226
e4,3,223
b2,2,226
d5,3,223
b2,2,226
c6,3,230
b2,2,230
b7,3,183
b2,2,230
f7,3,219
b2,2,230
d8,3,241
b2,2,241
h8,3,230
b2,2,241
h3,1,241
d3,2,-Infinity
g1,3,185
d3,2,185
b2,3,183
d3,2,185
d2,3,220
d3,2,220
a4,3,191
d3,2,220
e4,3,201
d3,2,220
b5,3,208
d3,2,220
d5,3,209
d3,2,220
c6,3,216
d3,2,220
b7,3,169
d3,2,220
f7,3,191
d3,2,220
d8,3,213
d3,2,220
h8,3,236
d3,2,236
h3,1,236
a4,2,-Infinity
g1,3,175
a4,2,175
d3,3,181
a4,2,181
d5,3,199
a4,2,199
c6,3,206
a4,2,206
b7,3,159
a4,2,206
f7,3,181
a4,2,206
d8,3,219
a4,2,219
h8,3,226
a4,2,226
h3,1,226
e4,2,-Infinity
g1,3,195
e4,2,195
b2,3,171
e4,2,195
d3,3,201
e4,2,201
a4,3,193
e4,2,201
f4,3,223
e4,2,223
g4,3,216
e4,2,223
d5,3,219
e4,2,223
c6,3,226
e4,2,226
b7,3,171
e4,2,226
f7,3,185
e4,2,226
d8,3,215
e4,2,226
h8,3,238
e4,2,238
h3,1,226
f4,2,-Infinity
g1,3,185
f4,2,185
b2,3,169
f4,2,185
d3,3,191
f4,2,191
a4,3,191
f4,2,191
e4,3,201
f4,2,201
g4,3,206
f4,2,206
d5,3,209
f4,2,209
c6,3,216
f4,2,216
b7,3,169
f4,2,216
f7,3,191
f4,2,216
d8,3,213
f4,2,216
h8,3,236
f4,2,236
