O*OO*OXX
XO*O***O
XXOOX*OO
OO*O*O*O
OXO**OXO
XXXOOX**
XX**OXXX
OXXXXXXX
Node,Depth,Value
root,0,-Infinity
b1,1,Infinity
c2,2,-Infinity
e1,3,-177
c2,2,-177
e2,3,-244
c2,2,-177
f3,3,-204
c2,2,-177
c4,3,-223
c2,2,-177
e4,3,-227
c2,2,-177
d5,3,-211
c2,2,-177
e5,3,-205
c2,2,-177
h6,3,-195
c2,2,-177
d7,3,-236
c2,2,-177
h8,3,-136
c2,2,-136
b1,1,-136
f2,2,-Infinity
e1,3,-193
f2,2,-193
f3,3,-190
f2,2,-190
c4,3,-231
f2,2,-190
d5,3,-227
f2,2,-190
e5,3,-221
f2,2,-190
h6,3,-211
f2,2,-190
d7,3,-252
f2,2,-190
h8,3,-152
f2,2,-152
b1,1,-152
f3,2,-Infinity
e1,3,-204
f3,2,-204
f2,3,-212
f3,2,-204
c4,3,-242
f3,2,-204
d5,3,-238
f3,2,-204
e5,3,-232
f3,2,-204
h6,3,-222
f3,2,-204
d7,3,-263
f3,2,-204
h8,3,-163
f3,2,-163
b1,1,-163
d5,2,-Infinity
e1,3,-155
d5,2,-155
f3,3,-182
d5,2,-155
c4,3,-193
d5,2,-155
e5,3,-175
d5,2,-155
h6,3,-173
d5,2,-155
c7,3,-257
d5,2,-155
d7,3,-200
d5,2,-155
h8,3,-114
d5,2,-114
b1,1,-163
e5,2,-Infinity
e1,3,-203
e5,2,-203
f3,3,-216
e5,2,-203
c4,3,-241
e5,2,-203
d5,3,-229
e5,2,-203
g6,3,-227
e5,2,-203
h6,3,-221
e5,2,-203
d7,3,-262
e5,2,-203
h8,3,-134
e5,2,-134
b1,1,-163
g6,2,-Infinity
e1,3,-191
g6,2,-191
c4,3,-229
g6,2,-191
e4,3,-241
g6,2,-191
d5,3,-233
g6,2,-191
e5,3,-219
g6,2,-191
h6,3,-187
g6,2,-187
d7,3,-306
g6,2,-187
h8,3,-102
g6,2,-102
b1,1,-163
h6,2,-Infinity
e1,3,-191
h6,2,-191
f3,3,-218
h6,2,-191
c4,3,-229
h6,2,-191
d5,3,-225
h6,2,-191
e5,3,-227
h6,2,-191
d7,3,-250
h6,2,-191
h8,3,-150
h6,2,-150
b1,1,-163
c7,2,-Infinity
e1,3,-191
c7,2,-191
f3,3,-218
c7,2,-191
d5,3,-211
c7,2,-191
e5,3,-219
c7,2,-191
h6,3,-209
c7,2,-191
d7,3,-244
c7,2,-191
h8,3,-150
c7,2,-150
b1,1,-163
d7,2,-Infinity
e1,3,-194
d7,2,-194
f3,3,-221
d7,2,-194
c4,3,-246
d7,2,-194
d5,3,-222
d7,2,-194
e5,3,-222
d7,2,-194
h6,3,-212
d7,2,-194
c7,3,-260
d7,2,-194
h8,3,-153
d7,2,-153
b1,1,-163
root,0,-163
e1,1,Infinity
c2,2,-Infinity
b1,3,-191
c2,2,-191
e2,3,-214
c2,2,-191
f3,3,-126
c2,2,-126
c4,3,-145
c2,2,-126
d5,3,-133
c2,2,-126
e5,3,-141
c2,2,-126
h6,3,-117
c2,2,-117
d7,3,-158
c2,2,-117
h8,3,-58
c2,2,-58
e1,1,-58
f2,2,-Infinity
b1,3,-193
f2,2,-193
c2,3,-217
f2,2,-193
f3,3,-120
f2,2,-120
c4,3,-153
f2,2,-120
d5,3,-149
f2,2,-120
e5,3,-157
f2,2,-120
h6,3,-133
f2,2,-120
d7,3,-174
f2,2,-120
h8,3,-74
f2,2,-74
e1,1,-74
f3,2,-Infinity
b1,3,-204
f3,2,-204
