*O*XOX*X
*X*O*X*X
XXOX*OXX
*XOOXX*O
*OO*O*XX
OO*O*O**
XX*X*O**
OOXXXOOX
Node,Depth,Value
root,0,-Infinity
c1,1,Infinity
a1,2,-Infinity
e2,3,-160
a1,2,-160
c3,3,-158
a1,2,-158
e3,3,-169
a1,2,-158
d5,3,-165
a1,2,-158
f5,3,-161
a1,2,-158
c6,3,-214
a1,2,-158
h6,3,-153
a1,2,-153
c1,1,-153
g2,2,-Infinity
g1,3,-32
g2,2,-32
e2,3,-27
g2,2,-27
c3,3,-25
g2,2,-25
e3,3,-36
g2,2,-25
d5,3,-32
g2,2,-25
c6,3,-81
g2,2,-25
h6,3,-20
g2,2,-20
c1,1,-153
e3,2,-Infinity
g1,3,-60
e3,2,-60
e2,3,-47
e3,2,-47
c3,3,-53
e3,2,-47
d5,3,-60
e3,2,-47
c6,3,-109
e3,2,-47
h6,3,-38
e3,2,-38
c1,1,-153
a5,2,-Infinity
g1,3,-64
a5,2,-64
e2,3,-59
a5,2,-59
c3,3,-57
a5,2,-57
e3,3,-68
a5,2,-57
a4,3,-54
a5,2,-54
d5,3,-64
a5,2,-54
f5,3,-60
a5,2,-54
c6,3,-113
a5,2,-54
h6,3,-52
a5,2,-52
c1,1,-153
d5,2,-Infinity
g1,3,-50
d5,2,-50
e2,3,-45
d5,2,-45
c3,3,-43
d5,2,-43
e3,3,-54
d5,2,-43
f5,3,-46
d5,2,-43
c6,3,-99
d5,2,-43
h6,3,-38
d5,2,-38
c7,3,-54
d5,2,-38
e7,3,-53
d5,2,-38
c1,1,-153
c6,2,-Infinity
g1,3,-57
c6,2,-57
e2,3,-52
c6,2,-52
c3,3,-58
c6,2,-52
e3,3,-53
c6,2,-52
d5,3,-83
c6,2,-52
f5,3,-53
c6,2,-52
h6,3,-45
c6,2,-45
c1,1,-153
e6,2,-Infinity
g1,3,-46
e6,2,-46
e2,3,-41
e6,2,-41
c3,3,-39
e6,2,-39
e3,3,-50
e6,2,-39
d5,3,-38
e6,2,-38
f5,3,-42
e6,2,-38
c6,3,-95
e6,2,-38
h6,3,-34
e6,2,-34
c1,1,-153
g6,2,-Infinity
g1,3,-30
g6,2,-30
e2,3,-25
g6,2,-25
c3,3,-23
g6,2,-23
e3,3,-34
g6,2,-23
d5,3,-30
g6,2,-23
f5,3,-26
g6,2,-23
c6,3,-79
g6,2,-23
e6,3,-42
g6,2,-23
h6,3,-26
g6,2,-23
c1,1,-153
c7,2,-Infinity
g1,3,-46
c7,2,-46
e2,3,-41
c7,2,-41
c3,3,-39
c7,2,-39
e3,3,-50
c7,2,-39
d5,3,-46
c7,2,-39
f5,3,-42
c7,2,-39
c6,3,-95
c7,2,-39
h6,3,-34
c7,2,-34
e7,3,-49
c7,2,-34
c1,1,-153
e7,2,-Infinity
g1,3,-69
e7,2,-69
e2,3,-64
e7,2,-64
c3,3,-70
e7,2,-64
e3,3,-65
e7,2,-64
d5,3,-61
e7,2,-61
f5,3,-51
e7,2,-51
c6,3,-118
e7,2,-51
h6,3,-57
e7,2,-51
c7,3,-85
e7,2,-51
g7,3,-87
e7,2,-51
c1,1,-153
g7,2,-Infinity
g1,3,-32
g7,2,-32
e2,3,-27
g7,2,-27
c3,3,-25
g7,2,-25
e3,3,-36
g7,2,-25
d5,3,-32
g7,2,-25
f5,3,-14
g7,2,-14
c6,3,-81
g7,2,-14
g6,3,-92
g7,2,-14
h6,3,-68
g7,2,-14
e7,3,-35
g7,2,-14
h7,3,-96
g7,2,-14
c1,1,-153
root,0,-153
g1,1,Infinity
g2,2,-Infinity
c1,3,-32
g2,2,-32
e2,3,-39
g2,2,-32
c3,3,-37
g2,2,-32
e3,3,-56
g2,2,-32
g4,3,-111
g2,2,-32
d5,3,-44
g2,2,-32
f5,3,-34
g2,2,-32
c6,3,-93
g2,2,-32
h6,3,-32
g2,2,-32
g1,1,-32
e3,2,-Infinity
c1,3,-60
e3,2,-60
e2,3,-59
e3,2,-59
c3,3,-65
e3,2,-59
d5,3,-72
e3,2,-59
f5,3,-62
e3,2,-59
c6,3,-121
e3,2,-59
h6,3,-50
e3,2,-50
g1,1,-50
a5,2,-Infinity
c1,3,-64
a5,2,-64
e2,3,-71
a5,2,-64
c3,3,-69
a5,2,-64
e3,3,-88
a5,2,-64
a4,3,-66
a5,2,-64
d5,3,-76
a5,2,-64
f5,3,-72
a5,2,-64
c6,3,-125
a5,2,-64
h6,3,-64
a5,2,-64
g1,1,-64
d5,2,-Infinity
c1,3,-50
d5,2,-50
e2,3,-57
d5,2,-50
c3,3,-55
d5,2,-50
e3,3,-74
d5,2,-50
f5,3,-58
d5,2,-50
c6,3,-111
d5,2,-50
h6,3,-50
d5,2,-50
c7,3,-66
d5,2,-50
e7,3,-65
d5,2,-50
g1,1,-64
c6,2,-Infinity
c1,3,-57
c6,2,-57
e2,3,-64
c6,2,-57
c3,3,-70
c6,2,-57
e3,3,-73
c6,2,-57
d5,3,-95
c6,2,-57
f5,3,-65
c6,2,-57
h6,3,-57
c6,2,-57
g1,1,-64
e6,2,-Infinity
c1,3,-46
e6,2,-46
e2,3,-53
e6,2,-46
c3,3,-51
e6,2,-46
e3,3,-70
e6,2,-46
d5,3,-50
e6,2,-46
f5,3,-54
e6,2,-46
c6,3,-107
e6,2,-46
h6,3,-46
e6,2,-46
g1,1,-64
g6,2,-Infinity
c1,3,-30
g6,2,-30
e2,3,-37
g6,2,-30
c3,3,-35
g6,2,-30
e3,3,-54
g6,2,-30
d5,3,-42
g6,2,-30
f5,3,-38
g6,2,-30
c6,3,-91
g6,2,-30
e6,3,-54
g6,2,-30
h6,3,-38
g6,2,-30
g1,1,-64
c7,2,-Infinity
c1,3,-46
c7,2,-46
e2,3,-53
c7,2,-46
c3,3,-51
c7,2,-46
e3,3,-70
c7,2,-46
d5,3,-58
c7,2,-46
f5,3,-54
c7,2,-46
c6,3,-107
c7,2,-46
h6,3,-46
c7,2,-46
e7,3,-61
c7,2,-46
g1,1,-64
e7,2,-Infinity
c1,3,-69
e7,2,-69
e2,3,-76
e7,2,-69
c3,3,-82
e7,2,-69
e3,3,-85
e7,2,-69
d5,3,-73
e7,2,-69
f5,3,-63
e7,2,-63
c6,3,-130
e7,2,-63
h6,3,-69
e7,2,-63
c7,3,-97
e7,2,-63
g7,3,-99
e7,2,-63
g1,1,-64
g7,2,-Infinity
c1,3,-32
g7,2,-32
e2,3,-39
g7,2,-32
c3,3,-37
g7,2,-32
e3,3,-56
g7,2,-32
d5,3,-44
g7,2,-32
f5,3,-26
g7,2,-26
c6,3,-93
g7,2,-26
g6,3,-104
g7,2,-26
h6,3,-80
g7,2,-26
e7,3,-47
g7,2,-26
h7,3,-108
g7,2,-26
g1,1,-64
root,0,-64
e2,1,Infinity
c2,2,-Infinity
c1,3,-29
c2,2,-29
g1,3,-41
c2,2,-29
a2,3,-65
c2,2,-29
c3,3,-48
c2,2,-29
e3,3,-51
c2,2,-29
a4,3,-49
c2,2,-29
g4,3,-44
c2,2,-29
d5,3,-49
c2,2,-29
f5,3,-37
c2,2,-29
c6,3,-90
c2,2,-29
h6,3,-29
c2,2,-29
e2,1,-29
g2,2,-Infinity
c1,3,-27
g2,2,-27
g1,3,-39
g2,2,-27
a2,3,-63
g2,2,-27
c3,3,-40
g2,2,-27
e3,3,-43
g2,2,-27
a4,3,-47
g2,2,-27
g4,3,-28
g2,2,-27
d5,3,-47
g2,2,-27
f5,3,-43
g2,2,-27
c6,3,-88
g2,2,-27
h6,3,-27
g2,2,-27
e2,1,-29
e3,2,-Infinity
c1,3,-55
e3,2,-55
g1,3,-67
e3,2,-55
a2,3,-91
e3,2,-55
g2,3,-107
e3,2,-55
c3,3,-68
e3,2,-55
a4,3,-75
e3,2,-55
g4,3,-56
e3,2,-55
d5,3,-75
e3,2,-55
f5,3,-71
e3,2,-55
c6,3,-116
e3,2,-55
h6,3,-45
e3,2,-45
e2,1,-45
g4,2,-Infinity
c1,3,-42
g4,2,-42
g1,3,-54
g4,2,-42
a2,3,-78
g4,2,-42
g2,3,-100
g4,2,-42
c3,3,-55
g4,2,-42
e3,3,-64
g4,2,-42
a4,3,-62
g4,2,-42
d5,3,-62
g4,2,-42
f5,3,-58
g4,2,-42
c6,3,-103
g4,2,-42
h6,3,-42
g4,2,-42
e2,1,-45
a5,2,-Infinity
c1,3,-59
a5,2,-59
g1,3,-71
a5,2,-59
a2,3,-95
a5,2,-59
g2,3,-111
a5,2,-59
c3,3,-72
a5,2,-59
e3,3,-75
a5,2,-59
a4,3,-67
a5,2,-59
g4,3,-74
a5,2,-59
d5,3,-79
a5,2,-59
f5,3,-67
a5,2,-59
c6,3,-120
a5,2,-59
h6,3,-59
a5,2,-59
e2,1,-59
d5,2,-Infinity
c1,3,-53
d5,2,-53
g1,3,-65
d5,2,-53
g2,3,-105
d5,2,-53
c3,3,-58
d5,2,-53
e3,3,-69
d5,2,-53
f5,3,-61
d5,2,-53
c6,3,-114
d5,2,-53
h6,3,-53
d5,2,-53
c7,3,-69
d5,2,-53
e7,3,-68
d5,2,-53
e2,1,-59
e6,2,-Infinity
c1,3,-41
e6,2,-41
g1,3,-53
e6,2,-41
a2,3,-77
e6,2,-41
g2,3,-93
e6,2,-41
c3,3,-54
e6,2,-41
e3,3,-57
e6,2,-41
a4,3,-61
e6,2,-41
g4,3,-56
e6,2,-41
d5,3,-53
e6,2,-41
f5,3,-49
e6,2,-41
c6,3,-102
e6,2,-41
h6,3,-41
e6,2,-41
e2,1,-59
g6,2,-Infinity
c1,3,-25
g6,2,-25
g1,3,-37
g6,2,-25
a2,3,-61
g6,2,-25
g2,3,-77
g6,2,-25
c3,3,-38
g6,2,-25
e3,3,-41
g6,2,-25
a4,3,-45
g6,2,-25
g4,3,-40
g6,2,-25
d5,3,-45
g6,2,-25
f5,3,-33
g6,2,-25
c6,3,-86
g6,2,-25
e6,3,-49
g6,2,-25
h6,3,-33
g6,2,-25
e2,1,-59
c7,2,-Infinity
c1,3,-41
c7,2,-41
g1,3,-53
c7,2,-41
a2,3,-77
