OO****XX
*OX**XXX
OOX*XOXX
OO**XOO*
OX*XX*X*
*OX*XX**
OXX***X*
OXOXXOXO
Node,Depth,Value
root,0,-Infinity
d1,1,Infinity
c1,2,-Infinity
f1,3,246
c1,2,246
d2,3,257
c1,2,257
a3,3,266
c1,2,266
d3,3,264
c1,2,266
d4,3,226
c1,2,266
c5,3,250
c1,2,266
a6,3,206
c1,2,266
d6,3,264
c1,2,266
g6,3,236
c1,2,266
h6,3,200
c1,2,266
d7,3,187
c1,2,266
d1,1,266
a3,2,-Infinity
f1,3,246
a3,2,246
a2,3,266
a3,2,266
d2,3,265
a3,2,266
d3,3,258
a3,2,266
c4,3,264
a3,2,266
d4,3,226
a3,2,266
c5,3,250
a3,2,266
a6,3,206
a3,2,266
d6,3,264
a3,2,266
g6,3,236
a3,2,266
h6,3,200
a3,2,266
d7,3,187
a3,2,266
d1,1,266
c4,2,-Infinity
f1,3,248
c4,2,248
d2,3,261
c4,2,261
a3,3,268
c4,2,268
d3,3,274
c4,2,274
d4,3,228
c4,2,274
c5,3,274
c4,2,274
a6,3,208
c4,2,274
d6,3,266
c4,2,274
g6,3,238
c4,2,274
h6,3,202
c4,2,274
d7,3,189
c4,2,274
f7,3,260
c4,2,274
d1,1,266
h4,2,-Infinity
f1,3,238
h4,2,238
d2,3,249
h4,2,249
a3,3,258
h4,2,258
d3,3,264
h4,2,264
c4,3,256
h4,2,264
d4,3,218
h4,2,264
c5,3,242
h4,2,264
f5,3,250
h4,2,264
h5,3,238
h4,2,264
a6,3,198
h4,2,264
d6,3,256
h4,2,264
h6,3,198
h4,2,264
d7,3,179
h4,2,264
d1,1,264
f5,2,-Infinity
d2,3,237
f5,2,237
a3,3,246
f5,2,246
d3,3,244
f5,2,246
c4,3,244
f5,2,246
d4,3,206
f5,2,246
c5,3,230
f5,2,246
a6,3,186
f5,2,246
d6,3,244
f5,2,246
h6,3,186
f5,2,246
d7,3,167
f5,2,246
d1,1,246
a6,2,-Infinity
f1,3,234
a6,2,234
d2,3,253
a6,2,253
a3,3,282
a6,2,282
d3,3,260
a6,2,282
c4,3,252
a6,2,282
d4,3,214
a6,2,282
c5,3,236
a6,2,282
d6,3,238
a6,2,282
g6,3,224
a6,2,282
h6,3,188
a6,2,282
d7,3,175
a6,2,282
d1,1,246
root,0,246
f1,1,Infinity
e1,2,-Infinity
d1,3,232
e1,2,232
d2,3,245
e1,2,245
a3,3,254
e1,2,254
d3,3,252
e1,2,254
d4,3,214
e1,2,254
c5,3,238
e1,2,254
a6,3,194
e1,2,254
d6,3,252
e1,2,254
g6,3,224
e1,2,254
h6,3,188
e1,2,254
d7,3,175
e1,2,254
f1,1,254
a2,2,-Infinity
d1,3,302
a2,2,302
d2,3,323
a2,2,323
a3,3,308
a2,2,323
d3,3,322
a2,2,323
d4,3,244
a2,2,323
h4,3,302
a2,2,323
c5,3,308
a2,2,323
a6,3,264
a2,2,323
d6,3,322
a2,2,323
g6,3,294
a2,2,323
h6,3,258
a2,2,323
d7,3,245
a2,2,323
f1,1,254
e2,2,-Infinity
d1,3,251
e2,2,251
d2,3,270
e2,2,270
a3,3,279
e2,2,279
d3,3,271
e2,2,279
d4,3,239
e2,2,279
c5,3,263
e2,2,279
a6,3,219
e2,2,279
d6,3,277
e2,2,279
g6,3,249
e2,2,279
h6,3,213
e2,2,279
d7,3,200
e2,2,279
f1,1,254
a3,2,-Infinity
a2,3,268
a3,2,268
d2,3,259
a3,2,268
d3,3,252
a3,2,268
d4,3,236
a3,2,268
h4,3,246
a3,2,268
c5,3,252
a3,2,268
a6,3,208
a3,2,268
d6,3,266
a3,2,268
g6,3,238
a3,2,268
h6,3,202
a3,2,268
d7,3,189
a3,2,268
f1,1,254
c4,2,-Infinity
d1,3,248
c4,2,248
d2,3,255
c4,2,255
a3,3,270
c4,2,270
d3,3,268
c4,2,270
d4,3,238
c4,2,270
h4,3,248
c4,2,270
c5,3,254
c4,2,270
a6,3,210
c4,2,270
d6,3,268
c4,2,270
g6,3,240
c4,2,270
h6,3,204
c4,2,270
d7,3,191
c4,2,270
f7,3,262
c4,2,270
f1,1,254
h4,2,-Infinity
d1,3,238
h4,2,238
d2,3,243
h4,2,243
a3,3,260
h4,2,260
d3,3,258
h4,2,260
d4,3,228
h4,2,260
c5,3,244
h4,2,260
f5,3,252
h4,2,260
h5,3,240
h4,2,260
a6,3,200
h4,2,260
d6,3,258
h4,2,260
h6,3,200
h4,2,260
d7,3,181
h4,2,260
f1,1,254
f5,2,-Infinity
d1,3,248
f5,2,248
d2,3,261
f5,2,261
a3,3,270
f5,2,270
d3,3,268
f5,2,270
d4,3,238
f5,2,270
h4,3,242
f5,2,270
c5,3,254
f5,2,270
h5,3,250
f5,2,270
a6,3,210
f5,2,270
d6,3,268
f5,2,270
h6,3,204
f5,2,270
d7,3,191
f5,2,270
f7,3,268
f5,2,270
f1,1,254
a6,2,-Infinity
d1,3,234
a6,2,234
d2,3,247
a6,2,247
a3,3,284
a6,2,284
d3,3,254
a6,2,284
d4,3,224
a6,2,284
h4,3,234
a6,2,284
c5,3,238
a6,2,284
d6,3,240
a6,2,284
g6,3,226
a6,2,284
h6,3,190
a6,2,284
d7,3,177
a6,2,284
f1,1,254
root,0,254
d2,1,Infinity
c1,2,-Infinity
d1,3,263
c1,2,263
e1,3,241
c1,2,263
f1,3,241
c1,2,263
e2,3,232
