**OOXOX*
O*X*XOOX
*O*X*OX*
XOXOOOOO
X***OOOX
O**X**XO
X*O*O*OO
**X**OOO
Node,Depth,Value
root,0,-Infinity
b1,1,Infinity
a1,2,-Infinity
h1,3,-54
a1,2,-54
d2,3,-146
a1,2,-54
a3,3,-105
a1,2,-54
h3,3,-137
a1,2,-54
b5,3,-132
a1,2,-54
c5,3,-125
a1,2,-54
d5,3,-129
a1,2,-54
f6,3,-138
a1,2,-54
a8,3,-54
a1,2,-54
h8,3,-54
a1,2,-54
b1,1,-54
c3,2,-Infinity
h1,3,56
c3,2,56
b2,3,-37
c3,2,56
d2,3,-36
c3,2,56
a3,3,5
c3,2,56
h3,3,-27
c3,2,56
b5,3,-28
c3,2,56
c5,3,7
c3,2,56
d5,3,-19
c3,2,56
f6,3,-28
c3,2,56
a8,3,56
c3,2,56
h8,3,56
c3,2,56
b1,1,-54
e3,2,-Infinity
h1,3,47
e3,2,47
d2,3,-45
e3,2,47
a3,3,-4
e3,2,47
h3,3,-14
e3,2,47
b5,3,-31
e3,2,47
c5,3,-24
e3,2,47
d5,3,-28
e3,2,47
f6,3,-37
e3,2,47
a8,3,47
e3,2,47
h8,3,47
e3,2,47
b1,1,-54
h3,2,-Infinity
h1,3,61
h3,2,61
d2,3,-55
h3,2,61
a3,3,-14
h3,2,61
b5,3,-41
h3,2,61
c5,3,-34
h3,2,61
d5,3,-38
h3,2,61
f6,3,-47
h3,2,61
a8,3,37
h3,2,61
h8,3,37
h3,2,61
b1,1,-54
d5,2,-Infinity
h1,3,55
d5,2,55
d2,3,-37
d5,2,55
a3,3,4
d5,2,55
h3,3,-28
d5,2,55
b5,3,-23
d5,2,55
c5,3,-16
d5,2,55
c6,3,-21
d5,2,55
e6,3,-8
d5,2,55
f6,3,-27
d5,2,55
d7,3,-23
d5,2,55
a8,3,55
d5,2,55
h8,3,55
d5,2,55
b1,1,-54
c6,2,-Infinity
h1,3,58
c6,2,58
d2,3,-34
c6,2,58
a3,3,7
c6,2,58
h3,3,-25
c6,2,58
b5,3,-20
c6,2,58
c5,3,-13
c6,2,58
d5,3,-17
c6,2,58
f6,3,-26
c6,2,58
a8,3,58
c6,2,58
b8,3,-33
c6,2,58
h8,3,58
c6,2,58
b1,1,-54
b8,2,-Infinity
h1,3,73
b8,2,73
d2,3,-19
b8,2,73
a3,3,22
b8,2,73
h3,3,-10
b8,2,73
b5,3,-5
b8,2,73
c5,3,2
b8,2,73
d5,3,-2
b8,2,73
f6,3,-11
b8,2,73
a8,3,73
b8,2,73
h8,3,73
b8,2,73
b1,1,-54
e8,2,-Infinity
h1,3,35
e8,2,35
d2,3,-57
e8,2,35
a3,3,-16
e8,2,35
h3,3,-48
e8,2,35
b5,3,-43
e8,2,35
c5,3,-36
e8,2,35
d5,3,-40
e8,2,35
f6,3,-49
e8,2,35
a8,3,35
e8,2,35
b1,1,-54
h8,2,-Infinity
h1,3,-42
h8,2,-42
d2,3,-134
h8,2,-42
a3,3,-93
h8,2,-42
h3,3,-125
h8,2,-42
b5,3,-120
h8,2,-42
c5,3,-113
h8,2,-42
d5,3,-117
h8,2,-42
a8,3,-42
h8,2,-42
b1,1,-54
root,0,-54
h1,1,Infinity
b1,2,-Infinity
a1,3,168
b1,2,168
d2,3,44
b1,2,168
a3,3,77
b1,2,168
h3,3,29
b1,2,168
b5,3,52
b1,2,168
c5,3,57
b1,2,168
d5,3,53
b1,2,168
f6,3,44
b1,2,168
a8,3,128
b1,2,168
h8,3,128
b1,2,168
h1,1,168
c3,2,-Infinity
