X*OO**X*
*XX*OOX*
*XXX***X
OX*OXO**
X*O*X**O
*OOXOXXX
OOXOOO*X
OX*OOX*O
Node,Depth,Value
root,0,-Infinity
d2,1,Infinity
e1,2,-Infinity
b1,3,80
e1,2,80
f1,3,116
e1,2,116
a2,3,26
e1,2,116
h2,3,40
e1,2,116
a3,3,56
e1,2,116
e3,3,94
e1,2,116
c4,3,100
e1,2,116
d5,3,104
e1,2,116
f5,3,114
e1,2,116
g5,3,107
e1,2,116
a6,3,116
e1,2,116
g7,3,86
e1,2,116
a8,3,147
e1,2,147
c8,3,96
e1,2,147
g8,3,104
e1,2,147
d2,1,147
a3,2,-Infinity
b1,3,60
a3,2,60
a2,3,12
a3,2,60
h2,3,20
a3,2,60
e3,3,80
a3,2,80
c4,3,86
a3,2,86
d5,3,84
a3,2,86
f5,3,94
a3,2,94
g5,3,87
a3,2,94
g7,3,66
a3,2,94
a8,3,127
a3,2,127
c8,3,76
a3,2,127
g8,3,84
a3,2,127
d2,1,127
e3,2,-Infinity
a2,3,28
e3,2,28
h2,3,28
e3,2,28
a3,3,46
e3,2,46
c4,3,104
e3,2,104
d5,3,100
e3,2,104
f5,3,110
e3,2,110
g5,3,103
e3,2,110
a6,3,112
e3,2,112
g7,3,82
e3,2,112
a8,3,143
e3,2,143
c8,3,92
e3,2,143
g8,3,100
e3,2,143
d2,1,127
g3,2,-Infinity
b1,3,76
g3,2,76
a2,3,28
g3,2,76
h2,3,36
g3,2,76
a3,3,52
g3,2,76
e3,3,96
g3,2,96
c4,3,96
g3,2,96
g4,3,97
g3,2,97
h4,3,90
g3,2,97
d5,3,100
g3,2,100
f5,3,110
g3,2,110
g5,3,103
g3,2,110
a6,3,112
g3,2,112
g7,3,82
g3,2,112
a8,3,143
g3,2,143
c8,3,92
g3,2,143
g8,3,100
g3,2,143
d2,1,127
c4,2,-Infinity
b1,3,54
c4,2,54
a2,3,6
c4,2,54
h2,3,14
c4,2,54
a3,3,46
c4,2,54
e3,3,82
c4,2,82
b5,3,89
c4,2,89
d5,3,78
c4,2,89
f5,3,88
c4,2,89
g5,3,81
c4,2,89
a6,3,90
c4,2,90
c8,3,106
c4,2,106
g8,3,78
c4,2,106
d2,1,106
g4,2,-Infinity
b1,3,75
g4,2,75
a2,3,27
g4,2,75
h2,3,35
g4,2,75
a3,3,51
g4,2,75
e3,3,95
g4,2,95
f3,3,92
g4,2,95
c4,3,95
g4,2,95
h4,3,99
g4,2,99
d5,3,99
g4,2,99
f5,3,109
g4,2,109
g5,3,102
g4,2,109
a6,3,111
g4,2,111
g7,3,81
g4,2,111
a8,3,142
g4,2,142
c8,3,91
g4,2,142
g8,3,99
g4,2,142
d2,1,106
h4,2,-Infinity
b1,3,62
h4,2,62
a2,3,14
h4,2,62
h2,3,62
h4,2,62
a3,3,38
h4,2,62
e3,3,82
h4,2,82
c4,3,82
h4,2,82
d5,3,86
h4,2,86
f5,3,96
h4,2,96
g5,3,89
h4,2,96
a6,3,98
h4,2,98
g7,3,68
h4,2,98
a8,3,129
h4,2,129
c8,3,78
h4,2,129
g8,3,86
h4,2,129
d2,1,106
b5,2,-Infinity
b1,3,91
b5,2,91
a2,3,43
b5,2,91
h2,3,51
b5,2,91
a3,3,67
b5,2,91
e3,3,111
b5,2,111
c4,3,111
b5,2,111
d5,3,115
b5,2,115
f5,3,125
b5,2,125
g5,3,118
b5,2,125
a6,3,119
b5,2,125
g7,3,97
b5,2,125
a8,3,158
b5,2,158
c8,3,107
b5,2,158
g8,3,115
b5,2,158
d2,1,106
d5,2,-Infinity
b1,3,66
d5,2,66
a2,3,18
d5,2,66
h2,3,26
d5,2,66
a3,3,42
d5,2,66
e3,3,86
d5,2,86
c4,3,86
d5,2,86
b5,3,93
d5,2,93
f5,3,100
d5,2,100
g5,3,93
d5,2,100
a6,3,102
d5,2,102
g7,3,72
d5,2,102
c8,3,96
d5,2,102
g8,3,90
d5,2,102
d2,1,102
a6,2,-Infinity
b1,3,66
a6,2,66
a2,3,18
a6,2,66
h2,3,26
a6,2,66
a3,3,42
a6,2,66
e3,3,86
a6,2,86
c4,3,86
a6,2,86
b5,3,93
a6,2,93
d5,3,90
a6,2,93
f5,3,100
a6,2,100
g5,3,93
a6,2,100
g7,3,72
a6,2,100
c8,3,96
a6,2,100
g8,3,90
a6,2,100
d2,1,100
g7,2,-Infinity
b1,3,124
g7,2,124
a2,3,76
g7,2,124
h2,3,84
g7,2,124
a3,3,100
g7,2,124
e3,3,144
g7,2,144
c4,3,144
g7,2,144
d5,3,142
g7,2,144
f5,3,144
g7,2,144
g5,3,145
g7,2,145
a6,3,160
g7,2,160
a8,3,191
g7,2,191
c8,3,134
g7,2,191
g8,3,140
g7,2,191
d2,1,100
c8,2,-Infinity
b1,3,48
c8,2,48
a2,3,0
c8,2,48
h2,3,8
c8,2,48
a3,3,24
c8,2,48
e3,3,68
c8,2,68
c4,3,68
c8,2,68
d5,3,72
c8,2,72
f5,3,82
c8,2,82
g5,3,75
c8,2,82
a6,3,84
c8,2,84
g7,3,54
c8,2,84
a8,3,115
c8,2,115
d2,1,100
root,0,100
h2,1,Infinity
f1,2,-Infinity
d2,3,80
f1,2,80
a3,3,35
f1,2,80
e3,3,85
f1,2,85
f3,3,82
f1,2,85
c4,3,85
f1,2,85
h4,3,103
f1,2,103
d5,3,89
f1,2,103
f5,3,99
f1,2,103
g5,3,92
f1,2,103
a6,3,101
f1,2,103
g7,3,71
f1,2,103
a8,3,132
f1,2,132
c8,3,81
f1,2,132
g8,3,89
f1,2,132
h2,1,132
h1,2,-Infinity
d2,3,-43
h1,2,-43
a3,3,-94
h1,2,-43
e3,3,-44
h1,2,-43
c4,3,-36
h1,2,-36
d5,3,-40
h1,2,-36
f5,3,-30
h1,2,-30
g5,3,-37
h1,2,-30
a6,3,-28
h1,2,-28
g7,3,-58
h1,2,-28
a8,3,3
h1,2,3
c8,3,-48
h1,2,3
g8,3,-40
h1,2,3
h2,1,3
a3,2,-Infinity
d2,3,20
a3,2,20
e3,3,19
a3,2,20
c4,3,33
a3,2,33
h4,3,37
a3,2,37
d5,3,23
a3,2,37
f5,3,33
a3,2,37
g5,3,26
a3,2,37
g7,3,5
a3,2,37
a8,3,66
a3,2,66
c8,3,15
a3,2,66
g8,3,23
a3,2,66
h2,1,3
e3,2,-Infinity
d2,3,52
e3,2,52
a3,3,-7
e3,2,52
c4,3,51
e3,2,52
h4,3,61
e3,2,61
d5,3,47
e3,2,61
f5,3,57
e3,2,61
g5,3,50
e3,2,61
a6,3,59
e3,2,61
g7,3,29
e3,2,61
a8,3,90
e3,2,90
c8,3,39
e3,2,90
g8,3,47
e3,2,90
h2,1,3
g3,2,-Infinity
d2,3,84
g3,2,84
a3,3,33
g3,2,84
e3,3,83
g3,2,84
c4,3,91
g3,2,91
g4,3,84
g3,2,91
h4,3,93
g3,2,93
d5,3,87
g3,2,93
f5,3,97
g3,2,97
g5,3,90
g3,2,97
a6,3,99
g3,2,99
g7,3,69
g3,2,99
a8,3,130
g3,2,130
c8,3,79
g3,2,130
g8,3,87
g3,2,130
h2,1,3
c4,2,-Infinity
a3,3,-21
c4,2,-21
e3,3,21
c4,2,21
h4,3,31
c4,2,31
b5,3,36
c4,2,36
d5,3,17
c4,2,36
f5,3,27
c4,2,36
g5,3,20
c4,2,36
a6,3,29
c4,2,36
c8,3,45
c4,2,45
g8,3,17
c4,2,45
h2,1,3
g4,2,-Infinity
d2,3,35
g4,2,35
a3,3,-16
g4,2,35
e3,3,34
g4,2,35
f3,3,31
g4,2,35
c4,3,42
g4,2,42
h4,3,54
g4,2,54
d5,3,38
g4,2,54
f5,3,48
g4,2,54
g5,3,41
g4,2,54
a6,3,50
g4,2,54
g7,3,20
g4,2,54
a8,3,81
g4,2,81
c8,3,30
g4,2,81
g8,3,38
g4,2,81
h2,1,3
h4,2,-Infinity
d2,3,22
h4,2,22
a3,3,-29
h4,2,22
e3,3,21
h4,2,22
c4,3,29
h4,2,29
d5,3,25
h4,2,29
f5,3,35
h4,2,35
g5,3,28
h4,2,35
a6,3,37
h4,2,37
g7,3,7
h4,2,37
a8,3,68
h4,2,68
c8,3,17
h4,2,68
g8,3,25
h4,2,68
h2,1,3
b5,2,-Infinity
d2,3,51
b5,2,51
a3,3,0
b5,2,51
e3,3,50
b5,2,51
c4,3,58
b5,2,58
h4,3,68
b5,2,68
d5,3,54
b5,2,68
f5,3,64
b5,2,68
g5,3,57
b5,2,68
a6,3,58
b5,2,68
g7,3,36
b5,2,68
a8,3,97
b5,2,97
c8,3,46
b5,2,97
g8,3,54
b5,2,97
h2,1,3
d5,2,-Infinity
