X*XOOXOO
X*XX**OO
OXXOOO**
*O**XXOO
****X*XO
OOOOOXO*
O*OOXXXO
XO*O*XX*
Node,Depth,Value
root,0,-Infinity
b1,1,Infinity
h1,2,-Infinity
b2,3,-255
h1,2,-255
e2,3,-232
h1,2,-232
f2,3,-275
h1,2,-232
g3,3,-219
h1,2,-219
a4,3,-225
h1,2,-219
c4,3,-205
h1,2,-205
d4,3,-215
h1,2,-205
d5,3,-223
h1,2,-205
f5,3,-217
h1,2,-205
h6,3,-213
h1,2,-205
e8,3,-231
h1,2,-205
b1,1,-205
b2,2,-Infinity
h1,3,-57
b2,2,-57
f2,3,-160
b2,2,-57
g3,3,-152
b2,2,-57
a4,3,-118
b2,2,-57
c4,3,-98
b2,2,-57
d4,3,-100
b2,2,-57
d5,3,-108
b2,2,-57
f5,3,-102
b2,2,-57
h6,3,-98
b2,2,-57
e8,3,-116
b2,2,-57
b1,1,-205
e2,2,-Infinity
h1,3,-94
e2,2,-94
b2,3,-177
e2,2,-94
f2,3,-209
e2,2,-94
g3,3,-189
e2,2,-94
a4,3,-147
e2,2,-94
c4,3,-127
e2,2,-94
d4,3,-137
e2,2,-94
d5,3,-145
e2,2,-94
f5,3,-139
e2,2,-94
h6,3,-133
e2,2,-94
e8,3,-153
e2,2,-94
b1,1,-205
f2,2,-Infinity
b2,3,-182
f2,2,-182
e2,3,-201
f2,2,-182
g3,3,-188
f2,2,-182
a4,3,-152
f2,2,-152
c4,3,-132
f2,2,-132
d4,3,-142
f2,2,-132
f5,3,-152
f2,2,-132
h6,3,-140
f2,2,-132
e8,3,-158
f2,2,-132
b1,1,-205
g3,2,-Infinity
b2,3,-192
g3,2,-192
e2,3,-153
g3,2,-153
f2,3,-220
g3,2,-153
h3,3,-124
g3,2,-124
a4,3,-162
g3,2,-124
c4,3,-142
g3,2,-124
d4,3,-156
g3,2,-124
f5,3,-154
g3,2,-124
h6,3,-148
g3,2,-124
e8,3,-168
g3,2,-124
b1,1,-205
a4,2,-Infinity
h1,3,-111
a4,2,-111
b2,3,-194
a4,2,-111
e2,3,-171
a4,2,-111
f2,3,-214
a4,2,-111
g3,3,-206
a4,2,-111
c4,3,-144
a4,2,-111
d4,3,-154
a4,2,-111
d5,3,-162
a4,2,-111
f5,3,-156
a4,2,-111
h6,3,-152
a4,2,-111
e8,3,-170
a4,2,-111
b1,1,-205
d4,2,-Infinity
h1,3,-97
d4,2,-97
b2,3,-180
d4,2,-97
e2,3,-157
d4,2,-97
f2,3,-200
d4,2,-97
g3,3,-192
d4,2,-97
a4,3,-150
d4,2,-97
c4,3,-122
d4,2,-97
c5,3,-144
d4,2,-97
d5,3,-146
d4,2,-97
f5,3,-134
d4,2,-97
h6,3,-138
d4,2,-97
e8,3,-156
d4,2,-97
b1,1,-205
a5,2,-Infinity
h1,3,-89
a5,2,-89
e2,3,-149
a5,2,-89
f2,3,-192
a5,2,-89
g3,3,-184
a5,2,-89
a4,3,-142
a5,2,-89
c4,3,-122
a5,2,-89
d4,3,-132
a5,2,-89
c5,3,-142
a5,2,-89
d5,3,-140
a5,2,-89
f5,3,-134
a5,2,-89
h6,3,-130
a5,2,-89
e8,3,-148
a5,2,-89
b1,1,-205
b5,2,-Infinity
h1,3,-80
b5,2,-80
b2,3,-175
b5,2,-80
e2,3,-140
b5,2,-80
f2,3,-183
b5,2,-80
g3,3,-175
b5,2,-80
a4,3,-139
b5,2,-80
c4,3,-119
b5,2,-80
d4,3,-123
b5,2,-80
a5,3,-123
b5,2,-80
c5,3,-133
b5,2,-80
