XOX*XOXX
X*XXOXO*
OX*OO*XO
**OOOOO*
*OOOX*O*
XXX*OOOX
OOX**XOX
***O*OOO
Node,Depth,Value
root,0,-Infinity
d1,1,Infinity
h2,2,-Infinity
b2,3,-155
h2,2,-155
c3,3,-132
h2,2,-132
f3,3,-132
h2,2,-132
a4,3,-133
h2,2,-132
h4,3,-133
h2,2,-132
a5,3,-117
h2,2,-117
f5,3,-119
h2,2,-117
d6,3,-119
h2,2,-117
d7,3,-120
h2,2,-117
e7,3,-134
h2,2,-117
c8,3,-109
h2,2,-109
e8,3,-125
h2,2,-109
h8,3,-40
h2,2,-40
d1,1,-40
c3,2,-Infinity
b2,3,-220
c3,2,-220
h2,3,-218
c3,2,-218
f3,3,-211
c3,2,-211
a4,3,-212
c3,2,-211
b4,3,-183
c3,2,-183
h4,3,-212
c3,2,-183
a5,3,-196
c3,2,-183
f5,3,-198
c3,2,-183
d6,3,-198
c3,2,-183
d7,3,-199
c3,2,-183
e7,3,-213
c3,2,-183
c8,3,-166
c3,2,-166
e8,3,-204
c3,2,-166
h8,3,-119
c3,2,-119
d1,1,-119
f3,2,-Infinity
b2,3,-170
f3,2,-170
h2,3,-210
f3,2,-170
c3,3,-147
f3,2,-147
a4,3,-148
f3,2,-147
h4,3,-148
f3,2,-147
a5,3,-132
f3,2,-132
f5,3,-134
f3,2,-132
d6,3,-134
f3,2,-132
d7,3,-135
f3,2,-132
e7,3,-149
f3,2,-132
c8,3,-124
f3,2,-124
e8,3,-140
f3,2,-124
h8,3,-55
f3,2,-55
d1,1,-119
a4,2,-Infinity
b2,3,-227
a4,2,-227
h2,3,-211
a4,2,-211
c3,3,-196
a4,2,-196
f3,3,-204
a4,2,-196
b4,3,-212
a4,2,-196
h4,3,-205
a4,2,-196
a5,3,-195
a4,2,-195
f5,3,-191
a4,2,-191
d6,3,-191
a4,2,-191
d7,3,-206
a4,2,-191
e7,3,-206
a4,2,-191
c8,3,-181
a4,2,-181
e8,3,-197
a4,2,-181
h8,3,-112
a4,2,-112
d1,1,-119
b4,2,-Infinity
b2,3,-230
b4,2,-230
h2,3,-186
b4,2,-186
c3,3,-179
b4,2,-179
f3,3,-179
b4,2,-179
a4,3,-186
b4,2,-179
h4,3,-180
b4,2,-179
a5,3,-170
b4,2,-170
f5,3,-166
b4,2,-166
d6,3,-166
b4,2,-166
d7,3,-181
b4,2,-166
e7,3,-181
b4,2,-166
c8,3,-156
b4,2,-156
e8,3,-172
b4,2,-156
h8,3,-87
b4,2,-87
d1,1,-119
a5,2,-Infinity
b2,3,-219
a5,2,-219
h2,3,-203
a5,2,-203
c3,3,-196
a5,2,-196
f3,3,-196
a5,2,-196
a4,3,-169
a5,2,-169
b4,3,-204
a5,2,-169
h4,3,-197
a5,2,-169
d6,3,-183
a5,2,-169
d7,3,-198
a5,2,-169
e7,3,-198
a5,2,-169
c8,3,-165
a5,2,-165
e8,3,-189
a5,2,-165
h8,3,-104
a5,2,-104
d1,1,-119
f5,2,-Infinity
b2,3,-229
f5,2,-229
h2,3,-213
f5,2,-213
c3,3,-198
f5,2,-198
f3,3,-206
f5,2,-198
a4,3,-207
f5,2,-198
h4,3,-207
f5,2,-198
a5,3,-191
f5,2,-191
d6,3,-193
f5,2,-191
d7,3,-194
f5,2,-191
e7,3,-194
f5,2,-191
c8,3,-183
f5,2,-183
h8,3,-114
f5,2,-114
d1,1,-119
h5,2,-Infinity
b2,3,-209
h5,2,-209
h2,3,-193
h5,2,-193
c3,3,-186
h5,2,-186
f3,3,-186
h5,2,-186
a4,3,-187
h5,2,-186
h4,3,-187
h5,2,-186
a5,3,-171
h5,2,-171
f5,3,-173
h5,2,-171
d6,3,-173
h5,2,-171
d7,3,-174
h5,2,-171
e7,3,-188
h5,2,-171
c8,3,-163
h5,2,-163
h8,3,-94
h5,2,-94
d1,1,-119
d6,2,-Infinity
b2,3,-229
d6,2,-229
h2,3,-213
d6,2,-213
c3,3,-206
d6,2,-206
f3,3,-206
d6,2,-206
a4,3,-207
d6,2,-206
h4,3,-207
d6,2,-206
a5,3,-191
d6,2,-191
f5,3,-187
d6,2,-187
d7,3,-186
d6,2,-186
e7,3,-178
d6,2,-178
b8,3,-205
d6,2,-178
c8,3,-183
d6,2,-178
h8,3,-114
d6,2,-114
d1,1,-119
e7,2,-Infinity
b2,3,-216
e7,2,-216
h2,3,-200
e7,2,-200
c3,3,-193
e7,2,-193
f3,3,-193
e7,2,-193
a4,3,-194
e7,2,-193
h4,3,-194
e7,2,-193
a5,3,-178
e7,2,-178
f5,3,-180
e7,2,-178
d6,3,-178
e7,2,-178
d7,3,-195
e7,2,-178
c8,3,-170
e7,2,-170
e8,3,-184
e7,2,-170
h8,3,-101
e7,2,-101
d1,1,-119
a8,2,-Infinity
b2,3,-246
a8,2,-246
h2,3,-230
a8,2,-230
c3,3,-223
a8,2,-223
f3,3,-223
a8,2,-223
a4,3,-224
a8,2,-223
h4,3,-224
a8,2,-223
a5,3,-224
a8,2,-223
f5,3,-210
a8,2,-210
d6,3,-210
a8,2,-210
d7,3,-203
a8,2,-203
e7,3,-225
a8,2,-203
b8,3,-278
a8,2,-203
c8,3,-200
a8,2,-200
e8,3,-216
a8,2,-200
h8,3,-131
a8,2,-131
d1,1,-131
b8,2,-Infinity
b2,3,-155
b8,2,-155
h2,3,-139
b8,2,-139
c3,3,-132
b8,2,-132
