XXXXXOXX
XXX*XO**
XX*X*XOX
**OOO*XO
XOXO*OOO
*OXO***X
XOOXOXX*
OO*XO**X
Node,Depth,Value
root,0,-Infinity
d1,1,Infinity
d2,2,-Infinity
g2,3,143
d2,2,143
c3,3,204
d2,2,204
e3,3,179
d2,2,204
a4,3,195
d2,2,204
f4,3,193
d2,2,204
e5,3,195
d2,2,204
a6,3,195
d2,2,204
e6,3,223
d2,2,223
f6,3,196
d2,2,223
g6,3,201
d2,2,223
c8,3,195
d2,2,223
f8,3,217
d2,2,223
d1,1,223
g2,2,-Infinity
h2,3,140
g2,2,140
c3,3,219
g2,2,219
e3,3,206
g2,2,219
a4,3,204
g2,2,219
f4,3,202
g2,2,219
e5,3,204
g2,2,219
a6,3,206
g2,2,219
e6,3,232
g2,2,232
f6,3,205
g2,2,232
g6,3,202
g2,2,232
c8,3,204
g2,2,232
f8,3,226
g2,2,232
d1,1,223
h2,2,-Infinity
g2,3,146
h2,2,146
c3,3,201
h2,2,201
e3,3,182
h2,2,201
a4,3,186
h2,2,201
f4,3,184
h2,2,201
e5,3,186
h2,2,201
a6,3,188
h2,2,201
e6,3,214
h2,2,214
f6,3,187
h2,2,214
g6,3,184
h2,2,214
c8,3,186
h2,2,214
f8,3,208
h2,2,214
d1,1,214
e3,2,-Infinity
g2,3,150
e3,2,150
c3,3,191
e3,2,191
a4,3,176
e3,2,191
f4,3,174
e3,2,191
e5,3,184
e3,2,191
a6,3,178
e3,2,191
e6,3,204
e3,2,204
f6,3,177
e3,2,204
g6,3,174
e3,2,204
c8,3,176
e3,2,204
f8,3,198
e3,2,204
d1,1,204
b4,2,-Infinity
g2,3,149
b4,2,149
c3,3,206
b4,2,206
e3,3,185
b4,2,206
a4,3,189
b4,2,206
f4,3,187
b4,2,206
e5,3,191
b4,2,206
a6,3,191
b4,2,206
e6,3,217
b4,2,217
f6,3,190
b4,2,217
g6,3,187
b4,2,217
c8,3,189
b4,2,217
f8,3,213
b4,2,217
d1,1,204
f4,2,-Infinity
g2,3,164
f4,2,164
c3,3,197
f4,2,197
e3,3,186
f4,2,197
a4,3,182
f4,2,197
e5,3,182
f4,2,197
a6,3,184
f4,2,197
e6,3,204
f4,2,204
f6,3,183
f4,2,204
g6,3,186
f4,2,204
c8,3,182
f4,2,204
f8,3,204
f4,2,204
d1,1,204
a6,2,-Infinity
g2,3,162
a6,2,162
c3,3,217
a6,2,217
e3,3,198
a6,2,217
a4,3,202
a6,2,217
f4,3,200
a6,2,217
e5,3,202
a6,2,217
e6,3,230
a6,2,230
f6,3,203
a6,2,230
g6,3,200
a6,2,230
c8,3,202
a6,2,230
f8,3,224
a6,2,230
d1,1,204
g6,2,-Infinity
g2,3,166
g6,2,166
c3,3,221
g6,2,221
e3,3,202
g6,2,221
a4,3,206
g6,2,221
f4,3,204
g6,2,221
e5,3,206
g6,2,221
a6,3,208
g6,2,221
e6,3,234
g6,2,234
f6,3,199
g6,2,234
h7,3,198
g6,2,234
c8,3,206
g6,2,234
f8,3,228
g6,2,234
d1,1,204
h7,2,-Infinity
g2,3,202
h7,2,202
c3,3,257
h7,2,257
e3,3,238
h7,2,257
a4,3,242
h7,2,257
e5,3,242
h7,2,257
a6,3,244
h7,2,257
e6,3,270
h7,2,270
f6,3,195
h7,2,270
g6,3,240
h7,2,270
c8,3,242
h7,2,270
f8,3,264
h7,2,270
d1,1,204
c8,2,-Infinity
g2,3,134
c8,2,134
c3,3,189
c8,2,189
e3,3,170
c8,2,189
a4,3,174
c8,2,189
f4,3,172
c8,2,189
e5,3,174
c8,2,189
a6,3,176
c8,2,189
e6,3,202
c8,2,202
g6,3,172
c8,2,202
f8,3,184
c8,2,202
d1,1,202
root,0,202
g2,1,Infinity
d1,2,-Infinity
d2,3,127
d1,2,127
c3,3,159
d1,2,159
e3,3,140
d1,2,159
a4,3,144
d1,2,159
b4,3,149
d1,2,159
f4,3,142
d1,2,159
a6,3,146
d1,2,159
e6,3,164
d1,2,164
f6,3,145
d1,2,164
g6,3,142
d1,2,164
c8,3,144
d1,2,164
f8,3,166
d1,2,166
g2,1,166
d2,2,-Infinity
d1,3,159
d2,2,159
c3,3,166
d2,2,166
e3,3,141
d2,2,166
a4,3,157
d2,2,166
b4,3,162
d2,2,166
f4,3,155
d2,2,166
a6,3,157
d2,2,166
e6,3,177
d2,2,177
f6,3,158
d2,2,177
g6,3,155
d2,2,177
c8,3,157
d2,2,177
f8,3,179
d2,2,179
g2,1,166
h2,2,-Infinity
d1,3,202
h2,2,202
c3,3,217
h2,2,217
e3,3,192
h2,2,217
a4,3,202
h2,2,217
b4,3,207
h2,2,217
f4,3,200
h2,2,217
a6,3,204
h2,2,217
e6,3,222
h2,2,222
f6,3,203
h2,2,222
g6,3,200
h2,2,222
c8,3,202
h2,2,222
f8,3,224
h2,2,224
g2,1,166
b4,2,-Infinity
d1,3,157
b4,2,157
d2,3,140
b4,2,157
c3,3,174
b4,2,174
e3,3,147
b4,2,174
a4,3,159
b4,2,174
f4,3,155
b4,2,174
a6,3,159
b4,2,174
e6,3,177
b4,2,177
f6,3,158
b4,2,177
g6,3,155
b4,2,177
c8,3,157
b4,2,177
f8,3,181
b4,2,181
g2,1,166
f4,2,-Infinity
d2,3,133
f4,2,133
c3,3,165
f4,2,165
e3,3,156
f4,2,165
a4,3,150
f4,2,165
e5,3,158
f4,2,165
a6,3,152
