*OOO**O*
*O**O*X*
XXX*X*OX
O*OXX**X
*XOOO**X
OOXOOX*X
X*OO**XX
OX*OXXXX
Node,Depth,Value
root,0,-Infinity
a1,1,Infinity
a2,2,-Infinity
e1,3,-40
a2,2,-40
f2,3,-64
a2,2,-40
d3,3,-40
a2,2,-40
f3,3,-53
a2,2,-40
b4,3,-55
a2,2,-40
f4,3,-48
a2,2,-40
g4,3,-63
a2,2,-40
a5,3,-18
a2,2,-18
f5,3,-40
a2,2,-18
b7,3,-84
a2,2,-18
e7,3,-47
a2,2,-18
c8,3,-40
a2,2,-18
h8,3,47
a2,2,47
a1,1,47
c2,2,-Infinity
e1,3,-42
c2,2,-42
d2,3,-65
c2,2,-42
f2,3,-66
c2,2,-42
d3,3,-36
c2,2,-36
f3,3,-55
c2,2,-36
b4,3,-57
c2,2,-36
f4,3,-50
c2,2,-36
g4,3,-65
c2,2,-36
a5,3,-20
c2,2,-20
f5,3,-42
c2,2,-20
b7,3,-86
c2,2,-20
e7,3,-49
c2,2,-20
c8,3,-42
c2,2,-20
h8,3,45
c2,2,45
a1,1,45
f2,2,-Infinity
e1,3,-52
f2,2,-52
d2,3,-73
f2,2,-52
d3,3,-44
f2,2,-44
f3,3,-57
f2,2,-44
b4,3,-51
f2,2,-44
f4,3,-52
f2,2,-44
g4,3,-67
f2,2,-44
a5,3,-22
f2,2,-22
f5,3,-44
f2,2,-22
b7,3,-88
f2,2,-22
e7,3,-51
f2,2,-22
f7,3,-44
f2,2,-22
c8,3,-44
f2,2,-22
h8,3,43
f2,2,43
a1,1,43
d3,2,-Infinity
e1,3,-44
d3,2,-44
f1,3,-38
d3,2,-38
c2,3,-52
d3,2,-38
f2,3,-68
d3,2,-38
f3,3,-57
d3,2,-38
b4,3,-51
d3,2,-38
f4,3,-52
d3,2,-38
g4,3,-67
d3,2,-38
a5,3,-22
d3,2,-22
f5,3,-44
d3,2,-22
b7,3,-88
d3,2,-22
e7,3,-51
d3,2,-22
f7,3,-44
d3,2,-22
c8,3,-44
d3,2,-22
h8,3,43
d3,2,43
a1,1,43
f3,2,-Infinity
e1,3,-47
f3,2,-47
f2,3,-71
f3,2,-47
d3,3,-47
f3,2,-47
b4,3,-54
f3,2,-47
f4,3,-55
f3,2,-47
g4,3,-70
f3,2,-47
a5,3,-25
f3,2,-25
f5,3,-47
f3,2,-25
b7,3,-91
f3,2,-25
e7,3,-54
f3,2,-25
f7,3,-47
f3,2,-25
c8,3,-47
f3,2,-25
h8,3,40
f3,2,40
a1,1,40
b4,2,-Infinity
e1,3,25
b4,2,25
f2,3,1
b4,2,25
f3,3,12
b4,2,25
f4,3,17
b4,2,25
g4,3,2
b4,2,25
a5,3,41
b4,2,41
e7,3,28
b4,2,41
c8,3,25
b4,2,41
h8,3,112
b4,2,112
a1,1,40
f4,2,-Infinity
e1,3,-44
f4,2,-44
f2,3,-68
f4,2,-44
h2,3,-64
f4,2,-44
d3,3,-44
f4,2,-44
f3,3,-57
f4,2,-44
g4,3,-67
f4,2,-44
a5,3,-22
f4,2,-22
f5,3,-44
f4,2,-22
g5,3,-51
f4,2,-22
b7,3,-88
f4,2,-22
e7,3,-51
f4,2,-22
f7,3,-44
f4,2,-22
c8,3,-44
f4,2,-22
h8,3,43
f4,2,43
a1,1,40
a5,2,-Infinity
e1,3,-40
a5,2,-40
f2,3,-64
a5,2,-40
f3,3,-53
a5,2,-40
b4,3,-47
a5,2,-40
f4,3,-48
a5,2,-40
g4,3,-63
a5,2,-40
e7,3,-47
a5,2,-40
f7,3,-40
a5,2,-40
c8,3,-40
a5,2,-40
h8,3,47
a5,2,47
a1,1,40
g6,2,-Infinity
e1,3,-2
g6,2,-2
f2,3,-26
g6,2,-2
d3,3,-2
g6,2,-2
f3,3,-15
g6,2,-2
b4,3,-9
g6,2,-2
f4,3,-10
g6,2,-2
g4,3,-25
g6,2,-2
a5,3,20
g6,2,20
f5,3,-10
g6,2,20
b7,3,-46
g6,2,20
e7,3,-9
g6,2,20
f7,3,-58
g6,2,20
c8,3,-2
g6,2,20
h8,3,51
g6,2,51
a1,1,40
b7,2,-Infinity
e1,3,-30
b7,2,-30
f2,3,-54
b7,2,-30
d3,3,-30
b7,2,-30
f3,3,-43
b7,2,-30
b4,3,-37
b7,2,-30
f4,3,-38
b7,2,-30
g4,3,-53
b7,2,-30
a5,3,-8
b7,2,-8
f5,3,-30
b7,2,-8
e7,3,-99
b7,2,-8
f7,3,-30
b7,2,-8
c8,3,0
b7,2,0
h8,3,57
b7,2,57
a1,1,40
c8,2,-Infinity
e1,3,-32
c8,2,-32
f2,3,-56
c8,2,-32
d3,3,-32
c8,2,-32
f3,3,-45
c8,2,-32
b4,3,-39
c8,2,-32
g4,3,-55
c8,2,-32
a5,3,-10
c8,2,-10
f5,3,-32
c8,2,-10
b7,3,-76
c8,2,-10
e7,3,-39
c8,2,-10
f7,3,-32
c8,2,-10
h8,3,55
c8,2,55
a1,1,40
h8,2,-Infinity
e1,3,-105
h8,2,-105
f2,3,-129
h8,2,-105
d3,3,-105
h8,2,-105
f3,3,-118
h8,2,-105
b4,3,-112
h8,2,-105
f4,3,-113
h8,2,-105
g4,3,-128
h8,2,-105
a5,3,-83
h8,2,-83
f5,3,-105
h8,2,-83
g6,3,-91
h8,2,-83
b7,3,-149
h8,2,-83
e7,3,-112
h8,2,-83
f7,3,-153
h8,2,-83
c8,3,-105
h8,2,-83
a1,1,-83
root,0,-83
e1,1,Infinity
f1,2,-Infinity
a1,3,-72
f1,2,-72
f2,3,-135
f1,2,-72
d3,3,-111
f1,2,-72
f3,3,-124
f1,2,-72
b4,3,-118
f1,2,-72
f4,3,-119
f1,2,-72
g4,3,-134
f1,2,-72
a5,3,-89
f1,2,-72
f5,3,-111
f1,2,-72
b7,3,-155
f1,2,-72
e7,3,-118
f1,2,-72
f7,3,-111
f1,2,-72
c8,3,-111
f1,2,-72
h8,3,-24
f1,2,-24
e1,1,-24
a2,2,-Infinity
a1,3,-40
a2,2,-40
f2,3,-115
a2,2,-40
d3,3,-91
a2,2,-40
f3,3,-104
a2,2,-40
b4,3,-98
a2,2,-40
f4,3,-99
a2,2,-40
g4,3,-114
a2,2,-40
a5,3,-81
a2,2,-40
f5,3,-91
a2,2,-40
b7,3,-135
a2,2,-40
e7,3,-98
a2,2,-40
c8,3,-91
a2,2,-40
h8,3,-4
a2,2,-4
e1,1,-24
c2,2,-Infinity
a1,3,-28
c2,2,-28
f2,3,-117
c2,2,-28
d3,3,-87
c2,2,-28
f3,3,-106
c2,2,-28
b4,3,-100
c2,2,-28
f4,3,-101
c2,2,-28
g4,3,-116
c2,2,-28
a5,3,-71
c2,2,-28
f5,3,-93
c2,2,-28
b7,3,-137
c2,2,-28
e7,3,-100
c2,2,-28
c8,3,-93
c2,2,-28
h8,3,-6
c2,2,-6
e1,1,-24
f2,2,-Infinity
a1,3,-44
f2,2,-44
d3,3,-95
f2,2,-44
f3,3,-108
f2,2,-44
b4,3,-102
f2,2,-44
f4,3,-103
f2,2,-44
g4,3,-118
f2,2,-44
a5,3,-73
f2,2,-44
f5,3,-95
f2,2,-44
b7,3,-139
f2,2,-44
e7,3,-102
f2,2,-44
f7,3,-95
f2,2,-44
c8,3,-95
f2,2,-44
h8,3,-8
f2,2,-8
e1,1,-24
d3,2,-Infinity
a1,3,-44
d3,2,-44
c2,3,-103
d3,2,-44
f2,3,-119
d3,2,-44
f3,3,-108
d3,2,-44
b4,3,-102
d3,2,-44
f4,3,-103
d3,2,-44
g4,3,-118
d3,2,-44
a5,3,-73
d3,2,-44
f5,3,-95
d3,2,-44
b7,3,-139
d3,2,-44
e7,3,-102
d3,2,-44
f7,3,-95
d3,2,-44
c8,3,-95
d3,2,-44
h8,3,-8
d3,2,-8
e1,1,-24
f3,2,-Infinity
a1,3,-41
f3,2,-41
f2,3,-116
f3,2,-41
d3,3,-92
f3,2,-41
b4,3,-99
f3,2,-41
f4,3,-100
f3,2,-41
g4,3,-115
f3,2,-41
a5,3,-70
f3,2,-41
f5,3,-92
f3,2,-41
b7,3,-136
f3,2,-41
e7,3,-99
f3,2,-41
f7,3,-92
f3,2,-41
c8,3,-92
f3,2,-41
h8,3,-5
f3,2,-5
e1,1,-24
b4,2,-Infinity
a1,3,-23
b4,2,-23
f2,3,-98
b4,2,-23
f3,3,-87
b4,2,-23
f4,3,-82
b4,2,-23
g4,3,-97
b4,2,-23
a5,3,-58
b4,2,-23
e7,3,-71
b4,2,-23
c8,3,-74
b4,2,-23
h8,3,13
b4,2,13
e1,1,-24
f4,2,-Infinity
a1,3,-44
f4,2,-44
f2,3,-119
f4,2,-44
h2,3,-115
f4,2,-44
d3,3,-95
f4,2,-44
f3,3,-108
f4,2,-44
g4,3,-118
f4,2,-44
a5,3,-73
f4,2,-44
f5,3,-95
f4,2,-44
g5,3,-102
f4,2,-44
b7,3,-139
f4,2,-44
e7,3,-102
f4,2,-44
f7,3,-95
f4,2,-44
c8,3,-95
f4,2,-44
h8,3,-8
f4,2,-8
e1,1,-24
a5,2,-Infinity
a1,3,-40
a5,2,-40
f2,3,-115
a5,2,-40
f3,3,-104
a5,2,-40
b4,3,-98
a5,2,-40
f4,3,-99
a5,2,-40
g4,3,-114
a5,2,-40
e7,3,-98
a5,2,-40
f7,3,-91
a5,2,-40
c8,3,-91
a5,2,-40
h8,3,-4
a5,2,-4
e1,1,-24
g6,2,-Infinity
a1,3,-2
g6,2,-2
f2,3,-77
g6,2,-2
d3,3,-53
g6,2,-2
f3,3,-66
g6,2,-2
b4,3,-60
g6,2,-2
f4,3,-61
g6,2,-2
g4,3,-76
g6,2,-2
a5,3,-31
g6,2,-2
f5,3,-61
g6,2,-2
b7,3,-97
g6,2,-2
e7,3,-60
g6,2,-2
f7,3,-109
g6,2,-2
c8,3,-53
g6,2,-2
h8,3,0
g6,2,0
e1,1,-24
b7,2,-Infinity
a1,3,-30
b7,2,-30
f2,3,-105
b7,2,-30
d3,3,-81
b7,2,-30
f3,3,-94
b7,2,-30
b4,3,-88
b7,2,-30
f4,3,-89
b7,2,-30
g4,3,-104
b7,2,-30
a5,3,-59
b7,2,-30
f5,3,-81
b7,2,-30
e7,3,-150
b7,2,-30
f7,3,-81
b7,2,-30
c8,3,-51
b7,2,-30
h8,3,6
b7,2,6
e1,1,-24
c8,2,-Infinity
a1,3,-32
c8,2,-32
f2,3,-107
c8,2,-32
d3,3,-83
c8,2,-32
f3,3,-96
c8,2,-32
b4,3,-90
c8,2,-32
g4,3,-106
c8,2,-32
a5,3,-61
c8,2,-32
f5,3,-83
c8,2,-32
b7,3,-127
c8,2,-32
e7,3,-90
c8,2,-32
f7,3,-83
c8,2,-32
h8,3,4
c8,2,4
e1,1,-24
h8,2,-Infinity
a1,3,-105
h8,2,-105
f2,3,-180
h8,2,-105
d3,3,-156
h8,2,-105
f3,3,-169
h8,2,-105
b4,3,-163
h8,2,-105
f4,3,-164
h8,2,-105
g4,3,-179
h8,2,-105
a5,3,-134
h8,2,-105
f5,3,-156
h8,2,-105
g6,3,-142
h8,2,-105
b7,3,-200
h8,2,-105
e7,3,-163
h8,2,-105
f7,3,-204
h8,2,-105
c8,3,-156
h8,2,-105
e1,1,-105
root,0,-83
f2,1,Infinity
a2,2,-Infinity
a1,3,-64
a2,2,-64
e1,3,-115
a2,2,-64
d2,3,-124
a2,2,-64
d3,3,-103
a2,2,-64
b4,3,-110
a2,2,-64
f4,3,-111
a2,2,-64
a5,3,-93
a2,2,-64
f5,3,-103
a2,2,-64
b7,3,-147
a2,2,-64
e7,3,-110
a2,2,-64
c8,3,-103
a2,2,-64
h8,3,-16
a2,2,-16
f2,1,-16
c2,2,-Infinity
a1,3,-52
c2,2,-52
e1,3,-117
c2,2,-52
d2,3,-126
c2,2,-52
d3,3,-99
c2,2,-52
b4,3,-112
c2,2,-52
f4,3,-113
c2,2,-52
a5,3,-83
c2,2,-52
f5,3,-105
c2,2,-52
b7,3,-149
c2,2,-52
e7,3,-112
c2,2,-52
c8,3,-105
c2,2,-52
h8,3,-18
c2,2,-18
f2,1,-18
h2,2,-Infinity
a1,3,0
h2,2,0
e1,3,-59
h2,2,0
f1,3,-91
h2,2,0
h1,3,32
h2,2,32
d3,3,-39
h2,2,32
b4,3,-46
h2,2,32
f4,3,-47
h2,2,32
a5,3,-17
h2,2,32
f5,3,-39
h2,2,32
b7,3,-83
h2,2,32
e7,3,-46
h2,2,32
f7,3,-39
h2,2,32
c8,3,-39
h2,2,32
h8,3,48
h2,2,48
f2,1,-18
d3,2,-Infinity
a1,3,-68
d3,2,-68
e1,3,-119
d3,2,-68
f1,3,-101
d3,2,-68
c2,3,-115
d3,2,-68
d2,3,-128
d3,2,-68
b4,3,-114
d3,2,-68
f4,3,-115
d3,2,-68
a5,3,-85
d3,2,-68
f5,3,-107
d3,2,-68
b7,3,-151
d3,2,-68
e7,3,-114
d3,2,-68
f7,3,-107
d3,2,-68
c8,3,-107
d3,2,-68
h8,3,-20
d3,2,-20
f2,1,-20
f3,2,-Infinity
a1,3,-71
f3,2,-71
e1,3,-122
f3,2,-71
d2,3,-131
f3,2,-71
