OOXXO*OO
OO***O*O
OXX*O*O*
X*XOXOX*
XX***X*O
XO******
O*XO**XO
XO*X*XO*
Node,Depth,Value
root,0,-Infinity
a1,1,Infinity
f1,2,-Infinity
d3,3,-11
f1,2,-11
f3,3,-20
f1,2,-11
b4,3,-30
f1,2,-11
h4,3,-21
f1,2,-11
d5,3,-21
f1,2,-11
e5,3,-21
f1,2,-11
g5,3,-30
f1,2,-11
d6,3,-25
f1,2,-11
f6,3,-6
f1,2,-6
g6,3,-73
f1,2,-6
b7,3,-53
f1,2,-6
f7,3,-73
f1,2,-6
e8,3,1
f1,2,1
a1,1,1
e2,2,-Infinity
d2,3,-7
e2,2,-7
d3,3,4
e2,2,4
f3,3,-5
e2,2,4
b4,3,-15
e2,2,4
h4,3,-6
e2,2,4
d5,3,-6
e2,2,4
e5,3,-4
e2,2,4
g5,3,-15
e2,2,4
d6,3,-10
e2,2,4
f6,3,9
e2,2,9
g6,3,-58
e2,2,9
b7,3,-38
e2,2,9
f7,3,-58
e2,2,9
e8,3,16
e2,2,16
a1,1,1
g2,2,-Infinity
d3,3,41
g2,2,41
f3,3,-16
g2,2,41
b4,3,22
g2,2,41
h4,3,23
g2,2,41
d5,3,31
g2,2,41
e5,3,31
g2,2,41
g5,3,-34
g2,2,41
d6,3,27
g2,2,41
f6,3,46
g2,2,46
g6,3,-21
g2,2,46
b7,3,-1
g2,2,46
f7,3,-21
g2,2,46
e8,3,53
g2,2,53
a1,1,1
f3,2,-Infinity
e2,3,-11
f3,2,-11
d3,3,-6
f3,2,-6
b4,3,-25
f3,2,-6
h4,3,-8
f3,2,-6
d5,3,-16
f3,2,-6
e5,3,-8
f3,2,-6
g5,3,-17
f3,2,-6
d6,3,-20
f3,2,-6
f6,3,21
f3,2,21
g6,3,-68
f3,2,21
b7,3,-48
f3,2,21
f7,3,-68
f3,2,21
e8,3,6
f3,2,21
a1,1,1
e5,2,-Infinity
d3,3,9
e5,2,9
f3,3,0
e5,2,9
b4,3,-10
e5,2,9
h4,3,-1
e5,2,9
c5,3,3
e5,2,9
d5,3,-1
e5,2,9
g5,3,-10
e5,2,9
d6,3,-5
e5,2,9
e6,3,3
e5,2,9
f6,3,28
e5,2,28
g6,3,-53
e5,2,28
b7,3,-33
e5,2,28
f7,3,-53
e5,2,28
e8,3,21
e5,2,28
a1,1,1
c6,2,-Infinity
d3,3,10
c6,2,10
f3,3,1
c6,2,10
b4,3,-3
c6,2,10
h4,3,0
c6,2,10
c5,3,-4
c6,2,10
d5,3,0
c6,2,10
e5,3,0
c6,2,10
g5,3,-9
c6,2,10
d6,3,-4
c6,2,10
f6,3,15
c6,2,15
g6,3,-52
c6,2,15
b7,3,-32
c6,2,15
f7,3,-52
c6,2,15
e8,3,22
c6,2,22
a1,1,1
d6,2,-Infinity
d3,3,11
d6,2,11
f3,3,2
d6,2,11
b4,3,-8
d6,2,11
h4,3,1
d6,2,11
d5,3,1
d6,2,11
e5,3,1
d6,2,11
g5,3,-8
d6,2,11
f6,3,16
d6,2,16
g6,3,-51
d6,2,16
f7,3,-51
d6,2,16
e8,3,23
d6,2,23
a1,1,1
b7,2,-Infinity
d3,3,41
b7,2,41
f3,3,32
b7,2,41
b4,3,-34
b7,2,41
h4,3,31
b7,2,41
c5,3,27
b7,2,41
d5,3,31
b7,2,41
e5,3,31
b7,2,41
g5,3,22
b7,2,41
d6,3,27
b7,2,41
f6,3,46
b7,2,46
g6,3,-21
b7,2,46
f7,3,-21
b7,2,46
e8,3,53
b7,2,53
a1,1,1
e7,2,-Infinity
d3,3,18
e7,2,18
f3,3,9
e7,2,18
b4,3,-1
e7,2,18
h4,3,8
e7,2,18
d5,3,8
e7,2,18
e5,3,8
e7,2,18
g5,3,-1
e7,2,18
d6,3,4
e7,2,18
f6,3,23
e7,2,23
g6,3,-44
e7,2,23
f7,3,-44
e7,2,23
e8,3,30
e7,2,30
a1,1,1
c8,2,-Infinity
d3,3,17
c8,2,17
f3,3,8
c8,2,17
b4,3,-2
c8,2,17
h4,3,7
c8,2,17
d5,3,7
c8,2,17
e5,3,7
c8,2,17
g5,3,-2
c8,2,17
f6,3,22
c8,2,22
g6,3,-45
c8,2,22
b7,3,-25
c8,2,22
f7,3,-45
c8,2,22
e8,3,29
c8,2,29
a1,1,1
h8,2,-Infinity
d3,3,-74
h8,2,-74
f3,3,-83
h8,2,-74
b4,3,-93
h8,2,-74
h4,3,-84
h8,2,-74
d5,3,-84
h8,2,-74
e5,3,-84
h8,2,-74
g5,3,-93
h8,2,-74
d6,3,-88
h8,2,-74
f6,3,-69
h8,2,-69
b7,3,-116
h8,2,-69
f7,3,-136
h8,2,-69
a1,1,-69
root,0,-69
d3,1,Infinity
a1,2,-Infinity
f3,3,-156
a1,2,-156
b4,3,-158
a1,2,-156
h4,3,-157
a1,2,-156
c5,3,-145
a1,2,-145
d5,3,-149
a1,2,-145
e5,3,-157
a1,2,-145
g5,3,-166
a1,2,-145
d6,3,-161
a1,2,-145
f6,3,-142
a1,2,-142
g6,3,-201
a1,2,-142
b7,3,-189
a1,2,-142
f7,3,-209
a1,2,-142
e8,3,-135
a1,2,-135
d3,1,-135
f1,2,-Infinity
a1,3,-11
f1,2,-11
f3,3,-93
f1,2,-11
b4,3,-95
f1,2,-11
h4,3,-94
f1,2,-11
c5,3,-82
f1,2,-11
d5,3,-86
f1,2,-11
e5,3,-94
f1,2,-11
g5,3,-103
f1,2,-11
d6,3,-98
f1,2,-11
f6,3,-79
f1,2,-11
g6,3,-138
f1,2,-11
b7,3,-126
f1,2,-11
f7,3,-146
f1,2,-11
e8,3,-72
f1,2,-11
d3,1,-135
c2,2,-Infinity
a1,3,13
c2,2,13
d2,3,-31
c2,2,13
f3,3,-35
c2,2,13
b4,3,-93
c2,2,13
h4,3,-36
c2,2,13
e5,3,-36
c2,2,13
g5,3,-45
c2,2,13
d6,3,-40
c2,2,13
f6,3,-21
c2,2,13
g6,3,-80
c2,2,13
b7,3,-68
c2,2,13
f7,3,-88
c2,2,13
e8,3,-14
c2,2,13
d3,1,-135
e2,2,-Infinity
a1,3,-4
e2,2,-4
d2,3,-80
e2,2,-4
f3,3,-70
e2,2,-4
b4,3,-88
e2,2,-4
h4,3,-87
e2,2,-4
c5,3,-75
e2,2,-4
d5,3,-79
e2,2,-4
e5,3,-85
e2,2,-4
g5,3,-96
e2,2,-4
d6,3,-91
e2,2,-4
f6,3,-72
e2,2,-4
g6,3,-139
e2,2,-4
b7,3,-119
e2,2,-4
f7,3,-139
e2,2,-4
e8,3,-65
e2,2,-4
d3,1,-135
g2,2,-Infinity
a1,3,41
g2,2,41
f3,3,-89
g2,2,41
b4,3,-43
g2,2,41
h4,3,-50
g2,2,41
c5,3,-30
g2,2,41
d5,3,-34
g2,2,41
e5,3,-42
g2,2,41
g5,3,-107
g2,2,41
d6,3,-46
g2,2,41
f6,3,-27
g2,2,41
g6,3,-86
g2,2,41
b7,3,-74
g2,2,41
f7,3,-94
g2,2,41
e8,3,-20
g2,2,41
d3,1,-135
f3,2,-Infinity
a1,3,-6
f3,2,-6
e2,3,-84
f3,2,-6
b4,3,-90
f3,2,-6
h4,3,-81
f3,2,-6
c5,3,-77
f3,2,-6
d5,3,-81
f3,2,-6
e5,3,-81
f3,2,-6
g5,3,-90
f3,2,-6
d6,3,-93
f3,2,-6
f6,3,-52
f3,2,-6
g6,3,-133
f3,2,-6
b7,3,-121
f3,2,-6
f7,3,-141
f3,2,-6
e8,3,-67
f3,2,-6
d3,1,-135
c6,2,-Infinity
a1,3,10
c6,2,10
f3,3,-72
c6,2,10
b4,3,-68
c6,2,10
h4,3,-73
c6,2,10
c5,3,-69
c6,2,10
d5,3,-65
c6,2,10
e5,3,-73
c6,2,10
g5,3,-82
c6,2,10
d6,3,-77
c6,2,10
f6,3,-58
c6,2,10
g6,3,-117
c6,2,10
b7,3,-105
c6,2,10
f7,3,-125
c6,2,10
e8,3,-51
c6,2,10
d3,1,-135
d6,2,-Infinity
a1,3,11
d6,2,11
f3,3,-71
d6,2,11
b4,3,-73
d6,2,11
h4,3,-72
d6,2,11
c5,3,-60
d6,2,11
d5,3,-64
d6,2,11
e5,3,-72
d6,2,11
g5,3,-81
d6,2,11
f6,3,-57
d6,2,11
g6,3,-116
d6,2,11
f7,3,-124
d6,2,11
e8,3,-50
d6,2,11
d3,1,-135
b7,2,-Infinity
a1,3,41
b7,2,41
f3,3,-41
b7,2,41
b4,3,-99
b7,2,41
h4,3,-42
b7,2,41
c5,3,-38
b7,2,41
d5,3,-34
b7,2,41
e5,3,-42
b7,2,41
g5,3,-51
b7,2,41
d6,3,-46
b7,2,41
f6,3,-27
b7,2,41
g6,3,-86
b7,2,41
f7,3,-94
b7,2,41
e8,3,-20
b7,2,41
d3,1,-135
e7,2,-Infinity
a1,3,18
e7,2,18
f3,3,-64
e7,2,18
b4,3,-66
e7,2,18
h4,3,-65
e7,2,18
c5,3,-53
e7,2,18
d5,3,-57
e7,2,18
e5,3,-65
e7,2,18
g5,3,-74
e7,2,18
d6,3,-69
e7,2,18
f6,3,-50
e7,2,18
g6,3,-109
e7,2,18
f7,3,-117
e7,2,18
e8,3,-43
e7,2,18
d3,1,-135
c8,2,-Infinity
a1,3,17
c8,2,17
f3,3,-65
c8,2,17
b4,3,-67
c8,2,17
h4,3,-66
c8,2,17
c5,3,-54
c8,2,17
d5,3,-58
c8,2,17
e5,3,-66
c8,2,17
g5,3,-75
c8,2,17
f6,3,-51
c8,2,17
g6,3,-110
c8,2,17
b7,3,-98
c8,2,17
f7,3,-118
c8,2,17
e8,3,-44
c8,2,17
d3,1,-135
h8,2,-Infinity
a1,3,-74
h8,2,-74
f3,3,-156
h8,2,-74
b4,3,-158
h8,2,-74
h4,3,-157
h8,2,-74
c5,3,-145
h8,2,-74
d5,3,-149
h8,2,-74
e5,3,-157
h8,2,-74
g5,3,-166
h8,2,-74
d6,3,-161
h8,2,-74
f6,3,-142
h8,2,-74
g6,3,-153
h8,2,-74
b7,3,-189
h8,2,-74
f7,3,-209
h8,2,-74
d3,1,-135
root,0,-69
f3,1,Infinity
a1,2,-Infinity
d3,3,-108
a1,2,-108
b4,3,-119
a1,2,-108
d5,3,-118
a1,2,-108
e5,3,-118
a1,2,-108
d6,3,-122
a1,2,-108
e6,3,-106
a1,2,-106
f6,3,-103
a1,2,-103
g6,3,-170
a1,2,-103
b7,3,-150
a1,2,-103
f7,3,-170
a1,2,-103
e8,3,-96
a1,2,-96
f3,1,-96
f1,2,-Infinity
a1,3,-34
f1,2,-34
e2,3,-106
f1,2,-34
d3,3,-107
f1,2,-34
b4,3,-126
f1,2,-34
e5,3,-109
f1,2,-34
g5,3,-112
f1,2,-34
d6,3,-121
f1,2,-34
e6,3,-105
f1,2,-34
g6,3,-169
f1,2,-34
b7,3,-149
f1,2,-34
f7,3,-169
f1,2,-34
e8,3,-95
f1,2,-34
f3,1,-96
c2,2,-Infinity
a1,3,18
c2,2,18
d3,3,-29
c2,2,18
b4,3,-88
c2,2,18
d5,3,-31
c2,2,18
e5,3,-31
c2,2,18
d6,3,-35
c2,2,18
e6,3,-19
c2,2,18
f6,3,-16
c2,2,18
g6,3,-83
c2,2,18
b7,3,-63
c2,2,18
f7,3,-83
c2,2,18
e8,3,-9
c2,2,18
f3,1,-96
e2,2,-Infinity
a1,3,-5
e2,2,-5
d2,3,-89
e2,2,-5
d3,3,-70
e2,2,-5
b4,3,-97
e2,2,-5
d5,3,-88
e2,2,-5
e5,3,-86
e2,2,-5
d6,3,-92
e2,2,-5
e6,3,-76
e2,2,-5
f6,3,-73
e2,2,-5
g6,3,-140
e2,2,-5
b7,3,-120
e2,2,-5
f7,3,-140
e2,2,-5
e8,3,-66
e2,2,-5
f3,1,-96
g2,2,-Infinity
a1,3,10
g2,2,10
e2,3,-62
g2,2,10
d3,3,-63
g2,2,10
b4,3,-82
g2,2,10
d5,3,-107
g2,2,10
e5,3,-73
g2,2,10
d6,3,-77
g2,2,10
e6,3,-61
g2,2,10
f6,3,-58
g2,2,10
g6,3,-125
g2,2,10
b7,3,-105
g2,2,10
f7,3,-125
g2,2,10
e8,3,-51
g2,2,10
f3,1,-96
h3,2,-Infinity
a1,3,-2
h3,2,-2
d3,3,-75
h3,2,-2
b4,3,-94
h3,2,-2
h4,3,-69
h3,2,-2
d5,3,-85
h3,2,-2
e5,3,-85
h3,2,-2
g5,3,-94
h3,2,-2
d6,3,-89
h3,2,-2
f6,3,-70
h3,2,-2
g6,3,-137
h3,2,-2
b7,3,-117
h3,2,-2
f7,3,-137
h3,2,-2
e8,3,-63
h3,2,-2
f3,1,-96
h4,2,-Infinity
a1,3,-8
h4,2,-8
d3,3,-81
h4,2,-8
h3,3,-71
h4,2,-8
b4,3,-100
h4,2,-8
d5,3,-91
h4,2,-8
e5,3,-83
h4,2,-8
g5,3,-92
h4,2,-8
d6,3,-95
h4,2,-8
f6,3,-68
h4,2,-8
g6,3,-143
h4,2,-8
b7,3,-123
h4,2,-8
f7,3,-143
h4,2,-8
e8,3,-69
h4,2,-8
f3,1,-96
e5,2,-Infinity
a1,3,0
e5,2,0
