XOOXOXO*
OO**OXOO
OOOXXXX*
*OXXOXO*
OO*O*X*X
X*XO*XO*
*OOO*OXO
XOO**OXX
Node,Depth,Value
root,0,-Infinity
h1,1,Infinity
c2,2,-Infinity
d2,3,401
c2,2,401
h3,3,388
c2,2,401
a4,3,392
c2,2,401
h4,3,402
c2,2,402
e5,3,402
c2,2,402
g5,3,337
c2,2,402
e6,3,406
c2,2,406
h6,3,402
c2,2,406
d8,3,410
c2,2,410
e8,3,402
c2,2,410
h8,3,453
c2,2,453
h1,1,453
d2,2,-Infinity
c2,3,407
d2,2,407
h3,3,387
d2,2,407
a4,3,407
d2,2,407
h4,3,401
d2,2,407
c5,3,405
d2,2,407
e5,3,367
d2,2,407
g5,3,336
d2,2,407
e6,3,405
d2,2,407
h6,3,401
d2,2,407
d8,3,411
d2,2,411
e8,3,401
d2,2,411
h8,3,452
d2,2,452
h1,1,452
h3,2,-Infinity
c2,3,394
h3,2,394
d2,3,383
h3,2,394
a4,3,382
h3,2,394
h4,3,368
h3,2,394
g5,3,303
h3,2,394
e6,3,380
h3,2,394
h6,3,376
h3,2,394
d8,3,384
h3,2,394
e8,3,376
h3,2,394
h8,3,427
h3,2,427
h1,1,427
h4,2,-Infinity
c2,3,426
h4,2,426
d2,3,399
h4,2,426
h3,3,406
h4,2,426
a4,3,422
h4,2,426
e5,3,416
h4,2,426
g5,3,343
h4,2,426
e6,3,420
h4,2,426
h6,3,416
h4,2,426
d8,3,424
h4,2,426
e8,3,416
h4,2,426
h8,3,467
h4,2,467
h1,1,427
c5,2,-Infinity
d2,3,371
c5,2,371
h3,3,366
c5,2,371
a4,3,400
c5,2,400
h4,3,380
c5,2,400
e5,3,380
c5,2,400
g5,3,315
c5,2,400
b6,3,384
c5,2,400
e6,3,376
c5,2,400
h6,3,380
c5,2,400
d8,3,388
c5,2,400
e8,3,386
c5,2,400
h8,3,431
c5,2,431
h1,1,427
e5,2,-Infinity
c2,3,402
e5,2,402
