XOO**OXO
*XOO*OXO
O*XO*O*O
XXOOO*O*
**X*XO**
OOXX*XXX
OXXOOXXX
XOXOXXXO
Node,Depth,Value
root,0,-Infinity
a1,1,Infinity
a2,2,-Infinity
d1,3,-17
a2,2,-17
e1,3,-7
a2,2,-7
e2,3,-34
a2,2,-7
e3,3,-19
a2,2,-7
f4,3,-3
a2,2,-3
a5,3,-25
a2,2,-3
b5,3,-34
a2,2,-3
d5,3,-9
a2,2,-3
g5,3,-18
a2,2,-3
e6,3,-31
a2,2,-3
a1,1,-3
b3,2,-Infinity
d1,3,-51
b3,2,-51
e1,3,-11
b3,2,-11
a2,3,-33
b3,2,-11
e2,3,-52
b3,2,-11
e3,3,-45
b3,2,-11
f4,3,-21
b3,2,-11
a5,3,-43
b3,2,-11
b5,3,-52
b3,2,-11
d5,3,-27
b3,2,-11
g5,3,-36
b3,2,-11
e6,3,-49
b3,2,-11
a1,1,-11
f4,2,-Infinity
d1,3,-77
f4,2,-77
e1,3,-67
f4,2,-67
a2,3,-75
f4,2,-67
e2,3,-108
f4,2,-67
e3,3,-79
f4,2,-67
h4,3,-67
f4,2,-67
a5,3,-77
f4,2,-67
b5,3,-94
f4,2,-67
d5,3,-69
f4,2,-67
e6,3,-83
f4,2,-67
a1,1,-67
a5,2,-Infinity
d1,3,-99
a5,2,-99
e1,3,-83
a5,2,-83
a2,3,-73
a5,2,-73
e2,3,-130
a5,2,-73
e3,3,-109
a5,2,-73
f4,3,-93
a5,2,-73
b5,3,-116
a5,2,-73
d5,3,-91
a5,2,-73
g5,3,-100
a5,2,-73
e6,3,-113
a5,2,-73
a1,1,-73
b5,2,-Infinity
d1,3,-84
b5,2,-84
e1,3,-74
b5,2,-74
a2,3,-82
b5,2,-74
e2,3,-115
b5,2,-74
e3,3,-86
b5,2,-74
f4,3,-70
b5,2,-70
a5,3,-98
b5,2,-70
d5,3,-62
b5,2,-62
g5,3,-85
b5,2,-62
e6,3,-98
b5,2,-62
a1,1,-73
d5,2,-Infinity
d1,3,-81
d5,2,-81
e1,3,-71
d5,2,-71
a2,3,-79
d5,2,-71
e2,3,-112
d5,2,-71
e3,3,-83
d5,2,-71
f4,3,-59
d5,2,-59
a5,3,-89
d5,2,-59
b5,3,-98
d5,2,-59
g5,3,-82
d5,2,-59
e6,3,-87
d5,2,-59
a1,1,-73
g5,2,-Infinity
d1,3,-84
g5,2,-84
e1,3,-74
g5,2,-74
a2,3,-82
g5,2,-74
e2,3,-115
g5,2,-74
e3,3,-86
g5,2,-74
g3,3,-106
g5,2,-74
f4,3,-62
g5,2,-62
a5,3,-92
g5,2,-62
b5,3,-101
g5,2,-62
d5,3,-76
g5,2,-62
h5,3,-82
g5,2,-62
e6,3,-84
g5,2,-62
a1,1,-73
h5,2,-Infinity
d1,3,-79
h5,2,-79
e1,3,-69
h5,2,-69
a2,3,-77
h5,2,-69
e2,3,-110
h5,2,-69
e3,3,-81
h5,2,-69
f4,3,-65
h5,2,-65
a5,3,-87
h5,2,-65
b5,3,-96
h5,2,-65
d5,3,-71
h5,2,-65
g5,3,-80
h5,2,-65
e6,3,-93
h5,2,-65
a1,1,-73
e6,2,-Infinity
d1,3,-99
e6,2,-99
e1,3,-89
e6,2,-89
a2,3,-97
e6,2,-89
e2,3,-130
e6,2,-89
e3,3,-99
e6,2,-89
f4,3,-77
e6,2,-77
a5,3,-107
e6,2,-77
b5,3,-108
e6,2,-77
d5,3,-69
e6,2,-69
a1,1,-73
root,0,-73
e1,1,Infinity
d1,2,-Infinity
a1,3,-75
d1,2,-75
a2,3,-118
d1,2,-75
e2,3,-137
d1,2,-75
e3,3,-114
d1,2,-75
f4,3,-106
d1,2,-75
a5,3,-128
d1,2,-75
b5,3,-137
d1,2,-75
d5,3,-112
d1,2,-75
g5,3,-121
d1,2,-75
e6,3,-134
d1,2,-75
e1,1,-75
e2,2,-Infinity
a1,3,-54
e2,2,-54
a2,3,-173
e2,2,-54
e3,3,-107
e2,2,-54
g3,3,-117
e2,2,-54
f4,3,-79
e2,2,-54
a5,3,-107
e2,2,-54
b5,3,-106
e2,2,-54
d5,3,-91
e2,2,-54
g5,3,-100
e2,2,-54
e6,3,-113
e2,2,-54
e1,1,-75
b3,2,-Infinity
a1,3,-59
b3,2,-59
d1,3,-134
b3,2,-59
a2,3,-172
b3,2,-59
e2,3,-135
b3,2,-59
e3,3,-128
b3,2,-59
g3,3,-136
b3,2,-59
f4,3,-98
b3,2,-59
a5,3,-126
b3,2,-59
b5,3,-135
b3,2,-59
d5,3,-102
b3,2,-59
g5,3,-119
b3,2,-59
e6,3,-132
b3,2,-59
e1,1,-75
e3,2,-Infinity
a1,3,-61
e3,2,-61
a2,3,-104
e3,2,-61
e2,3,-115
e3,2,-61
g3,3,-94
e3,2,-61
f4,3,-86
e3,2,-61
a5,3,-114
e3,2,-61
b5,3,-123
e3,2,-61
d5,3,-98
e3,2,-61
g5,3,-107
e3,2,-61
e6,3,-120
e3,2,-61
e1,1,-75
f4,2,-Infinity
a1,3,-67
f4,2,-67
a2,3,-166
f4,2,-67
e2,3,-129
f4,2,-67
e3,3,-114
f4,2,-67
g3,3,-130
f4,2,-67
h4,3,-102
f4,2,-67
a5,3,-112
f4,2,-67
b5,3,-129
f4,2,-67
d5,3,-96
f4,2,-67
e6,3,-118
f4,2,-67
e1,1,-75
a5,2,-Infinity
a1,3,-81
a5,2,-81
a2,3,-156
a5,2,-81
e2,3,-143
a5,2,-81
e3,3,-128
a5,2,-81
g3,3,-144
a5,2,-81
f4,3,-106
a5,2,-81
b5,3,-143
a5,2,-81
d5,3,-110
a5,2,-81
g5,3,-127
a5,2,-81
e6,3,-140
a5,2,-81
e1,1,-81
b5,2,-Infinity
a1,3,-74
b5,2,-74
a2,3,-173
b5,2,-74
e2,3,-136
b5,2,-74
e3,3,-121
b5,2,-74
g3,3,-137
b5,2,-74
f4,3,-99
b5,2,-74
a5,3,-133
b5,2,-74
d5,3,-89
b5,2,-74
g5,3,-120
b5,2,-74
e6,3,-133
b5,2,-74
e1,1,-81
d5,2,-Infinity
a1,3,-71
d5,2,-71
a2,3,-170
d5,2,-71
e2,3,-133
d5,2,-71
e3,3,-118
d5,2,-71
g3,3,-134
d5,2,-71
f4,3,-88
d5,2,-71
a5,3,-124
d5,2,-71
b5,3,-133
d5,2,-71
g5,3,-117
d5,2,-71
e6,3,-122
d5,2,-71
e1,1,-81
g5,2,-Infinity
a1,3,-74
g5,2,-74
a2,3,-173
g5,2,-74
e2,3,-136
g5,2,-74
e3,3,-121
g5,2,-74
g3,3,-149
g5,2,-74
f4,3,-91
g5,2,-74
a5,3,-127
g5,2,-74
b5,3,-136
g5,2,-74
d5,3,-103
g5,2,-74
h5,3,-117
g5,2,-74
e6,3,-119
g5,2,-74
e1,1,-81
h5,2,-Infinity
a1,3,-69
h5,2,-69
a2,3,-168
h5,2,-69
e2,3,-131
h5,2,-69
e3,3,-116
h5,2,-69
g3,3,-132
h5,2,-69
f4,3,-94
h5,2,-69
a5,3,-122
h5,2,-69
b5,3,-131
h5,2,-69
d5,3,-98
h5,2,-69
g5,3,-115
h5,2,-69
e6,3,-128
h5,2,-69
e1,1,-81
e6,2,-Infinity
a1,3,-89
e6,2,-89
a2,3,-188
e6,2,-89
e2,3,-151
e6,2,-89
e3,3,-134
e6,2,-89
g3,3,-152
e6,2,-89
f4,3,-106
e6,2,-89
a5,3,-142
e6,2,-89
b5,3,-143
e6,2,-89
d5,3,-96
e6,2,-89
e1,1,-89
root,0,-73
a2,1,Infinity
b3,2,-Infinity
a1,3,-67
b3,2,-67
d1,3,-142
b3,2,-67
e1,3,-102
b3,2,-67
e2,3,-205
b3,2,-67
e3,3,-122
b3,2,-67
f4,3,-112
b3,2,-67
a5,3,-134
b3,2,-67
b5,3,-143
b3,2,-67
d5,3,-118
b3,2,-67
g5,3,-127
b3,2,-67
e6,3,-140
b3,2,-67
a2,1,-67
f4,2,-Infinity
a1,3,-75
f4,2,-75
e1,3,-110
f4,2,-75
e2,3,-199
f4,2,-75
e3,3,-122
f4,2,-75
h4,3,-110
f4,2,-75
a5,3,-120
f4,2,-75
b5,3,-137
f4,2,-75
d5,3,-112
f4,2,-75
e6,3,-126
f4,2,-75
a2,1,-75
a5,2,-Infinity
a1,3,-71
a5,2,-71
e1,3,-114
a5,2,-71
e2,3,-209
a5,2,-71
e3,3,-140
a5,2,-71
f4,3,-122
a5,2,-71
b5,3,-147
a5,2,-71
d5,3,-122
a5,2,-71
g5,3,-131
a5,2,-71
e6,3,-144
a5,2,-71
a2,1,-75
b5,2,-Infinity
a1,3,-82
b5,2,-82
e1,3,-117
b5,2,-82
e2,3,-206
b5,2,-82
e3,3,-129
b5,2,-82
f4,3,-113
b5,2,-82
a5,3,-141
b5,2,-82
d5,3,-105
b5,2,-82
g5,3,-128
b5,2,-82
e6,3,-141
b5,2,-82
a2,1,-82
d5,2,-Infinity
a1,3,-79
d5,2,-79
e1,3,-114
d5,2,-79
e2,3,-203
d5,2,-79
e3,3,-126
d5,2,-79
f4,3,-102
d5,2,-79
a5,3,-132
d5,2,-79
b5,3,-141
d5,2,-79
g5,3,-125
d5,2,-79
e6,3,-130
d5,2,-79
a2,1,-82
g5,2,-Infinity
a1,3,-82
g5,2,-82
e1,3,-117
g5,2,-82
e2,3,-206
g5,2,-82
e3,3,-129
g5,2,-82
g3,3,-149
g5,2,-82
f4,3,-105
g5,2,-82
a5,3,-135
g5,2,-82
b5,3,-144
g5,2,-82
d5,3,-119
g5,2,-82
h5,3,-125
g5,2,-82
e6,3,-127
g5,2,-82
a2,1,-82
h5,2,-Infinity
a1,3,-77
h5,2,-77
e1,3,-112
h5,2,-77
e2,3,-201
h5,2,-77
e3,3,-124
h5,2,-77
f4,3,-108
h5,2,-77
a5,3,-130
h5,2,-77
b5,3,-139
h5,2,-77
d5,3,-114
h5,2,-77
g5,3,-123
h5,2,-77
e6,3,-136
h5,2,-77
a2,1,-82
e6,2,-Infinity
a1,3,-97
e6,2,-97
e1,3,-132
e6,2,-97
e2,3,-221
e6,2,-97
e3,3,-142
e6,2,-97
f4,3,-120
e6,2,-97
a5,3,-150
e6,2,-97
b5,3,-151
e6,2,-97
d5,3,-112
e6,2,-97
a2,1,-97
root,0,-73
e2,1,Infinity
d1,2,-Infinity
a1,3,-90
d1,2,-90
e1,3,-125
d1,2,-90
a2,3,-201
d1,2,-90
e3,3,-129
d1,2,-90
f4,3,-107
d1,2,-90
a5,3,-143
d1,2,-90
b5,3,-152
d1,2,-90
d5,3,-127
d1,2,-90
g5,3,-136
d1,2,-90
e6,3,-149
d1,2,-90
e2,1,-90
b3,2,-Infinity
a1,3,-86
b3,2,-86
d1,3,-161
b3,2,-86
e1,3,-121
b3,2,-86
a2,3,-205
b3,2,-86
e3,3,-147
b3,2,-86
f4,3,-117
b3,2,-86
a5,3,-153
b3,2,-86
b5,3,-146
b3,2,-86
d5,3,-137
b3,2,-86
g5,3,-146
b3,2,-86
h5,3,-137
b3,2,-86
e6,3,-159
b3,2,-86
e2,1,-90
f4,2,-Infinity
a1,3,-94
f4,2,-94
e1,3,-129
f4,2,-94
a2,3,-199
f4,2,-94
e3,3,-133
f4,2,-94
h4,3,-129
f4,2,-94
a5,3,-139
f4,2,-94
b5,3,-140
f4,2,-94
d5,3,-131
f4,2,-94
h5,3,-131
f4,2,-94
e6,3,-145
f4,2,-94
e2,1,-94
a5,2,-Infinity
a1,3,-102
a5,2,-102
e1,3,-145
a5,2,-102
a2,3,-197
a5,2,-102
e3,3,-163
a5,2,-102
f4,3,-141
a5,2,-102
b5,3,-162
a5,2,-102
d5,3,-153
a5,2,-102
g5,3,-162
a5,2,-102
h5,3,-153
a5,2,-102
e6,3,-175
a5,2,-102
e2,1,-102
b5,2,-Infinity
a1,3,-101
b5,2,-101
e1,3,-136
b5,2,-101
a2,3,-206
b5,2,-101
e3,3,-140
b5,2,-101
f4,3,-118
b5,2,-101
a5,3,-160
b5,2,-101
d5,3,-124
b5,2,-101
g5,3,-147
b5,2,-101
h5,3,-138
b5,2,-101
e6,3,-160
b5,2,-101
e2,1,-102
d5,2,-Infinity
a1,3,-98
d5,2,-98
e1,3,-133
d5,2,-98
a2,3,-203
d5,2,-98
e3,3,-137
d5,2,-98
f4,3,-107
d5,2,-98
a5,3,-151
d5,2,-98
b5,3,-144
d5,2,-98
g5,3,-144
d5,2,-98
h5,3,-135
d5,2,-98
e6,3,-149
d5,2,-98
e2,1,-102
g5,2,-Infinity
a1,3,-101
g5,2,-101
e1,3,-136
g5,2,-101
a2,3,-206
g5,2,-101
e3,3,-140
g5,2,-101
g3,3,-168
g5,2,-101
f4,3,-110
g5,2,-101
a5,3,-154
g5,2,-101
b5,3,-147
g5,2,-101
d5,3,-138
g5,2,-101
h5,3,-136
g5,2,-101
e6,3,-146
g5,2,-101
e2,1,-102
h5,2,-Infinity
a1,3,-96
h5,2,-96
e1,3,-131
h5,2,-96
a2,3,-201
h5,2,-96
e3,3,-135
h5,2,-96
f4,3,-113
h5,2,-96
a5,3,-149
h5,2,-96
b5,3,-142
h5,2,-96
d5,3,-133
