OOOX*O**
*OXXX***
OOOX*XOO
O*OO**X*
XOOO*X*X
X***XO**
X*OXO*X*
O*X**XXO
Node,Depth,Value
root,0,-Infinity
a1,1,Infinity
a2,2,-Infinity
e1,3,342
a2,2,342
e3,3,350
a2,2,350
b4,3,279
a2,2,350
e4,3,330
a2,2,350
f4,3,342
a2,2,350
e5,3,338
a2,2,350
g5,3,321
a2,2,350
d6,3,342
a2,2,350
e8,3,336
a2,2,350
a1,1,350
g2,2,-Infinity
e1,3,346
g2,2,346
f2,3,310
g2,2,346
e3,3,346
g2,2,346
e4,3,334
g2,2,346
f4,3,346
g2,2,346
e5,3,342
g2,2,346
d6,3,346
g2,2,346
f7,3,338
g2,2,346
e8,3,340
g2,2,346
a1,1,346
b4,2,-Infinity
e1,3,309
b4,2,309
f2,3,267
b4,2,309
e3,3,325
b4,2,325
e4,3,291
b4,2,325
f4,3,303
b4,2,325
e5,3,299
b4,2,325
g5,3,282
b4,2,325
d6,3,303
b4,2,325
f7,3,295
b4,2,325
e8,3,297
b4,2,325
a1,1,325
e5,2,-Infinity
e1,3,298
e5,2,298
f2,3,262
e5,2,298
e3,3,306
e5,2,306
e4,3,294
e5,2,306
g5,3,291
e5,2,306
b6,3,290
e5,2,306
c6,3,295
e5,2,306
d6,3,290
e5,2,306
f7,3,290
e5,2,306
e8,3,292
e5,2,306
a1,1,306
c6,2,-Infinity
e1,3,291
c6,2,291
f2,3,249
c6,2,291
e3,3,307
c6,2,307
b4,3,278
c6,2,307
e4,3,273
c6,2,307
f4,3,285
c6,2,307
e5,3,281
c6,2,307
g5,3,264
c6,2,307
b6,3,277
c6,2,307
d6,3,285
c6,2,307
b7,3,249
c6,2,307
f7,3,277
c6,2,307
e8,3,287
c6,2,307
a1,1,306
d6,2,-Infinity
e1,3,316
d6,2,316
f2,3,280
d6,2,316
e3,3,324
d6,2,324
e4,3,304
d6,2,324
f4,3,316
d6,2,324
e5,3,312
d6,2,324
g5,3,295
d6,2,324
c6,3,327
d6,2,327
f7,3,296
d6,2,327
d8,3,304
d6,2,327
e8,3,310
d6,2,327
a1,1,306
g6,2,-Infinity
e1,3,304
g6,2,304
f2,3,268
g6,2,304
e3,3,312
g6,2,312
e4,3,292
g6,2,312
e5,3,266
g6,2,312
g5,3,297
g6,2,312
f7,3,296
g6,2,312
e8,3,298
g6,2,312
a1,1,306
b7,2,-Infinity
e1,3,346
b7,2,346
f2,3,310
b7,2,346
e3,3,354
b7,2,354
e4,3,334
b7,2,354
f4,3,346
b7,2,354
e5,3,342
b7,2,354
g5,3,325
b7,2,354
c6,3,293
b7,2,354
d6,3,346
b7,2,354
f7,3,338
b7,2,354
e8,3,340
b7,2,354
a1,1,306
f7,2,-Infinity
e1,3,310
f7,2,310
f2,3,274
f7,2,310
e3,3,318
f7,2,318
e4,3,298
f7,2,318
e5,3,264
f7,2,318
g5,3,289
f7,2,318
h7,3,222
f7,2,318
e8,3,304
f7,2,318
a1,1,306
e8,2,-Infinity
e1,3,314
e8,2,314
f2,3,278
e8,2,314
e3,3,322
e8,2,322
e4,3,302
e8,2,322
f4,3,314
e8,2,322
g5,3,293
e8,2,322
d6,3,314
e8,2,322
f7,3,294
e8,2,322
d8,3,314
e8,2,322
a1,1,306
root,0,306
e1,1,Infinity
g1,2,-Infinity
a1,3,288
g1,2,288
e3,3,263
g1,2,288
f4,3,235
g1,2,288
e5,3,231
g1,2,288
g5,3,214
g1,2,288
d6,3,235
g1,2,288
f7,3,227
g1,2,288
e8,3,229
g1,2,288
e1,1,288
a2,2,-Infinity
a1,3,324
a2,2,324
e3,3,257
a2,2,324
b4,3,264
a2,2,324
f4,3,263
a2,2,324
e5,3,259
a2,2,324
g5,3,242
a2,2,324
d6,3,263
a2,2,324
e8,3,257
a2,2,324
e1,1,288
g2,2,-Infinity
a1,3,352
g2,2,352
e3,3,323
g2,2,352
b4,3,308
g2,2,352
f4,3,315
g2,2,352
e5,3,311
g2,2,352
d6,3,315
g2,2,352
f7,3,307
g2,2,352
e8,3,309
g2,2,352
e1,1,288
b4,2,-Infinity
a1,3,331
b4,2,331
a2,3,266
b4,2,331
e3,3,302
b4,2,331
f4,3,294
b4,2,331
e5,3,290
b4,2,331
g5,3,273
b4,2,331
d6,3,294
b4,2,331
f7,3,286
b4,2,331
e8,3,288
b4,2,331
e1,1,288
e5,2,-Infinity
a1,3,270
e5,2,270
e3,3,283
e5,2,283
b4,3,260
e5,2,283
e4,3,263
e5,2,283
g5,3,260
e5,2,283
c6,3,264
e5,2,283
d6,3,261
e5,2,283
f7,3,259
e5,2,283
e8,3,261
e5,2,283
e1,1,283
c6,2,-Infinity
a1,3,305
c6,2,305
e3,3,284
c6,2,305
b4,3,269
c6,2,305
f4,3,268
c6,2,305
e5,3,264
c6,2,305
g5,3,247
c6,2,305
b6,3,260
c6,2,305
d6,3,268
c6,2,305
b7,3,232
c6,2,305
f7,3,260
c6,2,305
e8,3,270
c6,2,305
e1,1,283
d6,2,-Infinity
a1,3,356
d6,2,356
e3,3,301
d6,2,356
b4,3,278
d6,2,356
e4,3,273
d6,2,356
f4,3,285
d6,2,356
e5,3,281
d6,2,356
g5,3,264
d6,2,356
c6,3,296
d6,2,356
f7,3,265
d6,2,356
d8,3,277
d6,2,356
e8,3,279
d6,2,356
e1,1,283
g6,2,-Infinity
a1,3,310
g6,2,310
e3,3,289
g6,2,310
b4,3,266
g6,2,310
e5,3,235
g6,2,310
g5,3,266
g6,2,310
f7,3,265
g6,2,310
e8,3,267
g6,2,310
e1,1,283
b7,2,-Infinity
a1,3,352
b7,2,352
e3,3,331
b7,2,352
b4,3,308
b7,2,352
f4,3,315
b7,2,352
e5,3,311
b7,2,352
g5,3,294
b7,2,352
c6,3,262
b7,2,352
d6,3,315
b7,2,352
f7,3,307
b7,2,352
e8,3,309
b7,2,352
e1,1,283
f7,2,-Infinity
a1,3,316
f7,2,316
e3,3,295
f7,2,316
b4,3,272
f7,2,316
e5,3,233
f7,2,316
g5,3,258
f7,2,316
h7,3,191
f7,2,316
e8,3,273
f7,2,316
e1,1,283
e8,2,-Infinity
a1,3,320
e8,2,320
e3,3,299
e8,2,320
b4,3,276
e8,2,320
f4,3,283
e8,2,320
g5,3,262
e8,2,320
d6,3,283
e8,2,320
f7,3,263
e8,2,320
d8,3,283
e8,2,320
e1,1,283
root,0,306
e3,1,Infinity
a2,2,-Infinity
a1,3,326
a2,2,326
e1,3,279
a2,2,326
f2,3,257
a2,2,326
b4,3,272
a2,2,326
f4,3,279
a2,2,326
e5,3,275
a2,2,326
g5,3,258
a2,2,326
d6,3,279
a2,2,326
e8,3,273
a2,2,326
e3,1,326
g2,2,-Infinity
a1,3,354
g2,2,354
e1,3,331
g2,2,354
h1,3,370
g2,2,370
a2,3,255
g2,2,370
f2,3,309
g2,2,370
f4,3,331
g2,2,370
e5,3,327
g2,2,370
d6,3,331
g2,2,370
f7,3,323
g2,2,370
e8,3,325
g2,2,370
e3,1,326
b4,2,-Infinity
a1,3,333
b4,2,333
e1,3,310
b4,2,333
a2,3,226
b4,2,333
f2,3,288
b4,2,333
f4,3,310
b4,2,333
e5,3,306
b4,2,333
g5,3,289
b4,2,333
d6,3,310
b4,2,333
f7,3,302
b4,2,333
e8,3,304
b4,2,333
e3,1,326
e4,2,-Infinity
a1,3,306
e4,2,306
e1,3,289
e4,2,306
a2,3,207
e4,2,306
f2,3,269
e4,2,306
f4,3,291
e4,2,306
e5,3,279
e4,2,306
g5,3,262
e4,2,306
d6,3,283
e4,2,306
f7,3,275
e4,2,306
e8,3,277
e4,2,306
e3,1,306
e5,2,-Infinity
a1,3,272
e5,2,272
e1,3,269
e5,2,272
a2,3,193
e5,2,272
f2,3,247
e5,2,272
b4,3,268
e5,2,272
e4,3,265
e5,2,272
g5,3,262
e5,2,272
b6,3,261
e5,2,272
c6,3,266
e5,2,272
d6,3,261
e5,2,272
f7,3,261
e5,2,272
e8,3,263
e5,2,272
e3,1,272
c6,2,-Infinity
a1,3,307
c6,2,307
e1,3,270
c6,2,307
a2,3,194
c6,2,307
f2,3,248
c6,2,307
b4,3,277
c6,2,307
f4,3,270
c6,2,307
e5,3,266
c6,2,307
g5,3,249
c6,2,307
b6,3,262
c6,2,307
d6,3,270
c6,2,307
b7,3,234
c6,2,307
f7,3,262
c6,2,307
e8,3,272
c6,2,307
e3,1,272
d6,2,-Infinity
a1,3,322
d6,2,322
e1,3,293
d6,2,322
e4,3,287
d6,2,322
f4,3,299
d6,2,322
e5,3,295
d6,2,322
g5,3,278
d6,2,322
c6,3,310
d6,2,322
f7,3,279
d6,2,322
d8,3,287
d6,2,322
e8,3,293
d6,2,322
e3,1,272
g6,2,-Infinity
a1,3,312
g6,2,312
e1,3,289
g6,2,312
a2,3,213
g6,2,312
f2,3,267
g6,2,312
e5,3,251
g6,2,312
g5,3,282
g6,2,312
f7,3,281
g6,2,312
e8,3,283
g6,2,312
e3,1,272
b7,2,-Infinity
a1,3,354
b7,2,354
e1,3,331
b7,2,354
a2,3,255
b7,2,354
f2,3,309
b7,2,354
f4,3,331
b7,2,354
e5,3,327
b7,2,354
g5,3,310
b7,2,354
c6,3,278
b7,2,354
d6,3,331
b7,2,354
f7,3,323
b7,2,354
e8,3,325
b7,2,354
e3,1,272
f7,2,-Infinity
a1,3,318
f7,2,318
e1,3,295
f7,2,318
a2,3,219
f7,2,318
f2,3,273
f7,2,318
e5,3,249
f7,2,318
g5,3,274
f7,2,318
h7,3,207
f7,2,318
e8,3,289
f7,2,318
e3,1,272
e8,2,-Infinity
a1,3,322
e8,2,322
e1,3,299
e8,2,322
a2,3,223
e8,2,322
f2,3,277
e8,2,322
f4,3,299
e8,2,322
g5,3,278
e8,2,322
d6,3,299
e8,2,322
f7,3,279
e8,2,322
d8,3,299
e8,2,322
e3,1,272
root,0,306
f4,1,Infinity
a2,2,-Infinity
a1,3,318
a2,2,318
e1,3,263
a2,2,318
f2,3,255
a2,2,318
e3,3,257
a2,2,318
b4,3,250
a2,2,318
h4,3,245
a2,2,318
e5,3,253
a2,2,318
g5,3,236
a2,2,318
d6,3,257
a2,2,318
e8,3,251
a2,2,318
f4,1,318
g2,2,-Infinity
a1,3,346
g2,2,346
e1,3,315
g2,2,346
f2,3,307
g2,2,346
h2,3,281
g2,2,346
e3,3,323
g2,2,346
h4,3,297
g2,2,346
e5,3,305
g2,2,346
d6,3,309
g2,2,346
f7,3,301
g2,2,346
e8,3,303
g2,2,346
f4,1,318
b4,2,-Infinity
a1,3,325
b4,2,325
e1,3,294
b4,2,325
a2,3,260
b4,2,325
f2,3,286
b4,2,325
e3,3,302
b4,2,325
h4,3,276
b4,2,325
e5,3,284
b4,2,325
g5,3,267
b4,2,325
d6,3,288
b4,2,325
f7,3,280
b4,2,325
e8,3,282
b4,2,325
f4,1,318
e4,2,-Infinity
a1,3,306
e4,2,306
e1,3,275
e4,2,306
f2,3,275
e4,2,306
g2,3,247
e4,2,306
e3,3,291
e4,2,306
h4,3,265
e4,2,306
e5,3,273
e4,2,306
g5,3,248
e4,2,306
d6,3,269
e4,2,306
f7,3,261
e4,2,306
e8,3,263
e4,2,306
f4,1,306
e5,2,-Infinity
a1,3,264
e5,2,264
e1,3,267
e5,2,267
f2,3,259
e5,2,267
e3,3,283
e5,2,283
e4,3,257
e5,2,283
h4,3,249
e5,2,283
g5,3,254
e5,2,283
c6,3,258
e5,2,283
d6,3,253
e5,2,283
f7,3,267
e5,2,283
e8,3,255
e5,2,283
f4,1,283
c6,2,-Infinity
a1,3,299
c6,2,299
e1,3,268
c6,2,299
f2,3,260
c6,2,299
e3,3,284
c6,2,299
b4,3,255
c6,2,299
h4,3,250
c6,2,299
e5,3,258
c6,2,299
g5,3,241
c6,2,299
b6,3,254
c6,2,299
d6,3,262
c6,2,299
b7,3,226
c6,2,299
f7,3,254
c6,2,299
e8,3,264
c6,2,299
f4,1,283
d6,2,-Infinity
a1,3,350
d6,2,350
e1,3,285
d6,2,350
f2,3,277
d6,2,350
e3,3,301
d6,2,350
e4,3,267
d6,2,350
h4,3,267
d6,2,350
e5,3,275
d6,2,350
g5,3,258
d6,2,350
c6,3,290
d6,2,350
f7,3,259
d6,2,350
d8,3,267
d6,2,350
e8,3,273
d6,2,350
f4,1,283
g6,2,-Infinity
a1,3,304
g6,2,304
e1,3,273
g6,2,304
f2,3,265
g6,2,304
e3,3,289
g6,2,304
h4,3,255
g6,2,304
e5,3,229
g6,2,304
g5,3,260
g6,2,304
f7,3,273
g6,2,304
h7,3,239
g6,2,304
e8,3,261
g6,2,304
f4,1,283
b7,2,-Infinity
a1,3,346
b7,2,346
e1,3,315
b7,2,346
f2,3,307
b7,2,346
e3,3,331
b7,2,346
h4,3,297
b7,2,346
e5,3,305
b7,2,346
g5,3,288
b7,2,346
c6,3,256
b7,2,346
d6,3,309
b7,2,346
f7,3,301
b7,2,346
e8,3,303
b7,2,346
f4,1,283
f7,2,-Infinity
a1,3,294
f7,2,294
e1,3,263
f7,2,294
e3,3,279
f7,2,294
e5,3,219
f7,2,294
g5,3,236
f7,2,294
h7,3,169
f7,2,294
e8,3,251
