O*O**O*X
*OOXOXXX
OOX*XX*X
XXX*XX*X
O*XXO*OX
OO**X**O
*OOOOOX*
******OO
Node,Depth,Value
root,0,-Infinity
b1,1,Infinity
a2,2,-Infinity
d1,3,-78
a2,2,-78
e1,3,-78
a2,2,-78
c3,3,-63
a2,2,-63
d3,3,-82
a2,2,-63
d4,3,-70
a2,2,-63
f5,3,-80
a2,2,-63
d6,3,-74
a2,2,-63
f6,3,-77
a2,2,-63
a7,3,-142
a2,2,-63
h7,3,-70
a2,2,-63
c8,3,-76
a2,2,-63
e8,3,-78
a2,2,-63
b1,1,-63
c3,2,-Infinity
d1,3,-87
c3,2,-87
e1,3,-87
c3,2,-87
a2,3,-135
c3,2,-87
d3,3,-91
c3,2,-87
d4,3,-85
c3,2,-85
b5,3,-152
c3,2,-85
f5,3,-89
c3,2,-85
d6,3,-83
c3,2,-83
f6,3,-86
c3,2,-83
a7,3,-151
c3,2,-83
h7,3,-79
c3,2,-79
c8,3,-85
c3,2,-79
e8,3,-87
c3,2,-79
b1,1,-79
g3,2,-Infinity
d1,3,-138
g3,2,-138
e1,3,-146
g3,2,-138
a2,3,-138
g3,2,-138
c3,3,-131
g3,2,-131
d3,3,-150
g3,2,-131
d4,3,-138
g3,2,-131
g4,3,-149
g3,2,-131
f5,3,-140
g3,2,-131
d6,3,-142
g3,2,-131
f6,3,-145
g3,2,-131
a7,3,-210
g3,2,-131
h7,3,-138
g3,2,-131
c8,3,-144
g3,2,-131
e8,3,-146
g3,2,-131
b1,1,-131
d4,2,-Infinity
d1,3,-142
d4,2,-142
e1,3,-150
d4,2,-142
a2,3,-142
d4,2,-142
d3,3,-154
d4,2,-142
b5,3,-145
d4,2,-142
f5,3,-152
d4,2,-142
d6,3,-138
d4,2,-138
f6,3,-149
d4,2,-138
a7,3,-206
d4,2,-138
h7,3,-142
d4,2,-138
c8,3,-148
d4,2,-138
e8,3,-150
d4,2,-138
b1,1,-138
g4,2,-Infinity
d1,3,-137
g4,2,-137
e1,3,-153
g4,2,-137
a2,3,-145
g4,2,-137
c3,3,-138
g4,2,-137
d3,3,-157
g4,2,-137
g3,3,-143
g4,2,-137
d4,3,-145
g4,2,-137
f5,3,-161
g4,2,-137
d6,3,-149
g4,2,-137
f6,3,-152
g4,2,-137
a7,3,-217
g4,2,-137
h7,3,-145
g4,2,-137
c8,3,-151
g4,2,-137
e8,3,-153
g4,2,-137
b1,1,-138
b5,2,-Infinity
d1,3,-139
b5,2,-139
e1,3,-147
b5,2,-139
a2,3,-139
b5,2,-139
d3,3,-151
b5,2,-139
d4,3,-139
b5,2,-139
f5,3,-149
b5,2,-139
c6,3,-146
b5,2,-139
d6,3,-135
b5,2,-135
f6,3,-146
b5,2,-135
a7,3,-203
b5,2,-135
h7,3,-139
b5,2,-135
b8,3,-217
b5,2,-135
c8,3,-145
b5,2,-135
e8,3,-147
b5,2,-135
b1,1,-138
f5,2,-Infinity
d1,3,-154
f5,2,-154
e1,3,-168
f5,2,-154
g1,3,-184
f5,2,-154
a2,3,-160
f5,2,-154
c3,3,-153
f5,2,-153
d3,3,-172
f5,2,-153
g3,3,-158
f5,2,-153
d4,3,-160
f5,2,-153
g4,3,-163
f5,2,-153
f6,3,-167
f5,2,-153
g6,3,-164
f5,2,-153
a7,3,-232
f5,2,-153
h7,3,-160
f5,2,-153
e8,3,-160
f5,2,-153
b1,1,-153
c6,2,-Infinity
d1,3,-149
c6,2,-149
e1,3,-157
c6,2,-149
a2,3,-149
c6,2,-149
d3,3,-161
c6,2,-149
