O*****XX
O*XXOO**
*OXXOOXO
*XXO*XXO
*O**X*OO
*X*XO***
*X***XX*
OOOO*O*O
Node,Depth,Value
root,0,-Infinity
d1,1,Infinity
c1,2,-Infinity
b1,3,-270
c1,2,-270
e1,3,-272
c1,2,-270
f1,3,-278
c1,2,-270
b2,3,-296
c1,2,-270
c2,3,-274
c1,2,-270
g2,3,-310
c1,2,-270
a3,3,-264
c1,2,-264
e4,3,-270
c1,2,-264
c5,3,-274
c1,2,-264
d5,3,-270
c1,2,-264
a6,3,-276
c1,2,-264
f6,3,-263
c1,2,-263
g6,3,-288
c1,2,-263
h6,3,-276
c1,2,-263
e7,3,-273
c1,2,-263
d1,1,-263
e1,2,-Infinity
c1,3,-260
e1,2,-260
f1,3,-264
e1,2,-260
b2,3,-288
e1,2,-260
c2,3,-260
e1,2,-260
a3,3,-256
e1,2,-256
e4,3,-270
e1,2,-256
c5,3,-266
e1,2,-256
d5,3,-262
e1,2,-256
a6,3,-268
e1,2,-256
f6,3,-255
e1,2,-255
g6,3,-280
e1,2,-255
h6,3,-268
e1,2,-255
e7,3,-265
e1,2,-255
d1,1,-263
f1,2,-Infinity
e1,3,-280
f1,2,-280
b2,3,-312
f1,2,-280
g2,3,-332
f1,2,-280
a3,3,-264
f1,2,-264
e4,3,-286
f1,2,-264
c5,3,-290
f1,2,-264
d5,3,-278
f1,2,-264
f6,3,-279
f1,2,-264
g6,3,-304
f1,2,-264
h6,3,-292
f1,2,-264
e7,3,-289
f1,2,-264
d1,1,-264
c2,2,-Infinity
b1,3,-276
c2,2,-276
c1,3,-244
c2,2,-244
e1,3,-254
c2,2,-244
f1,3,-266
c2,2,-244
b2,3,-278
c2,2,-244
a3,3,-246
c2,2,-244
a4,3,-270
c2,2,-244
e4,3,-260
c2,2,-244
c5,3,-256
c2,2,-244
d5,3,-252
c2,2,-244
a6,3,-258
c2,2,-244
f6,3,-245
c2,2,-244
g6,3,-270
c2,2,-244
h6,3,-258
c2,2,-244
e7,3,-255
c2,2,-244
d1,1,-264
g2,2,-Infinity
f1,3,-238
g2,2,-238
b2,3,-256
g2,2,-238
c2,3,-228
g2,2,-228
h2,3,-310
g2,2,-228
a3,3,-224
g2,2,-224
e4,3,-230
g2,2,-224
c5,3,-234
g2,2,-224
d5,3,-230
g2,2,-224
a6,3,-236
g2,2,-224
f6,3,-223
g2,2,-223
g6,3,-310
g2,2,-223
h6,3,-236
g2,2,-223
e7,3,-233
g2,2,-223
d1,1,-264
a4,2,-Infinity
e1,3,-286
a4,2,-286
f1,3,-284
a4,2,-284
b2,3,-314
a4,2,-284
g2,3,-316
a4,2,-284
a3,3,-270
a4,2,-270
e4,3,-276
a4,2,-270
a5,3,-270
a4,2,-270
c5,3,-280
a4,2,-270
d5,3,-276
a4,2,-270
a6,3,-274
a4,2,-270
f6,3,-269
a4,2,-269
g6,3,-294
a4,2,-269
h6,3,-282
a4,2,-269
e7,3,-279
a4,2,-269
d1,1,-269
e4,2,-Infinity
e1,3,-280
e4,2,-280
f1,3,-278
e4,2,-278
b2,3,-310
e4,2,-278
c2,3,-268
e4,2,-268
g2,3,-310
e4,2,-268
a3,3,-264
e4,2,-264
c5,3,-274
e4,2,-264
d5,3,-270
e4,2,-264
f5,3,-266
e4,2,-264
a6,3,-276
e4,2,-264
f6,3,-263
e4,2,-263
g6,3,-294
e4,2,-263
h6,3,-260
e4,2,-260
e7,3,-265
e4,2,-260
d1,1,-269
a5,2,-Infinity
e1,3,-278
a5,2,-278
f1,3,-276
a5,2,-276
b2,3,-306
a5,2,-276
c2,3,-266
a5,2,-266
g2,3,-308
a5,2,-266
a3,3,-262
a5,2,-262
a4,3,-276
a5,2,-262
e4,3,-268
a5,2,-262
c5,3,-272
a5,2,-262
d5,3,-268
a5,2,-262
a6,3,-274
a5,2,-262
f6,3,-261
a5,2,-261
g6,3,-286
a5,2,-261
h6,3,-274
a5,2,-261
e7,3,-271
a5,2,-261
d1,1,-269
c5,2,-Infinity
e1,3,-290
c5,2,-290
f1,3,-288
c5,2,-288
b2,3,-306
c5,2,-288
g2,3,-320
c5,2,-288
a3,3,-274
c5,2,-274
e4,3,-272
c5,2,-272
d5,3,-280
c5,2,-272
a6,3,-278
c5,2,-272
f6,3,-273
c5,2,-272
g6,3,-298
c5,2,-272
h6,3,-286
c5,2,-272
e7,3,-283
c5,2,-272
d1,1,-272
d5,2,-Infinity
e1,3,-286
d5,2,-286
f1,3,-284
d5,2,-284
b2,3,-302
d5,2,-284
g2,3,-316
d5,2,-284
a3,3,-270
d5,2,-270
e4,3,-268
d5,2,-268
c5,3,-280
d5,2,-268
a6,3,-274
d5,2,-268
f6,3,-269
d5,2,-268
g6,3,-294
d5,2,-268
h6,3,-282
d5,2,-268
e7,3,-279
d5,2,-268
d1,1,-272
f5,2,-Infinity
e1,3,-298
f5,2,-298
b2,3,-314
f5,2,-298
c2,3,-286
f5,2,-286
g2,3,-328
f5,2,-286
a3,3,-282
f5,2,-282
e4,3,-288
f5,2,-282
c5,3,-292
f5,2,-282
d5,3,-288
f5,2,-282
a6,3,-294
f5,2,-282
f6,3,-281
f5,2,-281
g6,3,-312
f5,2,-281
h6,3,-278
f5,2,-278
e7,3,-291
f5,2,-278
d1,1,-278
a6,2,-Infinity
e1,3,-238
a6,2,-238
f1,3,-236
a6,2,-236
b2,3,-254
a6,2,-236
c2,3,-226
