OXOXX*XX
X*O**X*X
XXO*X*OO
XXX*XXXX
XOXOX*XO
XXOO*OO*
OOO**XXX
**OO*XXX
Node,Depth,Value
root,0,-Infinity
a2,1,Infinity
f1,2,-Infinity
d2,3,41
f1,2,41
g2,3,-2
f1,2,41
d3,3,40
f1,2,41
f5,3,40
f1,2,41
e6,3,56
f1,2,56
h6,3,50
f1,2,56
d7,3,35
f1,2,56
e7,3,49
f1,2,56
a8,3,79
f1,2,79
b8,3,-26
f1,2,79
a2,1,79
b2,2,-Infinity
d2,3,49
b2,2,49
g2,3,68
b2,2,68
d3,3,102
b2,2,102
f5,3,110
b2,2,110
e6,3,126
b2,2,126
h6,3,120
b2,2,126
d7,3,105
b2,2,126
e7,3,119
b2,2,126
a8,3,149
b2,2,149
b8,3,44
b2,2,149
a2,1,79
d3,2,-Infinity
d2,3,61
d3,2,61
e2,3,57
d3,2,61
g2,3,18
d3,2,61
d4,3,58
d3,2,61
f5,3,60
d3,2,61
e6,3,84
d3,2,84
h6,3,70
d3,2,84
d7,3,55
d3,2,84
e7,3,69
d3,2,84
a8,3,99
d3,2,99
b8,3,-6
d3,2,99
a2,1,79
f3,2,-Infinity
d2,3,72
f3,2,72
g2,3,23
f3,2,72
d3,3,71
f3,2,72
d4,3,61
f3,2,72
f5,3,71
f3,2,72
e6,3,87
f3,2,87
h6,3,81
f3,2,87
d7,3,66
f3,2,87
e7,3,80
f3,2,87
a8,3,144
f3,2,144
b8,3,5
f3,2,144
a2,1,79
d4,2,-Infinity
b2,3,66
d4,2,66
d2,3,73
d4,2,73
g2,3,30
d4,2,73
d3,3,72
d4,2,73
f5,3,74
d4,2,74
e6,3,80
d4,2,80
h6,3,82
d4,2,82
d7,3,67
d4,2,82
e7,3,89
d4,2,89
a8,3,111
d4,2,111
b8,3,-8
d4,2,111
a2,1,79
f5,2,-Infinity
d2,3,81
f5,2,81
g2,3,18
f5,2,81
d3,3,80
f5,2,81
d4,3,84
f5,2,84
e6,3,96
f5,2,96
h6,3,84
f5,2,96
d7,3,75
f5,2,96
e7,3,83
f5,2,96
a8,3,119
f5,2,119
b8,3,14
f5,2,119
a2,1,79
e8,2,-Infinity
d2,3,75
e8,2,75
g2,3,32
e8,2,75
d3,3,74
e8,2,75
f5,3,66
e8,2,75
e6,3,82
e8,2,82
h6,3,84
e8,2,84
d7,3,69
e8,2,84
e7,3,75
e8,2,84
a8,3,113
e8,2,113
b8,3,48
e8,2,113
a2,1,79
root,0,79
d2,1,Infinity
f1,2,-Infinity
a2,3,41
f1,2,41
b2,3,-23
f1,2,41
g2,3,-23
f1,2,41
d3,3,5
f1,2,41
f5,3,19
f1,2,41
e6,3,35
f1,2,41
h6,3,29
f1,2,41
e7,3,28
f1,2,41
a8,3,58
f1,2,58
b8,3,-47
f1,2,58
d2,1,58
a2,2,-Infinity
b2,3,9
a2,2,9
g2,3,17
a2,2,17
d3,3,47
a2,2,47
d4,3,57
a2,2,57
f5,3,59
a2,2,59
e6,3,75
a2,2,75
h6,3,69
a2,2,75
e7,3,68
a2,2,75
a8,3,98
a2,2,98
b8,3,-7
a2,2,98
d2,1,58
b2,2,-Infinity
a2,3,47
b2,2,47
g2,3,47
b2,2,47
d3,3,75
b2,2,75
f5,3,89
b2,2,89
e6,3,105
b2,2,105
h6,3,99
b2,2,105
e7,3,98
b2,2,105
a8,3,128
b2,2,128
b8,3,23
b2,2,128
d2,1,58
e2,2,-Infinity
a2,3,82
e2,2,82
b2,3,6
e2,2,82
g2,3,18
e2,2,82
d3,3,40
e2,2,82
f3,3,51
e2,2,82
f5,3,60
e2,2,82
e6,3,76
e2,2,82
h6,3,70
e2,2,82
e7,3,69
e2,2,82
a8,3,99
e2,2,99
b8,3,-6
e2,2,99
d2,1,58
d3,2,-Infinity
a2,3,55
d3,2,55
b2,3,-17
d3,2,55
e2,3,30
d3,2,55
g2,3,-9
d3,2,55
d4,3,39
d3,2,55
f5,3,33
d3,2,55
e6,3,49
d3,2,55
h6,3,43
d3,2,55
e7,3,42
d3,2,55
a8,3,72
d3,2,72
b8,3,-33
d3,2,72
d2,1,58
f3,2,-Infinity
a2,3,72
f3,2,72
b2,3,8
f3,2,72
g2,3,2
f3,2,72
d3,3,36
f3,2,72
d4,3,40
f3,2,72
f5,3,50
f3,2,72
e6,3,66
f3,2,72
h6,3,60
f3,2,72
e7,3,59
f3,2,72
a8,3,123
f3,2,123
b8,3,-16
f3,2,123
d2,1,58
d4,2,-Infinity
a2,3,71
d4,2,71
b2,3,7
d4,2,71
g2,3,7
d4,2,71
d3,3,37
d4,2,71
f5,3,49
d4,2,71
e6,3,65
d4,2,71
h6,3,59
d4,2,71
e7,3,50
d4,2,71
a8,3,88
d4,2,88
b8,3,-37
d4,2,88
d2,1,58
f5,2,-Infinity
a2,3,81
f5,2,81
b2,3,17
f5,2,81
g2,3,-3
f5,2,81
d3,3,45
f5,2,81
d4,3,63
f5,2,81
e6,3,75
f5,2,81
h6,3,63
f5,2,81
e7,3,62
f5,2,81
a8,3,98
f5,2,98
b8,3,-7
f5,2,98
d2,1,58
h6,2,-Infinity
a2,3,61
h6,2,61
e2,3,34
h6,2,61
