O*OO***X
**OOO*X*
O*XO*OXO
OO**OOOO
OO****OO
*XXXX*OO
O**X*XX*
*XXXXXX*
Node,Depth,Value
root,0,-Infinity
e1,1,Infinity
f1,2,-Infinity
g1,3,-116
f1,2,-116
b2,3,-92
f1,2,-92
f2,3,-70
f1,2,-70
b3,3,-76
f1,2,-70
e3,3,-34
f1,2,-34
d4,3,-52
f1,2,-34
d5,3,-94
f1,2,-34
e5,3,-52
f1,2,-34
d8,3,-44
f1,2,-34
e1,1,-34
g1,2,-Infinity
b1,3,-4
g1,2,-4
f1,3,-32
g1,2,-4
b2,3,-56
g1,2,-4
f2,3,-34
g1,2,-4
b3,3,-40
g1,2,-4
e3,3,-18
g1,2,-4
d4,3,-16
g1,2,-4
d5,3,-58
g1,2,-4
d8,3,-8
g1,2,-4
e1,1,-34
f2,2,-Infinity
b1,3,-56
f2,2,-56
b2,3,-108
f2,2,-56
b3,3,-92
f2,2,-56
e3,3,-70
f2,2,-56
d4,3,-68
f2,2,-56
d5,3,-62
f2,2,-56
d8,3,-60
f2,2,-56
e1,1,-56
h2,2,-Infinity
b1,3,-52
h2,2,-52
b2,3,-104
h2,2,-52
f2,3,-82
h2,2,-52
b3,3,-88
h2,2,-52
e3,3,-66
h2,2,-52
d4,3,-64
h2,2,-52
d5,3,-58
h2,2,-52
h7,3,-40
h2,2,-40
d8,3,-56
h2,2,-40
e1,1,-56
b3,2,-Infinity
b1,3,-78
b3,2,-78
b2,3,-150
b3,2,-78
f2,3,-108
b3,2,-78
e3,3,-86
b3,2,-78
d4,3,-90
b3,2,-78
d5,3,-84
b3,2,-78
e5,3,-90
b3,2,-78
d8,3,-82
b3,2,-78
e1,1,-78
e3,2,-Infinity
b1,3,-66
e3,2,-66
b3,3,-102
e3,2,-66
d5,3,-72
e3,2,-66
e5,3,-76
e3,2,-66
d8,3,-70
e3,2,-66
e1,1,-78
c4,2,-Infinity
b1,3,-86
c4,2,-86
b2,3,-138
c4,2,-86
f2,3,-116
c4,2,-86
b3,3,-122
c4,2,-86
e3,3,-94
c4,2,-86
d4,3,-98
c4,2,-86
d5,3,-92
c4,2,-86
e5,3,-98
c4,2,-86
d8,3,-90
c4,2,-86
e1,1,-86
c5,2,-Infinity
b1,3,-64
c5,2,-64
b2,3,-116
c5,2,-64
f2,3,-94
c5,2,-64
e3,3,-64
c5,2,-64
c4,3,-72
c5,2,-64
d4,3,-76
c5,2,-64
d5,3,-70
c5,2,-64
e5,3,-76
c5,2,-64
a6,3,-84
c5,2,-64
d8,3,-68
c5,2,-64
e1,1,-86
d5,2,-Infinity
b1,3,-76
d5,2,-76
b2,3,-128
d5,2,-76
f2,3,-106
d5,2,-76
b3,3,-112
d5,2,-76
e3,3,-76
d5,2,-76
c4,3,-92
d5,2,-76
d4,3,-88
d5,2,-76
e5,3,-88
d5,2,-76
d8,3,-74
d5,2,-74
e1,1,-86
f5,2,-Infinity
b1,3,-80
f5,2,-80
b2,3,-132
f5,2,-80
f2,3,-110
f5,2,-80
b3,3,-116
f5,2,-80
e3,3,-80
f5,2,-80
d4,3,-92
f5,2,-80
d5,3,-78
f5,2,-78
e5,3,-92
f5,2,-78
f6,3,-85
f5,2,-78
d8,3,-84
f5,2,-78
e1,1,-86
b7,2,-Infinity
b1,3,-36
b7,2,-36
b2,3,-88
b7,2,-36
f2,3,-66
b7,2,-36
b3,3,-128
b7,2,-36
e3,3,-36
b7,2,-36
d4,3,-48
b7,2,-36
d5,3,-42
b7,2,-36
e5,3,-48
b7,2,-36
a6,3,-56
b7,2,-36
a8,3,-5
b7,2,-5
d8,3,-40
b7,2,-5
e1,1,-86
c7,2,-Infinity
b1,3,-56
c7,2,-56
b2,3,-108
c7,2,-56
f2,3,-86
c7,2,-56
e3,3,-56
c7,2,-56
d4,3,-68
c7,2,-56
d5,3,-62
c7,2,-56
e5,3,-68
c7,2,-56
a6,3,-76
c7,2,-56
d8,3,-60
c7,2,-56
e1,1,-86
a8,2,-Infinity
b1,3,-151
a8,2,-151
b2,3,-203
a8,2,-151
f2,3,-181
a8,2,-151
b3,3,-187
a8,2,-151
e3,3,-151
a8,2,-151
d4,3,-163
a8,2,-151
d5,3,-157
a8,2,-151
e5,3,-163
a8,2,-151
d8,3,-171
a8,2,-151
e1,1,-151
root,0,-151
b3,1,Infinity
f1,2,-Infinity
e1,3,-64
f1,2,-64
g1,3,-120
f1,2,-64
e3,3,-38
f1,2,-38
d5,3,-98
f1,2,-38
e5,3,-56
f1,2,-38
d8,3,-48
f1,2,-38
b3,1,-38
g1,2,-Infinity
e1,3,-40
g1,2,-40
f1,3,-48
g1,2,-40
e3,3,-28
g1,2,-28
d5,3,-74
g1,2,-28
d8,3,-24
g1,2,-24
b3,1,-38
f2,2,-Infinity
e1,3,-92
f2,2,-92
b2,3,-144
f2,2,-92
e3,3,-80
f2,2,-80
d5,3,-78
f2,2,-78
d8,3,-76
f2,2,-76
b3,1,-76
h2,2,-Infinity
e1,3,-88
h2,2,-88
e3,3,-76
h2,2,-76
d5,3,-74
h2,2,-74
h7,3,-56
h2,2,-56
d8,3,-72
h2,2,-56
b3,1,-76
c4,2,-Infinity
f1,3,-98
c4,2,-98
e3,3,-76
c4,2,-76
d5,3,-94
c4,2,-76
e5,3,-108
c4,2,-76
d8,3,-100
c4,2,-76
b3,1,-76
c5,2,-Infinity
e1,3,-88
c5,2,-88
e3,3,-62
c5,2,-62
c4,3,-76
c5,2,-62
d5,3,-74
c5,2,-62
e5,3,-80
c5,2,-62
a6,3,-88
c5,2,-62
b7,3,-132
c5,2,-62
d8,3,-72
c5,2,-62
b3,1,-76
d5,2,-Infinity
e1,3,-112
d5,2,-112
e3,3,-86
d5,2,-86
c4,3,-108
d5,2,-86
e5,3,-104
d5,2,-86
d8,3,-90
d5,2,-86
b3,1,-86
f5,2,-Infinity
e1,3,-116
f5,2,-116
e3,3,-90
f5,2,-90
d5,3,-94
f5,2,-90
e5,3,-108
f5,2,-90
f6,3,-101
f5,2,-90
d8,3,-100
f5,2,-90
b3,1,-90
c7,2,-Infinity
e1,3,-92
c7,2,-92
e3,3,-66
c7,2,-66
d5,3,-78
c7,2,-66
e5,3,-84
c7,2,-66
a6,3,-92
c7,2,-66
b7,3,-124
c7,2,-66
d8,3,-76
c7,2,-66
b3,1,-90
a8,2,-Infinity
e1,3,-187
a8,2,-187
e3,3,-161
a8,2,-161
d5,3,-173
a8,2,-161
e5,3,-179
a8,2,-161
d8,3,-187
a8,2,-161
b3,1,-161
root,0,-151
e3,1,Infinity
f1,2,-Infinity
b1,3,-38
f1,2,-38
e1,3,-28
f1,2,-28
g1,3,-78
f1,2,-28
b3,3,-38
f1,2,-28
d5,3,-22
f1,2,-22
e5,3,-14
f1,2,-14
f5,3,-10
f1,2,-10
d8,3,-6
f1,2,-6
e3,1,-6
g1,2,-Infinity
b1,3,-14
g1,2,-14
e1,3,-4
g1,2,-4
f1,3,-12
g1,2,-4
b3,3,-14
g1,2,-4
d5,3,2
g1,2,2
e5,3,2
g1,2,2
f5,3,14
g1,2,14
d8,3,18
g1,2,18
e3,1,-6
f2,2,-Infinity
b1,3,-80
f2,2,-80
e1,3,-70
f2,2,-70
f1,3,-62
f2,2,-62
g1,3,-80
f2,2,-62
b2,3,-116
f2,2,-62
b3,3,-80
f2,2,-62
d5,3,-50
f2,2,-50
e5,3,-64
f2,2,-50
f5,3,-60
f2,2,-50
d8,3,-48
f2,2,-48
e3,1,-48
h2,2,-Infinity
b1,3,-62
h2,2,-62
e1,3,-52
h2,2,-52
f1,3,-44
h2,2,-44
b3,3,-62
h2,2,-44
d5,3,-46
h2,2,-44
e5,3,-46
h2,2,-44
f5,3,-34
h2,2,-34
h7,3,-14
h2,2,-14
d8,3,-30
h2,2,-14
e3,1,-48
b3,2,-Infinity
b2,3,-138
b3,2,-138
d5,3,-80
b3,2,-80
d8,3,-78
b3,2,-78
e3,1,-78
c4,2,-Infinity
e1,3,-88
c4,2,-88
b3,3,-82
c4,2,-82
d5,3,-88
c4,2,-82
e5,3,-80
c4,2,-80
f5,3,-76
c4,2,-76
d8,3,-72
c4,2,-72
e3,1,-78
d4,2,-Infinity
e1,3,-76
d4,2,-76
b3,3,-86
d4,2,-76
c5,3,-66
d4,2,-66
d5,3,-70
d4,2,-66
e5,3,-62
d4,2,-62
f5,3,-58
d4,2,-58
d8,3,-54
d4,2,-54
e3,1,-78
c5,2,-Infinity
b1,3,-74
c5,2,-74
e1,3,-64
c5,2,-64
f1,3,-56
c5,2,-56
c4,3,-46
c5,2,-46
d5,3,-58
c5,2,-46
e5,3,-50
c5,2,-46
f5,3,-46
c5,2,-46
a6,3,-58
c5,2,-46
d8,3,-42
c5,2,-42
e3,1,-78
d5,2,-Infinity
b1,3,-86
d5,2,-86
e1,3,-76
d5,2,-76
f1,3,-68
d5,2,-68
b3,3,-86
d5,2,-68
c4,3,-66
d5,2,-66
e5,3,-62
d5,2,-62
f5,3,-58
d5,2,-58
d8,3,-48
d5,2,-48
e3,1,-78
f5,2,-Infinity
b1,3,-90
f5,2,-90
e1,3,-80
f5,2,-80
f1,3,-72
f5,2,-72
b3,3,-90
f5,2,-72
d5,3,-66
f5,2,-66
e5,3,-66
f5,2,-66
f6,3,-43
f5,2,-43
h7,3,-82
f5,2,-43
d8,3,-58
f5,2,-43
e3,1,-78
b7,2,-Infinity
b1,3,-46
b7,2,-46
e1,3,-36
b7,2,-36
f1,3,-28
b7,2,-28
b3,3,-102
b7,2,-28
d5,3,-30
b7,2,-28
e5,3,-22
b7,2,-22
f5,3,-18
b7,2,-18
a6,3,-30
b7,2,-18
a8,3,21
b7,2,21
d8,3,-14
b7,2,21
e3,1,-78
c7,2,-Infinity
b1,3,-66
c7,2,-66
e1,3,-56
c7,2,-56
f1,3,-48
c7,2,-48
d5,3,-50
c7,2,-48
e5,3,-42
c7,2,-42
f5,3,-38
c7,2,-38
a6,3,-50
c7,2,-38
d8,3,-34
c7,2,-34
e3,1,-78
a8,2,-Infinity
b1,3,-161
a8,2,-161
e1,3,-151
a8,2,-151
f1,3,-143
a8,2,-143
b3,3,-161
a8,2,-143
d5,3,-145
a8,2,-143
e5,3,-137
a8,2,-137
f5,3,-133
a8,2,-133
d8,3,-145
a8,2,-133
e3,1,-133
root,0,-133
d5,1,Infinity
f1,2,-Infinity
b1,3,-42
f1,2,-42
e1,3,-34
f1,2,-34
g1,3,-90
f1,2,-34
b3,3,-50
f1,2,-34
e3,3,-22
f1,2,-22
e5,3,-26
f1,2,-22
f5,3,-22
f1,2,-22
d8,3,-18
f1,2,-18
d5,1,-18
g1,2,-Infinity
b1,3,-18
g1,2,-18
e1,3,-10
g1,2,-10
f1,3,-18
g1,2,-10
b3,3,-26
g1,2,-10
e3,3,2
g1,2,2
f5,3,2
g1,2,2
d8,3,6
g1,2,6
d5,1,-18
f2,2,-Infinity
b1,3,-84
f2,2,-84
e1,3,-76
f2,2,-76
b2,3,-128
f2,2,-76
b3,3,-92
f2,2,-76
e3,3,-64
f2,2,-64
d8,3,-60
f2,2,-60
d5,1,-60
h2,2,-Infinity
b1,3,-66
h2,2,-66
e1,3,-58
h2,2,-58
b3,3,-74
h2,2,-58
e3,3,-46
h2,2,-46
f5,3,-46
h2,2,-46
h7,3,-26
h2,2,-26
d8,3,-42
h2,2,-26
d5,1,-60
b3,2,-Infinity
b1,3,-92
b3,2,-92
b2,3,-128
b3,2,-92
e5,3,-76
b3,2,-76
f5,3,-72
b3,2,-72
d8,3,-68
b3,2,-68
d5,1,-68
e3,2,-Infinity
b1,3,-92
e3,2,-92
e1,3,-82
e3,2,-82
b3,3,-100
e3,2,-82
d8,3,-68
e3,2,-68
d5,1,-68
c4,2,-Infinity
b1,3,-100
c4,2,-100
b3,3,-100
c4,2,-100
e5,3,-84
c4,2,-84
f5,3,-80
c4,2,-80
d8,3,-76
c4,2,-76
d5,1,-76
d4,2,-Infinity
e1,3,-82
d4,2,-82
b3,3,-98
d4,2,-82
e3,3,-70
d4,2,-70
c4,3,-78
d4,2,-70
e5,3,-74
d4,2,-70
f5,3,-70
d4,2,-70
d8,3,-60
d4,2,-60
d5,1,-76
c5,2,-Infinity
b1,3,-78
c5,2,-78
e1,3,-70
c5,2,-70
e3,3,-58
c5,2,-58
c4,3,-58
c5,2,-58
e5,3,-62
c5,2,-58
f5,3,-58
c5,2,-58
a6,3,-70
c5,2,-58
d8,3,-54
c5,2,-54
d5,1,-76
f5,2,-Infinity
e1,3,-86
f5,2,-86
b3,3,-102
f5,2,-86
e3,3,-74
f5,2,-74
e5,3,-78
f5,2,-74
f6,3,-55
f5,2,-55
d8,3,-70
f5,2,-55
d5,1,-76
b7,2,-Infinity
b1,3,-50
b7,2,-50
e1,3,-42
b7,2,-42
b3,3,-114
b7,2,-42
e3,3,-30
b7,2,-30
e5,3,-34
b7,2,-30
f5,3,-30
b7,2,-30
a6,3,-42
b7,2,-30
a8,3,9
b7,2,9
d8,3,-26
b7,2,9
d5,1,-76
c7,2,-Infinity
b1,3,-70
c7,2,-70
e1,3,-62
c7,2,-62
e3,3,-50
c7,2,-50
e5,3,-54
c7,2,-50
f5,3,-50
c7,2,-50
a6,3,-62
c7,2,-50
d8,3,-46
c7,2,-46
d5,1,-76
a8,2,-Infinity
b1,3,-165
a8,2,-165
e1,3,-157
a8,2,-157
b3,3,-173
a8,2,-157
e3,3,-145
a8,2,-145
e5,3,-149
a8,2,-145
f5,3,-145
a8,2,-145
d8,3,-157
a8,2,-145
d5,1,-145
root,0,-133
e5,1,Infinity
f1,2,-Infinity
e1,3,-40
f1,2,-40
g1,3,-96
f1,2,-40
f2,3,-30
f1,2,-30
b3,3,-56
f1,2,-30
e3,3,-14
f1,2,-14
d4,3,-40
f1,2,-14
d5,3,-74
f1,2,-14
d8,3,-24
f1,2,-14
e5,1,-14
g1,2,-Infinity
e1,3,-16
g1,2,-16
f1,3,-24
g1,2,-16
f2,3,-6
g1,2,-6
h2,3,-32
g1,2,-6
b3,3,-32
g1,2,-6
e3,3,-4
g1,2,-4
d4,3,-16
g1,2,-4
d5,3,-50
g1,2,-4
d8,3,0
g1,2,0
e5,1,-14
f2,2,-Infinity
e1,3,-68
f2,2,-68
f1,3,-54
f2,2,-54
b2,3,-120
f2,2,-54
h2,3,-84
f2,2,-54
b3,3,-84
f2,2,-54
e3,3,-56
f2,2,-54
d4,3,-68
f2,2,-54
d5,3,-54
f2,2,-54
d8,3,-52
f2,2,-52
e5,1,-52
b3,2,-Infinity
b2,3,-134
b3,2,-134
f2,3,-80
b3,2,-80
e3,3,-72
b3,2,-72
d4,3,-90
b3,2,-72
d5,3,-76
b3,2,-72
d8,3,-74
b3,2,-72
e5,1,-72
e3,2,-Infinity
e1,3,-90
e3,2,-90
b3,3,-108
e3,2,-90
d5,3,-78
e3,2,-78
d8,3,-76
e3,2,-76
e5,1,-76
c4,2,-Infinity
f2,3,-88
c4,2,-88
b3,3,-114
c4,2,-88
e3,3,-80
c4,2,-80
d4,3,-98
c4,2,-80
d5,3,-84
c4,2,-80
d8,3,-82
c4,2,-80
e5,1,-80
c5,2,-Infinity
e1,3,-76
c5,2,-76
f2,3,-66
c5,2,-66
e3,3,-50
c5,2,-50
c4,3,-64
c5,2,-50
d4,3,-76
c5,2,-50
d5,3,-62
c5,2,-50
a6,3,-76
c5,2,-50
d8,3,-60
c5,2,-50
e5,1,-80
d5,2,-Infinity
e1,3,-88
d5,2,-88
f2,3,-78
d5,2,-78
b3,3,-104
d5,2,-78
e3,3,-62
d5,2,-62
c4,3,-84
d5,2,-62
d4,3,-88
d5,2,-62
c5,3,-84
d5,2,-62
c7,3,-84
d5,2,-62
d8,3,-66
d5,2,-62
e5,1,-80
f5,2,-Infinity
e1,3,-100
f5,2,-100
b3,3,-116
f5,2,-100
e3,3,-74
f5,2,-74
d5,3,-78
f5,2,-74
f6,3,-85
f5,2,-74
e7,3,-95
f5,2,-74
d8,3,-84
f5,2,-74
e5,1,-80
b7,2,-Infinity
e1,3,-48
b7,2,-48
f2,3,-38
b7,2,-38
b3,3,-120
b7,2,-38
e3,3,-22
b7,2,-22
