**OXXXXX
**OO*X*X
OO**OOXX
XO**X*X*
X*OO***O
OO**X*O*
**OO*O**
OX*XOOXX
Node,Depth,Value
root,0,-Infinity
b1,1,Infinity
f4,2,-Infinity
h1,3,92
f4,2,92
a2,3,17
f4,2,92
e2,3,28
f4,2,92
g2,3,-9
f4,2,92
c3,3,-4
f4,2,92
d3,3,13
f4,2,92
c4,3,7
f4,2,92
d4,3,17
f4,2,92
h4,3,7
f4,2,92
f5,3,35
f4,2,92
g5,3,16
f4,2,92
c6,3,16
f4,2,92
d6,3,-1
f4,2,92
a7,3,17
f4,2,92
c8,3,11
f4,2,92
b1,1,92
h4,2,-Infinity
a2,3,-9
h4,2,-9
e2,3,2
h4,2,2
g2,3,-27
h4,2,2
c3,3,-30
h4,2,2
d3,3,-5
h4,2,2
c4,3,-19
h4,2,2
d4,3,-9
h4,2,2
f4,3,3
h4,2,3
c6,3,-10
h4,2,3
d6,3,-27
h4,2,3
a7,3,-9
h4,2,3
c8,3,-15
h4,2,3
b1,1,3
e5,2,-Infinity
h1,3,88
e5,2,88
a2,3,13
e5,2,88
e2,3,24
e5,2,88
c3,3,-8
e5,2,88
d3,3,17
e5,2,88
c4,3,3
e5,2,88
d4,3,13
e5,2,88
f4,3,25
e5,2,88
d6,3,-5
e5,2,88
a7,3,13
e5,2,88
c8,3,7
e5,2,88
b1,1,3
f5,2,-Infinity
h1,3,76
f5,2,76
a2,3,1
f5,2,76
e2,3,12
f5,2,76
g2,3,-17
f5,2,76
c3,3,-20
f5,2,76
d3,3,5
f5,2,76
c4,3,-9
f5,2,76
d4,3,1
f5,2,76
f4,3,13
f5,2,76
c6,3,0
f5,2,76
d6,3,-17
f5,2,76
a7,3,1
f5,2,76
h7,3,-15
f5,2,76
c8,3,11
f5,2,76
b1,1,3
c8,2,-Infinity
h1,3,84
c8,2,84
a2,3,9
c8,2,84
e2,3,20
c8,2,84
g2,3,-9
c8,2,84
c3,3,-12
c8,2,84
d3,3,13
c8,2,84
c4,3,-1
c8,2,84
d4,3,9
c8,2,84
f4,3,21
c8,2,84
c6,3,8
c8,2,84
a7,3,9
c8,2,84
b1,1,3
root,0,3
h1,1,Infinity
e5,2,-Infinity
b1,3,88
e5,2,88
a2,3,88
e5,2,88
e2,3,99
e5,2,99
c3,3,75
e5,2,99
d3,3,100
e5,2,100
c4,3,78
e5,2,100
d4,3,88
e5,2,100
f4,3,98
e5,2,100
d6,3,70
e5,2,100
a7,3,88
e5,2,100
c8,3,82
e5,2,100
h1,1,100
f5,2,-Infinity
b1,3,76
f5,2,76
a2,3,76
f5,2,76
e2,3,87
f5,2,87
g2,3,58
f5,2,87
c3,3,63
f5,2,87
d3,3,88
f5,2,88
c4,3,66
f5,2,88
d4,3,76
f5,2,88
f4,3,86
f5,2,88
c6,3,75
f5,2,88
d6,3,58
f5,2,88
a7,3,76
f5,2,88
h7,3,60
f5,2,88
c8,3,86
f5,2,88
h1,1,88
c8,2,-Infinity
b1,3,84
c8,2,84
a2,3,84
c8,2,84
e2,3,95
c8,2,95
g2,3,66
c8,2,95
c3,3,71
c8,2,95
d3,3,96
c8,2,96
c4,3,74
c8,2,96
d4,3,84
c8,2,96
f4,3,94
c8,2,96
c6,3,83
c8,2,96
a7,3,84
c8,2,96
h1,1,88
root,0,88
a2,1,Infinity
a1,2,-Infinity
b1,3,-110
a1,2,-110
h1,3,-35
a1,2,-35
e2,3,-99
a1,2,-35
g2,3,-128
a1,2,-35
c3,3,-117
a1,2,-35
d3,3,-98
a1,2,-35
c4,3,-114
