**O*OOOO
O*OX*XOO
***X*OX*
OOXOXX**
XOO***XO
O***OOOO
OOXX****
***OOOOO
Node,Depth,Value
root,0,-Infinity
d1,1,Infinity
b1,2,-Infinity
b2,3,36
b1,2,36
e2,3,73
b1,2,73
c3,3,83
b1,2,83
e3,3,74
b1,2,83
h3,3,68
b1,2,83
g4,3,59
b1,2,83
h4,3,68
b1,2,83
d5,3,68
b1,2,83
e5,3,68
b1,2,83
f5,3,74
b1,2,83
b6,3,56
b1,2,83
c6,3,69
b1,2,83
d6,3,66
b1,2,83
e7,3,51
b1,2,83
c8,3,70
b1,2,83
d1,1,83
h1,2,-Infinity
e2,3,-8
h1,2,-8
c3,3,66
h1,2,66
e3,3,57
h1,2,66
h3,3,11
h1,2,66
g4,3,50
h1,2,66
h4,3,35
h1,2,66
e5,3,51
h1,2,66
f5,3,63
h1,2,66
b6,3,39
h1,2,66
c6,3,52
h1,2,66
d6,3,49
h1,2,66
e7,3,34
h1,2,66
c8,3,53
h1,2,66
d1,1,66
e2,2,-Infinity
h1,3,194
e2,2,194
c3,3,126
e2,2,194
e3,3,111
e2,2,194
h3,3,111
e2,2,194
g4,3,102
e2,2,194
h4,3,95
e2,2,194
d5,3,111
e2,2,194
e5,3,111
e2,2,194
f5,3,125
e2,2,194
b6,3,99
e2,2,194
c6,3,112
e2,2,194
d6,3,109
e2,2,194
e7,3,94
e2,2,194
c8,3,113
e2,2,194
d1,1,66
a3,2,-Infinity
h1,3,179
a3,2,179
e2,3,85
a3,2,179
c3,3,111
a3,2,179
e3,3,102
a3,2,179
h3,3,96
a3,2,179
g4,3,87
a3,2,179
h4,3,80
a3,2,179
d5,3,96
a3,2,179
e5,3,96
a3,2,179
f5,3,102
a3,2,179
b6,3,84
a3,2,179
c6,3,97
a3,2,179
d6,3,94
a3,2,179
e7,3,79
a3,2,179
c8,3,98
a3,2,179
d1,1,66
c3,2,-Infinity
h1,3,198
c3,2,198
b2,3,105
c3,2,198
e2,3,104
c3,2,198
a3,3,117
c3,2,198
b3,3,119
c3,2,198
e3,3,121
c3,2,198
h3,3,115
c3,2,198
g4,3,106
c3,2,198
h4,3,99
c3,2,198
d5,3,115
c3,2,198
e5,3,115
c3,2,198
f5,3,121
c3,2,198
b6,3,103
c3,2,198
c6,3,116
c3,2,198
d6,3,113
c3,2,198
e7,3,98
c3,2,198
c8,3,117
c3,2,198
d1,1,66
e3,2,-Infinity
h1,3,181
e3,2,181
e2,3,87
e3,2,181
c3,3,113
e3,2,181
h3,3,120
e3,2,181
g4,3,89
e3,2,181
h4,3,82
e3,2,181
d5,3,112
e3,2,181
e5,3,98
e3,2,181
f5,3,110
e3,2,181
b6,3,86
e3,2,181
c6,3,99
e3,2,181
d6,3,96
e3,2,181
e7,3,81
e3,2,181
c8,3,100
e3,2,181
d1,1,66
d5,2,-Infinity
h1,3,197
d5,2,197
e2,3,103
d5,2,197
b3,3,118
d5,2,197
e3,3,120
d5,2,197
h3,3,114
d5,2,197
g4,3,105
d5,2,197
h4,3,98
d5,2,197
e5,3,114
d5,2,197
f5,3,120
d5,2,197
b6,3,104
d5,2,197
c6,3,109
d5,2,197
d6,3,120
d5,2,197
e7,3,97
d5,2,197
c8,3,116
d5,2,197
d1,1,66
f5,2,-Infinity
h1,3,187
f5,2,187
e2,3,93
f5,2,187
c3,3,119
f5,2,187
e3,3,110
f5,2,187
h3,3,104
f5,2,187
g4,3,95
f5,2,187
h4,3,88
f5,2,187
d5,3,104
f5,2,187
e5,3,106
f5,2,187
b6,3,92
f5,2,187
c6,3,105
f5,2,187
d6,3,110
f5,2,187
e7,3,87
f5,2,187
d1,1,66
c6,2,-Infinity
h1,3,184
c6,2,184
e2,3,90
c6,2,184
e3,3,107
c6,2,184
h3,3,101
c6,2,184
g4,3,92
c6,2,184
h4,3,85
c6,2,184
d5,3,123
c6,2,184
e5,3,101
c6,2,184
f5,3,107
c6,2,184
b6,3,97
c6,2,184
d6,3,107
c6,2,184
e7,3,84
c6,2,184
c8,3,103
c6,2,184
d1,1,66
e7,2,-Infinity
h1,3,188
e7,2,188
e2,3,94
e7,2,188
c3,3,120
e7,2,188
e3,3,111
e7,2,188
h3,3,105
e7,2,188
g4,3,96
e7,2,188
h4,3,97
e7,2,188
d5,3,105
e7,2,188
e5,3,105
e7,2,188
f5,3,111
e7,2,188
b6,3,93
e7,2,188
c6,3,106
e7,2,188
d6,3,97
e7,2,188
f7,3,81
e7,2,188
c8,3,107
e7,2,188
d1,1,66
g7,2,-Infinity
h1,3,231
g7,2,231
e2,3,137
g7,2,231
c3,3,163
g7,2,231
e3,3,154
g7,2,231
h3,3,148
g7,2,231
g4,3,83
g7,2,231
h4,3,132
g7,2,231
d5,3,148
g7,2,231
e5,3,148
g7,2,231
f5,3,154
g7,2,231
b6,3,136
g7,2,231
c6,3,149
g7,2,231
d6,3,146
g7,2,231
e7,3,131
g7,2,231
f7,3,136
g7,2,231
c8,3,150
g7,2,231
d1,1,66
a8,2,-Infinity
h1,3,100
a8,2,100
e2,3,6
a8,2,100
c3,3,32
a8,2,100
e3,3,23
a8,2,100
h3,3,17
a8,2,100
g4,3,8
a8,2,100
h4,3,1
a8,2,100
d5,3,17
a8,2,100
e5,3,17
a8,2,100
f5,3,23
a8,2,100
b6,3,5
a8,2,100
c6,3,18
a8,2,100
d6,3,15
a8,2,100
e7,3,0
