***XOXOO
XXOOOOX*
**X*O*XX
OXO**OXX
O*XX*XOX
XXXX*OXO
OXXXOX**
OX*OXXXO
Node,Depth,Value
root,0,-Infinity
c1,1,Infinity
b1,2,-Infinity
a1,3,-268
b1,2,-268
a3,3,-359
b1,2,-268
b3,3,-387
b1,2,-268
d3,3,-393
b1,2,-268
f3,3,-384
b1,2,-268
d4,3,-383
b1,2,-268
e4,3,-383
b1,2,-268
e5,3,-383
b1,2,-268
e6,3,-373
b1,2,-268
h7,3,-383
b1,2,-268
e8,3,-375
b1,2,-268
c1,1,-268
h2,2,-Infinity
a3,3,-315
h2,2,-315
b3,3,-343
h2,2,-315
d3,3,-355
h2,2,-315
f3,3,-346
h2,2,-315
d4,3,-339
h2,2,-315
e4,3,-339
h2,2,-315
e6,3,-329
h2,2,-315
e8,3,-331
h2,2,-315
c1,1,-315
a3,2,-Infinity
b3,3,-385
a3,2,-385
d3,3,-397
a3,2,-385
f3,3,-388
a3,2,-385
d4,3,-381
a3,2,-381
e4,3,-381
a3,2,-381
b5,3,-384
a3,2,-381
e5,3,-373
a3,2,-373
e6,3,-363
a3,2,-363
h7,3,-381
a3,2,-363
e8,3,-373
a3,2,-363
c1,1,-363
f3,2,-Infinity
h2,3,-406
f3,2,-406
a3,3,-298
f3,2,-298
b3,3,-326
f3,2,-298
d3,3,-316
f3,2,-298
d4,3,-322
f3,2,-298
e4,3,-322
f3,2,-298
e5,3,-322
f3,2,-298
e6,3,-312
f3,2,-298
h7,3,-322
f3,2,-298
e8,3,-314
f3,2,-298
c1,1,-363
d4,2,-Infinity
a3,3,-347
d4,2,-347
d3,3,-387
d4,2,-347
f3,3,-378
d4,2,-347
e4,3,-363
d4,2,-347
b5,3,-390
d4,2,-347
e5,3,-363
d4,2,-347
e6,3,-353
d4,2,-347
h7,3,-371
d4,2,-347
e8,3,-363
d4,2,-347
c1,1,-363
e4,2,-Infinity
a3,3,-305
e4,2,-305
d3,3,-345
e4,2,-305
f3,3,-336
e4,2,-305
d4,3,-321
e4,2,-305
e5,3,-329
e4,2,-305
e6,3,-319
e4,2,-305
h7,3,-329
e4,2,-305
c8,3,-377
e4,2,-305
e8,3,-315
e4,2,-305
c1,1,-363
b5,2,-Infinity
a3,3,-350
b5,2,-350
b3,3,-378
b5,2,-350
d3,3,-388
b5,2,-350
f3,3,-381
b5,2,-350
d4,3,-374
b5,2,-350
e4,3,-374
b5,2,-350
e5,3,-374
b5,2,-350
e6,3,-364
b5,2,-350
h7,3,-374
b5,2,-350
e8,3,-360
b5,2,-350
c1,1,-363
e5,2,-Infinity
a3,3,-347
e5,2,-347
b3,3,-375
e5,2,-347
d3,3,-387
e5,2,-347
f3,3,-356
e5,2,-347
d4,3,-371
e5,2,-347
e4,3,-363
e5,2,-347
e6,3,-353
e5,2,-347
h7,3,-371
e5,2,-347
e8,3,-363
e5,2,-347
c1,1,-363
e6,2,-Infinity
a3,3,-343
e6,2,-343
b3,3,-363
e6,2,-343
d3,3,-383
e6,2,-343
f3,3,-374
e6,2,-343
d4,3,-367
e6,2,-343
e4,3,-367
e6,2,-343
e5,3,-367
e6,2,-343
h7,3,-367
e6,2,-343
c8,3,-365
e6,2,-343
e8,3,-359
e6,2,-343
c1,1,-363
g7,2,-Infinity
a3,3,-299
g7,2,-299
b3,3,-327
g7,2,-299
d3,3,-339
g7,2,-299
f3,3,-330
g7,2,-299
d4,3,-323
g7,2,-299
e4,3,-323
g7,2,-299
e5,3,-323
g7,2,-299
e6,3,-335
g7,2,-299
h7,3,-399
g7,2,-299
e8,3,-331
g7,2,-299
c1,1,-363
c8,2,-Infinity
a3,3,-345
c8,2,-345
b3,3,-373
c8,2,-345
d3,3,-385
c8,2,-345
f3,3,-376
c8,2,-345
d4,3,-361
c8,2,-345
e4,3,-369
c8,2,-345
b5,3,-372
c8,2,-345
e5,3,-369
c8,2,-345
e6,3,-359
c8,2,-345
h7,3,-369
c8,2,-345
e8,3,-355
c8,2,-345
c1,1,-363
root,0,-363
a3,1,Infinity
a1,2,-Infinity
c1,3,-478
a1,2,-478
b3,3,-482
a1,2,-478
d3,3,-486
a1,2,-478
f3,3,-477
a1,2,-477
d4,3,-470
a1,2,-470
e4,3,-470
a1,2,-470
e5,3,-470
a1,2,-470
e6,3,-460
a1,2,-460
h7,3,-470
a1,2,-460
e8,3,-462
a1,2,-460
a3,1,-460
c1,2,-Infinity
b1,3,-327
c1,2,-327
b3,3,-355
c1,2,-327
d3,3,-361
c1,2,-327
f3,3,-352
c1,2,-327
d4,3,-351
c1,2,-327
e4,3,-351
c1,2,-327
e5,3,-351
c1,2,-327
e6,3,-341
c1,2,-327
h7,3,-351
c1,2,-327
e8,3,-343
c1,2,-327
a3,1,-460
h2,2,-Infinity
c1,3,-315
h2,2,-315
b3,3,-319
h2,2,-315
d3,3,-323
h2,2,-315
f3,3,-314
h2,2,-314
d4,3,-307
h2,2,-307
e4,3,-307
h2,2,-307
e6,3,-297
h2,2,-297
e8,3,-299
h2,2,-297
a3,1,-460
f3,2,-Infinity
c1,3,-298
f3,2,-298
h2,3,-382
f3,2,-298
b3,3,-302
f3,2,-298
d3,3,-284
f3,2,-284
d4,3,-290
f3,2,-284
e4,3,-290
f3,2,-284
e5,3,-290
f3,2,-284
e6,3,-280
f3,2,-280
h7,3,-290
f3,2,-280
e8,3,-282
f3,2,-280
a3,1,-460
d4,2,-Infinity
c1,3,-347
d4,2,-347
b3,3,-359
d4,2,-347
d3,3,-355
d4,2,-347
f3,3,-346
d4,2,-346
e4,3,-331
d4,2,-331
b5,3,-358
d4,2,-331
e5,3,-331
d4,2,-331
e6,3,-321
d4,2,-321
h7,3,-339
d4,2,-321
e8,3,-331
d4,2,-321
a3,1,-460
e4,2,-Infinity
c1,3,-305
e4,2,-305
b3,3,-317
e4,2,-305
d3,3,-313
e4,2,-305
f3,3,-304
e4,2,-304
d4,3,-289
e4,2,-289
e5,3,-297
e4,2,-289
e6,3,-287
e4,2,-287
h7,3,-297
e4,2,-287
c8,3,-345
e4,2,-287
e8,3,-283
e4,2,-283
a3,1,-460
b5,2,-Infinity
c1,3,-350
b5,2,-350
b3,3,-354
b5,2,-350
d3,3,-356
b5,2,-350
f3,3,-349
b5,2,-349
d4,3,-342
b5,2,-342
e4,3,-342
b5,2,-342
e5,3,-342
b5,2,-342
e6,3,-332
b5,2,-332
h7,3,-342
b5,2,-332
e8,3,-326
b5,2,-326
a3,1,-460
e5,2,-Infinity
c1,3,-347
e5,2,-347
b3,3,-351
e5,2,-347
d3,3,-355
e5,2,-347
f3,3,-324
e5,2,-324
d4,3,-339
e5,2,-324
e4,3,-331
e5,2,-324
e6,3,-321
e5,2,-321
h7,3,-339
e5,2,-321
e8,3,-331
e5,2,-321
a3,1,-460
e6,2,-Infinity
c1,3,-343
e6,2,-343
b3,3,-339
e6,2,-339
d3,3,-351
e6,2,-339
f3,3,-342
e6,2,-339
d4,3,-335
e6,2,-335
e4,3,-335
e6,2,-335
e5,3,-335
e6,2,-335
h7,3,-335
e6,2,-335
c8,3,-333
e6,2,-333
e8,3,-327
e6,2,-327
a3,1,-460
g7,2,-Infinity
c1,3,-299
g7,2,-299
b3,3,-303
g7,2,-299
d3,3,-307
g7,2,-299
f3,3,-298
g7,2,-298
d4,3,-291
g7,2,-291
e4,3,-291
g7,2,-291
e5,3,-291
g7,2,-291
e6,3,-303
g7,2,-291
h7,3,-367
g7,2,-291
e8,3,-299
g7,2,-291
a3,1,-460
c8,2,-Infinity
c1,3,-345
c8,2,-345
b3,3,-349
c8,2,-345
d3,3,-353
c8,2,-345
f3,3,-344
c8,2,-344
d4,3,-329
c8,2,-329
e4,3,-337
c8,2,-329
b5,3,-340
c8,2,-329
e5,3,-337
c8,2,-329
e6,3,-327
c8,2,-327
h7,3,-337
c8,2,-327
e8,3,-323
c8,2,-323
a3,1,-460
root,0,-363
b3,1,Infinity
c1,2,-Infinity
b1,3,-363
c1,2,-363
a3,3,-363
c1,2,-363
d3,3,-397
c1,2,-363
f3,3,-388
c1,2,-363
e4,3,-387
c1,2,-363
e5,3,-387
c1,2,-363
e6,3,-377
c1,2,-363
h7,3,-387
c1,2,-363
e8,3,-379
c1,2,-363
b3,1,-363
h2,2,-Infinity
a3,3,-319
h2,2,-319
d3,3,-359
h2,2,-319
f3,3,-350
h2,2,-319
e4,3,-343
h2,2,-319
e6,3,-333
h2,2,-319
e8,3,-335
h2,2,-319
b3,1,-363
a3,2,-Infinity
d3,3,-401
a3,2,-401
f3,3,-392
a3,2,-392
d4,3,-385
a3,2,-385
e4,3,-385
a3,2,-385
b5,3,-394
a3,2,-385
e5,3,-377
a3,2,-377
e6,3,-367
a3,2,-367
h7,3,-385
a3,2,-367
e8,3,-377
a3,2,-367
b3,1,-367
f3,2,-Infinity
h2,3,-410
f3,2,-410
a3,3,-302
f3,2,-302
d3,3,-320
f3,2,-302
e4,3,-326
f3,2,-302
e5,3,-326
f3,2,-302
e6,3,-316
f3,2,-302
h7,3,-326
f3,2,-302
e8,3,-318
f3,2,-302
b3,1,-367
d4,2,-Infinity
a3,3,-353
d4,2,-353
d3,3,-393
d4,2,-353
f3,3,-384
d4,2,-353
e4,3,-377
d4,2,-353
b5,3,-402
d4,2,-353
e5,3,-369
d4,2,-353
e6,3,-351
d4,2,-351
h7,3,-377
d4,2,-351
e8,3,-369
d4,2,-351
b3,1,-367
e4,2,-Infinity
a3,3,-309
e4,2,-309
d3,3,-349
e4,2,-309
f3,3,-340
e4,2,-309
d4,3,-333
e4,2,-309
e5,3,-333
e4,2,-309
e6,3,-323
e4,2,-309
h7,3,-333
e4,2,-309
c8,3,-381
e4,2,-309
e8,3,-319
e4,2,-309
b3,1,-367
b5,2,-Infinity
a3,3,-354
b5,2,-354
d3,3,-394
b5,2,-354
f3,3,-385
b5,2,-354
e4,3,-378
b5,2,-354
e5,3,-378
b5,2,-354
e6,3,-368
b5,2,-354
h7,3,-378
b5,2,-354
e8,3,-364
b5,2,-354
b3,1,-367
e5,2,-Infinity
a3,3,-351
