*XO*OOXO
*XXO***X
O*O**XX*
XO****OX
*XXOX*X*
XOXO*XX*
**OXOX**
*O**XXXX
Node,Depth,Value
root,0,-Infinity
d1,1,Infinity
a1,2,-Infinity
a2,3,-183
a1,2,-183
e2,3,-152
a1,2,-152
b3,3,-153
a1,2,-152
c4,3,-131
a1,2,-131
d4,3,-135
a1,2,-131
e4,3,-143
a1,2,-131
f4,3,-145
a1,2,-131
h5,3,-143
a1,2,-131
e6,3,-137
a1,2,-131
a7,3,-159
a1,2,-131
b7,3,-183
a1,2,-131
c8,3,-143
a1,2,-131
d8,3,-143
a1,2,-131
h8,3,-60
a1,2,-60
d1,1,-60
a2,2,-Infinity
a1,3,95
a2,2,95
b3,3,-70
a2,2,95
d3,3,-14
a2,2,95
e3,3,-6
a2,2,95
c4,3,0
a2,2,95
d4,3,4
a2,2,95
e4,3,-4
a2,2,95
f4,3,-6
a2,2,95
a5,3,4
a2,2,95
h5,3,-4
a2,2,95
e6,3,2
a2,2,95
a7,3,-20
a2,2,95
b7,3,-44
a2,2,95
c8,3,-4
a2,2,95
d8,3,-4
a2,2,95
h8,3,79
a2,2,95
d1,1,-60
e2,2,-Infinity
a2,3,-71
e2,2,-71
f2,3,-95
e2,2,-71
b3,3,-89
e2,2,-71
d3,3,-87
e2,2,-71
e3,3,-73
e2,2,-71
c4,3,-67
e2,2,-67
d4,3,-57
e2,2,-57
e4,3,-79
e2,2,-57
f4,3,-81
e2,2,-57
a5,3,-71
e2,2,-57
h5,3,-71
e2,2,-57
e6,3,-73
e2,2,-57
a7,3,-95
e2,2,-57
b7,3,-119
e2,2,-57
c8,3,-79
e2,2,-57
d8,3,-79
e2,2,-57
h8,3,4
e2,2,4
d1,1,-60
g2,2,-Infinity
a2,3,-28
g2,2,-28
e2,3,-45
g2,2,-28
f2,3,-96
g2,2,-28
b3,3,-46
g2,2,-28
d3,3,-38
g2,2,-28
e3,3,-38
g2,2,-28
h3,3,-84
g2,2,-28
c4,3,-24
g2,2,-24
d4,3,-14
g2,2,-14
e4,3,-36
g2,2,-14
f4,3,-46
g2,2,-14
a5,3,-28
g2,2,-14
h5,3,-36
g2,2,-14
e6,3,-30
g2,2,-14
a7,3,-52
g2,2,-14
b7,3,-76
g2,2,-14
c8,3,-36
g2,2,-14
d8,3,-36
g2,2,-14
h8,3,47
g2,2,47
d1,1,-60
h3,2,-Infinity
a2,3,-52
h3,2,-52
e2,3,-69
h3,2,-52
b3,3,-70
h3,2,-52
d3,3,-62
h3,2,-52
e3,3,-62
h3,2,-52
c4,3,-48
h3,2,-48
d4,3,-38
h3,2,-38
e4,3,-60
h3,2,-38
f4,3,-62
h3,2,-38
a5,3,-52
h3,2,-38
h5,3,-60
h3,2,-38
e6,3,-54
h3,2,-38
a7,3,-76
h3,2,-38
b7,3,-100
h3,2,-38
c8,3,-60
h3,2,-38
d8,3,-60
h3,2,-38
h8,3,23
h3,2,23
d1,1,-60
c4,2,-Infinity
a2,3,-86
c4,2,-86
e2,3,-103
c4,2,-86
b3,3,-104
c4,2,-86
d3,3,-88
c4,2,-86
e3,3,-96
c4,2,-86
d4,3,-70
c4,2,-70
f4,3,-96
c4,2,-70
a5,3,-86
c4,2,-70
h5,3,-94
c4,2,-70
e6,3,-82
c4,2,-70
b7,3,-134
c4,2,-70
c8,3,-50
c4,2,-50
d8,3,-94
c4,2,-50
h8,3,-11
c4,2,-11
d1,1,-60
d4,2,-Infinity
a2,3,-68
d4,2,-68
e2,3,-85
d4,2,-68
b3,3,-86
d4,2,-68
d3,3,-70
d4,2,-68
e3,3,-78
d4,2,-68
c4,3,-56
d4,2,-56
e4,3,-76
d4,2,-56
f4,3,-78
d4,2,-56
a5,3,-68
d4,2,-56
h5,3,-76
d4,2,-56
e6,3,-70
d4,2,-56
b7,3,-116
d4,2,-56
c8,3,-76
d4,2,-56
d8,3,-76
d4,2,-56
h8,3,7
d4,2,7
d1,1,-60
f4,2,-Infinity
a2,3,-64
f4,2,-64
e2,3,-81
f4,2,-64
b3,3,-82
f4,2,-64
d3,3,-74
f4,2,-64
e3,3,-66
f4,2,-64
c4,3,-60
f4,2,-60
d4,3,-50
f4,2,-50
e4,3,-70
f4,2,-50
a5,3,-64
f4,2,-50
f5,3,-60
f4,2,-50
h5,3,-72
f4,2,-50
e6,3,-66
f4,2,-50
a7,3,-88
f4,2,-50
b7,3,-112
f4,2,-50
c8,3,-72
f4,2,-50
d8,3,-72
f4,2,-50
h8,3,11
f4,2,11
d1,1,-60
a5,2,-Infinity
a2,3,-56
a5,2,-56
e2,3,-97
a5,2,-56
d3,3,-90
a5,2,-56
e3,3,-90
a5,2,-56
c4,3,-68
a5,2,-56
d4,3,-66
a5,2,-56
e4,3,-88
a5,2,-56
f4,3,-90
a5,2,-56
h5,3,-88
a5,2,-56
e6,3,-82
a5,2,-56
b7,3,-120
a5,2,-56
c8,3,-88
a5,2,-56
d8,3,-88
a5,2,-56
h8,3,-5
a5,2,-5
d1,1,-60
f5,2,-Infinity
a2,3,-64
f5,2,-64
e2,3,-81
f5,2,-64
b3,3,-82
f5,2,-64
d3,3,-74
f5,2,-64
e3,3,-74
f5,2,-64
c4,3,-60
f5,2,-60
d4,3,-50
f5,2,-50
e4,3,-64
f5,2,-50
f4,3,-66
f5,2,-50
a5,3,-64
f5,2,-50
h5,3,-72
f5,2,-50
e6,3,-66
