O*XO***O
*X*X**OO
*O*O*OXO
OOOXOOXO
O*XXOOOO
*XO*XXOO
X*OOX*OO
*XXXXXOO
Node,Depth,Value
root,0,-Infinity
b1,1,Infinity
a2,2,-Infinity
f1,3,179
a2,2,179
g1,3,149
a2,2,179
h1,3,254
a2,2,254
c2,3,207
a2,2,254
f2,3,207
a2,2,254
a3,3,211
a2,2,254
c3,3,242
a2,2,254
e3,3,217
a2,2,254
b5,3,232
a2,2,254
a6,3,219
a2,2,254
d6,3,253
a2,2,254
f7,3,223
a2,2,254
a8,3,358
a2,2,358
b1,1,358
e2,2,-Infinity
f1,3,154
e2,2,154
g1,3,130
e2,2,154
h1,3,249
e2,2,249
f2,3,202
e2,2,249
c3,3,207
e2,2,249
e3,3,204
e2,2,249
b5,3,205
e2,2,249
a6,3,200
e2,2,249
d6,3,234
e2,2,249
f7,3,212
e2,2,249
a8,3,339
e2,2,339
b1,1,339
f2,2,-Infinity
e1,3,175
f2,2,175
f1,3,145
f2,2,175
g1,3,115
f2,2,175
h1,3,234
f2,2,234
e2,3,190
f2,2,234
c3,3,192
f2,2,234
e3,3,197
f2,2,234
b5,3,190
f2,2,234
a6,3,185
f2,2,234
d6,3,219
f2,2,234
f7,3,183
f2,2,234
a8,3,324
f2,2,324
b1,1,324
a3,2,-Infinity
f1,3,169
a3,2,169
g1,3,139
a3,2,169
h1,3,244
a3,2,244
a2,3,217
a3,2,244
f2,3,197
a3,2,244
c3,3,210
a3,2,244
e3,3,207
a3,2,244
b5,3,208
a3,2,244
a6,3,209
a3,2,244
d6,3,235
a3,2,244
f7,3,221
a3,2,244
a8,3,348
a3,2,348
b1,1,324
c3,2,-Infinity
e1,3,210
c3,2,210
f1,3,156
c3,2,210
g1,3,126
c3,2,210
h1,3,231
c3,2,231
c2,3,222
c3,2,231
f2,3,184
c3,2,231
e3,3,194
c3,2,231
b5,3,209
c3,2,231
a6,3,196
c3,2,231
d6,3,230
c3,2,231
f7,3,216
c3,2,231
a8,3,335
c3,2,335
b1,1,324
e3,2,-Infinity
f1,3,153
e3,2,153
g1,3,123
e3,2,153
h1,3,242
e3,2,242
e2,3,198
e3,2,242
f2,3,195
e3,2,242
c3,3,214
e3,2,242
b5,3,198
e3,2,242
a6,3,193
e3,2,242
d6,3,227
e3,2,242
f7,3,205
e3,2,242
a8,3,332
e3,2,332
b1,1,324
b5,2,-Infinity
f1,3,166
b5,2,166
g1,3,136
b5,2,166
h1,3,241
b5,2,241
f2,3,194
b5,2,241
c3,3,213
b5,2,241
e3,3,204
b5,2,241
a6,3,208
b5,2,241
d6,3,240
b5,2,241
b7,3,182
b5,2,241
f7,3,212
b5,2,241
a8,3,345
b5,2,345
b1,1,324
d6,2,-Infinity
f1,3,159
d6,2,159
g1,3,129
d6,2,159
h1,3,234
d6,2,234
f2,3,187
d6,2,234
c3,3,220
d6,2,234
e3,3,205
d6,2,234
b5,3,204
d6,2,234
a6,3,243
d6,2,243
b7,3,189
d6,2,243
f7,3,217
d6,2,243
a8,3,338
d6,2,338
b1,1,324
b7,2,-Infinity
f1,3,195
b7,2,195
g1,3,165
b7,2,195
h1,3,270
b7,2,270
f2,3,223
b7,2,270
c3,3,242
b7,2,270
e3,3,233
b7,2,270
b5,3,240
b7,2,270
d6,3,269
b7,2,270
f7,3,253
b7,2,270
a8,3,340
b7,2,340
b1,1,324
root,0,324
f1,1,Infinity
e1,2,-Infinity
b1,3,177
e1,2,177
h1,3,276
e1,2,276
f2,3,181
e1,2,276
c3,3,152
e1,2,276
b5,3,198
