O*O**OXO
X*OO*O**
**OOOOX*
XO*X**O*
**O**XO*
XO**OO*O
OOXOX*O*
*OX*OX**
Node,Depth,Value
root,0,-Infinity
g2,1,Infinity
b1,2,-Infinity
b2,3,104
b1,2,104
a3,3,128
b1,2,128
c3,3,143
b1,2,143
f4,3,148
b1,2,148
a5,3,158
b1,2,158
d5,3,144
b1,2,158
e5,3,144
b1,2,158
d6,3,132
b1,2,158
f7,3,126
b1,2,158
d8,3,144
b1,2,158
g8,3,144
b1,2,158
g2,1,158
d1,2,-Infinity
e1,3,138
d1,2,138
e2,3,111
d1,2,138
a3,3,112
d1,2,138
c3,3,135
d1,2,138
e4,3,128
d1,2,138
f4,3,132
d1,2,138
a5,3,142
d1,2,142
e5,3,128
d1,2,142
d6,3,116
d1,2,142
f7,3,110
d1,2,142
d8,3,128
d1,2,142
g8,3,128
d1,2,142
g2,1,142
e1,2,-Infinity
d1,3,116
e1,2,116
a3,3,90
e1,2,116
c3,3,113
e1,2,116
e4,3,106
e1,2,116
f4,3,110
e1,2,116
a5,3,120
e1,2,120
d5,3,106
e1,2,120
e5,3,106
e1,2,120
d6,3,94
e1,2,120
f7,3,88
e1,2,120
d8,3,106
e1,2,120
g8,3,106
e1,2,120
g2,1,120
h3,2,-Infinity
a3,3,96
h3,2,96
e4,3,126
h3,2,126
f4,3,138
h3,2,138
h4,3,102
h3,2,138
a5,3,126
h3,2,138
d5,3,112
h3,2,138
e5,3,112
h3,2,138
d6,3,100
h3,2,138
f7,3,94
h3,2,138
d8,3,112
h3,2,138
g8,3,112
h3,2,138
g2,1,120
c4,2,-Infinity
a3,3,108
c4,2,108
c3,3,145
c4,2,145
e4,3,130
c4,2,145
f4,3,134
c4,2,145
a5,3,144
c4,2,145
d5,3,130
c4,2,145
e5,3,130
c4,2,145
d6,3,118
c4,2,145
f7,3,112
c4,2,145
d8,3,130
c4,2,145
g8,3,130
c4,2,145
g2,1,120
h4,2,-Infinity
a3,3,98
h4,2,98
c3,3,121
h4,2,121
e4,3,114
h4,2,121
f4,3,104
h4,2,121
a5,3,128
h4,2,128
d5,3,114
h4,2,128
e5,3,120
h4,2,128
d6,3,102
h4,2,128
g6,3,110
h4,2,128
f7,3,96
h4,2,128
d8,3,120
h4,2,128
g8,3,114
h4,2,128
g2,1,120
a5,2,-Infinity
a3,3,154
a5,2,154
c3,3,137
a5,2,154
e4,3,130
a5,2,154
f4,3,134
a5,2,154
b5,3,111
a5,2,154
d5,3,130
a5,2,154
e5,3,130
a5,2,154
d6,3,118
a5,2,154
f7,3,112
a5,2,154
d8,3,138
a5,2,154
g8,3,130
a5,2,154
g2,1,120
e5,2,-Infinity
a3,3,104
e5,2,104
c3,3,127
e5,2,127
e4,3,122
e5,2,127
f4,3,124
e5,2,127
a5,3,134
e5,2,134
d5,3,128
e5,2,134
d6,3,116
e5,2,134
f7,3,102
e5,2,134
d8,3,120
e5,2,134
g8,3,120
e5,2,134
g2,1,120
h5,2,-Infinity
a3,3,112
h5,2,112
c3,3,135
h5,2,135
e4,3,128
h5,2,135
f4,3,126
h5,2,135
h4,3,132
h5,2,135
a5,3,142
h5,2,142
d5,3,128
h5,2,142
d6,3,116
h5,2,142
g6,3,110
h5,2,142
f7,3,110
h5,2,142
d8,3,128
h5,2,142
g8,3,128
h5,2,142
g2,1,120
c6,2,-Infinity
a3,3,113
c6,2,113
c3,3,136
c6,2,136
e4,3,129
c6,2,136
f4,3,133
c6,2,136
a5,3,143
c6,2,143
b5,3,124
c6,2,143
d5,3,143
c6,2,143
e5,3,129
c6,2,143
d6,3,117
c6,2,143
f7,3,111
c6,2,143
d8,3,137
c6,2,143
g8,3,129
c6,2,143
g2,1,120
g6,2,-Infinity
h2,3,136
g6,2,136
a3,3,184
g6,2,184
c3,3,207
g6,2,207
h3,3,146
g6,2,207
e4,3,200
g6,2,207
f4,3,198
g6,2,207
h4,3,184
g6,2,207
a5,3,214
g6,2,214
d5,3,200
g6,2,214
h5,3,192
g6,2,214
d6,3,188
g6,2,214
f7,3,182
g6,2,214
d8,3,200
g6,2,214
g8,3,200
g6,2,214
g2,1,120
f7,2,-Infinity
a3,3,102
f7,2,102
c3,3,125
f7,2,125
e4,3,118
f7,2,125
a5,3,132
f7,2,132
d5,3,118
f7,2,132
e5,3,132
f7,2,132
d6,3,106
f7,2,132
g6,3,112
f7,2,132
d8,3,132
f7,2,132
g8,3,110
