OOOO*XX*
X*XXXO**
X**OO*X*
O***X*OO
X***X*O*
XXXXXXX*
**XXXXXO
*XXX**XO
Node,Depth,Value
root,0,-Infinity
e1,1,Infinity
h1,2,-Infinity
c4,3,-340
h1,2,-340
d4,3,-336
h1,2,-336
f4,3,-340
h1,2,-336
c5,3,-340
h1,2,-336
d5,3,-344
h1,2,-336
c6,3,-345
h1,2,-336
b7,3,-384
h1,2,-336
e1,1,-336
g2,2,-Infinity
h2,3,-265
g2,2,-265
h3,3,-249
g2,2,-249
c4,3,-197
g2,2,-197
d4,3,-193
g2,2,-193
f4,3,-197
g2,2,-193
c5,3,-197
g2,2,-193
d5,3,-201
g2,2,-193
c6,3,-202
g2,2,-193
b7,3,-241
g2,2,-193
e1,1,-336
b3,2,-Infinity
b2,3,-261
b3,2,-261
c3,3,-230
b3,2,-230
c4,3,-225
b3,2,-225
d4,3,-213
b3,2,-213
f4,3,-217
b3,2,-213
c5,3,-217
b3,2,-213
d5,3,-221
b3,2,-213
c6,3,-222
b3,2,-213
b7,3,-261
b3,2,-213
e1,1,-336
c3,2,-Infinity
b2,3,-272
c3,2,-272
b4,3,-229
c3,2,-229
c4,3,-228
c3,2,-228
d4,3,-224
c3,2,-224
f4,3,-228
c3,2,-224
c5,3,-228
c3,2,-224
d5,3,-232
c3,2,-224
c6,3,-233
c3,2,-224
b7,3,-272
c3,2,-224
e1,1,-336
f3,2,-Infinity
g2,3,-252
f3,2,-252
c3,3,-205
f3,2,-205
c4,3,-236
f3,2,-205
d4,3,-226
f3,2,-205
f4,3,-216
f3,2,-205
c5,3,-230
f3,2,-205
d5,3,-234
f3,2,-205
c6,3,-235
f3,2,-205
b7,3,-274
f3,2,-205
e1,1,-336
d4,2,-Infinity
c4,3,-195
d4,2,-195
f4,3,-195
d4,2,-195
c5,3,-187
d4,2,-187
d5,3,-191
d4,2,-187
f5,3,-189
d4,2,-187
c6,3,-200
d4,2,-187
b7,3,-239
d4,2,-187
e1,1,-336
f4,2,-Infinity
c4,3,-233
f4,2,-233
d4,3,-229
f4,2,-229
c5,3,-233
f4,2,-229
d5,3,-237
f4,2,-229
c6,3,-238
f4,2,-229
h6,3,-227
f4,2,-227
b7,3,-277
f4,2,-227
e1,1,-336
f5,2,-Infinity
h3,3,-227
f5,2,-227
c4,3,-225
f5,2,-225
d4,3,-221
f5,2,-221
f4,3,-217
f5,2,-217
c5,3,-225
f5,2,-217
d5,3,-229
f5,2,-217
h5,3,-237
f5,2,-217
c6,3,-230
f5,2,-217
h6,3,-237
f5,2,-217
b7,3,-269
f5,2,-217
e1,1,-336
h6,2,-Infinity
c4,3,-251
h6,2,-251
d4,3,-247
h6,2,-247
f4,3,-251
h6,2,-247
c5,3,-251
h6,2,-247
d5,3,-247
h6,2,-247
f5,3,-237
h6,2,-237
h5,3,-265
h6,2,-237
c6,3,-264
h6,2,-237
b7,3,-295
h6,2,-237
e1,1,-336
a7,2,-Infinity
c4,3,-249
a7,2,-249
d4,3,-245
a7,2,-245
f4,3,-249
a7,2,-245
c5,3,-249
a7,2,-245
d5,3,-253
a7,2,-245
c6,3,-254
a7,2,-245
b7,3,-293
a7,2,-245
a8,3,-138
a7,2,-138
e1,1,-336
e8,2,-Infinity
c4,3,-237
e8,2,-237
d4,3,-233
e8,2,-233
f4,3,-237
e8,2,-233
d5,3,-233
e8,2,-233
f5,3,-229
e8,2,-229
c6,3,-234
e8,2,-229
b7,3,-281
e8,2,-229
f8,3,-229
e8,2,-229
e1,1,-336
f8,2,-Infinity
c4,3,-215
f8,2,-215
d4,3,-211
f8,2,-211
f4,3,-215
f8,2,-211
d5,3,-219
f8,2,-211
c6,3,-220
f8,2,-211
b7,3,-259
f8,2,-211
e8,3,-227
f8,2,-211
e1,1,-336
root,0,-336
g2,1,Infinity
e1,2,-Infinity
f3,3,-256
e1,2,-256
c4,3,-249
e1,2,-249
d4,3,-247
e1,2,-247
f4,3,-243
e1,2,-243
c5,3,-243
e1,2,-243
d5,3,-247
e1,2,-243
c6,3,-248
e1,2,-243
b7,3,-287
e1,2,-243
g2,1,-243
b3,2,-Infinity
b2,3,-291
b3,2,-291
c3,3,-260
b3,2,-260
c4,3,-255
b3,2,-255
d4,3,-243
b3,2,-243
f4,3,-247
b3,2,-243
c5,3,-247
b3,2,-243
d5,3,-251
b3,2,-243
c6,3,-252
b3,2,-243
b7,3,-291
b3,2,-243
g2,1,-243
c3,2,-Infinity
b2,3,-302
c3,2,-302
b4,3,-259
c3,2,-259
c4,3,-258
c3,2,-258
d4,3,-254
c3,2,-254
f4,3,-258
c3,2,-254
c5,3,-258
c3,2,-254
d5,3,-262
c3,2,-254
c6,3,-263
c3,2,-254
b7,3,-302
c3,2,-254
g2,1,-254
f3,2,-Infinity
e1,3,-264
f3,2,-264
c3,3,-235
f3,2,-235
c4,3,-266
f3,2,-235
d4,3,-256
f3,2,-235
f4,3,-246
f3,2,-235
c5,3,-260
f3,2,-235
d5,3,-264
f3,2,-235
c6,3,-265
f3,2,-235
b7,3,-304
f3,2,-235
g2,1,-254
d4,2,-Infinity
c4,3,-225
d4,2,-225
f4,3,-225
d4,2,-225
c5,3,-217
d4,2,-217
d5,3,-221
d4,2,-217
f5,3,-219
d4,2,-217
c6,3,-230
d4,2,-217
b7,3,-269
d4,2,-217
g2,1,-254
f4,2,-Infinity
c4,3,-263
f4,2,-263
d4,3,-259
f4,2,-259
c5,3,-263
f4,2,-259
d5,3,-267
f4,2,-259
c6,3,-268
f4,2,-259
h6,3,-257
f4,2,-257
b7,3,-307
f4,2,-257
g2,1,-257
f5,2,-Infinity
h3,3,-257
f5,2,-257
c4,3,-255
f5,2,-255
d4,3,-251
f5,2,-251
f4,3,-247
f5,2,-247
c5,3,-255
f5,2,-247
d5,3,-259
f5,2,-247
h5,3,-267
f5,2,-247
c6,3,-260
f5,2,-247
h6,3,-267
f5,2,-247
b7,3,-299
f5,2,-247
g2,1,-257
h6,2,-Infinity
c4,3,-281
h6,2,-281
d4,3,-277
h6,2,-277
f4,3,-281
h6,2,-277
c5,3,-281
h6,2,-277
d5,3,-277
h6,2,-277
f5,3,-267
h6,2,-267
h5,3,-295
h6,2,-267
c6,3,-294
h6,2,-267
b7,3,-325
h6,2,-267
g2,1,-267
a7,2,-Infinity
c4,3,-279
a7,2,-279
d4,3,-275
a7,2,-275
f4,3,-279
a7,2,-275
c5,3,-279
a7,2,-275
d5,3,-283
a7,2,-275
c6,3,-284
a7,2,-275
b7,3,-323
a7,2,-275
a8,3,-168
a7,2,-168
g2,1,-267
e8,2,-Infinity
c4,3,-267
e8,2,-267
d4,3,-263
e8,2,-263
f4,3,-267
e8,2,-263
d5,3,-263
e8,2,-263
f5,3,-259
e8,2,-259
c6,3,-264
e8,2,-259
b7,3,-311
e8,2,-259
f8,3,-259
e8,2,-259
g2,1,-267
f8,2,-Infinity
c4,3,-245
f8,2,-245
d4,3,-241
f8,2,-241
f4,3,-245
f8,2,-241
d5,3,-249
f8,2,-241
c6,3,-250
f8,2,-241
b7,3,-289
f8,2,-241
e8,3,-257
f8,2,-241
g2,1,-267
root,0,-267
f3,1,Infinity
e1,2,-Infinity
g2,3,-282
e1,2,-282
c3,3,-201
e1,2,-201
h3,3,-224
e1,2,-201
c4,3,-218
e1,2,-201
d4,3,-216
e1,2,-201
f4,3,-212
e1,2,-201
c5,3,-212
e1,2,-201
d5,3,-216
e1,2,-201
h5,3,-224
e1,2,-201
c6,3,-217
e1,2,-201
b7,3,-256
e1,2,-201
f3,1,-201
g2,2,-Infinity
h1,3,-157
g2,2,-157
h2,3,-264
g2,2,-157
c3,3,-185
g2,2,-157
h3,3,-256
g2,2,-157
c4,3,-196
g2,2,-157
d4,3,-192
g2,2,-157
f4,3,-196
g2,2,-157
c5,3,-196
g2,2,-157
d5,3,-200
g2,2,-157
h5,3,-208
g2,2,-157
c6,3,-201
g2,2,-157
b7,3,-240
g2,2,-157
f3,1,-201
b3,2,-Infinity
b2,3,-260
b3,2,-260
c3,3,-213
b3,2,-213
c4,3,-224
b3,2,-213
d4,3,-212
b3,2,-212
f4,3,-216
b3,2,-212
c5,3,-216
b3,2,-212
d5,3,-220
b3,2,-212
h5,3,-228
b3,2,-212
c6,3,-221
b3,2,-212
b7,3,-260
b3,2,-212
f3,1,-212
c3,2,-Infinity
b2,3,-271
c3,2,-271
b3,3,-213
c3,2,-213
b4,3,-228
c3,2,-213
c4,3,-227
c3,2,-213
d4,3,-223
c3,2,-213
f4,3,-227
c3,2,-213
c5,3,-227
c3,2,-213
d5,3,-231
c3,2,-213
h5,3,-239
c3,2,-213
c6,3,-232
c3,2,-213
b7,3,-271
c3,2,-213
f3,1,-213
h3,2,-Infinity
g2,3,-284
h3,2,-284
c4,3,-242
h3,2,-242
d4,3,-238
h3,2,-238
f4,3,-228
h3,2,-228
c5,3,-242
h3,2,-228
d5,3,-246
h3,2,-228
h5,3,-240
h3,2,-228
c6,3,-247
h3,2,-228
b7,3,-286
h3,2,-228
f3,1,-228
d4,2,-Infinity
c3,3,-183
d4,2,-183
c4,3,-194
d4,2,-183
f4,3,-194
d4,2,-183
c5,3,-186
d4,2,-183
d5,3,-190
d4,2,-183
f5,3,-188
d4,2,-183
h5,3,-206
d4,2,-183
c6,3,-199
d4,2,-183
b7,3,-238
d4,2,-183
f3,1,-228
f4,2,-Infinity
c3,3,-221
f4,2,-221
c4,3,-232
f4,2,-221
d4,3,-228
f4,2,-221
c5,3,-232
f4,2,-221
d5,3,-236
f4,2,-221
f5,3,-232
f4,2,-221
h5,3,-244
f4,2,-221
c6,3,-237
f4,2,-221
h6,3,-226
f4,2,-221
b7,3,-276
f4,2,-221
f3,1,-228
f5,2,-Infinity
c3,3,-213
f5,2,-213
h3,3,-226
f5,2,-213
c4,3,-224
f5,2,-213
d4,3,-220
f5,2,-213
f4,3,-216
f5,2,-213
c5,3,-224
f5,2,-213
d5,3,-228
f5,2,-213
h5,3,-242
f5,2,-213
c6,3,-229
f5,2,-213
h6,3,-236
f5,2,-213
b7,3,-268
f5,2,-213
f3,1,-228
h6,2,-Infinity
c3,3,-239
h6,2,-239
c4,3,-250
h6,2,-239
d4,3,-246
h6,2,-239
f4,3,-250
h6,2,-239
c5,3,-250
h6,2,-239
d5,3,-246
h6,2,-239
f5,3,-236
h6,2,-236
h5,3,-270
h6,2,-236
c6,3,-263
h6,2,-236
b7,3,-294
h6,2,-236
f3,1,-236
a7,2,-Infinity
c3,3,-237
a7,2,-237
c4,3,-248
a7,2,-237
d4,3,-244
a7,2,-237
f4,3,-248
a7,2,-237
c5,3,-248
a7,2,-237
d5,3,-252
a7,2,-237
h5,3,-260
a7,2,-237
c6,3,-253
a7,2,-237
b7,3,-292
a7,2,-237
a8,3,-137
a7,2,-137
f3,1,-236
e8,2,-Infinity
c3,3,-225
e8,2,-225
c4,3,-236
e8,2,-225
d4,3,-232
e8,2,-225
f4,3,-236
e8,2,-225
d5,3,-232
e8,2,-225
f5,3,-228
e8,2,-225
h5,3,-248
e8,2,-225
c6,3,-233
e8,2,-225
b7,3,-280
e8,2,-225
f8,3,-228
e8,2,-225
f3,1,-236
f8,2,-Infinity
c3,3,-203
f8,2,-203
c4,3,-214
f8,2,-203
d4,3,-210
f8,2,-203
f4,3,-214
f8,2,-203
d5,3,-218
f8,2,-203
h5,3,-226
f8,2,-203
c6,3,-219
f8,2,-203
b7,3,-258
f8,2,-203
e8,3,-226
f8,2,-203
f3,1,-236
root,0,-236
c4,1,Infinity
e1,2,-Infinity
g2,3,-265
e1,2,-265
f3,3,-220
e1,2,-220
d4,3,-227
e1,2,-220
f4,3,-215
e1,2,-215
c5,3,-215
e1,2,-215
d5,3,-219
e1,2,-215
c6,3,-220
e1,2,-215
b7,3,-259
e1,2,-215
c4,1,-215
b2,2,-Infinity
e1,3,-183
b2,2,-183
g2,3,-283
b2,2,-183
f3,3,-176
b2,2,-176
d4,3,-183
b2,2,-176
c5,3,-171
b2,2,-171
d5,3,-175
b2,2,-171
c6,3,-176
b2,2,-171
b7,3,-215
b2,2,-171
c4,1,-215
g2,2,-Infinity
h2,3,-259
g2,2,-259
f3,3,-188
g2,2,-188
h3,3,-235
g2,2,-188
d4,3,-195
g2,2,-188
f4,3,-183
g2,2,-183
c5,3,-183
g2,2,-183
d5,3,-187
g2,2,-183
c6,3,-188
g2,2,-183
b7,3,-227
g2,2,-183
c4,1,-215
b3,2,-Infinity
e1,3,-217
b3,2,-217
b2,3,-247
b3,2,-217
g2,3,-247
b3,2,-217
c3,3,-216
b3,2,-216
f3,3,-208
b3,2,-208
d4,3,-215
b3,2,-208
f4,3,-203
b3,2,-203
c5,3,-203
b3,2,-203
d5,3,-207
b3,2,-203
c6,3,-208
b3,2,-203
b7,3,-247
b3,2,-203
c4,1,-215
c3,2,-Infinity
e1,3,-236
c3,2,-236
b2,3,-266
c3,2,-236
g2,3,-266
c3,2,-236
f3,3,-235
c3,2,-235
b4,3,-223
c3,2,-223
d4,3,-226
c3,2,-223
f4,3,-222
c3,2,-222
c5,3,-222
c3,2,-222
d5,3,-226
c3,2,-222
c6,3,-227
c3,2,-222
b7,3,-266
c3,2,-222
c4,1,-222
f3,2,-Infinity
e1,3,-228
f3,2,-228
g2,3,-252
f3,2,-228
d4,3,-228
f3,2,-228
f4,3,-210
f3,2,-210
c5,3,-216
f3,2,-210
d5,3,-220
f3,2,-210
c6,3,-221
f3,2,-210
b7,3,-260
f3,2,-210
c4,1,-222
d4,2,-Infinity
e1,3,-197
d4,2,-197
g2,3,-227
d4,2,-197
f3,3,-196
d4,2,-196
f4,3,-191
d4,2,-191
c5,3,-183
d4,2,-183
d5,3,-187
d4,2,-183
f5,3,-177
d4,2,-177
c6,3,-188
d4,2,-177
b7,3,-227
d4,2,-177
c4,1,-222
f4,2,-Infinity
e1,3,-233
f4,2,-233
g2,3,-263
f4,2,-233
f3,3,-224
f4,2,-224
d4,3,-231
f4,2,-224
c5,3,-219
f4,2,-219
d5,3,-223
f4,2,-219
c6,3,-224
f4,2,-219
h6,3,-213
f4,2,-213
b7,3,-263
f4,2,-213
c4,1,-222
f5,2,-Infinity
e1,3,-225
f5,2,-225
b2,3,-255
f5,2,-225
g2,3,-255
f5,2,-225
f3,3,-224
f5,2,-224
h3,3,-213
f5,2,-213
d4,3,-215
f5,2,-213
f4,3,-203
f5,2,-203
c5,3,-211
f5,2,-203
d5,3,-215
f5,2,-203
h5,3,-223
f5,2,-203
c6,3,-216
f5,2,-203
h6,3,-223
f5,2,-203
b7,3,-255
f5,2,-203
c4,1,-222
h6,2,-Infinity
e1,3,-251
h6,2,-251
g2,3,-281
h6,2,-251
f3,3,-242
h6,2,-242
d4,3,-249
h6,2,-242
f4,3,-237
h6,2,-237
c5,3,-237
h6,2,-237
d5,3,-233
h6,2,-233
f5,3,-223
h6,2,-223
h5,3,-251
h6,2,-223
c6,3,-250
h6,2,-223
b7,3,-281
h6,2,-223
c4,1,-223
a7,2,-Infinity
e1,3,-249
a7,2,-249
g2,3,-279
a7,2,-249
f3,3,-240
a7,2,-240
d4,3,-247
a7,2,-240
f4,3,-235
a7,2,-235
c5,3,-235
a7,2,-235
d5,3,-239
a7,2,-235
c6,3,-240
a7,2,-235
b7,3,-279
a7,2,-235
a8,3,-124
a7,2,-124
c4,1,-223
e8,2,-Infinity
e1,3,-237
e8,2,-237
g2,3,-267
e8,2,-237
f3,3,-228
e8,2,-228
d4,3,-235
e8,2,-228
f4,3,-223
e8,2,-223
d5,3,-219
e8,2,-219
f5,3,-223
e8,2,-219
c6,3,-220
e8,2,-219
b7,3,-267
e8,2,-219
f8,3,-215
e8,2,-215
c4,1,-223
f8,2,-Infinity
e1,3,-215
f8,2,-215
g2,3,-245
f8,2,-215
f3,3,-206
f8,2,-206
d4,3,-213
f8,2,-206
f4,3,-201
f8,2,-201
d5,3,-205
f8,2,-201
c6,3,-206
f8,2,-201
b7,3,-245
f8,2,-201
e8,3,-213
f8,2,-201
c4,1,-223
root,0,-223
d4,1,Infinity
e1,2,-Infinity
g2,3,-273
e1,2,-273
f3,3,-222
e1,2,-222
c5,3,-209
