X**OXXXO
X*XXX*XX
**X*XOOX
X*X*X*XO
***O*XOO
O*OX*OXO
*XXOXOX*
XXO***XX
Node,Depth,Value
root,0,-Infinity
c1,1,Infinity
b1,2,-Infinity
e1,3,76
b1,2,76
f2,3,38
b1,2,76
d4,3,48
b1,2,76
f4,3,44
b1,2,76
c5,3,66
b1,2,76
e5,3,62
b1,2,76
b6,3,58
b1,2,76
e6,3,58
b1,2,76
h7,3,80
b1,2,80
d8,3,64
b1,2,80
e8,3,46
b1,2,80
f8,3,62
b1,2,80
c1,1,80
b2,2,-Infinity
e1,3,116
b2,2,116
f2,3,22
b2,2,116
a3,3,54
b2,2,116
d4,3,94
b2,2,116
f4,3,90
b2,2,116
c5,3,112
b2,2,116
e5,3,108
b2,2,116
b6,3,104
b2,2,116
e6,3,104
b2,2,116
h7,3,126
b2,2,126
d8,3,110
b2,2,126
e8,3,92
b2,2,126
f8,3,108
b2,2,126
c1,1,80
b3,2,-Infinity
e1,3,88
b3,2,88
b2,3,28
b3,2,88
f2,3,50
b3,2,88
a3,3,60
b3,2,88
d4,3,60
b3,2,88
f4,3,56
b3,2,88
c5,3,86
b3,2,88
e5,3,74
b3,2,88
b6,3,70
b3,2,88
e6,3,70
b3,2,88
h7,3,92
b3,2,92
d8,3,76
b3,2,92
e8,3,58
b3,2,92
f8,3,74
b3,2,92
c1,1,80
d3,2,-Infinity
e1,3,80
d3,2,80
f2,3,34
d3,2,80
d4,3,50
d3,2,80
f4,3,48
d3,2,80
c5,3,68
d3,2,80
e5,3,64
d3,2,80
b6,3,60
d3,2,80
e6,3,60
d3,2,80
h7,3,82
d3,2,82
d8,3,66
d3,2,82
e8,3,48
d3,2,82
f8,3,64
d3,2,82
c1,1,80
f4,2,-Infinity
e1,3,78
f4,2,78
f2,3,40
f4,2,78
d4,3,50
f4,2,78
c5,3,68
f4,2,78
e5,3,64
f4,2,78
b6,3,60
f4,2,78
e6,3,62
f4,2,78
h7,3,82
f4,2,82
d8,3,66
f4,2,82
e8,3,48
f4,2,82
c1,1,80
e5,2,-Infinity
e1,3,74
e5,2,74
f2,3,30
e5,2,74
d3,3,66
e5,2,74
d4,3,54
e5,2,74
f4,3,44
e5,2,74
c5,3,58
e5,2,74
b6,3,50
e5,2,74
e6,3,58
e5,2,74
h7,3,72
e5,2,74
d8,3,56
e5,2,74
e8,3,38
e5,2,74
c1,1,74
e6,2,-Infinity
e1,3,72
e6,2,72
f2,3,34
e6,2,72
f4,3,40
e6,2,72
c5,3,70
e6,2,72
e5,3,74
e6,2,74
b6,3,84
e6,2,84
h7,3,76
e6,2,84
d8,3,66
e6,2,84
e8,3,42
e6,2,84
f8,3,58
e6,2,84
c1,1,74
a7,2,-Infinity
e1,3,148
a7,2,148
f2,3,110
a7,2,148
d4,3,120
a7,2,148
f4,3,116
a7,2,148
a5,3,126
a7,2,148
e5,3,134
a7,2,148
b6,3,82
a7,2,148
e6,3,130
a7,2,148
h7,3,152
a7,2,152
d8,3,136
a7,2,152
e8,3,118
a7,2,152
f8,3,134
a7,2,152
c1,1,74
h7,2,-Infinity
e1,3,140
h7,2,140
f2,3,102
h7,2,140
d4,3,112
h7,2,140
f4,3,108
h7,2,140
c5,3,130
h7,2,140
e5,3,78
h7,2,140
b6,3,122
h7,2,140
e6,3,122
h7,2,140
d8,3,128
h7,2,140
e8,3,110
h7,2,140
f8,3,126
h7,2,140
c1,1,74
d8,2,-Infinity
e1,3,84
d8,2,84
f2,3,46
d8,2,84
d4,3,56
d8,2,84
f4,3,52
d8,2,84
c5,3,74
d8,2,84
e5,3,70
d8,2,84
b6,3,66
d8,2,84
e6,3,66
d8,2,84
h7,3,88
d8,2,88
e8,3,82
d8,2,88
f8,3,64
d8,2,88
c1,1,74
f8,2,-Infinity
e1,3,124
f8,2,124
f2,3,86
f8,2,124
d4,3,96
f8,2,124
f4,3,92
f8,2,124
c5,3,114
f8,2,124
e5,3,62
f8,2,124
b6,3,106
f8,2,124
e6,3,106
f8,2,124
h7,3,72
f8,2,124
d8,3,112
f8,2,124
e8,3,110
f8,2,124
c1,1,74
root,0,74
e1,1,Infinity
b3,2,-Infinity
c1,3,80
b3,2,80
b2,3,36
b3,2,80
a3,3,68
b3,2,80
d4,3,68
b3,2,80
f4,3,64
b3,2,80
c5,3,94
b3,2,94
e5,3,82
b3,2,94
b6,3,78
b3,2,94
e6,3,78
b3,2,94
h7,3,100
b3,2,100
d8,3,84
b3,2,100
e8,3,66
b3,2,100
f8,3,82
b3,2,100
e1,1,100
d3,2,-Infinity
c1,3,78
d3,2,78
d4,3,58
d3,2,78
f4,3,54
d3,2,78
c5,3,76
d3,2,78
e5,3,72
d3,2,78
b6,3,68
d3,2,78
e6,3,68
d3,2,78
h7,3,90
d3,2,90
d8,3,74
d3,2,90
e8,3,56
d3,2,90
f8,3,72
d3,2,90
e1,1,90
f4,2,-Infinity
c1,3,78
f4,2,78
d4,3,58
f4,2,78
c5,3,76
f4,2,78
e5,3,72
f4,2,78
b6,3,68
f4,2,78
e6,3,70
f4,2,78
h7,3,90
f4,2,90
d8,3,74
f4,2,90
e8,3,56
f4,2,90
e1,1,90
e5,2,-Infinity
c1,3,76
e5,2,76
d4,3,70
e5,2,76
f4,3,52
e5,2,76
c5,3,74
e5,2,76
b6,3,66
e5,2,76
e6,3,74
e5,2,76
h7,3,88
e5,2,88
d8,3,72
e5,2,88
e8,3,54
e5,2,88
e1,1,88
e6,2,-Infinity
c1,3,72
e6,2,72
f4,3,48
e6,2,72
c5,3,78
e6,2,78
e5,3,82
e6,2,82
b6,3,92
e6,2,92
h7,3,84
e6,2,92
d8,3,74
e6,2,92
e8,3,50
e6,2,92
f8,3,66
e6,2,92
e1,1,88
a7,2,-Infinity
c1,3,148
a7,2,148
d4,3,128
a7,2,148
f4,3,124
a7,2,148
a5,3,134
a7,2,148
e5,3,142
a7,2,148
b6,3,90
a7,2,148
e6,3,138
a7,2,148
h7,3,160
a7,2,160
d8,3,144
a7,2,160
e8,3,126
a7,2,160
f8,3,142
a7,2,160
e1,1,88
h7,2,-Infinity
c1,3,140
h7,2,140
d4,3,120
h7,2,140
f4,3,116
h7,2,140
c5,3,138
h7,2,140
e5,3,86
h7,2,140
b6,3,130
h7,2,140
e6,3,130
h7,2,140
d8,3,136
h7,2,140
e8,3,118
h7,2,140
f8,3,134
h7,2,140
e1,1,88
d8,2,-Infinity
c1,3,84
d8,2,84
d4,3,64
d8,2,84
f4,3,60
d8,2,84
c5,3,82
d8,2,84
e5,3,78
d8,2,84
b6,3,74
d8,2,84
e6,3,74
d8,2,84
h7,3,96
d8,2,96
e8,3,90
d8,2,96
f8,3,72
d8,2,96
e1,1,88
f8,2,-Infinity
c1,3,124
f8,2,124
d4,3,104
f8,2,124
f4,3,100
f8,2,124
c5,3,122
f8,2,124
e5,3,70
f8,2,124
b6,3,114
f8,2,124
e6,3,114
f8,2,124
h7,3,80
f8,2,124
d8,3,120
f8,2,124
e8,3,118
f8,2,124
e1,1,88
root,0,88
f2,1,Infinity
e1,2,-Infinity
c1,3,88
e1,2,88
d4,3,40
e1,2,88
f4,3,36
e1,2,88
c5,3,58
e1,2,88
e5,3,54
e1,2,88
b6,3,50
e1,2,88
e6,3,50
e1,2,88
h7,3,72
e1,2,88
d8,3,56
e1,2,88
e8,3,38
e1,2,88
f8,3,54
e1,2,88
f2,1,88
b3,2,-Infinity
c1,3,42
b3,2,42
e1,3,64
b3,2,64
b2,3,10
b3,2,64
a3,3,42
b3,2,64
d4,3,42
b3,2,64
f4,3,52
b3,2,64
c5,3,68
b3,2,68
e5,3,56
b3,2,68
b6,3,52
b3,2,68
e6,3,52
b3,2,68
h7,3,74
b3,2,74
d8,3,58
b3,2,74
e8,3,40
b3,2,74
f8,3,56
b3,2,74
f2,1,74
d3,2,-Infinity
e1,3,56
d3,2,56
d4,3,46
d3,2,56
f4,3,48
d3,2,56
c5,3,56
d3,2,56
e5,3,52
d3,2,56
b6,3,48
d3,2,56
e6,3,48
d3,2,56
h7,3,70
d3,2,70
d8,3,54
d3,2,70
e8,3,36
d3,2,70
f8,3,52
d3,2,70
f2,1,70
f4,2,-Infinity
e1,3,54
f4,2,54
d4,3,32
f4,2,54
c5,3,50
f4,2,54
e5,3,46
f4,2,54
b6,3,42
f4,2,54
e6,3,44
f4,2,54
h7,3,64
f4,2,64
d8,3,48
f4,2,64
e8,3,30
f4,2,64
f8,3,76
f4,2,76
f2,1,70
e5,2,-Infinity
e1,3,52
e5,2,52
d4,3,44
e5,2,52
f4,3,40
e5,2,52
c5,3,48
e5,2,52
b6,3,40
e5,2,52
e6,3,48
e5,2,52
h7,3,62
e5,2,62
d8,3,46
e5,2,62
e8,3,28
e5,2,62
f2,1,62
e6,2,-Infinity
e1,3,48
e6,2,48
f4,3,36
e6,2,48
c5,3,52
e6,2,52
e5,3,56
e6,2,56
b6,3,66
e6,2,66
h7,3,58
e6,2,66
d8,3,48
e6,2,66
e8,3,24
e6,2,66
f8,3,40
e6,2,66
f2,1,62
a7,2,-Infinity
e1,3,124
a7,2,124
d4,3,102
a7,2,124
f4,3,112
a7,2,124
a5,3,108
a7,2,124
e5,3,116
a7,2,124
b6,3,64
a7,2,124
e6,3,112
a7,2,124
h7,3,134
a7,2,134
d8,3,118
a7,2,134
e8,3,100
a7,2,134
f8,3,116
a7,2,134
f2,1,62
h7,2,-Infinity
e1,3,116
h7,2,116
d4,3,94
h7,2,116
f4,3,104
h7,2,116
c5,3,112
h7,2,116
e5,3,60
h7,2,116
b6,3,104
h7,2,116
e6,3,104
h7,2,116
d8,3,110
h7,2,116
e8,3,92
h7,2,116
f8,3,108
h7,2,116
f2,1,62
d8,2,-Infinity
e1,3,60
d8,2,60
d4,3,38
d8,2,60
f4,3,48
d8,2,60
c5,3,56
d8,2,60
e5,3,52
d8,2,60
b6,3,48
d8,2,60
e6,3,48
d8,2,60
h7,3,70
d8,2,70
e8,3,64
d8,2,70
f8,3,46
d8,2,70
f2,1,62
f8,2,-Infinity
e1,3,100
f8,2,100
